"dcg_vo_set_00"
{

	"DCG_VO_lady_anshu_intro"	"Я знаю, кто-то из вас поддерживал восстание воулов... Вы верили, что дело Рикса было правым и что Галаний был тираном, которому стоило показать, что мир ему не принадлежит. Я понимаю ваши чувства. Однако теперь это не имеет значения. Рикс дал Клятву, и в обмен на его душу Ристульский двор дал ему возможность уничтожить Стоунхолл. Жесток ли Галаний? Возможно. Однако он на стороне живых. Мы не будем сидеть сложа руки, пока демоны убивают мужчин, женщин и детей Стоунхолла. Мы выйдем маршем. И мы будем бороться. И да, многие из нас погибнут. Но мы жертвуем свои жизни не по глупости, но по необходимости... Ведь кто остановит мёртвых и проклятых, если не мы?"
	"DCG_VO_lady_anshu_potential_kill_04"	"Тебе не выжить."
	"DCG_VO_lady_anshu_potential_kill_05"	"Сдавайся или умри."
	"DCG_VO_lady_anshu_potential_save_01"	"Не сегодня."
	"DCG_VO_lady_anshu_potential_save_02"	"Божественная сила хранит меня."
	"DCG_VO_lady_anshu_potential_save_03"	"Не время мне умирать."
	"DCG_VO_lady_anshu_potential_save_04"	"Тебе меня не запугать."
	"DCG_VO_lady_anshu_potential_save_05"	"Я никогда не уступлю злу."
	"DCG_VO_lady_anshu_permanent_armor_01"	"Броня веры."
	"DCG_VO_lady_anshu_permanent_armor_02"	"Святые меня защитят."
	"DCG_VO_lady_anshu_permanent_armor_03"	"Вам не навредить мне..."
	"DCG_VO_lady_anshu_permanent_armor_04"	"Страх битвы мне не ведом."
	"DCG_VO_lady_anshu_permanent_armor_05"	"Я отведу клинки и стрелы..."
	"DCG_VO_lady_anshu_permanent_attack_01"	"Святые направляют мою руку"
	"DCG_VO_lady_anshu_permanent_attack_02"	"Я стала сильнее."
	"DCG_VO_lady_anshu_permanent_attack_03"	"Я сокрушу врагов..."
	"DCG_VO_lady_anshu_permanent_attack_04"	"Моя рука крушит так же верно, как бережёт..."
	"DCG_VO_lady_anshu_permanent_attack_05"	"Вершу возмездие именем богов..."
	"DCG_VO_lady_anshu_permanent_health_01"	"Мне ещё рано умирать."
	"DCG_VO_lady_anshu_permanent_health_02"	"Мой час ещё не пробил."
	"DCG_VO_lady_anshu_permanent_health_03"	"Вера придаёт мне силы."
	"DCG_VO_lady_anshu_permanent_health_04"	"Я — пример для своего народа."
	"DCG_VO_lady_anshu_permanent_health_05"	"Чувствую прилив сил."
	"DCG_VO_lady_anshu_cast_spell_01"	"Такова сила веры!"
	"DCG_VO_lady_anshu_cast_spell_02"	"Рамаск пришёл спасти вас!"
	"DCG_VO_lady_anshu_cast_spell_03"	"Я несу спасение!"
	"DCG_VO_lady_anshu_cast_spell_04"	"Ты под моей защитой!"
	"DCG_VO_lady_anshu_cast_spell_05"	"Я не дам тебе умереть!"
	"DCG_VO_lady_anshu_cast_spell_06"	"Нам всё по плечу..."
	"DCG_VO_lady_anshu_cast_spell_07"	"Мы не убоимся зла..."
	"DCG_VO_lady_anshu_cast_spell_08"	"Да изыдет тьма."
	"DCG_VO_lady_anshu_cast_spell_09"	"Тебе ничто не навредит."
	"DCG_VO_lady_anshu_cast_spell_10"	"Я покажу тебе путь получше."
	"DCG_VO_lady_anshu_buff_ally_01"	"Позволь помочь тебе, дитя."
	"DCG_VO_lady_anshu_buff_ally_02"	"Рамаск пришёл вам на помощь."
	"DCG_VO_lady_anshu_buff_ally_03"	"Я стану тебе опорой."
	"DCG_VO_lady_anshu_buff_ally_04"	"Будем держаться вместе."
	"DCG_VO_lady_anshu_buff_ally_05"	"Нужно помогать друг другу."
	"DCG_VO_lady_anshu_buff_ally_06"	"Прими моё благословение."
	"DCG_VO_lady_anshu_buff_ally_07"	"Ступай и верши добро."
	"DCG_VO_lady_anshu_buff_ally_08"	"Да будут разрушены планы грешников."
	"DCG_VO_lady_anshu_buff_ally_09"	"Я поддержу тебя."
	"DCG_VO_lady_anshu_buff_ally_10"	"Зло не должно победить."
	"DCG_VO_lady_anshu_debuff_enemy_01"	"Ты обратишься в прах."
	"DCG_VO_lady_anshu_debuff_enemy_02"	"Это начало твоей гибели..."
	"DCG_VO_lady_anshu_debuff_enemy_03"	"Ты заплатишь за свои злодеяния."
	"DCG_VO_lady_anshu_debuff_enemy_04"	"Злу здесь не место."
	"DCG_VO_lady_anshu_debuff_enemy_05"	"Тебя сломит тяжесть твоих же грехов..."
	"DCG_VO_lady_anshu_debuff_enemy_06"	"Надеешься победить?"
	"DCG_VO_lady_anshu_debuff_enemy_07"	"Ты умрёшь прямо здесь."
	"DCG_VO_lady_anshu_debuff_enemy_08"	"Это место под защитой Рамаска."
	"DCG_VO_lady_anshu_debuff_enemy_09"	"Тебе не стоило сюда приходить."
	"DCG_VO_lady_anshu_debuff_enemy_10"	"Ты потерпишь неудачу."
	"DCG_VO_lady_anshu_single_target_damage_01"	"Всё кончится здесь."
	"DCG_VO_lady_anshu_single_target_damage_02"	"Здесь я справлюсь сама."
	"DCG_VO_lady_anshu_single_target_damage_03"	"Я не боюсь зла."
	"DCG_VO_lady_anshu_single_target_damage_04"	"Священный свет испепелит тебя."
	"DCG_VO_lady_anshu_single_target_damage_05"	"Ты не сильнее нас."
	"DCG_VO_lady_anshu_single_target_damage_06"	"Конец твоему террору."
	"DCG_VO_lady_anshu_single_target_damage_07"	"Тебе конец."
	"DCG_VO_lady_anshu_single_target_damage_08"	"Я отправлю тебя в ад."
	"DCG_VO_lady_anshu_single_target_damage_09"	"В этом мире тебе не место."
	"DCG_VO_lady_anshu_single_target_damage_10"	"Прощайся с жизнью."
	"DCG_VO_lady_anshu_multi_damage_small_01"	"Я справлюсь."
	"DCG_VO_lady_anshu_multi_damage_small_02"	"Оставьте этих болванов мне."
	"DCG_VO_lady_anshu_multi_damage_small_03"	"Вы не стоите моих усилий."
	"DCG_VO_lady_anshu_multi_damage_small_04"	"Я против любого зла."
	"DCG_VO_lady_anshu_multi_damage_small_05"	"Вам не пройти."
	"DCG_VO_lady_anshu_multi_damage_small_06"	"Мелкая неприятность, только и всего."
	"DCG_VO_lady_anshu_multi_damage_small_07"	"Как вы смеете?"
	"DCG_VO_lady_anshu_multi_damage_small_08"	"Я — спасение во плоти!"
	"DCG_VO_lady_anshu_multi_damage_small_09"	"Нам нечего бояться."
	"DCG_VO_lady_anshu_multi_damage_small_10"	"Я с ними разделаюсь."
	"DCG_VO_lady_anshu_multi_damage_large_01"	"ПОКАЙТЕСЬ!"
	"DCG_VO_lady_anshu_multi_damage_large_02"	"Вот она, сила Рамаска!"
	"DCG_VO_lady_anshu_multi_damage_large_03"	"Святые не дадут нам проиграть!"
	"DCG_VO_lady_anshu_multi_damage_large_04"	"Да омоет нас священный свет!"
	"DCG_VO_lady_anshu_multi_damage_large_05"	"Грешники будут испепелены!"
	"DCG_VO_lady_anshu_multi_damage_large_06"	"Выживут лишь праведники!"
	"DCG_VO_lady_anshu_multi_damage_large_07"	"Я очищу это место ото зла!"
	"DCG_VO_lady_anshu_multi_damage_large_08"	"Пришло время правосудия."
	"DCG_VO_lady_anshu_multi_damage_large_09"	"Вы ничтожества."
	"DCG_VO_lady_anshu_multi_damage_large_10"	"Свет выжжет эту тьму!"
	"DCG_VO_lady_anshu_pleased_01"	"Замечательно."
	"DCG_VO_lady_anshu_pleased_02"	"Получилось."
	"DCG_VO_lady_anshu_pleased_03"	"Хвала Святым."
	"DCG_VO_lady_anshu_pleased_04"	"Мы благодарим Святых."
	"DCG_VO_lady_anshu_pleased_05"	"На нас снизошла благодать."
	"DCG_VO_lady_anshu_pleased_06"	"То, что нужно."
	"DCG_VO_lady_anshu_pleased_07"	"Долгожданный отдых."
	"DCG_VO_lady_anshu_pleased_08"	"Святые благоволят нам."
	"DCG_VO_lady_anshu_pleased_09"	"Наше дело продолжается."
	"DCG_VO_lady_anshu_pleased_10"	"Это лишь начало."
	"DCG_VO_lady_anshu_concerned_01"	"Нам не стоит расслабляться."
	"DCG_VO_lady_anshu_concerned_02"	"Всё куда хуже, чем я думала..."
	"DCG_VO_lady_anshu_concerned_03"	"Святой Малик, дай мне мудрости."
	"DCG_VO_lady_anshu_concerned_04"	"бог мой..."
	"DCG_VO_lady_anshu_concerned_05"	"Нужно перегруппироваться."
	"DCG_VO_lady_anshu_concerned_06"	"Я попробую выиграть время."
	"DCG_VO_lady_anshu_concerned_07"	"Это ещё не конец."
	"DCG_VO_lady_anshu_concerned_08"	"Нельзя терять надежду."
	"DCG_VO_lady_anshu_concerned_09"	"Ещё не всё кончено."
	"DCG_VO_lady_anshu_concerned_10"	"У нас ещё есть время..."
	"DCG_VO_lady_anshu_angry_01"	"Не жди пощады."
	"DCG_VO_lady_anshu_angry_02"	"Пощады не будет."
	"DCG_VO_lady_anshu_angry_03"	"УБЬЁМ ИХ ВСЕХ!"
	"DCG_VO_lady_anshu_angry_04"	"Грядёт твоя расплата..."
	"DCG_VO_lady_anshu_angry_05"	"Эти твари будут уничтожены!"
	"DCG_VO_lady_anshu_angry_06"	"Отправим их обратно в ад!"
	"DCG_VO_lady_anshu_angry_07"	"Нет мне покоя, пока ты не гниёшь в вечных муках."
	"DCG_VO_lady_anshu_angry_08"	"Мы никогда не сдадимся!"
	"DCG_VO_lady_anshu_angry_09"	"Мы не уступим!"
	"DCG_VO_lady_anshu_angry_10"	"Вам конец!"
	"DCG_VO_lady_anshu_arrogant_01"	"Народу Рамаска нет равных."
	"DCG_VO_lady_anshu_arrogant_02"	"Моя сила священна!"
	"DCG_VO_lady_anshu_arrogant_03"	"Праведники не падут!"
	"DCG_VO_lady_anshu_arrogant_04"	"Думаешь, я боюсь шарлатанов?"
	"DCG_VO_lady_anshu_arrogant_05"	"Они даже не представляют, на что я способна."
	"DCG_VO_lady_anshu_arrogant_06"	"Будьте благодарны нашему вмешательству."
	"DCG_VO_lady_anshu_arrogant_07"	"Я подаю пример."
	"DCG_VO_lady_anshu_arrogant_08"	"Злу меня не остановить."
	"DCG_VO_lady_anshu_arrogant_09"	"Я ничего не боюсь."
	"DCG_VO_lady_anshu_arrogant_10"	"Похоже, тебе нужна помощь."
	"DCG_VO_lady_anshu_enigmatic_01"	"Моя вера крепка."
	"DCG_VO_lady_anshu_enigmatic_02"	"Дай нам сил, святой Брин."
	"DCG_VO_lady_anshu_enigmatic_03"	"Нужно подготовиться."
	"DCG_VO_lady_anshu_enigmatic_04"	"Нам предстоит немало работы..."
	"DCG_VO_lady_anshu_enigmatic_05"	"Мы должны быть готовы ко всему..."
	"DCG_VO_lady_anshu_enigmatic_06"	"Грешники способны на всё. Мы должны быть готовы."
	"DCG_VO_lady_anshu_enigmatic_07"	"Мы должны застать их врасплох."
	"DCG_VO_lady_anshu_enigmatic_08"	"Наша сила растёт."
	"DCG_VO_lady_anshu_enigmatic_09"	"Верующих ждёт благо."
	"DCG_VO_lady_anshu_enigmatic_10"	"Всё возможно с помощью Святых."
	"DCG_VO_lady_anshu_death_01"	"(кричит)"




}
