"dcg_tutorial"
{
// TUTORIAL NODE 1

"DCG_Puzzle_TutorialNode1_Title"			"Node 1"
"DCG_Popup_TutorialNode_PathingCards2"		"These shuffled <font color=\"gold\">pathing cards</font> will either have an arrow or be blank. When an arrow points at a <font color=\"gold\">neighboring unit</font> the enemy will diagonally target that <font color=\"gold\">unit</font> instead of your <font color=\"gold\">tower</font>."
"DCG_Popup_TutorialNode_Targetting"			"Targetting is indicated by both the targetting arrow in lower corner of enemies and the <font color=\"gold\">damage indicators</font>."

"DCG_Popup_TutorialNode_Victory3Title"		"Protect Allied Tower"
"DCG_Popup_TutorialNode_WatchBlockers"		"Defend your tower while keeping an eye on how <font color=\"gold\">pathing cards</font>, drawn at the start of each <font color=\"gold\">round</font>, affect targetting in the <font color=\"gold\">combat preview</font>."
"DCG_Popup_TutorialNode_Victory3"			"<I>Axe and his friends held off the horde. Now he can go learn new abilities from the master.</I>"

// TUTORIAL NODE 4

"DCG_Puzzle_TutorialNode4_Title"			"Node 4"
"DCG_Puzzle_TutorialNode4_Desc"				"<I>Axe decided to go learn new abilities from the master.</I>"

"DCG_Popup_TutorialNode_ActiveAbilitiesTitle"	"Active Abilities"
"DCG_Popup_TutorialNode_Intro4"				"<I>Axe decided to go learn new abilities from the master.</I>"
"DCG_Popup_TutorialNode_ActiveAbilities"	"Each of these <font color=\"gold\">item</font> cards has an <font color=\"gold\">active ability</font>. When Axe wears the <font color=\"gold\">equipment</font> the <font color=\"gold\">active ability</font> will appear on Axe as selectable icons."
"DCG_Popup_TutorialNode_MusketShot"			"Equip Axe with <font color=\"gold\">Keenfolk Musket</font> and damage a <font color=\"gold\">creep</font> with its <font color=\"gold\">active ability</font>."
"DCG_Popup_TutorialNode_Cooldowns"			"Note that this <font color=\"gold\">active ability</font> has a <font color=\"gold\">cooldown</font> timer and you'll be able to use it again in 2 <font color=\"gold\">rounds</font>."

"DCG_Popup_TutorialNode_SpellsTitle"		"Spells"
"DCG_Popup_TutorialNode_Spells"				"<font color=\"gold\">Spell</font> are another type of card that cost <font color=\"gold\">mana</font> to use. They can provide a variety of temporary and permanent advantages in preparation for <font color=\"gold\">combat</font>."
"DCG_Popup_TutorialNode_SuckerPunch"		"Read your <font color=\"gold\">Sucker Punch</font> <font color=\"gold\">spell</font> and play it to <font color=\"gold\">stun</font> the <font color=\"gold\">creep</font> that's blocking Axe."
"DCG_Popup_TutorialNode_Stun"				"Inspecting any card will explain all of its special keywords. Inspect the <font color=\"gold\">creep</font> to bring up a tool tip explaining how <font color=\"gold\">stun</font> works. In this case it prevents the <font color=\"gold\">creep</font> from attacking Axe for one <font color=\"gold\">round</font>."

"DCG_Popup_TutorialNode_Victory4Title"		"Kill 3 Creeps"
"DCG_Popup_TutorialNode_KillCreeps"			"Kill all 3 <font color=\"gold\">creeps</font> without dying to complete your training. Don't forget to use all your active <font color=\"gold\">abilities</font> and <font color=\"gold\">spells</font> strategically during the <font color=\"gold\">Action Phase</font> before combat to gain the upper hand."
"DCG_Popup_TutorialNode_Victory4"			"<I>Axe learned how to some new abilities and spells from the master.</I>"

// TUTORIAL NODE 5

"DCG_Puzzle_TutorialNode5_Title"			"Node 5"
"DCG_Puzzle_TutorialNode5_Desc"				"<I>Sven and Ursa began training with Axe for a bigger adventure.</I>"

"DCG_Popup_TutorialNode_3LanesTitle"		"3 Lanes"
"DCG_Popup_TutorialNode_Intro5"				"<I>Sven and Ursa began training with Axe for a bigger adventure.</I>"
"DCG_Popup_TutorialNode_3Lanes"				"Now your forces will be spread across 3 <font color=\"gold\">lanes</font>. Double click in the <font color=\"gold\">lane</font> to zoom out to the <font color=\"gold\">strategic view</font>."
"DCG_Popup_TutorialNode_StrategicView"		"The <font color=\"gold\">strategic view</font> gives you an overview of all 3 <font color=\"gold\">lanes</font>. The golden <font color=\"gold\">Turn Token</font> is showing that the <font color=\"gold\">left lane</font> is the <font color=\"gold\">active lane</font> for the <font color=\"gold\">Action Phase</font> and the upcoming <font color=\"gold\">Combat Phase</font>."
"DCG_Popup_TutorialNode_ActiveLane"			"You can only play cards in the <font color=\"gold\">left lane</font> while it is the <font color=\"gold\">active lane</font> for the <font color=\"gold\">Action Phase</font>. After <font color=\"gold\">combat</font>, the <font color=\"gold\">next lane</font> will become the <font color=\"gold\">active lane</font> for the <font color=\"gold\">Action Phase</font>."

"DCG_Popup_TutorialNode_ScoreboardTitle"	"Scoreboard"
"DCG_Popup_TutorialNode_InitialDeployment"	"You start with 1 <font color=\"gold\">hero</font> in each <font color=\"gold\">lane</font> and can see their positions at a glance using the <font color=\"gold\">Scoreboard</font> in the far upper left."
"DCG_Popup_TutorialNode_IncludedCards"		"Each hero comes with 3 copies of a card that are shuffled into your draw deck. Inspect your <font color=\"gold\">heroes</font> in the <font color=\"gold\">Scoreboard</font> to see their <font color=\"gold\">include cards</font> and other <font color=\"gold\">abilities</font>."
"DCG_Popup_TutorialNode_Scoreboard"			"The <font color=\"gold\">Scoreboard</font> also displays the current health of the <font color=\"gold\">towers</font> in each <font color=\"gold\">lane</font>. Double click the <font color=\"gold\">left lane</font> to return to the <font color=\"gold\">active lane</font>."

"DCG_Popup_TutorialNode_TowerManaTitle"		"Tower Mana"
"DCG_Popup_TutorialNode_TowerMana"			"Each of your <font color=\"gold\">towers</font> has its own pool of <font color=\"gold\">mana</font>. So you start with 3 <font color=\"gold\">mana</font> in each <font color=\"gold\">lane</font>."
"DCG_Popup_TutorialNode_TowerRefresh"		"In each <font color=\"gold\">round</font> you'll complete <font color=\"gold\">combat</font> in all 3 <font color=\"gold\">lanes</font>, one after the other. All of your <font color=\"gold\">mana</font> pools will refill and increase by 1 at the start of the next <font color=\"gold\">round</font>."

"DCG_Popup_TutorialNode_MeleeCreepsTitle"	"Melee Creeps"
"DCG_Popup_TutorialNode_MeleeCreeps"		"Each <font color=\"gold\">round</font> begins with <font color=\"gold\">Melee Creeps</font> being automatically <font color=\"gold\">deployed</font>. You can see where they're being <font color=\"gold\">deployed</font> above and below the <font color=\"gold\">lanes</font>."
"DCG_Popup_TutorialNode_PathingCardShuffle"	"Remember that <font color=\"gold\">pathing cards</font> will also be added to fill empty <font color=\"gold\">combat positions</font>. The newly-<font color=\"gold\">deployed</font> <font color=\"gold\">units</font> and <font color=\"gold\">pathing cards</font> are shuffled to determine which <font color=\"gold\">combat position</font> they end up in."

"DCG_Popup_TutorialNode_DrawingCardsTitle"	"Drawing Cards"
"DCG_Popup_TutorialNode_DrawingCards"		"You automatically draw 2 cards at the start of each <font color=\"gold\">round</font>. There's no limit to the number of cards in your hand."

"DCG_Popup_TutorialNode_Victory5Title"		"Destroy 2 Towers"
"DCG_Popup_TutorialNode_Kill2Towers"		"Destroy <font color=\"gold\">towers</font> in any 2 <font color=\"gold\">lanes</font> while defending your own to claim victory."
"DCG_Popup_TutorialNode_Victory5"			"<I>Axe and his friends destroyed 2 towers and were ready for the next adventure.</I>"

// TUTORIAL NODE 6

"DCG_Puzzle_TutorialNode6_Title"			"Node 6"
"DCG_Puzzle_TutorialNode6_Desc"				"<I>The heroes are ready for their big battle and will fight against 3 other hereos.</I>"

"DCG_Popup_TutorialNode_TurnsTitle"			"Turns"
"DCG_Popup_TutorialNode_Intro6"				"<I>The heroes are ready for their big battle and will fight against 3 other hereos.</I>"
"DCG_Popup_TutorialNode_OpponentHeroes"		"Now that your opponent has heroes they can play cards and use abilities just like you. Whenever you select the <font color=\"gold\">Turn Token</font>, you're actually 'passing' to give your opponent a <font color=\"gold\">turn</font>."
"DCG_Popup_TutorialNode_TurnToken"			"Every time you take an action your opponent is given another <font color=\"gold\">turn</font> to play a card, use an <font color=\"gold\">ability</font>, or pass their <font color=\"gold\">turn</font>."
"DCG_Popup_TutorialNode_TurnToken2"			"Similarly, whenever your opponent takes an action you'll be given another <font color=\"gold\">turn</font> to play a card, use an <font color=\"gold\">ability</font>, or pass."
"DCG_Popup_TutorialNode_EndingSpellcasting"	"You'll continue taking <font color=\"gold\">turns</font> back and forth repeatedly until you've both passed for your <font color=\"gold\">turns</font> in succession. In other words, <font color=\"gold\">combat</font> begins when you pass on your <font color=\"gold\">turn</font> and the opponent also passes."
"DCG_Popup_TutorialNode_Turns"				"Read your cards and play a few to take <font color=\"gold\">turns</font> back and forth with your opponent and see how it extends the <font color=\"gold\">Action Phase</font> before <font color=\"gold\">combat</font>."

"DCG_Popup_TutorialNode_LastActionTitle"	"Last Action"
"DCG_Popup_TutorialNode_LastAction"			"Inspect <font color=\"gold\">'Last Action'</font> in the upper right corner to review the card your opponent played."

"DCG_Popup_TutorialNode_HeroDeathTitle"		"Hero Death"
"DCG_Popup_TutorialNode_HeroDeath"			"The <font color=\"gold\">damage preview</font> shows that Ursa will die in <font color=\"gold\">combat</font>. Unlike <font color=\"gold\">creeps</font>, when a <font color=\"gold\">hero</font> dies it's returned to the <font color=\"gold\">Fountain</font> on the left side of the <font color=\"gold\">Scoreboard</font> to heal."
"DCG_Popup_TutorialNode_HeroDeath2"			"After sitting out for 1 <font color=\"gold\">round</font> you'll <font color=\"gold\">deploy</font> them into any <font color=\"gold\">lane</font>, keeping all of their <font color=\"gold\">items</font> and modifiers. It can even be good when <font color=\"gold\">heroes</font> die because it allows them to end up in a different <font color=\"gold\">lane</font> where they're more urgently needed."

"DCG_Popup_TutorialNode_HeroDeploymentTitle"	"Hero Deployment"
"DCG_Popup_TutorialNode_HeroDeployment"		"Ursa healed at the <font color=\"gold\">Fountain</font> for 1 <font color=\"gold\">round</font> and is now ready for <font color=\"gold\">deployment</font>. <font color=\"gold\">Deploy</font> Ursa into one of the 3 <font color=\"gold\">lanes</font>."

"DCG_Popup_TutorialNode_Victory6Title"		"Destroy 2 Towers"
"DCG_Popup_TutorialNode_Kill2Towers2"		"Destroy <font color=\"gold\">towers</font> in any 2 <font color=\"gold\">lanes</font> while defending your own to claim victory."
"DCG_Popup_TutorialNode_Victory6"			"<I>They won the big fight! Next more stuff will happen.</I>"

// TUTORIAL NODE 7
"DCG_Puzzle_TutorialNode7_Title"			"Node 7"
"DCG_Puzzle_TutorialNode7_Desc"				"<I>Axe found ways of influencing the entire battlefield</I>"

"DCG_Popup_TutorialNode7_ImprovementsTitle"	"Improvement Cards"
"DCG_Popup_TutorialNode7_ScrollingDesc"		"Most cards and <font color=\"gold\">abilities</font> only affect the <font color=\"gold\">active lane</font>. However, cards with with arrows next to their mana cost can target any <font color=\"gold\">lane</font>. Select the arrow on the right side of the <font color=\"gold\">lane</font> to view the <font color=\"gold\">next lane</font>."
"DCG_Popup_TutorialNode7_ImprovementsDesc"	"<font color=\"gold\">Improvements</font> are a special type of card that can be played into any <font color=\"gold\">lane</font>. They modify the rules of the selected <font color=\"gold\">lane</font> and remain in that <font color=\"gold\">lane</font> for the rest of the game, even if the <font color=\"gold\">Defense Tower</font> dies. Read your <font color=\"gold\">Stonehall Armory improvement</font> card and then play it in this <font color=\"gold\">lane</font>."
"DCG_Popup_TutorialNode7_Scrolling2Desc"	"The <font color=\"gold\">improvement</font> will remain active in this <font color=\"gold\">lane</font> for the rest of the game. Now let's go back to the <font color=\"gold\">active lane</font>."
"DCG_Popup_TutorialNode7_ActiveLaneManaDesc"			"Remember that although <font color=\"gold\">improvement</font> cards can target any <font color=\"gold\">lane</font>, playing them still uses <font color=\"gold\">mana</font> from the <font color=\"gold\">active lane</font>. Save your item card for lane 2 to take advantage of the <font color=\"gold\">improvement</font> you just played there.  In the meantime continue on to combat."
"DCG_Popup_TutorialNode7_EquipForImprovementBuffDesc"	"Now equip Beastmaster with <font color=\"gold\">Phase Boots</font> to take advantage of the <font color=\"gold\">Stonehall Armory improvement</font>."
"DCG_Popup_TutorialNode7_ImprovementBuffDesc"			"Note that Beastmaster's Attack and Armor have both increased now that Stonehall Armory is granting it's buff."

"DCG_Popup_TutorialNode7_ImprovementRemovalTitle"	"Improvement Removal"
"DCG_Popup_TutorialNode7_RemovalDesc"		"Improvements cannot be attacked directly in Combat, however they can be removed with various tools.  <font color=\"gold\">Smash Their Defenses!</font> can remove a specific <font color=\"gold\">improvement</font>, cast it on one of your opponent's <font color=\"gold\">improvements</font>."
"DCG_Popup_TutorialNode7_Removal2Desc"		"Demagicking Maul is an item with an <font color=\"gold\">active ability</font> that will remove a random <font color=\"gold\">improvement</font>, but only if your hero is unblocked.  Use <font color=\"gold\">Demagicking Maul</font> now to remove the remaining enemy <font color=\"gold\">improvement</font>."

"DCG_Popup_TutorialNode7_CrosslaneTitle"	"Crosslane Spells"
"DCG_Popup_TutorialNode7_CrosslaneDesc"		"Let's talk about using <font color=\"gold\">spells</font> in other <font color=\"gold\">lanes</font> one last time. By default, cards can only be played in the <font color=\"gold\">active lane</font> and anything written on a card ONLY affects to the <font color=\"gold\">active lane</font>. Remember that <font color=\"gold\">improvements</font> are the exception to this rule. <font color=\"gold\">improvements</font> can be played into any <font color=\"gold\">lane</font>."
"DCG_Popup_TutorialNode7_Crosslane2Desc"	"The other exception is when a <font color=\"gold\">spell</font> explicitly states that it can be used in any <font color=\"gold\">lane</font>. These are called <font color=\"gold\">crosslane</font> <font color=\"gold\">spells</font> and have arrows next to their mana cost. Read your <font color=\"gold\">Grazing Shot</font> card and try playing it on an <font color=\"gold\">enemy unit</font> in a <font color=\"gold\">lane</font> other than the <font color=\"gold\">active lane</font>."
"DCG_Popup_TutorialNode7_LastRemindersDesc"	"Defeat your opponent by killing 2 <font color=\"gold\">towers</font> (<font color=\"gold\">Defense</font> or <font color=\"gold\">Ancient</font>)! Don't forget that you can only use <font color=\"gold\">non-item</font> cards if you have a <font color=\"gold\">hero</font> matching its <font color=\"gold\">color</font> in the <font color=\"gold\">lane</font> and enough <font color=\"gold\">mana</font> remaining. Always read your cards before playing them and if you don't understand a keyword, check the <font color=\"gold\">Glossary</font>!"


// TUTORIAL PART 1
"DCG_Popup_Tutorial_Part"					" ({i:part_num}/{i:part_max})"
"DCG_Popup_Tutorial_Replay"					"Repeat"
"DCG_Popup_Tutorial_Continue"				"Next"

"DCG_Popup_Tutorial_Intro1Title"			"Overview"
"DCG_Popup_Tutorial_Intro1Desc"				"Welcome to Artifact!<BR><BR><font color=\"gold\">KNOWN ISSUE:</font> Some of the voice instructions are missing or use old terminology, so rely on reading the text."
"DCG_Popup_Tutorial_Intro2Desc"				"It will take about an hour to complete all 5 parts of your training. We'll start by stripping the game down to a simpler version and learning each basic concept from the checklist below."
"DCG_Popup_Tutorial_LanesTitle"				"Lanes"
"DCG_Popup_Tutorial_LanesDesc"				"This is a battle arena. We call this a <font color=\"gold\">'lane'</font>."
"DCG_Popup_Tutorial_AncientTitle"			"Ancient Towers"
"DCG_Popup_Tutorial_AncientDesc"			"The opponent's <font color=\"gold\">Ancient Tower</font> is at the top center of the <font color=\"gold\">lane</font> and has 10 <font color=\"gold\">health</font>. You must kill it to win."
"DCG_Popup_Tutorial_AncientDesc2"			"The opponent's <font color=\"gold\"'Ancient Tower</font> has 10 <font color=\"gold\">health</font>. You must kill it to win."
"DCG_Popup_Tutorial_HeroesTitle"			"Heroes"
"DCG_Popup_Tutorial_HeroesDesc"				"There are dozens of different <font color=\"gold\">heroes</font> in Artifact, but for now let's start with <font color=\"gold\">Axe</font>. His <font color=\"gold\">attack</font> rating is 7."
"DCG_Popup_Tutorial_CombatPreviewTitle"		"Combat Preview"
"DCG_Popup_Tutorial_CombatPreviewDesc"		"The small red symbol on the <font color=\"gold\">Ancient Tower</font> at the top center of the <font color=\"gold\">lane</font> shows how much damage will be subtracted from the <font color=\"gold\">Ancient Tower</font>'s <font color=\"gold\">health</font> once <font color=\"gold\">combat</font> is enaged. <font color=\"gold\">Damage indicators</font> like this are part of the <font color=\"gold\">combat preview</font>."
"DCG_Popup_Tutorial_DamageIndicatorDesc"	"Inspect the <font color=\"gold\">tower</font>'s red <font color=\"gold\">damage indicator</font> to see a detailed view of the damage."
"DCG_Popup_Tutorial_SpellsTitle"			"Spells"
"DCG_Popup_Tutorial_SpellsDesc"				"<font color=\"gold\">Axe</font>'s 7 damage won't be enough to kill the <font color=\"gold\">Ancient Tower</font>, but you have a <font color=\"gold\">Take Aim</font> card that will temporarily increase his <font color=\"gold\">attack</font> by 4. Let's have <font color=\"gold\">Axe</font> cast that <font color=\"gold\">spell</font> on himself before engaging <font color=\"gold\">combat</font>."
"DCG_Popup_Tutorial_CombatTitle"			"Combat"
"DCG_Popup_Tutorial_CombatDesc"				"Now the <font color=\"gold\">combat preview</font> shows that <font color=\"gold\">Axe</font> will attack the <font color=\"gold\">Ancient Tower</font> with 11 damage total. Select the golden <font color=\"gold\">Turn Token</font> in the bottom right of the <font color=\"gold\">lane</font> to lock in the <font color=\"gold\">combat preview</font> and engage <font color=\"gold\">combat</font>."

"DCG_Popup_Tutorial_TrainingPart1Complete"	"Training: Part 1 Complete"
"DCG_Popup_Tutorial_VictorySimple1Desc"		"Great! You've claimed victory!"

// TUTORIAL PART 2
"DCG_Popup_Tutorial_TowersTitle"			"Defense Towers"
"DCG_Popup_Tutorial_TowersDesc"				"At the start of a game the <font color=\"gold\">Ancient Tower</font> is hidden under a <font color=\"gold\">Defense Tower</font> that you'll need to kill first. Taking the <font color=\"gold\">Defense Tower</font> down to 0 <font color=\"gold\">health</font> will uncover the <font color=\"gold\">Ancient Tower</font> with its own <font color=\"gold\">health</font>."
"DCG_Popup_Tutorial_CreepsTitle"			"Creeps"
"DCG_Popup_Tutorial_CreepsDesc"				"The opponent also has <font color=\"gold\">creeps</font> in the <font color=\"gold\">lane</font> to defend the <font color=\"gold\">Defense Tower</font>. <font color=\"gold\">Creeps</font> attack alongside <font color=\"gold\">heroes</font>, but can't cast <font color=\"gold\">spells</font>."
"DCG_Popup_Tutorial_YourAncientDesc"		"Also, I should have mentioned this, but you have to defend your <font color=\"gold\">Ancient Tower</font> at the bottom of the <font color=\"gold\">lane</font> too!"
"DCG_Popup_Tutorial_YourAncientDesc2"		"Also, I should have mentioned this, but you have to defend your <font color=\"gold\">Ancient Tower</font> too!"
"DCG_Popup_Tutorial_YourTowerDesc"			"But don't worry, you also get your own <font color=\"gold\">Defense Tower</font>."
"DCG_Popup_Tutorial_WinningAndLosingDesc"	"So while your goal is to break through the enemy <font color=\"gold\">units</font> and kill their 2 <font color=\"gold\">Towers</font>, the opponent is trying to do the same."
"DCG_Popup_Tutorial_HealthDesc"				"All <font color=\"gold\">units</font> and the <font color=\"gold\">towers</font> have <font color=\"gold\">health</font>. If your opponent kills your <font color=\"gold\">units</font>, they break through that line to your <font color=\"gold\">Defense Tower</font> and then to your <font color=\"gold\">Ancient Tower</font>."
"DCG_Popup_Tutorial_EngageCombatDesc"		"Select the <font color=\"gold\">Turn Token</font> to engage <font color=\"gold\">combat</font> and let's see what happens."
"DCG_Popup_Tutorial_OpposedPositionsTitle"	"Combat Positions"
"DCG_Popup_Tutorial_OpposedPositionsDesc"	"Units usually target the enemy directly across from them in <font color=\"gold\">combat</font>. <font color=\"gold\">Axe</font> killed the <font color=\"gold\">creep</font> in front of him, but the other <font color=\"gold\">creep</font> is facing an <font color=\"gold\">empty combat position</font>. Since there is no <font color=\"gold\">unit</font> in front of the enemy <font color=\"gold\">creep</font> it's targeting your <font color=\"gold\">Defense Tower</font> in the <font color=\"gold\">combat preview</font>."
"DCG_Popup_Tutorial_DamageIndicator2Desc"	"Inspect your <font color=\"gold\">tower</font>'s <font color=\"gold\">damage indicator</font> to see a preview of the damage that the <font color=\"gold\">creep</font> will do to your <font color=\"gold\">Defense Tower</font> in <font color=\"gold\">combat</font>."
"DCG_Popup_Tutorial_SummoningCreepsDesc"	"Let's have <font color=\"gold\">Axe</font> summon a <font color=\"gold\">creep</font> called <font color=\"gold\">'Bronze Legionnaire'</font> and position it to block the enemy <font color=\"gold\">unit</font>."
