"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"皮爾龐特與我時常意見相左，但是他很聰明，知道激怒虛空假面有多危險。我不是很喜歡克拉錫利姆條約，因為操縱時空很好玩啊，但你知道什麼更好玩嗎？就是不讓自己的時間線被抹去。"
"DCG_VO_ogre_bruiser_equip_generic_accessory_01"	"這個很有用。"
"DCG_VO_ogre_bruiser_equip_generic_accessory_02"	"謝謝。"
"DCG_VO_ogre_bruiser_equip_generic_accessory_03"	"我戴著真漂亮。"
"DCG_VO_ogre_bruiser_equip_generic_accessory_04"	"閃閃發光。"
"DCG_VO_ogre_bruiser_equip_generic_accessory_05"	"真好看。"
"DCG_VO_ogre_bruiser_kill_rival_01"	"我要踩死你！"
"DCG_VO_ogre_bruiser_kill_rival_02"	"去死吧！"
"DCG_VO_ogre_bruiser_kill_rival_03"	"我要把你砸爛！"
"DCG_VO_ogre_bruiser_kill_rival_04"	"砸呀！"
"DCG_VO_ogre_bruiser_kill_rival_05"	"哈哈哈哈哈"
"DCG_VO_ogre_bruiser_kill_rival_06"	"真好玩！"
"DCG_VO_ogre_bruiser_kill_rival_07"	"我成功了。"
"DCG_VO_ogre_bruiser_kill_rival_08"	"你這麼快就死了。"
"DCG_VO_ogre_bruiser_kill_rival_09"	"已經死了嗎？"
"DCG_VO_ogre_bruiser_kill_rival_10"	"呸！"
"DCG_VO_ogre_bruiser_use_include_01"	"可以去殺人了。"
"DCG_VO_ogre_bruiser_use_include_02"	"萬事俱備。"
"DCG_VO_ogre_bruiser_use_include_03"	"準備戰鬥。"
"DCG_VO_ogre_bruiser_unique_01"	"怎麼才能再長一顆頭呢？"
"DCG_VO_ogre_bruiser_unique_02"	"你真聰明，法師。"
"DCG_VO_ogre_bruiser_unique_03"	"法師，能幫你打爛敵人的腦袋，我很榮幸。"
"DCG_VO_ogre_bruiser_unique_04"	"古銅軍團是什麼樣的？"
"DCG_VO_ogre_bruiser_unique_05"	"我喜歡你別致的金屬紋身。"
"DCG_VO_ogre_bruiser_unique_06"	"你應該把特蕾絲汀吃掉，自己當指揮官。"
"DCG_VO_ogre_bruiser_unique_07"	"你扔屍體的時候弧線扔得好漂亮。"
"DCG_VO_ogre_bruiser_unique_08"	"你一定要教教我怎麼扔屍體。"
"DCG_VO_ogre_bruiser_unique_09"	"我最喜歡看你扔屍體了。"
"DCG_VO_ogre_bruiser_unique_10"	"看呀，了不起的絕命鬥士來了。"
"DCG_VO_ogre_bruiser_unique_11"	"你以為靠吹牛就能打得過我嗎？"
"DCG_VO_ogre_bruiser_unique_12"	"食人魔只用兩條胳膊就能殺死你，死人！"
"DCG_VO_ogre_bruiser_unique_13"	"我喜歡你的頭髮。"
"DCG_VO_ogre_bruiser_unique_14"	"你很漂亮，聖女。希望你的腦袋不會被人打碎。"
"DCG_VO_ogre_bruiser_unique_15"	"我為聖輝而戰。"
"DCG_VO_ogre_bruiser_unique_16"	"聖輝給了我奮戰的目標！"
"DCG_VO_ogre_bruiser_unique_17"	"謝謝你為我指引道路，普瑞蕾斯。"
"DCG_VO_ogre_bruiser_unique_18"	"我為魔魘而戰。"
"DCG_VO_ogre_bruiser_unique_19"	"魔魘給了我奮戰的目標！"
"DCG_VO_ogre_bruiser_unique_20"	"謝謝妳為我指引道路，卡娜。"
"DCG_VO_ogre_bruiser_healed_01"	"啊……"
"DCG_VO_ogre_bruiser_healed_02"	"很好。"
"DCG_VO_ogre_bruiser_healed_03"	"我還沒出局呢。"
"DCG_VO_ogre_bruiser_healed_04"	"我還撐得住……"
"DCG_VO_ogre_bruiser_healed_05"	"你真是個好人。"
"DCG_VO_ogre_bruiser_taunt_generic_01"	"碾碎他們！"
"DCG_VO_ogre_bruiser_taunt_generic_02"	"拆塔！"
"DCG_VO_ogre_bruiser_taunt_generic_03"	"摧毀遺跡！"
"DCG_VO_ogre_bruiser_taunt_generic_04"	"一個不留！"
"DCG_VO_ogre_bruiser_taunt_generic_05"	"讓他們見識一下我們的力量！"
"DCG_VO_ogre_bruiser_taunt_generic_06"	"全部燒光！"
"DCG_VO_ogre_bruiser_taunt_generic_07"	"砸死他們！"
"DCG_VO_ogre_bruiser_taunt_generic_08"	"我們贏定了！"
"DCG_VO_ogre_bruiser_taunt_generic_09"	"他們攔不住我們！"
"DCG_VO_ogre_bruiser_taunt_generic_10"	"沖啊！"
"DCG_VO_ogre_bruiser_potential_kill_01"	"你落到我手裡了。"
"DCG_VO_ogre_bruiser_potential_kill_02"	"你死定了。"
"DCG_VO_ogre_bruiser_potential_kill_03"	"我要把你的屍體吃掉……"
"DCG_VO_ogre_bruiser_potential_kill_04"	"無路可逃。"
"DCG_VO_ogre_bruiser_potential_kill_05"	"現在你死定了。"
"DCG_VO_ogre_bruiser_potential_save_01"	"哈！"
"DCG_VO_ogre_bruiser_potential_save_02"	"不可能。"
"DCG_VO_ogre_bruiser_potential_save_03"	"我不會死在這裡……"
"DCG_VO_ogre_bruiser_potential_save_04"	"你殺不死我。"
"DCG_VO_ogre_bruiser_potential_save_05"	"你打不過我的。"
"DCG_VO_ogre_bruiser_permanent_armor_01"	"我的皮很厚的。"
"DCG_VO_ogre_bruiser_permanent_armor_02"	"這下看誰還敢捅我。"
"DCG_VO_ogre_bruiser_permanent_armor_03"	"他們傷不到我了。"
"DCG_VO_ogre_bruiser_permanent_armor_04"	"我不用擔心那些小兵了……"
"DCG_VO_ogre_bruiser_permanent_armor_05"	"我生來就是為了戰鬥。"
"DCG_VO_ogre_bruiser_permanent_attack_01"	"我更強大了。"
"DCG_VO_ogre_bruiser_permanent_attack_02"	"沒有人比我更強了。"
"DCG_VO_ogre_bruiser_permanent_attack_03"	"比以前更強。"
"DCG_VO_ogre_bruiser_permanent_attack_04"	"我感到充滿力量。"
"DCG_VO_ogre_bruiser_permanent_attack_05"	"力量！"
"DCG_VO_ogre_bruiser_permanent_health_01"	"想殺我沒那麼容易。"
"DCG_VO_ogre_bruiser_permanent_health_02"	"我可耐打了。"
"DCG_VO_ogre_bruiser_permanent_health_03"	"我不會倒下！"
"DCG_VO_ogre_bruiser_permanent_health_04"	"誰也殺不了我！"
"DCG_VO_ogre_bruiser_permanent_health_05"	"保持健康很重要，這樣才能殺更多人。"
"DCG_VO_ogre_bruiser_cast_spell_01"	"我也懂一點食人魔的魔法……"
"DCG_VO_ogre_bruiser_cast_spell_02"	"把它推倒！"
"DCG_VO_ogre_bruiser_cast_spell_03"	"你不會吧！"
"DCG_VO_ogre_bruiser_cast_spell_04"	"我看到他們了！"
"DCG_VO_ogre_bruiser_cast_spell_05"	"他們別想過我這關！"
"DCG_VO_ogre_bruiser_cast_spell_06"	"你以為這很容易嗎？"
"DCG_VO_ogre_bruiser_cast_spell_07"	"我有很多朋友……"
"DCG_VO_ogre_bruiser_cast_spell_08"	"希望這會有用……"
"DCG_VO_ogre_bruiser_cast_spell_09"	"這下有意思了……"
"DCG_VO_ogre_bruiser_cast_spell_10"	"好吧，要出事了。"
"DCG_VO_ogre_bruiser_buff_ally_01"	"我來教你怎麼打架……"
"DCG_VO_ogre_bruiser_buff_ally_02"	"現在你是我的朋友了。"
"DCG_VO_ogre_bruiser_buff_ally_03"	"好朋友在殺人時應該互相幫助。"
"DCG_VO_ogre_bruiser_buff_ally_04"	"我罩著你。"
"DCG_VO_ogre_bruiser_buff_ally_05"	"我和你肩並肩。"
"DCG_VO_ogre_bruiser_buff_ally_06"	"我們一定能贏。"
"DCG_VO_ogre_bruiser_buff_ally_07"	"我喜歡拉幫結夥。"
"DCG_VO_ogre_bruiser_buff_ally_08"	"這應該能用得上。"
"DCG_VO_ogre_bruiser_buff_ally_09"	"拿著，朋友。"
"DCG_VO_ogre_bruiser_buff_ally_10"	"出外靠朋友，對吧？"
"DCG_VO_ogre_bruiser_debuff_enemy_01"	"我要打斷你的胳膊和腿……"
"DCG_VO_ogre_bruiser_debuff_enemy_02"	"你要咽氣了……"
"DCG_VO_ogre_bruiser_debuff_enemy_03"	"看你還能撐多久……"
"DCG_VO_ogre_bruiser_debuff_enemy_04"	"來給我解個悶吧，蠢傢伙……"
"DCG_VO_ogre_bruiser_debuff_enemy_05"	"你垂死掙扎的樣子真好笑。"
"DCG_VO_ogre_bruiser_debuff_enemy_06"	"祝你好運。"
"DCG_VO_ogre_bruiser_debuff_enemy_07"	"真可悲。"
"DCG_VO_ogre_bruiser_debuff_enemy_08"	"希望你吃起來的口感比你在戰場上的表現強一些。"
"DCG_VO_ogre_bruiser_debuff_enemy_09"	"你在劫難逃。"
"DCG_VO_ogre_bruiser_debuff_enemy_10"	"我喜歡看你掙扎的樣子……"
"DCG_VO_ogre_bruiser_single_target_damage_01"	"我要把你的胳膊卸下來……"
"DCG_VO_ogre_bruiser_single_target_damage_02"	"我要把你當木棍使。"
"DCG_VO_ogre_bruiser_single_target_damage_03"	"你死定了。"
"DCG_VO_ogre_bruiser_single_target_damage_04"	"沒有我收拾不了的人。"
"DCG_VO_ogre_bruiser_single_target_damage_05"	"我要把你挫骨揚灰。"
"DCG_VO_ogre_bruiser_single_target_damage_06"	"你的屍體就是我的大餐。"
"DCG_VO_ogre_bruiser_single_target_damage_07"	"我是最強的！"
"DCG_VO_ogre_bruiser_single_target_damage_08"	"我要把你的腦袋砸扁。"
"DCG_VO_ogre_bruiser_single_target_damage_09"	"我赤手空拳就能幹掉你！"
"DCG_VO_ogre_bruiser_single_target_damage_10"	"希望你能多少掙扎一下……"
"DCG_VO_ogre_bruiser_multi_damage_small_01"	"你就帶了這麼點人手嗎？"
"DCG_VO_ogre_bruiser_multi_damage_small_02"	"你的軍隊弱爆了。"
"DCG_VO_ogre_bruiser_multi_damage_small_03"	"我要把你們全都砸爛！"
"DCG_VO_ogre_bruiser_multi_damage_small_04"	"這場面不會太好看……"
"DCG_VO_ogre_bruiser_multi_damage_small_05"	"越來越有趣了……"
"DCG_VO_ogre_bruiser_multi_damage_small_06"	"就憑你們幾個可擋不住我……"
"DCG_VO_ogre_bruiser_multi_damage_small_07"	"在酒吧裡打架也比這個厲害……"
"DCG_VO_ogre_bruiser_multi_damage_small_08"	"面對我吧，懦夫們！"
"DCG_VO_ogre_bruiser_multi_damage_small_09"	"用不了多久……"
"DCG_VO_ogre_bruiser_multi_damage_small_10"	"渺小的傢伙……"
"DCG_VO_ogre_bruiser_multi_damage_large_01"	"來啊！"
"DCG_VO_ogre_bruiser_multi_damage_large_02"	"我會把你們都幹掉！"
"DCG_VO_ogre_bruiser_multi_damage_large_03"	"我要殺光你們！"
"DCG_VO_ogre_bruiser_multi_damage_large_04"	"你們將全軍覆沒。"
"DCG_VO_ogre_bruiser_multi_damage_large_05"	"我要把你們都砸爛！"
"DCG_VO_ogre_bruiser_multi_damage_large_06"	"不留活口！"
"DCG_VO_ogre_bruiser_multi_damage_large_07"	"誰也跑不掉！"
"DCG_VO_ogre_bruiser_multi_damage_large_08"	"不留活口！"
"DCG_VO_ogre_bruiser_multi_damage_large_09"	"<i>咆哮</i>"
"DCG_VO_ogre_bruiser_multi_damage_large_10"	"幹一仗吧！"
"DCG_VO_ogre_bruiser_pleased_01"	"比我想得更容易。"
"DCG_VO_ogre_bruiser_pleased_02"	"他們簡直不堪一擊……"
"DCG_VO_ogre_bruiser_pleased_03"	"<i>滿意地歎氣</i>"
"DCG_VO_ogre_bruiser_pleased_04"	"這是一次很好的親密接觸。"
"DCG_VO_ogre_bruiser_pleased_05"	"今天我們都有所收穫。"
"DCG_VO_ogre_bruiser_pleased_06"	"戰鬥能讓我們更團結。"
"DCG_VO_ogre_bruiser_pleased_07"	"我喜歡認識更多人，然後把他們都殺掉。"
"DCG_VO_ogre_bruiser_pleased_08"	"沒有比這更好的了。"
"DCG_VO_ogre_bruiser_pleased_09"	"真高興！"
"DCG_VO_ogre_bruiser_pleased_10"	"我喜歡這個。"
"DCG_VO_ogre_bruiser_concerned_01"	"哦……真糟糕……"
"DCG_VO_ogre_bruiser_concerned_02"	"我覺得不太對勁……"
"DCG_VO_ogre_bruiser_concerned_03"	"這不是我想像的那樣……"
"DCG_VO_ogre_bruiser_concerned_04"	"為什麼我有不祥的預感……"
"DCG_VO_ogre_bruiser_concerned_05"	"我覺得我們要輸了……"
"DCG_VO_ogre_bruiser_concerned_06"	"我們需要新的計畫……"
"DCG_VO_ogre_bruiser_concerned_07"	"我們的辦法都不奏效……"
"DCG_VO_ogre_bruiser_concerned_08"	"他們人太多了……"
"DCG_VO_ogre_bruiser_concerned_09"	"人太多了，我只能拿兩塊石頭啊。"
"DCG_VO_ogre_bruiser_concerned_10"	"我需要一個新計畫……"
"DCG_VO_ogre_bruiser_angry_01"	"有種來試試！"
"DCG_VO_ogre_bruiser_angry_02"	"有種的話就面對我吧！"
"DCG_VO_ogre_bruiser_angry_03"	"你不該惹毛我的。"
"DCG_VO_ogre_bruiser_angry_04"	"你犯了一個很蠢、很蠢的錯誤。"
"DCG_VO_ogre_bruiser_angry_05"	"我要打碎你這顆愚蠢的腦袋。"
"DCG_VO_ogre_bruiser_angry_06"	"我打算用你的骨頭剔牙……"
"DCG_VO_ogre_bruiser_angry_07"	"你們誰也攔不住我！"
"DCG_VO_ogre_bruiser_angry_08"	"一起上吧！"
"DCG_VO_ogre_bruiser_angry_09"	"我會證明我才是最強的！"
"DCG_VO_ogre_bruiser_angry_10"	"你敢？！"
"DCG_VO_ogre_bruiser_arrogant_01"	"我以為你是強勁的對手！"
"DCG_VO_ogre_bruiser_arrogant_02"	"沒有誰比食人魔更強大！"
"DCG_VO_ogre_bruiser_arrogant_03"	"沒人能阻擋我！"
"DCG_VO_ogre_bruiser_arrogant_04"	"像我這麼聰明的人，根本不需要計畫……"
"DCG_VO_ogre_bruiser_arrogant_05"	"只有手無縛雞之力的人才需要計畫……"
"DCG_VO_ogre_bruiser_arrogant_06"	"等我發現有用石頭解決不了的問題，再去想計畫吧。"
"DCG_VO_ogre_bruiser_arrogant_07"	"我從不投降……"
"DCG_VO_ogre_bruiser_arrogant_08"	"只有懦夫才會怕死……"
"DCG_VO_ogre_bruiser_arrogant_09"	"我以為這會是勢均力敵的一戰……"
"DCG_VO_ogre_bruiser_arrogant_10"	"我還以為你會很能打呢……"
"DCG_VO_ogre_bruiser_enigmatic_01"	"我的事不必操心。"
"DCG_VO_ogre_bruiser_enigmatic_02"	"我將不惜一切代價。"
"DCG_VO_ogre_bruiser_enigmatic_03"	"沒有什麼是我砸不爛的。"
"DCG_VO_ogre_bruiser_enigmatic_04"	"沒有什麼是我毀不掉的。"
"DCG_VO_ogre_bruiser_enigmatic_05"	"我會撕爛他們的防禦。"
"DCG_VO_ogre_bruiser_enigmatic_06"	"斯拉克喜歡我，這就夠了。"
"DCG_VO_ogre_bruiser_enigmatic_07"	"我不怕面對任何人……"
"DCG_VO_ogre_bruiser_enigmatic_08"	"我誰也不怕。"
"DCG_VO_ogre_bruiser_enigmatic_09"	"真奇怪……"
"DCG_VO_ogre_bruiser_enigmatic_10"	"不知道這是幹什麼用的……"
"DCG_VO_ogre_bruiser_death_01"	"<i>尖叫</i>"
"DCG_VO_prowler_shaman_intro"	"馬格努斯把那個孩子交給我們，要我們保護她的安全。他沒有解釋原因，不過也不需要。我早已明白她的身份，也知道她未來會成為怎樣的人。"
"DCG_VO_prowler_shaman_equip_generic_weapon_01"	"不管有多危險，我不躲也不逃。"
"DCG_VO_prowler_shaman_equip_generic_weapon_02"	"我的武器準備好了。"
"DCG_VO_prowler_shaman_equip_generic_weapon_03"	"我為戰而來。"
"DCG_VO_prowler_shaman_equip_generic_weapon_04"	"我會保護所有人。"
"DCG_VO_prowler_shaman_equip_generic_weapon_05"	"潛行者會保護你們。"
"DCG_VO_prowler_shaman_equip_generic_armor_01"	"我與盟友並肩作戰。"
"DCG_VO_prowler_shaman_equip_generic_armor_02"	"我不會逃避危險。"
"DCG_VO_prowler_shaman_equip_generic_armor_03"	"敵人沖我來的，但我已做好準備。"
"DCG_VO_prowler_shaman_equip_generic_armor_04"	"我不會躲避戰鬥。"
"DCG_VO_prowler_shaman_equip_generic_armor_05"	"我做好了萬全的準備。"
"DCG_VO_prowler_shaman_equip_generic_accessory_01"	"這會派上用場的。"
"DCG_VO_prowler_shaman_equip_generic_accessory_02"	"這應該可以扭轉戰局。"
"DCG_VO_prowler_shaman_equip_generic_accessory_03"	"這正是我需要的。"
"DCG_VO_prowler_shaman_equip_generic_accessory_04"	"完美。"
"DCG_VO_prowler_shaman_equip_generic_accessory_05"	"時機剛剛好。"
"DCG_VO_prowler_shaman_kill_rival_01"	"離開這裡。"
"DCG_VO_prowler_shaman_kill_rival_02"	"你不屬於這裡。"
"DCG_VO_prowler_shaman_kill_rival_03"	"這裡是我的森林。"
"DCG_VO_prowler_shaman_kill_rival_04"	"潛行者無所畏懼……"
"DCG_VO_prowler_shaman_kill_rival_05"	"還有誰？"
"DCG_VO_prowler_shaman_kill_rival_06"	"打得不錯。"
"DCG_VO_prowler_shaman_kill_rival_07"	"你很強，但我更強。"
"DCG_VO_prowler_shaman_kill_rival_08"	"你沒有絲毫機會。"
"DCG_VO_prowler_shaman_kill_rival_09"	"你的努力值得讚賞。"
"DCG_VO_prowler_shaman_kill_rival_10"	"你算不上戰士。"
"DCG_VO_prowler_shaman_unique_01"	"老朋友，能與你並肩作戰真好。"
"DCG_VO_prowler_shaman_unique_02"	"馬格努斯，依蕾莎在我們的照顧下很安全。"
"DCG_VO_prowler_shaman_unique_03"	"信任我們是明智的選擇……"
"DCG_VO_prowler_shaman_unique_04"	"雖然你總是炫耀個不停，魯服崔倫，但很高興我們是同一陣營的。"
"DCG_VO_prowler_shaman_unique_05"	"樹精，沒人能傷我們分毫。"
"DCG_VO_prowler_shaman_unique_06"	"站到我身邊來，馬格努斯。"
"DCG_VO_prowler_shaman_unique_07"	"很高興再見到你，魅惑魔女，你還是那麼光彩動人。"
"DCG_VO_prowler_shaman_unique_08"	"我的盟友將得到保護。"
"DCG_VO_prowler_shaman_unique_09"	"我厭倦了流血。"
"DCG_VO_prowler_shaman_unique_10"	"大自然會幫助我們。"
"DCG_VO_prowler_shaman_unique_11"	"這裡不歡迎半人馬……"
"DCG_VO_prowler_shaman_unique_12"	"你的「神聖狩獵」就是一場鬧劇……"
"DCG_VO_prowler_shaman_unique_13"	"我不允許你獵殺這片森林的居民。"
"DCG_VO_prowler_shaman_unique_14"	"待在我身邊，孩子，我會保護你的。"
"DCG_VO_prowler_shaman_unique_15"	"別讓瑞克斯帶你步入死亡。"
"DCG_VO_prowler_shaman_unique_16"	"孩子，有信仰是好事，但不要輕易拋棄生命。"
"DCG_VO_prowler_shaman_unique_17"	"瑞克斯，你想要什麼？"
"DCG_VO_prowler_shaman_unique_18"	"我能為叛軍做些什麼呢？"
"DCG_VO_prowler_shaman_unique_19"	"你做出了正確的選擇，瑞克斯。"
"DCG_VO_prowler_shaman_unique_20"	"叛軍還好嗎，瑞克斯？"
"DCG_VO_prowler_shaman_healed_01"	"啊……"
"DCG_VO_prowler_shaman_healed_02"	"謝謝。"
"DCG_VO_prowler_shaman_healed_03"	"謝謝你。"
"DCG_VO_prowler_shaman_healed_04"	"無可挑剔的時機……"
"DCG_VO_prowler_shaman_healed_05"	"看來今天輪到我需要別人的援手了……"
"DCG_VO_prowler_shaman_taunt_generic_01"	"勝利就在面前！"
"DCG_VO_prowler_shaman_taunt_generic_02"	"摧毀遺跡！"
"DCG_VO_prowler_shaman_taunt_generic_03"	"他們的遺跡將會倒下！"
"DCG_VO_prowler_shaman_taunt_generic_04"	"我們不會失敗！"
"DCG_VO_prowler_shaman_taunt_generic_05"	"該做個了結了！"
"DCG_VO_prowler_shaman_taunt_generic_06"	"我們可以贏的！"
"DCG_VO_prowler_shaman_taunt_generic_07"	"森林很快就安全了！"
"DCG_VO_prowler_shaman_taunt_generic_08"	"我們會攜手贏得勝利！"
"DCG_VO_prowler_shaman_taunt_generic_09"	"堅持到底，勝利將屬於我們！"
"DCG_VO_prowler_shaman_taunt_generic_10"	"我們不容違抗！"
"DCG_VO_prowler_shaman_potential_kill_01"	"我抓到你了。"
"DCG_VO_prowler_shaman_potential_kill_02"	"沒人能躲得了我。"
"DCG_VO_prowler_shaman_potential_kill_03"	"你打不過我的。"
"DCG_VO_prowler_shaman_potential_kill_04"	"你的頑強抵抗有兩下子，但還差得遠了。"
"DCG_VO_prowler_shaman_potential_kill_05"	"勇氣可嘉，依舊是徒勞無功。"
"DCG_VO_prowler_shaman_potential_save_01"	"你沒有自己想的那麼聰明。"
"DCG_VO_prowler_shaman_potential_save_02"	"值得鼓勵。"
"DCG_VO_prowler_shaman_potential_save_03"	"我還不該死。"
"DCG_VO_prowler_shaman_potential_save_04"	"我差點就開始擔心了……"
"DCG_VO_prowler_shaman_potential_save_05"	"真是好險。"
"DCG_VO_prowler_shaman_permanent_armor_01"	"我不會讓我的族人失望。"
"DCG_VO_prowler_shaman_permanent_armor_02"	"我會得到保護。"
"DCG_VO_prowler_shaman_permanent_armor_03"	"要動我沒那麼容易。"
"DCG_VO_prowler_shaman_permanent_armor_04"	"簡單的強化，但來得很及時。"
"DCG_VO_prowler_shaman_permanent_armor_05"	"我不能死……"
"DCG_VO_prowler_shaman_permanent_attack_01"	"我更加強壯了。"
"DCG_VO_prowler_shaman_permanent_attack_02"	"我會把敵人撕成碎片。"
"DCG_VO_prowler_shaman_permanent_attack_03"	"讓我的敵人沖著我來。"
"DCG_VO_prowler_shaman_permanent_attack_04"	"我要讓他們看看潛行者的力量。"
"DCG_VO_prowler_shaman_permanent_attack_05"	"我已做好戰鬥準備。"
"DCG_VO_prowler_shaman_permanent_health_01"	"讓他們儘管來殺我吧。"
"DCG_VO_prowler_shaman_permanent_health_02"	"我不會淪為獵物。"
"DCG_VO_prowler_shaman_permanent_health_03"	"我能承受一切。"
"DCG_VO_prowler_shaman_permanent_health_04"	"適者生存。"
"DCG_VO_prowler_shaman_permanent_health_05"	"我的防禦萬無一失。"
"DCG_VO_prowler_shaman_cast_spell_01"	"為了照顧族人，我什麼事都願意做。"
"DCG_VO_prowler_shaman_cast_spell_02"	"叢林賜予了我力量……"
"DCG_VO_prowler_shaman_cast_spell_03"	"論才智，我永遠勝你一籌。"
"DCG_VO_prowler_shaman_cast_spell_04"	"我比你想的要聰明……"
"DCG_VO_prowler_shaman_cast_spell_05"	"這裡是我說了算。"
"DCG_VO_prowler_shaman_cast_spell_06"	"潛行者的力量舉世無雙！"
"DCG_VO_prowler_shaman_cast_spell_07"	"想跟我們打，你還早得很呢……"
"DCG_VO_prowler_shaman_cast_spell_08"	"為達目的，我不擇手段。"
"DCG_VO_prowler_shaman_cast_spell_09"	"還有希望。"
"DCG_VO_prowler_shaman_cast_spell_10"	"絕不放棄。"
"DCG_VO_prowler_shaman_buff_ally_01"	"要堅強。"
"DCG_VO_prowler_shaman_buff_ally_02"	"我會保護所有人。"
"DCG_VO_prowler_shaman_buff_ally_03"	"我會照顧你的。"
"DCG_VO_prowler_shaman_buff_ally_04"	"相信潛行者。"
"DCG_VO_prowler_shaman_buff_ally_05"	"我們現在安全了。"
"DCG_VO_prowler_shaman_buff_ally_06"	"無論勝敗，我們一同面對……"
"DCG_VO_prowler_shaman_buff_ally_07"	"我們需要相互照應。"
"DCG_VO_prowler_shaman_buff_ally_08"	"換作你也會這麼做的……"
"DCG_VO_prowler_shaman_buff_ally_09"	"團結就是力量。"
"DCG_VO_prowler_shaman_buff_ally_10"	"潛行者來幫忙了。"
"DCG_VO_prowler_shaman_debuff_enemy_01"	"懦夫！"
"DCG_VO_prowler_shaman_debuff_enemy_02"	"你們該逃命去的。"
"DCG_VO_prowler_shaman_debuff_enemy_03"	"你準備得不夠充分。"
"DCG_VO_prowler_shaman_debuff_enemy_04"	"這裡不歡迎你。"
"DCG_VO_prowler_shaman_debuff_enemy_05"	"這裡不是你該來的地方。"
"DCG_VO_prowler_shaman_debuff_enemy_06"	"你的身體會背叛你。"
"DCG_VO_prowler_shaman_debuff_enemy_07"	"該拿出真本領了。"
"DCG_VO_prowler_shaman_debuff_enemy_08"	"你的力量不足以擊敗我們……"
"DCG_VO_prowler_shaman_debuff_enemy_09"	"你微不足道……"
"DCG_VO_prowler_shaman_debuff_enemy_10"	"你就要倒下了。"
"DCG_VO_prowler_shaman_single_target_damage_01"	"我會打倒你。"
"DCG_VO_prowler_shaman_single_target_damage_02"	"你沒有機會打敗我的。"
"DCG_VO_prowler_shaman_single_target_damage_03"	"我來解決這個傢伙。"
"DCG_VO_prowler_shaman_single_target_damage_04"	"讓我來對付他們。"
"DCG_VO_prowler_shaman_single_target_damage_05"	"我能搞定。"
"DCG_VO_prowler_shaman_single_target_damage_06"	"我不害怕戰鬥。"
"DCG_VO_prowler_shaman_single_target_damage_07"	"跟我打吧！"
"DCG_VO_prowler_shaman_single_target_damage_08"	"我將以身作則……"
"DCG_VO_prowler_shaman_single_target_damage_09"	"戰鬥是我擅長的領域。"
