"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"Я во многом не согласна с Пьерпонтом, но он весьма прозорливо решил, что злить Безликого опасно. Класзуремское соглашение меня совсем не радует, ведь хрономантия — вещь хорошая. Но знаете, что ещё хорошо? Когда время в твоём мире никто не уничтожил."
"DCG_VO_ogre_bruiser_potential_save_02"	"Нет уж."
"DCG_VO_ogre_bruiser_potential_save_03"	"Я ещё поживу!"
"DCG_VO_ogre_bruiser_potential_save_04"	"Вы меня не убьёте."
"DCG_VO_ogre_bruiser_potential_save_05"	"Вы не лучше меня."
"DCG_VO_ogre_bruiser_permanent_armor_01"	"У меня крепкая шкура."
"DCG_VO_ogre_bruiser_permanent_armor_02"	"Пускай попробуют меня проткнуть."
"DCG_VO_ogre_bruiser_permanent_armor_03"	"Мне не будет больно."
"DCG_VO_ogre_bruiser_permanent_armor_04"	"Жалкие крипы меня не волнуют..."
"DCG_VO_ogre_bruiser_permanent_armor_05"	"Я рождён для войны."
"DCG_VO_ogre_bruiser_permanent_attack_01"	"Я стал сильней."
"DCG_VO_ogre_bruiser_permanent_attack_02"	"Нет никого сильнее меня."
"DCG_VO_ogre_bruiser_permanent_attack_03"	"Я стал ещё сильнее."
"DCG_VO_ogre_bruiser_permanent_attack_04"	"Чувствую силу."
"DCG_VO_ogre_bruiser_permanent_attack_05"	"Какая сила!"
"DCG_VO_ogre_bruiser_permanent_health_01"	"Меня не так просто убить."
"DCG_VO_ogre_bruiser_permanent_health_02"	"Буду стоять до конца."
"DCG_VO_ogre_bruiser_permanent_health_03"	"Я не погибну!"
"DCG_VO_ogre_bruiser_permanent_health_04"	"Никто меня не убьёт."
"DCG_VO_ogre_bruiser_permanent_health_05"	"Буду здоровым — угрохаю больше народу."
"DCG_VO_ogre_bruiser_cast_spell_01"	"Я знаю кой-какую магию огров..."
"DCG_VO_ogre_bruiser_cast_spell_02"	"Разнесём всё!"
"DCG_VO_ogre_bruiser_cast_spell_03"	"Не вздумай!"
"DCG_VO_ogre_bruiser_cast_spell_04"	"Я их вижу!"
"DCG_VO_ogre_bruiser_cast_spell_05"	"Меня им не обойти."
"DCG_VO_ogre_bruiser_cast_spell_06"	"Думаешь, будет просто?"
"DCG_VO_ogre_bruiser_cast_spell_07"	"У меня много друзей..."
"DCG_VO_ogre_bruiser_cast_spell_08"	"Надеюсь, получится..."
"DCG_VO_ogre_bruiser_cast_spell_09"	"Будет интересно..."
"DCG_VO_ogre_bruiser_cast_spell_10"	"Так, сейчас чё-то будет."
"DCG_VO_ogre_bruiser_buff_ally_01"	"Давай покажу, как надо драться..."
"DCG_VO_ogre_bruiser_buff_ally_02"	"Теперь мы друзья."
"DCG_VO_ogre_bruiser_buff_ally_03"	"Друзья помогают друзьям убивать."
"DCG_VO_ogre_bruiser_buff_ally_04"	"Я тебя прикрою. "
"DCG_VO_ogre_bruiser_buff_ally_05"	"Я с тобой."
"DCG_VO_ogre_bruiser_buff_ally_06"	"Вместе мы победим!"
"DCG_VO_ogre_bruiser_buff_ally_07"	"Люблю помогать товарищам."
"DCG_VO_ogre_bruiser_buff_ally_08"	"Это поможет."
"DCG_VO_ogre_bruiser_buff_ally_09"	"Это тебе, друг."
"DCG_VO_ogre_bruiser_buff_ally_10"	"Для того друзья и нужны."
"DCG_VO_ogre_bruiser_debuff_enemy_01"	"Я тебя переломаю..."
"DCG_VO_ogre_bruiser_debuff_enemy_02"	"Ты долго не протянешь."
"DCG_VO_ogre_bruiser_debuff_enemy_03"	"Посмотрим, на сколько тебя хватит..."
"DCG_VO_ogre_bruiser_debuff_enemy_04"	"Развлеки меня, глупая тварь..."
"DCG_VO_ogre_bruiser_debuff_enemy_05"	"Ты пытаешься не сдохнуть. Смешно!"
"DCG_VO_ogre_bruiser_debuff_enemy_06"	"Удачи."
"DCG_VO_ogre_bruiser_debuff_enemy_07"	"Жалкое зрелище."
"DCG_VO_ogre_bruiser_debuff_enemy_08"	"У меня в животе тебе будет лучше, чем в драке."
"DCG_VO_ogre_bruiser_debuff_enemy_09"	"Ты не выживешь."
"DCG_VO_ogre_bruiser_debuff_enemy_10"	"Твои мучения меня радуют..."
"DCG_VO_ogre_bruiser_single_target_damage_01"	"Я оторву тебе руки..."
"DCG_VO_ogre_bruiser_single_target_damage_02"	"Из тебя выйдет неплохая дубина."
"DCG_VO_ogre_bruiser_single_target_damage_03"	"Ты покойник."
"DCG_VO_ogre_bruiser_single_target_damage_04"	"Я убью кого угодно."
"DCG_VO_ogre_bruiser_single_target_damage_05"	"Я сотру твои кости в порошок."
"DCG_VO_ogre_bruiser_single_target_damage_06"	"Я из тебя чё-нибудь сготовлю."
"DCG_VO_ogre_bruiser_single_target_damage_07"	"Я сильнее всех!"
"DCG_VO_ogre_bruiser_single_target_damage_08"	"Я раскрошу твой череп."
"DCG_VO_ogre_bruiser_single_target_damage_09"	"Я тебя убью голыми руками!"
"DCG_VO_ogre_bruiser_single_target_damage_10"	"Надеюсь, ты умеешь драться..."
"DCG_VO_ogre_bruiser_multi_damage_small_01"	"И это всё, что вы можете?"
"DCG_VO_ogre_bruiser_multi_damage_small_02"	"До чего у вас жалкая армия."
"DCG_VO_ogre_bruiser_multi_damage_small_03"	"Я вас всех задавлю!"
"DCG_VO_ogre_bruiser_multi_damage_small_04"	"Будет много крови."
"DCG_VO_ogre_bruiser_multi_damage_small_05"	"Сейчас начнётся самое интересное..."
"DCG_VO_ogre_bruiser_multi_damage_small_06"	"Чтобы остановить меня, вас одних не хватит..."
"DCG_VO_ogre_bruiser_multi_damage_small_07"	"В тавернах бывали драки посерьёзнее..."
"DCG_VO_ogre_bruiser_multi_damage_small_08"	"Деритесь, трусы!"
"DCG_VO_ogre_bruiser_multi_damage_small_09"	"Битва будет недолгой..."
"DCG_VO_ogre_bruiser_multi_damage_small_10"	"Жалкие крипы..."
"DCG_VO_ogre_bruiser_multi_damage_large_01"	"Кто на меня?"
"DCG_VO_ogre_bruiser_multi_damage_large_02"	"Со всеми справлюсь!"
"DCG_VO_ogre_bruiser_multi_damage_large_03"	"Всех убью!"
"DCG_VO_ogre_bruiser_multi_damage_large_04"	"Вы все умрёте."
"DCG_VO_ogre_bruiser_multi_damage_large_05"	"Я вас всех перебью!"
"DCG_VO_ogre_bruiser_multi_damage_large_06"	"Пленных не брать!"
"DCG_VO_ogre_bruiser_multi_damage_large_07"	"Никто не уйдёт!"
"DCG_VO_ogre_bruiser_multi_damage_large_08"	"Никому не выжить!"
"DCG_VO_ogre_bruiser_multi_damage_large_09"	"<i>(рычит)</i>"
"DCG_VO_ogre_bruiser_multi_damage_large_10"	"ДАВАЙТЕ ДРАТЬСЯ!"
"DCG_VO_ogre_bruiser_pleased_01"	"Проще, чем я думал."
"DCG_VO_ogre_bruiser_pleased_02"	"Мы их взяли да растоптали..."
"DCG_VO_ogre_bruiser_pleased_03"	"<i>(довольно вздыхает)</i>"
"DCG_VO_ogre_bruiser_pleased_04"	"Теперь мы не просто бойцы, а соратники."
"DCG_VO_ogre_bruiser_pleased_05"	"Думаю, сегодня мы все чему-то научились."
"DCG_VO_ogre_bruiser_pleased_06"	"Битва очень сближает."
"DCG_VO_ogre_bruiser_pleased_07"	"Обожаю заводить новых знакомых и убивать их."
"DCG_VO_ogre_bruiser_pleased_08"	"Лучше не бывает."
"DCG_VO_ogre_bruiser_pleased_09"	"Радостно!"
"DCG_VO_ogre_bruiser_pleased_10"	"Нравится."
"DCG_VO_ogre_bruiser_concerned_01"	"Ох... Плохо дело..."
"DCG_VO_ogre_bruiser_concerned_02"	"Не нравится мне это..."
"DCG_VO_ogre_bruiser_concerned_03"	"Всё получилось не так, как я думал..."
"DCG_VO_ogre_bruiser_concerned_04"	"У меня такое чувство, что меня сейчас убьют..."
"DCG_VO_ogre_bruiser_concerned_05"	"Непохоже, что мы побеждаем..."
"DCG_VO_ogre_bruiser_concerned_06"	"Нам нужен новый план..."
"DCG_VO_ogre_bruiser_concerned_07"	"Ничего у нас не выходит..."
"DCG_VO_ogre_bruiser_concerned_08"	"Многовато их тут..."
"DCG_VO_ogre_bruiser_concerned_09"	"Такая толпа... Мне даже двух камней на всех не хватит."
"DCG_VO_ogre_bruiser_concerned_10"	"Мне нужен новый план..."
"DCG_VO_ogre_bruiser_angry_01"	"Драться давай!"
"DCG_VO_ogre_bruiser_angry_02"	"Сразись со мной, если не боишься!"
"DCG_VO_ogre_bruiser_angry_03"	"Не беси меня."
"DCG_VO_ogre_bruiser_angry_04"	"Какая глупая, глупая ошибка."
"DCG_VO_ogre_bruiser_angry_05"	"Я проломлю твой пустой череп."
"DCG_VO_ogre_bruiser_angry_06"	"Поковыряюсь в зубах твоими костями..."
"DCG_VO_ogre_bruiser_angry_07"	"Никто меня не остановит!"
"DCG_VO_ogre_bruiser_angry_08"	"Я сражусь со всеми!"
"DCG_VO_ogre_bruiser_angry_09"	"Я докажу, что я самый сильный!"
"DCG_VO_ogre_bruiser_angry_10"	"Как ты смеешь?!"
"DCG_VO_ogre_bruiser_arrogant_01"	"Я думал, всё будет всерьёз."
"DCG_VO_ogre_bruiser_arrogant_02"	"Нет никого сильнее огра!"
"DCG_VO_ogre_bruiser_arrogant_03"	"Никто меня не остановит!"
"DCG_VO_ogre_bruiser_arrogant_04"	"С таким умом мне никакой план не нужен..."
"DCG_VO_ogre_bruiser_arrogant_05"	"Пускай заранее думают те, кто не может лошади ногу оторвать..."
"DCG_VO_ogre_bruiser_arrogant_06"	"Буду думать наперёд, когда не смогу решить вопрос камнем."
"DCG_VO_ogre_bruiser_arrogant_07"	"Я никогда не сдамся..."
"DCG_VO_ogre_bruiser_arrogant_08"	"Только трусы боятся смерти..."
"DCG_VO_ogre_bruiser_arrogant_09"	"Я думал, это будет настоящий бой..."
"DCG_VO_ogre_bruiser_arrogant_10"	"Я думал, ты дерёшься лучше..."
"DCG_VO_ogre_bruiser_enigmatic_01"	"Сделаю всё, что должен."
"DCG_VO_ogre_bruiser_enigmatic_02"	"Сделаю всё, что нужно."
"DCG_VO_ogre_bruiser_enigmatic_03"	"Разломаю что угодно."
"DCG_VO_ogre_bruiser_enigmatic_04"	"Уничтожу что угодно."
"DCG_VO_ogre_bruiser_enigmatic_05"	"Я разорву их оборону."
"DCG_VO_ogre_bruiser_enigmatic_06"	"Работяга не тупой!"
"DCG_VO_ogre_bruiser_enigmatic_07"	"Буду драться с кем угодно..."
"DCG_VO_ogre_bruiser_enigmatic_08"	"Никого не боюсь."
"DCG_VO_ogre_bruiser_enigmatic_09"	"Странно..."
"DCG_VO_ogre_bruiser_enigmatic_10"	"А что делает эта штука..."
"DCG_VO_ogre_bruiser_death_01"	"<i>(кричит)</i>"
"DCG_VO_prowler_shaman_intro"	"Магнус привёл нам это дитя и велел оберегать его. Он не сказал зачем, но в этом не было нужды. Я знал, кто эта девочка и кем она может стать."
"DCG_VO_prowler_shaman_equip_generic_weapon_01"	"Я встречу опасность лицом к лицу."
"DCG_VO_prowler_shaman_equip_generic_weapon_02"	"Держу оружие наготове."
"DCG_VO_prowler_shaman_equip_generic_weapon_03"	"Я здесь, чтобы сражаться."
"DCG_VO_prowler_shaman_equip_generic_weapon_04"	"Никого не дам в обиду."
"DCG_VO_prowler_shaman_equip_generic_weapon_05"	"Скитальцы защищают."
"DCG_VO_prowler_shaman_equip_generic_armor_01"	"Не подведу союзников."
"DCG_VO_prowler_shaman_equip_generic_armor_02"	"Я не бегу от опасностей."
"DCG_VO_prowler_shaman_equip_generic_armor_03"	"Враги уже в пути, но я наготове."
"DCG_VO_prowler_shaman_equip_generic_armor_04"	"Мне незачем избегать битвы."
"DCG_VO_prowler_shaman_equip_generic_armor_05"	"Я готов ко всему."
"DCG_VO_prowler_shaman_equip_generic_accessory_01"	"Мне это пригодится."
"DCG_VO_prowler_shaman_equip_generic_accessory_02"	"Поможет в схватке."
"DCG_VO_prowler_shaman_equip_generic_accessory_03"	"Как раз то, что нужно."
"DCG_VO_prowler_shaman_equip_generic_accessory_04"	"Идеально."
"DCG_VO_prowler_shaman_equip_generic_accessory_05"	"Этого я и ждал."
"DCG_VO_prowler_shaman_kill_rival_01"	"Прочь отсюда."
"DCG_VO_prowler_shaman_kill_rival_02"	"Тебе здесь не место."
"DCG_VO_prowler_shaman_kill_rival_03"	"Это мой лес."
"DCG_VO_prowler_shaman_kill_rival_04"	"Скитальцы ничего не страшатся..."
"DCG_VO_prowler_shaman_kill_rival_05"	"Кто следующий?"
"DCG_VO_prowler_shaman_kill_rival_06"	"Достойный бой."
"DCG_VO_prowler_shaman_kill_rival_07"	"В тебе есть сила. Но я сильней."
"DCG_VO_prowler_shaman_kill_rival_08"	"Зря ты надеешься выжить."
"DCG_VO_prowler_shaman_kill_rival_09"	"Достойная попытка."
"DCG_VO_prowler_shaman_kill_rival_10"	"Ты никудышный воин."
"DCG_VO_prowler_shaman_unique_01"	"Рад сражаться бок о бок с тобой, дружище."
"DCG_VO_prowler_shaman_unique_02"	"С нами Илекса в безопасности, Магнус."
"DCG_VO_prowler_shaman_unique_03"	"Ты поступил мудро, доверившись нам..."
"DCG_VO_prowler_shaman_unique_04"	"Твоё бахвальство мне не по душе, Руфтреллен, но я рад, что ты на моей стороне."
"DCG_VO_prowler_shaman_unique_05"	"Мимо нас с тобой никто не пройдёт, Энт."
"DCG_VO_prowler_shaman_unique_06"	"Держись меня, Магнус."
"DCG_VO_prowler_shaman_unique_07"	"Рад видеть тебя вновь, Чаровница. Ты всё такая же лучезарная."
"DCG_VO_prowler_shaman_unique_08"	"Мои союзники под защитой."
"DCG_VO_prowler_shaman_unique_09"	"Как мне надоело кровопролитие."
"DCG_VO_prowler_shaman_unique_10"	"Природа нам поможет."
"DCG_VO_prowler_shaman_unique_11"	"Кентаврам здесь не рады..."
"DCG_VO_prowler_shaman_unique_12"	"Ваша «священная охота» — просто посмешище..."
"DCG_VO_prowler_shaman_unique_13"	"Я не позволю вам охотиться на обитателей этого леса."
"DCG_VO_prowler_shaman_unique_14"	"Держись меня, дитя. Я защищу тебя."
"DCG_VO_prowler_shaman_unique_15"	"Будь осторожна, не то Рикс тебя погубит."
"DCG_VO_prowler_shaman_unique_16"	"Убеждения — это хорошо, но не рискуй своей жизнью, дитя."
"DCG_VO_prowler_shaman_unique_17"	"Что тебе нужно, Рикс?"
"DCG_VO_prowler_shaman_unique_18"	"Чем я могу помочь повстанцам?"
"DCG_VO_prowler_shaman_unique_19"	"Ты сделал правильный выбор, Рикс."
"DCG_VO_prowler_shaman_unique_20"	"Как идёт восстание, Рикс?"
"DCG_VO_prowler_shaman_healed_01"	"Ах..."
"DCG_VO_prowler_shaman_healed_02"	"Спасибо."
"DCG_VO_prowler_shaman_healed_03"	"Благодарю. "
"DCG_VO_prowler_shaman_healed_04"	"Ты как раз вовремя..."
"DCG_VO_prowler_shaman_healed_05"	"Похоже, сегодня спасать надо было меня..."
"DCG_VO_prowler_shaman_taunt_generic_01"	"Победа близка!"
"DCG_VO_prowler_shaman_taunt_generic_02"	"Уничтожим Древнего!"
"DCG_VO_prowler_shaman_taunt_generic_03"	"Их Древний падёт!"
"DCG_VO_prowler_shaman_taunt_generic_04"	"Мы не проиграем!"
"DCG_VO_prowler_shaman_taunt_generic_05"	"Пора заканчивать!"
"DCG_VO_prowler_shaman_taunt_generic_06"	"Мы победим в этой войне!"
"DCG_VO_prowler_shaman_taunt_generic_07"	"Скоро лес будет в безопасности!"
"DCG_VO_prowler_shaman_taunt_generic_08"	"Вместе мы победим!"
"DCG_VO_prowler_shaman_taunt_generic_09"	"Держитесь до конца, и победа за нами!"
"DCG_VO_prowler_shaman_taunt_generic_10"	"Нас ничто не удержит!"
"DCG_VO_prowler_shaman_potential_kill_01"	"Теперь не уйдёшь."
"DCG_VO_prowler_shaman_potential_kill_02"	"От меня не убежать."
"DCG_VO_prowler_shaman_potential_kill_03"	"Меня не перебороть."
"DCG_VO_prowler_shaman_potential_kill_04"	"Ты неплохо дерёшься, но этого мало."
"DCG_VO_prowler_shaman_potential_kill_05"	"Достойно борешься, но всё зря."
"DCG_VO_prowler_shaman_potential_save_01"	"Я встречал врагов и похитрее."
"DCG_VO_prowler_shaman_potential_save_02"	"Неплохая попытка."
"DCG_VO_prowler_shaman_potential_save_03"	"Не время мне умирать."
"DCG_VO_prowler_shaman_potential_save_04"	"Я уж было заволновался..."
"DCG_VO_prowler_shaman_potential_save_05"	"Повезло."
"DCG_VO_prowler_shaman_permanent_armor_01"	"Я своих не подведу."
"DCG_VO_prowler_shaman_permanent_armor_02"	"У меня будет защита."
"DCG_VO_prowler_shaman_permanent_armor_03"	"Меня так легко не сразить."
"DCG_VO_prowler_shaman_permanent_armor_04"	"Чары несложные, но нужные."
"DCG_VO_prowler_shaman_permanent_armor_05"	"Мне нужно выжить..."
"DCG_VO_prowler_shaman_permanent_attack_01"	"Я стал сильнее."
"DCG_VO_prowler_shaman_permanent_attack_02"	"Я разорву врагов в клочья."
"DCG_VO_prowler_shaman_permanent_attack_03"	"Ведите врагов ко мне."
"DCG_VO_prowler_shaman_permanent_attack_04"	"Я покажу им силу скитальцев."
"DCG_VO_prowler_shaman_permanent_attack_05"	"Я готов сражаться."
"DCG_VO_prowler_shaman_permanent_health_01"	"Пусть попробуют меня убить."
"DCG_VO_prowler_shaman_permanent_health_02"	"Я не стану добычей."
"DCG_VO_prowler_shaman_permanent_health_03"	"Я всё вытерплю."
"DCG_VO_prowler_shaman_permanent_health_04"	"Здесь выживет сильнейший."
"DCG_VO_prowler_shaman_permanent_health_05"	"Моя стойкость безгранична."
"DCG_VO_prowler_shaman_cast_spell_01"	"Я сделаю всё, чтобы сберечь свой народ."
"DCG_VO_prowler_shaman_cast_spell_02"	"Сам лес даёт мне силу..."
"DCG_VO_prowler_shaman_cast_spell_03"	"Меня не перехитришь."
"DCG_VO_prowler_shaman_cast_spell_04"	"Я коварнее, чем ты думаешь..."
"DCG_VO_prowler_shaman_cast_spell_05"	"Здесь правлю я."
"DCG_VO_prowler_shaman_cast_spell_06"	"Скитальцам нет равных по силе!"
"DCG_VO_prowler_shaman_cast_spell_07"	"Вы не знаете, на что я способен..."
"DCG_VO_prowler_shaman_cast_spell_08"	"Я сделаю всё возможное."
"DCG_VO_prowler_shaman_cast_spell_09"	"Не теряйте надежду."
"DCG_VO_prowler_shaman_cast_spell_10"	"Не сдавайтесь."
"DCG_VO_prowler_shaman_buff_ally_01"	"Крепись."
"DCG_VO_prowler_shaman_buff_ally_02"	"Я на защите."
"DCG_VO_prowler_shaman_buff_ally_03"	"Уберегу тебя."
"DCG_VO_prowler_shaman_buff_ally_04"	"Доверься нашему роду."
"DCG_VO_prowler_shaman_buff_ally_05"	"Мы в безопасности."
"DCG_VO_prowler_shaman_buff_ally_06"	"Мы победим или умрём вместе..."
"DCG_VO_prowler_shaman_buff_ally_07"	"Нужно приглядывать друг за другом."
"DCG_VO_prowler_shaman_buff_ally_08"	"Я спас тебя, а ты спасёшь меня..."
"DCG_VO_prowler_shaman_buff_ally_09"	"В единстве сила."
"DCG_VO_prowler_shaman_buff_ally_10"	"Скитальцы шлют подмогу."
"DCG_VO_prowler_shaman_debuff_enemy_01"	"Трус!"
"DCG_VO_prowler_shaman_debuff_enemy_02"	"Лучше беги."
"DCG_VO_prowler_shaman_debuff_enemy_03"	"Застал тебя врасплох."
"DCG_VO_prowler_shaman_debuff_enemy_04"	"Ты здесь чужак."
"DCG_VO_prowler_shaman_debuff_enemy_05"	"Ты не на своём месте."
"DCG_VO_prowler_shaman_debuff_enemy_06"	"Твоё тело тебе мешает."
"DCG_VO_prowler_shaman_debuff_enemy_07"	"Хватит трюков."
"DCG_VO_prowler_shaman_debuff_enemy_08"	"У тебя не хватит сил победить нас..."
"DCG_VO_prowler_shaman_debuff_enemy_09"	"Ты не впечатляешь."
"DCG_VO_prowler_shaman_debuff_enemy_10"	"Придёт время, и ты падёшь."
"DCG_VO_prowler_shaman_single_target_damage_01"	"Я сломлю тебя."
"DCG_VO_prowler_shaman_single_target_damage_02"	"У тебя нет ни единого шанса."
"DCG_VO_prowler_shaman_single_target_damage_03"	"Тебе не жить."
"DCG_VO_prowler_shaman_single_target_damage_04"	"Оставьте их мне."
"DCG_VO_prowler_shaman_single_target_damage_05"	"Я справлюсь."
