"dcg_missions"
{
	// Tutorials
	"dcg_campaign_tutorial_title"	"Samouczek"
	"DCG_tutorial08_enchantment"	"To zaklęcie wieży. Są to trwałe efekty umieszczane na wieżach i Starożytnych."
	"DCG_tutorial08_triggers"		"To zaklęcie ma 2 aktywacje: gdy jest zagrane po raz pierwszy i podczas rozpoczęcia rundy."
	


	
	//mission headers and intro/outro blurbs
	//and pre-comic placeholder text
	
	//01 - TARES
	"DCG_a01m01_title"				"Przewinienia Taresu"
	"DCG_a01m01_desc"				"Po stuleciach krępującej uległości wobec potęgi Kamieniogrodu arystokraci Taresu potajemnie zbierali żołnierzy i najemników – szepcząc obietnice o złotych grabieżach i życiu wolnemu od legionów cesarza Galaniusza."
	"DCG_a01m01_outro_desc"				"Po zakończeniu długiego oblężenia Brązowy Legion zebrał ocalałych arystokratów Taresu, by rozpocząć trudny proces unifikacji, wprowadzając ich do życia pod sztandarem Kamieniogrodu."
	
	"DCG_a1m01_Intro_LC_pl_01"	"Wojna z Taresem rozpoczęła się jak każda inna – od kaprysu cesarza. Po stuleciach, kiedy nie odgrywali większego znaczenia, tarescy arystokraci doszli to wniosku, że do zdobycia przewagi nad Kamieniogrodem wystarczy większa armia. Więc zaczęli werbować imponującą liczbę niewartych funta kłaków trepów. Tak wielu, że za chwilę poznają różnicę między tłumem godnych pożałowania najemników a Brązowym Legionem. Najlepszymi, jakich Kamieniogród ma do zaoferowania. A cesarz nie wysyła nas, by negocjować."
	
	"DCG_a01m01_Outro_RX_pl_01" 	"Po zakończeniu oblężenia otrzymaliśmy zadanie zebrania ocalałych arystokratów Taresu, by pokazać im życie pod sztandarem Kamieniogrodu. Dosyć szybko znaleźliśmy problem, lecz nie jego źródło. Wygląda na to, że nasza wojna tutaj jeszcze nie dobiegła końca."
	
	
	
	//02 - FILEDO
	"DCG_a01m02_title"				"Ucieczka do Filedo"
	"DCG_a01m02_desc"				"Po jej zwycięstwie pod Taresem dowódczyni Tresdin i Brązowy Legion wymaszerowały ku Filedo – ostatniej kryjówce tareskich arystokratów, którzy wzbudzili gniew Kamieniogrodu."
	"DCG_a01m02_outro_desc"				"Szybko rozprawiwszy się z siłami w Filedo, dowódczyni Tresdin skupia swoją uwagę na zagrożeniu czyhającym ze strony Crester, które poczyniło działania po upadku Taresu i dalszych naruszeniach granic przez Kamieniogród."
	
	"DCG_a01m02_Intro_Marc_pl_01"	"Wszyscy arystokraci są tacy sami. Zostawiają potrzebujących na śmierć, podczas gdy sami uciekają tylnymi drzwiami. Nie dziwi mnie, że te tareskie węże miały już przygotowaną kryjówkę. Ale nie będę również narzekał, że zepsujemy im zabawę."
	
	"DCG_a01m02_Outro_Tres_pl_01"	"Gdy doprowadzaliśmy Filedo do porządku, Rix udał się do Crester – śpiącego giganta tej wielkiej wycieczki. Crester nigdy zbytnio nie interesowało się poszerzaniem granic Kamieniogrodu do odległych krain, ale skoro nie dzielił nas już wał w postaci Taresu i Filedo, sytuacja się nieco skomplikowała... Miejmy nadzieje, że Rix przyniesie dobre wieści."



	//03 - CRESTER
	"DCG_a01m03_title"				"Spisek w Crester"
	"DCG_a01m03_desc"				"Podczas gdy Brązowy Legion sprowadzał całą swoją potęgę na Filedo, Rix był w Crester, tworząc przyczynek do kapitulacji od wewnątrz."
	
	"DCG_a01m03_Intro_Rix_pl_01"	"Crester zostało przejęte bez przelania ani jednej kropli krwi (Brązowego Legionu)."



	//04 - TARES AGAIN
	"DCG_a01m04_title"				"Kłopoty z Taresem"
	"DCG_a01m04_desc"				"W odpowiedzi na powstający ruch oporu w Taresie – zorganizowany przez tych samych tareskich arystokratów, których życie oszczędziła – dowódczyni Tresdin staje na czele niewielkiego patrolu mającego wynegocjować drugą kapitulację – albo wymusić ją siłą."

	"DCG_a01m04_Intro_LC_pl_01"		"W niektórych miastach arystokrację można wykorzystać, by trzymała lud w ryzach. Albo by powstrzymała kilka bezsensownych śmierci. W niektórych... takich jak Tares, po prostu nie są w stanie puścić najwyższego szczebla władzy. Drugi czy trzeci szczebel zawsze będzie niewystarczający. Zazwyczaj jestem w stanie w mgnieniu oka odróżnić jedno miasto od drugiego. Może przestaję nadążać..."
	
	"DCG_a01m04_Outro_Rix_pl_01"	"Możemy wyruszyć starą drogą przez las, by dogonić legion. Nawet przy tej liczbie żołnierzy skróciłoby nam to podróż o wiele dni. Ale nie mogę obiecywać, że będzie ona bezpieczna..."


	//05 - SCOUT PARTY
	"DCG_a01m05_title"				"Pośpiech na starej drodze"
	"DCG_a01m05_desc"				"Po stłumieniu tareskiego powstania dowódczyni Tresdin wyrusza w pośpiechu nieznanym skrótem, by dołączyć do jej armii, która maszeruje na Kailens. Ale jej mały oddział nie jest jedynym zagrożeniem, które czyha na opuszczonej leśnej drodze..."

	"DCG_a01m05_Intro_Rix_pl_01"	"Dowódczyni, nasz zwiadowca został zauważony przez oddział żołnierzy Czerwonej Mgły. Jeżeli mają w pobliżu sojuszników, to nasz patrol nie będzie mieć z nimi żadnych szans. Musimy wybić tę zgraję, zanim odejdą za daleko."
	
	"DCG_a01m05_Outro_LC_pl_01"		"Czerwona Mgła w tym miejscu... To nie wróży dobrze. Powinniśmy byli pojmać jednego z nich żywcem. Póki co kontynuujemy marsz do Kailens. Trzeba dołączyć do legionu."

	//06 - KAILENS
	"DCG_a01m06_title"				"Kailens"
	"DCG_a01m06_desc"				"Po uciszeniu zwiadowców Czerwonej Mgły na dobre Tresdin dołącza do Brązowego Legionu w Kailens – gdzie uciekinierzy z Crester zdestabilizowali normalne życie na otaczających ziemiach."
	
	"DCG_a01m06_Intro_Rix_pl_01"	"Możnowładcy i żołnierze, którzy uciekli po upadku Crester, nie przyczynili się do polepszenia życia pospólstwa w tym regionie. Utworzenie dowództwa w Kalilens zdziałałoby cuda w kwestii przywrócenia porządku na tych ziemiach. Ale trudno mieć nadzieję, że Kailens spojrzy na to w ten sam sposób."

	"DCG_a01m06_Outro_Marcus_pl_01"	"To nie była prawdziwa walka, ale chyba uczyniliśmy nieco dobrego. To wszystko będzie w końcu należeć do Kamieniogrodu. Tego nie da się powstrzymać."

	//07 - SLOQOIT

	"DCG_a01m07_title"				"Sloqoit"
	"DCG_a01m07_desc"				"Bez wsparcia w postaci handlu i kupców z Crester oraz Kailens lud Sloquit miał niewielkie nadzieje na przyszłość bez Kamieniogrodu. Mimo że niektórzy u władzy mogą stawiać opór, to nawet prosty lud jest w stanie dostrzec taką oczywistość."
	
	"DCG_a01m07_Intro_Marcus_pl_01"		"Mając Crester i Kailens pod naszym butem, to miejsce nie ma nadziei bez Kamieniogrodu. Niech prędzej czy później to zaakceptują."
	
	"DCG_a01m07_Outro_Rix_pl_01"	"Ludność Sloqoitu ujrzy mądrość w naszych poczynaniach. Ale być może nie dziś..."


	//08 - SASHIRE
	"DCG_a01m08_title"				"Sashire"
	"DCG_a01m08_desc"				"Wiejski naród Sashire pomimo swej izolacji jest teraz otoczony terytorium Kamieniogrodu. Zamienił się w okrąg na mapie, którego cesarz Galaniusz z chęcią się pozbędzie."
	
	"DCG_a01m08_Intro_Rix_pl_01"	"Dowódczyni, stawiają większy opór, niż myślałem. Ale nie liczę, że zajmie nam to długo. Marcus dobrze sobie radzi."
	
	"DCG_a01m08_Outro_LC_pl_01"		"Mamy wieści z Kamieniogrodu. Czerwona Mgła maszeruje przeciwko cesarstwu. Tarrin jest celem... ale Sorla-chan jest bardziej sprytna. Tutaj musi chodzić o coś więcej..."

	
	//09 - TARRIN
	
	"DCG_a01m09_title"				"Tarrin"

	"DCG_a01m09_desc"				"Po sprawdzeniu nędznego oblężenia Tarrinu przez Czerwoną Mgłę, Dowódczyni Legionu wydaje swoim żołnierzom rozkaz marszu w kierunku Różoliścia, prawdziwego celu Sorli-chan. Rix i Marcus zostają wysłani z wyprzedzeniem w celu zwerbowania vhuli z Różoliścia do Brązowego Legionu. Natomiast Rix ma inne plany..."
	//"DCG_a01m09_desc"				"After learning of the Red Mist invasion, Commander Tresdin dispatches Rix and Marcus to lead the Bronze Legion to Roseleaf, where she suspects Sorla Khan's true target lies. She resolves to reconnoiter besieged Tarrin herself so she can see the Red Mist strategy before returning to Stonehall to warn the emperor."
	
	//"DCG_a01m09_Intro_LC_pl_01"		"If the emperor will not side with me, the Bronze Legion will go it alone. The fate of the Empire lies in Roseleaf... I know it. But I have to see Tarrin first, or Galanius will never be sure... I'll get nothing from him without a fight."


	//10 - ROSELEAF
	"DCG_a01m10_title"				"Różoliść"
	"DCG_a01m10_desc"				"Sprzeciwiając się rozkazom cesarza Galaniusza, Tresdin wyrusza, by dołączyć do jej legionu w Różoliściu i zmierzyć się z Sorlą-chan. Nie wie ona jeszcze, że czeka ją bolesna zdrada."

	
	//mission 01 intro
	
	
	
	"DCG_a01m01_Intro_Rix_01"	"Kłopoty w Taresie, dowódczyni Tresdin."
	"DCG_a01m01_Intro_Tres_02"	"Tares wkurzał arystokrację Kamieniogrodu jeszcze PRZED powstaniem Brązowego Legionu. Co nowego?"
	"DCG_a01m01_Intro_Rix_03"	"Szpiedzy Belasanna sugerują, że to coś nowego. Coś... co jest powodem do obaw. I warte pani uwagi."
	"DCG_a01m01_Intro_Marcus_04"	"Przydałaby mi się odrobina samokontroli. Kolejna noc w Ołowianym Brzuchu i nie będę w stanie wcisnąć się do mojego pancerza."
	"DCG_a01m01_Intro_Rix_05"	"Nasze rozkazy to zebrać się i oczyścić granicę Kamieniogrodu, zanim na niebie pojawi się półksiężyc."
	"DCG_a01m01_Intro_Tres_06"	"Tak wcześnie?"
	"DCG_a01m01_Intro_Rix_07"	"Tares zbiera armię."
	"DCG_a01m01_Intro_Marcus_08"	"Ha. Raczej zgraję żałosnych partyzantów i najemników – a nie prawdziwych żołnierzy."
	"DCG_a01m01_Intro_Tres_09"	"How many troops did the emperor give us?"
	"DCG_a01m01_Intro_Rix_10"	"Dziesięć kohort."
	"DCG_a01m01_Intro_Tres_11"	"Nie będę narzekała na dziesięć."
	"DCG_a01m01_Intro_Rix_12"	"Cesarz Galaniusz chce coś przekazać."
	"DCG_a01m01_Intro_Marcus_13"	"I to wyraźnie przekazać. Wrócimy do Kamieniogrodu, zanim moje piwo przestanie się pienić."
	"DCG_a01m01_Intro_Rix_14"	"Może i Tares nie jest w stanie się pochwalić legendarnymi wojownikami, ale jego mury nie są słabe."
	"DCG_a01m01_Intro_Tres_15"	"Podobnie jak i umysły tych, którzy za nimi stoją. Jeżeli zaryzykują zdenerwowanie Kamieniogrodu, to będą przygotowani. Wzywać do zbiórki – my też się musimy przygotować."
	
	//mission 01 in-game
	"DCG_a01m01_InGame_Tres_01"		"Dobra, chcę, by te dwie wieże upadły."
	"DCG_a01m01_InGame_Marcus_02"	"SŁYSZELIŚCIE DOWÓDCZYNIĘ!"
	"DCG_a01m01_InGame_Rix_03"		"..."
	
	//mission 01 outro
	
	
	"DCG_a01m01_Outro_Tres_01"	"Któż został, by mówić w imieniu Taresu?"
	"DCG_a01m01_Outro_Tares_02" "Jeśli to zadowoli moją panią. Błagam panią, oszczędźcie to zgromadzenie. Wielu tutaj było przeciwko agresji wobec Kamieniogrodu. Nie powinni umierać za pomyłki naszego lorda regenta."
	"DCG_a01m01_Outro_Tres_03" "Zwyciężyliśmy bitwę. Nie zarzynamy bezbronnych jeńców."
	"DCG_a01m01_Outro_Rix_04" "Zaprzęgamy ich do pracy."
	"DCG_a01m01_Outro_Marc_05" "I oczekujemy, że puszczą parę z ust. A wszyscy to robią. Prędzej czy później."
	"DCG_a01m01_Outro_Tares_06" "Oczywiście! Znam wiele..."
	"DCG_a01m01_Outro_Rix_07" "Zaczynając od tego, gdzie znajdziemy lorda regenta Lannocka."
	"DCG_a01m01_Outro_Tares_08" "Nasz ukochany Lannock... nie przeżył oblężenia. Nie było z nim dobrze już wcześniej. Hosta, jego siostrzeniec, został lordem regentem. On miał... nowe pomysły na przyszłość Taresu."
	"DCG_a01m01_Outro_Tres_09" "Czy jest pośród zabitych?"
	"DCG_a01m01_Outro_Tares_10" "Nie. Opuścił nas. Uciekł z jego lojalistami do Filedo. Mając dostęp do kopalni rudy w Filedo, jego siły mają na tyle zasobów, że nie można ich zignorować. Nawet siły waszego pokroju nie mogą."
	"DCG_a01m01_Outro_Tres_11" "Markusie?"
	"DCG_a01m01_Outro_Marc_12" "Cóż... moglibyśmy zostawić kohortę albo dwie tutaj i wyruszyć z resztą na Filedo. Kopalnie byłyby niezłym nabytkiem."
	"DCG_a01m01_Outro_Rix_13" "Czy powinniśmy to wpierw skonsultować z Kamieniogrodem?"
	"DCG_a01m01_Outro_Tres_14" "Już wiem, co cesarz powie. Zamiast tego pozwolimy żołnierzom chwilę odpocząć. A potem wyruszymy."
	"DCG_a01m01_Outro_Marc_15" "Zrozumiano. A co, jeśli informacje naszego nowego przyjaciela są... zawodne?"
	"DCG_a01m01_Outro_Tres_16" "To zrobimy z niego pierwszy przykład, gdy wrócimy."
	"DCG_a01m01_Outro_Tares_17" "To nie będzie konieczne. Ze wszystkich osób to mi najbardziej zależy zobaczyć głowę lorda regenta nabitą na pal."
	
	
	//mission 02 intro
	
	
	"DCG_a01m01_Intro_Marc_01" "Oszczędź sobie miesięcy cierpienia! Otwórz bramy, lordzie Hosta!"
	"DCG_a01m01_Intro_Filedo_02" "Wy, którzy zabiliście naszych bliskich i grozicie naszemu ukochanemu lordowi, przyjmijcie to do wiadomości! Odważny lud Filedo będzie walczył do ostatniego tchu, by złożyć hołd poległym Taresu!"
	"DCG_a01m01_Intro_Tres_03" "Wasz „ukochany lord” popchnął tych ludzi ku granicy wytrzymałości. Teraz wy ją przekraczacie. Zastanawiam się... jak NIEWIELU będziemy musieli zabić, zanim „wasz lud” zorientuje się, że pokój Kamieniogrodu jest lepszą ścieżką?"
	"DCG_a01m01_Intro_Filedo_04" "Nigdy nie ugniemy się przed Kamieniogrodem! Wolałbym się najpierw upokorzyć przed Radą Cresteru."
	"DCG_a01m01_Intro_Marc_05" "To da się zrobić! ...Cóż, wygląda na to, że musimy to rozwiązać siłą."
	"DCG_a01m01_Intro_Rix_06" "Dowódczyni, jeśli chodzi o Crester... to może stać się problemem. Istnieje powód, dla którego poprzedni cesarze nie wdawali się w konflikt z Taresem. I nie ma to żadnego związku z potęgą jego armii."
	"DCG_a01m01_Intro_Tres_07" "Poprzedni cesarze wiedzieli... a jednak jesteśmy tutaj. Jeżeli Crester stanie się problemem, będziemy musieli być o krok do przodu. "
	"DCG_a01m01_Intro_Marc_08" "Tares z dziesięcioma kohortami to jedna rzecz. Crester to całkowicie inna."
	"DCG_a01m01_Intro_Tres_09" "No weź, Marcus. Myślałam, że brzydzi cię spokojne życie. Rix, zacznij węszyć w okolicach Crester. Zobacz, co uda ci się odkryć."
	"DCG_a01m01_Intro_Rix_09a"	"Wyruszę natychmiast."
	"DCG_a01m01_Intro_Marc_10" "Tak, Rix. Zrób to, co umiesz najlepiej – wymknij się chyłkiem."
	"DCG_a01m01_Intro_Rix_11" "..."
	"DCG_a01m01_Intro_Tres_12" "Wystarczy, Markusie. Wiesz, jak cię cenię, Rix. Za cesarstwo."
	"DCG_a01m01_Intro_Rix_13" "Zawsze, dowódczyni."
	
	
	//mission 02 outro
	
	
	"DCG_a01m02_Outro_Filedo_01"	"Wielcy głupcy Kamieniogrodu! Marnujecie swój czas i swą krew w Filedo, podczas gdy nasi bracia spiskują przeciwko wam w Taresie. Wkrótce wasze zwycięstwa będą groźbami tak pustymi, jak łeb waszego żałosnego cesarza!"
	"DCG_a01m02_Outro_Tres_02"	"Wywieźcie go do Kamieniogrodu. Cesarz i jego strażnicy więzienni docenią tę rozrywkę."
	"DCG_a01m02_Outro_Marc_03"	"Myślisz, że mówił prawdę co do Taresu?"
	"DCG_a01m02_Outro_Tres_04"	"Crester jest większym zagrożeniem niż Tares był kiedykolwiek. Wszystko jedno... Wyślij posłańca do żołnierzy, których tam zostawiliśmy."
	"DCG_a01m02_Outro_Marc_05"	"Gdzie jest Rix, gdy go potrzeba..."
	"DCG_a01m02_Outro_Tres_06"	"Jego misje w Crester okazały się owocne."
	"DCG_a01m02_Outro_Marc_07"	"Czekam, by zobaczyć, co jest w stanie zrobić, czego cały legion nie może."
	"DCG_a01m02_Outro_Tres_08"	"Możesz nie doceniać Rixa, jeśli chcesz, Markusie. Byłby przebiegłym przeciwnikiem."
	"DCG_a01m02_Outro_Marc_09"	"Przeceniasz jego wkład. Ktoś musi pokazać temu szczeniakowi jego miejsce w szeregu."
	"DCG_a01m02_Outro_Tres_10"	"Jego miejsce jest przy naszym boku. Nie zapominaj o tym."
	
	
	//mission 03 intro
	
	
	"DCG_a01m03_Intro_Tres_01" "Dobrze cię widzieć, Rix. Jakie wieści z Crester?"
