"dcg_vo_set_00"
{

	"DCG_VO_lady_anshu_intro"	"我知道你們有些人支持豺狼人的革命……相信瑞克斯的正義主張、相信加拉尼烏斯是個暴君，必須讓他體認到並非全世界都屈服於他。我了解你們的感受。這一切都已經無關緊要。瑞克斯發下了誓約交出自己的靈魂，瑞斯托王廷也將摧毀石堂城的工具交付予他作為交換。加拉尼烏斯是個怪物嗎？可能是。但至少他還是個活人。我們不會眼睜睜放任這些惡魔屠殺石堂城的男女老少。我們將出兵奮戰。沒錯，我們許多人會喪生，但我們並非愚昧地去送死，而是必須挺身而出……因為如果沒有我們來阻止這些死者和魔鬼……還能有誰？"
	"DCG_VO_lady_anshu_unique_03"	"我要把你腐爛的身軀歸還給大地。"
	"DCG_VO_lady_anshu_unique_04"	"就算為正義的一邊而戰，你也無法得到救贖的，死靈法師。"
	"DCG_VO_lady_anshu_unique_05"	"與你一同作戰令人作噁。"
	"DCG_VO_lady_anshu_unique_06"	"羅坦德吉利，你的救贖之路將無比漫長。"
	"DCG_VO_lady_anshu_unique_07"	"全心跟隨我，我們將無戰不勝。"
	"DCG_VO_lady_anshu_unique_08"	"我們的聖戰才剛剛開始……"
	"DCG_VO_lady_anshu_unique_09"	"我們要做的事還很多……"
	"DCG_VO_lady_anshu_unique_10"	"擊垮不潔之人！"
	"DCG_VO_lady_anshu_unique_11"	"這個世界是活人的世界！"
	"DCG_VO_lady_anshu_unique_12"	"魯姆斯克將與魔鬼對抗到底！"
	"DCG_VO_lady_anshu_unique_13"	"你對權力的追求終結於此，死靈法師……"
	"DCG_VO_lady_anshu_unique_14"	"死者應當入土為安……"
	"DCG_VO_lady_anshu_unique_15"	"能與祢並肩作戰是項榮耀，克萊拉。"
	"DCG_VO_lady_anshu_unique_16"	"克萊拉，祢來拯救我們了！"
	"DCG_VO_lady_anshu_unique_17"	"克萊拉，祢回應了我們的禱告……"
	"DCG_VO_lady_anshu_unique_18"	"鼓起勇氣，我的孩子"
	"DCG_VO_lady_anshu_unique_19"	"也許你只能在死亡中找到救贖……"
	"DCG_VO_lady_anshu_unique_20"	"祢是我們貨真價實的榜樣，克萊拉……"
	"DCG_VO_lady_anshu_healed_01"	"啊……"
	"DCG_VO_lady_anshu_healed_02"	"謝了。"
	"DCG_VO_lady_anshu_healed_03"	"非常感謝……"
	"DCG_VO_lady_anshu_healed_04"	"我感覺好多了……"
	"DCG_VO_lady_anshu_healed_05"	"謝謝。"
	"DCG_VO_lady_anshu_taunt_generic_01"	"我們必勝！"
	"DCG_VO_lady_anshu_taunt_generic_02"	"我們會戰鬥到底！"
	"DCG_VO_lady_anshu_taunt_generic_03"	"我們的時刻到了！"
	"DCG_VO_lady_anshu_taunt_generic_04"	"勝利在望！"
	"DCG_VO_lady_anshu_taunt_generic_05"	"立即進攻！"
	"DCG_VO_lady_anshu_taunt_generic_06"	"淨化不潔之人！"
	"DCG_VO_lady_anshu_taunt_generic_07"	"讓他們屈服！"
	"DCG_VO_lady_anshu_taunt_generic_08"	"摧毀遺跡！"
	"DCG_VO_lady_anshu_taunt_generic_09"	"把塔拿下！"
	"DCG_VO_lady_anshu_taunt_generic_10"	"聖克萊拉，帶領我們走向勝利吧！"
	"DCG_VO_lady_anshu_potential_kill_01"	"悔悟吧。"
	"DCG_VO_lady_anshu_potential_kill_02"	"就到這裡了。"
	"DCG_VO_lady_anshu_potential_kill_03"	"我將終結你的邪惡行徑。"
	"DCG_VO_lady_anshu_potential_kill_04"	"你註定要死。"
	"DCG_VO_lady_anshu_potential_kill_05"	"不投降就只有死路一條。"
	"DCG_VO_lady_anshu_potential_save_01"	"不會是今天。"
	"DCG_VO_lady_anshu_potential_save_02"	"神會保護我。"
	"DCG_VO_lady_anshu_potential_save_03"	"我命不該絕。"
	"DCG_VO_lady_anshu_potential_save_04"	"你嚇不倒我的。"
	"DCG_VO_lady_anshu_potential_save_05"	"我絕不會對邪惡讓步。"
	"DCG_VO_lady_anshu_permanent_armor_01"	"以信仰為盔甲。"
	"DCG_VO_lady_anshu_permanent_armor_02"	"聖者會保護我。"
	"DCG_VO_lady_anshu_permanent_armor_03"	"看你傷不傷得了我……"
	"DCG_VO_lady_anshu_permanent_armor_04"	"面對戰鬥，我無所畏懼。"
	"DCG_VO_lady_anshu_permanent_armor_05"	"一刀一箭，我都會原樣奉還……"
	"DCG_VO_lady_anshu_permanent_attack_01"	"聖者會指引我。"
	"DCG_VO_lady_anshu_permanent_attack_02"	"我更加強大了。"
	"DCG_VO_lady_anshu_permanent_attack_03"	"我會重擊敵人……"
	"DCG_VO_lady_anshu_permanent_attack_04"	"我的雙手能帶來拯救，也能造成毀滅……"
	"DCG_VO_lady_anshu_permanent_attack_05"	"我帶來的懲罰無比神聖……"
	"DCG_VO_lady_anshu_permanent_health_01"	"我命不該絕。"
	"DCG_VO_lady_anshu_permanent_health_02"	"我的死期還未到。"
	"DCG_VO_lady_anshu_permanent_health_03"	"信仰使我精神一振。"
	"DCG_VO_lady_anshu_permanent_health_04"	"我是信徒的榜樣。"
	"DCG_VO_lady_anshu_permanent_health_05"	"我感到精神抖擻。"
	"DCG_VO_lady_anshu_cast_spell_01"	"這就是信仰的力量！"
	"DCG_VO_lady_anshu_cast_spell_02"	"魯姆斯克將拯救你們所有人！"
	"DCG_VO_lady_anshu_cast_spell_03"	"我帶來救贖！"
	"DCG_VO_lady_anshu_cast_spell_04"	"你在我的保護之下！"
	"DCG_VO_lady_anshu_cast_spell_05"	"我不會讓你死去的！"
	"DCG_VO_lady_anshu_cast_spell_06"	"沒有什麼是我們辦不到的……"
	"DCG_VO_lady_anshu_cast_spell_07"	"我們對邪惡毫不畏懼……"
	"DCG_VO_lady_anshu_cast_spell_08"	"黑暗終將被驅散。"
	"DCG_VO_lady_anshu_cast_spell_09"	"沒有什麼傷得了你。"
	"DCG_VO_lady_anshu_cast_spell_10"	"我將指點你一條明路。"
	"DCG_VO_lady_anshu_buff_ally_01"	"讓我來幫你，孩子。"
	"DCG_VO_lady_anshu_buff_ally_02"	"魯姆斯克前來提供協助了。"
	"DCG_VO_lady_anshu_buff_ally_03"	"我將成為你的力量。"
	"DCG_VO_lady_anshu_buff_ally_04"	"你並非孤軍奮戰。"
	"DCG_VO_lady_anshu_buff_ally_05"	"我們需要互相幫助。"
	"DCG_VO_lady_anshu_buff_ally_06"	"祝福你。"
	"DCG_VO_lady_anshu_buff_ally_07"	"上前盡情發揮吧。"
	"DCG_VO_lady_anshu_buff_ally_08"	"願一切邪惡陰謀終將瓦解。"
	"DCG_VO_lady_anshu_buff_ally_09"	"讓我眷顧你。"
	"DCG_VO_lady_anshu_buff_ally_10"	"邪惡必不能勝。"
	"DCG_VO_lady_anshu_debuff_enemy_01"	"你將在我面前消亡。"
	"DCG_VO_lady_anshu_debuff_enemy_02"	"這就是你滅亡的開端……"
	"DCG_VO_lady_anshu_debuff_enemy_03"	"你會為你的惡行付出代價。"
	"DCG_VO_lady_anshu_debuff_enemy_04"	"這裡容不下邪惡。"
	"DCG_VO_lady_anshu_debuff_enemy_05"	"你將被自己背負的罪惡壓垮……"
	"DCG_VO_lady_anshu_debuff_enemy_06"	"你以為你能贏？"
	"DCG_VO_lady_anshu_debuff_enemy_07"	"你會死在這裡。"
	"DCG_VO_lady_anshu_debuff_enemy_08"	"這裡有魯姆斯克保護！"
	"DCG_VO_lady_anshu_debuff_enemy_09"	"你會後悔來到這裡。"
	"DCG_VO_lady_anshu_debuff_enemy_10"	"你將倒下。"
	"DCG_VO_lady_anshu_single_target_damage_01"	"到此結束了。"
	"DCG_VO_lady_anshu_single_target_damage_02"	"這傢伙留給我。"
	"DCG_VO_lady_anshu_single_target_damage_03"	"我不懼怕邪惡。"
	"DCG_VO_lady_anshu_single_target_damage_04"	"你將被聖光燒毀。"
	"DCG_VO_lady_anshu_single_target_damage_05"	"你的力量比不上我們。"
	"DCG_VO_lady_anshu_single_target_damage_06"	"你的恐懼到此結束。"
	"DCG_VO_lady_anshu_single_target_damage_07"	"這就是你的末日。"
	"DCG_VO_lady_anshu_single_target_damage_08"	"我會把你送入地獄。"
	"DCG_VO_lady_anshu_single_target_damage_09"	"這世界沒有你的容身之地。"
	"DCG_VO_lady_anshu_single_target_damage_10"	"拿命來。"
	"DCG_VO_lady_anshu_multi_damage_small_01"	"我能搞定。"
	"DCG_VO_lady_anshu_multi_damage_small_02"	"把這些蠢貨留給我……"
	"DCG_VO_lady_anshu_multi_damage_small_03"	"根本不值得我浪費力氣。"
	"DCG_VO_lady_anshu_multi_damage_small_04"	"我對抗一切邪惡。"
	"DCG_VO_lady_anshu_multi_damage_small_05"	"你過不了我這關。"
	"DCG_VO_lady_anshu_multi_damage_small_06"	"一點小麻煩，僅此而已。"
	"DCG_VO_lady_anshu_multi_damage_small_07"	"你敢？"
	"DCG_VO_lady_anshu_multi_damage_small_08"	"我就是拯救的化身。"
	"DCG_VO_lady_anshu_multi_damage_small_09"	"我們無所畏懼。"
	"DCG_VO_lady_anshu_multi_damage_small_10"	"讓我來對付他們。"
	"DCG_VO_lady_anshu_multi_damage_large_01"	"悔改吧！"
	"DCG_VO_lady_anshu_multi_damage_large_02"	"這就是魯姆斯克的力量！"
	"DCG_VO_lady_anshu_multi_damage_large_03"	"聖者會讓我們屹立不搖！"
	"DCG_VO_lady_anshu_multi_damage_large_04"	"我們沐浴在聖光之中！"
	"DCG_VO_lady_anshu_multi_damage_large_05"	"邪惡之人都將化為灰燼！"
	"DCG_VO_lady_anshu_multi_damage_large_06"	"唯有正義方能存活！"
	"DCG_VO_lady_anshu_multi_damage_large_07"	"我將清理這罪惡之地。"
	"DCG_VO_lady_anshu_multi_damage_large_08"	"審判的時間到了。"
	"DCG_VO_lady_anshu_multi_damage_large_09"	"你們都不夠資格。"
	"DCG_VO_lady_anshu_multi_damage_large_10"	"光明將燒盡黑暗！"
	"DCG_VO_lady_anshu_pleased_01"	"好極了。"
	"DCG_VO_lady_anshu_pleased_02"	"事情很順利。"
	"DCG_VO_lady_anshu_pleased_03"	"讚美聖者。"
	"DCG_VO_lady_anshu_pleased_04"	"感恩聖者。"
	"DCG_VO_lady_anshu_pleased_05"	"神明眷顧著我們。"
	"DCG_VO_lady_anshu_pleased_06"	"正是我們需要的。"
	"DCG_VO_lady_anshu_pleased_07"	"正需要稍作休息。"
	"DCG_VO_lady_anshu_pleased_08"	"聖者的恩賜。"
	"DCG_VO_lady_anshu_pleased_09"	"我們的志業不止。"
	"DCG_VO_lady_anshu_pleased_10"	"一切才剛剛開始。"
	"DCG_VO_lady_anshu_concerned_01"	"我們不能得意忘形。"
	"DCG_VO_lady_anshu_concerned_02"	"這比我想像的還糟……"
	"DCG_VO_lady_anshu_concerned_03"	"聖馬利克，請賜與我智慧。"
	"DCG_VO_lady_anshu_concerned_04"	"天啊……"
	"DCG_VO_lady_anshu_concerned_05"	"我們需要重振旗鼓。"
	"DCG_VO_lady_anshu_concerned_06"	"我會為大家爭取些時間。"
	"DCG_VO_lady_anshu_concerned_07"	"還沒有結束。"
	"DCG_VO_lady_anshu_concerned_08"	"不能失去希望。"
	"DCG_VO_lady_anshu_concerned_09"	"還沒結束呢。"
	"DCG_VO_lady_anshu_concerned_10"	"我們還有時間……"
	"DCG_VO_lady_anshu_angry_01"	"你終將不得憐憫。"
	"DCG_VO_lady_anshu_angry_02"	"絕不寬恕。"
	"DCG_VO_lady_anshu_angry_03"	"殺光他們！"
	"DCG_VO_lady_anshu_angry_04"	"報應正在等著你……"
	"DCG_VO_lady_anshu_angry_05"	"這些可憎之人將被摧毀！"
	"DCG_VO_lady_anshu_angry_06"	"把他們送回地獄！"
	"DCG_VO_lady_anshu_angry_07"	"直到你在地獄腐朽前，我絕不罷休。"
	"DCG_VO_lady_anshu_angry_08"	"我們絕不會放棄！"
	"DCG_VO_lady_anshu_angry_09"	"我們絕不投降！"
	"DCG_VO_lady_anshu_angry_10"	"該結束了！"
	"DCG_VO_lady_anshu_arrogant_01"	"魯姆斯克無可匹敵！"
	"DCG_VO_lady_anshu_arrogant_02"	"我神聖的力量！"
	"DCG_VO_lady_anshu_arrogant_03"	"正義的一方不會倒下！"
	"DCG_VO_lady_anshu_arrogant_04"	"你以為我會怕了假信徒嗎？"
	"DCG_VO_lady_anshu_arrogant_05"	"他們根本不知道我有多大能耐。"
	"DCG_VO_lady_anshu_arrogant_06"	"對我們的介入心懷感激吧。"
	"DCG_VO_lady_anshu_arrogant_07"	"我以身作則。"
	"DCG_VO_lady_anshu_arrogant_08"	"邪惡阻止不了我。"
	"DCG_VO_lady_anshu_arrogant_09"	"我無所畏懼。"
	"DCG_VO_lady_anshu_arrogant_10"	"你似乎需要討救兵了。"
	"DCG_VO_lady_anshu_enigmatic_01"	"我的信仰堅定無比。"
	"DCG_VO_lady_anshu_enigmatic_02"	"聖布林，請賜予我們力量。"
	"DCG_VO_lady_anshu_enigmatic_03"	"我們必須有備無患。"
	"DCG_VO_lady_anshu_enigmatic_04"	"要做的事還很多……"
	"DCG_VO_lady_anshu_enigmatic_05"	"我們需要做好萬全的準備……"
	"DCG_VO_lady_anshu_enigmatic_06"	"邪惡之人無惡不作，我們必須做好準備。"
	"DCG_VO_lady_anshu_enigmatic_07"	"我們必須攻其不備。"
	"DCG_VO_lady_anshu_enigmatic_08"	"我們力量大增。"
	"DCG_VO_lady_anshu_enigmatic_09"	"神必獎賞虔誠的信徒。"
	"DCG_VO_lady_anshu_enigmatic_10"	"在聖者的幫助下，萬事無不可能。"
	"DCG_VO_lady_anshu_death_01"	"<i>尖叫</i>"




}
