"dcg_vo_set_00"
{

	"DCG_VO_lady_anshu_intro"	"我知道你们有些人支持豺狼人的革命……相信瑞克斯的事业正义公平，相信加拉尼乌斯是个暴君，因此必须让他明白并非全世界都臣服于他。我明白你们的感受，但这一切都已经无关紧要了。瑞克斯立下誓约，用自己的灵魂和瑞斯托王庭交换摧毁石堂城的方法。加拉尼乌斯是个怪物吗？也许吧。但至少他还是个活人。我们不能在恶魔们屠杀石堂城的老幼妇孺时袖手旁观。我们会勇往直前。我们会全力奋战。没错，我们很多人会丧命，但我们不是愚昧地送死，而是别无他法……因为如果我们不去阻止这些亡者和魔鬼……还能有谁？"
	"DCG_VO_lady_anshu_potential_kill_02"	"这就是结局。"
	"DCG_VO_lady_anshu_potential_kill_03"	"我将终结你的邪恶之路。"
	"DCG_VO_lady_anshu_potential_kill_04"	"你注定要死。"
	"DCG_VO_lady_anshu_potential_kill_05"	"不投降就只有死路一条。"
	"DCG_VO_lady_anshu_potential_save_01"	"今天还不行。"
	"DCG_VO_lady_anshu_potential_save_02"	"神会保护我。"
	"DCG_VO_lady_anshu_potential_save_03"	"我还不该死。"
	"DCG_VO_lady_anshu_potential_save_04"	"你吓不倒我。"
	"DCG_VO_lady_anshu_potential_save_05"	"我永远不会屈服于邪恶。"
	"DCG_VO_lady_anshu_permanent_armor_01"	"以信仰为护甲。"
	"DCG_VO_lady_anshu_permanent_armor_02"	"圣人会保护我。"
	"DCG_VO_lady_anshu_permanent_armor_03"	"看你伤不伤得了我……"
	"DCG_VO_lady_anshu_permanent_armor_04"	"我在战斗中无所畏惧。"
	"DCG_VO_lady_anshu_permanent_armor_05"	"一刀一箭，我都会一一奉还……"
	"DCG_VO_lady_anshu_permanent_attack_01"	"圣人会指引我。"
	"DCG_VO_lady_anshu_permanent_attack_02"	"我更加强壮了。"
	"DCG_VO_lady_anshu_permanent_attack_03"	"我会重击敌人……"
	"DCG_VO_lady_anshu_permanent_attack_04"	"我的双手既能带来拯救，也能造成毁灭……"
	"DCG_VO_lady_anshu_permanent_attack_05"	"我的复仇无比神圣……"
	"DCG_VO_lady_anshu_permanent_health_01"	"我命不该绝。"
	"DCG_VO_lady_anshu_permanent_health_02"	"我的死期还未到。"
	"DCG_VO_lady_anshu_permanent_health_03"	"我因信仰而精神百倍。"
	"DCG_VO_lady_anshu_permanent_health_04"	"我是人民的榜样。"
	"DCG_VO_lady_anshu_permanent_health_05"	"我觉得精神抖擞……"
	"DCG_VO_lady_anshu_cast_spell_01"	"这就是信仰的力量！"
	"DCG_VO_lady_anshu_cast_spell_02"	"鲁姆斯克将前来拯救你们所有人！"
	"DCG_VO_lady_anshu_cast_spell_03"	"我带来救赎！"
	"DCG_VO_lady_anshu_cast_spell_04"	"你在我的保护之下！"
	"DCG_VO_lady_anshu_cast_spell_05"	"我不会让你死的！"
	"DCG_VO_lady_anshu_cast_spell_06"	"没有什么是我们办不到的……"
	"DCG_VO_lady_anshu_cast_spell_07"	"我们不会惧怕邪恶……"
	"DCG_VO_lady_anshu_cast_spell_08"	"黑暗终将被驱散。"
	"DCG_VO_lady_anshu_cast_spell_09"	"没有什么伤得了你。"
	"DCG_VO_lady_anshu_cast_spell_10"	"我给你指条明路。"
	"DCG_VO_lady_anshu_buff_ally_01"	"让我来帮你，孩子。"
	"DCG_VO_lady_anshu_buff_ally_02"	"鲁姆斯克前来提供协助。"
	"DCG_VO_lady_anshu_buff_ally_03"	"我将成为你的力量。"
	"DCG_VO_lady_anshu_buff_ally_04"	"你并非孤军奋战。"
	"DCG_VO_lady_anshu_buff_ally_05"	"我们需要互相帮助。"
	"DCG_VO_lady_anshu_buff_ally_06"	"祝福你。"
	"DCG_VO_lady_anshu_buff_ally_07"	"上前放开手去做吧！"
	"DCG_VO_lady_anshu_buff_ally_08"	"愿邪恶之人的阴谋终将瓦解。"
	"DCG_VO_lady_anshu_buff_ally_09"	"让我眷顾你。"
	"DCG_VO_lady_anshu_buff_ally_10"	"邪恶必败。"
	"DCG_VO_lady_anshu_debuff_enemy_01"	"你将在我面前消亡。"
	"DCG_VO_lady_anshu_debuff_enemy_02"	"这是你灭亡的开端……"
	"DCG_VO_lady_anshu_debuff_enemy_03"	"你终将为你的恶行付出代价。"
	"DCG_VO_lady_anshu_debuff_enemy_04"	"这里容不下邪恶。"
	"DCG_VO_lady_anshu_debuff_enemy_05"	"你将被自己背负的罪孽压垮……"
	"DCG_VO_lady_anshu_debuff_enemy_06"	"你以为你会赢？"
	"DCG_VO_lady_anshu_debuff_enemy_07"	"你会死在这里。"
	"DCG_VO_lady_anshu_debuff_enemy_08"	"这个地方受鲁姆斯克的保护。"
	"DCG_VO_lady_anshu_debuff_enemy_09"	"你会后悔来到这里。"
	"DCG_VO_lady_anshu_debuff_enemy_10"	"你将倒下。"
	"DCG_VO_lady_anshu_single_target_damage_01"	"就此结束吧。"
	"DCG_VO_lady_anshu_single_target_damage_02"	"这个家伙留给我。"
	"DCG_VO_lady_anshu_single_target_damage_03"	"我不惧怕邪恶。"
	"DCG_VO_lady_anshu_single_target_damage_04"	"你将在圣光中熊熊燃烧。"
	"DCG_VO_lady_anshu_single_target_damage_05"	"你并不比我们强大。"
	"DCG_VO_lady_anshu_single_target_damage_06"	"你的恐惧终结于此。"
	"DCG_VO_lady_anshu_single_target_damage_07"	"这就是你的末日。"
	"DCG_VO_lady_anshu_single_target_damage_08"	"我会把你送入地狱。"
	"DCG_VO_lady_anshu_single_target_damage_09"	"这世界没有你的容身之地。"
	"DCG_VO_lady_anshu_single_target_damage_10"	"拿命来。"
	"DCG_VO_lady_anshu_multi_damage_small_01"	"我能搞定。"
	"DCG_VO_lady_anshu_multi_damage_small_02"	"把这些白痴留给我。"
	"DCG_VO_lady_anshu_multi_damage_small_03"	"你根本不值得我费力气。"
	"DCG_VO_lady_anshu_multi_damage_small_04"	"我对抗一切邪恶。"
	"DCG_VO_lady_anshu_multi_damage_small_05"	"你过不了我这关。"
	"DCG_VO_lady_anshu_multi_damage_small_06"	"小小麻烦而已。"
	"DCG_VO_lady_anshu_multi_damage_small_07"	"你怎么敢？"
	"DCG_VO_lady_anshu_multi_damage_small_08"	"我就是解救的化身。"
	"DCG_VO_lady_anshu_multi_damage_small_09"	"我们无所畏惧。"
	"DCG_VO_lady_anshu_multi_damage_small_10"	"让我来对付他们。"
	"DCG_VO_lady_anshu_multi_damage_large_01"	"忏悔吧！"
	"DCG_VO_lady_anshu_multi_damage_large_02"	"这就是鲁姆斯克的力量！"
	"DCG_VO_lady_anshu_multi_damage_large_03"	"圣人不会让我们失败的！"
	"DCG_VO_lady_anshu_multi_damage_large_04"	"我们沐浴在圣光之中！"
	"DCG_VO_lady_anshu_multi_damage_large_05"	"邪恶之人终将化为灰烬！"
	"DCG_VO_lady_anshu_multi_damage_large_06"	"唯有正义才会幸存！"
	"DCG_VO_lady_anshu_multi_damage_large_07"	"我将净化这些恶之地！"
	"DCG_VO_lady_anshu_multi_damage_large_08"	"审判的时候到了。"
	"DCG_VO_lady_anshu_multi_damage_large_09"	"你们都不够资格。"
	"DCG_VO_lady_anshu_multi_damage_large_10"	"光明将黑暗燃烧殆尽！"
	"DCG_VO_lady_anshu_pleased_01"	"好极了。"
	"DCG_VO_lady_anshu_pleased_02"	"事情很顺利。"
	"DCG_VO_lady_anshu_pleased_03"	"赞美圣人。"
	"DCG_VO_lady_anshu_pleased_04"	"感谢圣人。"
	"DCG_VO_lady_anshu_pleased_05"	"神明护佑着我们。"
	"DCG_VO_lady_anshu_pleased_06"	"正是我们需要的。"
	"DCG_VO_lady_anshu_pleased_07"	"正需要稍作休息。"
	"DCG_VO_lady_anshu_pleased_08"	"圣人的恩赐。"
	"DCG_VO_lady_anshu_pleased_09"	"我们还有工作要做。"
	"DCG_VO_lady_anshu_pleased_10"	"一切才刚刚开始。"
	"DCG_VO_lady_anshu_concerned_01"	"我们不能得意忘形。"
	"DCG_VO_lady_anshu_concerned_02"	"这比想像中还要糟糕……"
	"DCG_VO_lady_anshu_concerned_03"	"圣马立克，请赐予我智慧吧。"
	"DCG_VO_lady_anshu_concerned_04"	"天啊……"
	"DCG_VO_lady_anshu_concerned_05"	"我们需要重振旗鼓。"
	"DCG_VO_lady_anshu_concerned_06"	"我会为大家争取些时间。"
	"DCG_VO_lady_anshu_concerned_07"	"还没有结束。"
	"DCG_VO_lady_anshu_concerned_08"	"我们不能失去希望。"
	"DCG_VO_lady_anshu_concerned_09"	"还没完呢。"
	"DCG_VO_lady_anshu_concerned_10"	"我们还有时间……"
	"DCG_VO_lady_anshu_angry_01"	"没人会可怜你。"
	"DCG_VO_lady_anshu_angry_02"	"不会对你手软的。"
	"DCG_VO_lady_anshu_angry_03"	"杀光他们！"
	"DCG_VO_lady_anshu_angry_04"	"你的报应来了……"
	"DCG_VO_lady_anshu_angry_05"	"这些可憎之人将被摧毁！"
	"DCG_VO_lady_anshu_angry_06"	"把他们打发回地狱！"
	"DCG_VO_lady_anshu_angry_07"	"你在地狱腐朽前，我绝不罢休。"
	"DCG_VO_lady_anshu_angry_08"	"我们绝不会放弃！"
	"DCG_VO_lady_anshu_angry_09"	"我们绝不投降！"
	"DCG_VO_lady_anshu_angry_10"	"该结束了！"
	"DCG_VO_lady_anshu_arrogant_01"	"鲁姆斯克无可匹敌。"
	"DCG_VO_lady_anshu_arrogant_02"	"我的力量无比神圣！"
	"DCG_VO_lady_anshu_arrogant_03"	"正义不会败落！"
	"DCG_VO_lady_anshu_arrogant_04"	"你以为我会怕了伪神吗？"
	"DCG_VO_lady_anshu_arrogant_05"	"他们根本不知道我有多大能耐。"
	"DCG_VO_lady_anshu_arrogant_06"	"对我们的介入心怀感激吧。"
	"DCG_VO_lady_anshu_arrogant_07"	"我以身作则。"
	"DCG_VO_lady_anshu_arrogant_08"	"邪恶阻止不了我。"
	"DCG_VO_lady_anshu_arrogant_09"	"我无所畏惧。"
	"DCG_VO_lady_anshu_arrogant_10"	"你似乎需要讨救兵了。"
	"DCG_VO_lady_anshu_enigmatic_01"	"我的信念无比坚定。"
	"DCG_VO_lady_anshu_enigmatic_02"	"圣布林，赐予我们力量吧。"
	"DCG_VO_lady_anshu_enigmatic_03"	"我们必须有备无患。"
	"DCG_VO_lady_anshu_enigmatic_04"	"要做的事还很多……"
	"DCG_VO_lady_anshu_enigmatic_05"	"我们需要做好万全的准备……"
	"DCG_VO_lady_anshu_enigmatic_06"	"邪恶之人无恶不作，我们必须做好准备。"
	"DCG_VO_lady_anshu_enigmatic_07"	"我们必须攻其不备。"
	"DCG_VO_lady_anshu_enigmatic_08"	"我们的力量大增。"
	"DCG_VO_lady_anshu_enigmatic_09"	"神必奖赏虔诚的信徒。"
	"DCG_VO_lady_anshu_enigmatic_10"	"有了圣人的帮助，一切皆有可能。"
	"DCG_VO_lady_anshu_death_01"	"<i>尖叫</i>"




}
