"dcg_vo_set_00"
{

	"DCG_VO_lady_anshu_intro"	"Ich weiß, dass einige von euch die Vhoul-Rebellion unterstützt haben … dass ihr geglaubt habt, Rix’ Sache sei gerecht; und dass Galanius ein Tyrann sei, dem gezeigt werden müsse, dass die Welt nicht die seine sei. Ich verstehe, warum ihr so gefühlt habt. Das spielt keine Rolle mehr. Rix hat den Schwur geleistet; und im Austausch für seine Seele hat der Gerichtshof von Ristul ihm die Mittel gegeben, Steinhalle zu zerstören. Ist Galanius ein Monster? Vielleicht. Aber zumindest ist er unter den Lebenden. Wir werden nicht untätig bleiben, während Dämonen die Männer, Frauen und Kinder von Steinhalle massakrieren. Wir werden marschieren. Und wir werden kämpfen. Und ja, viele von uns werden sterben; aber wir bieten unser Leben nicht aus Narrheit, sondern aus Notwendigkeit an … Denn wenn wir die Toten und Verdammten nicht aufhalten, wer dann?"
	"DCG_VO_lady_anshu_unique_02"	"Du wirst dir wünschen, du wärst in der Seuchestation gestorben, Rotund'jere."
	"DCG_VO_lady_anshu_unique_03"	"Ich werde deinen verrottenden Körper zurück an die Erde übergeben."
	"DCG_VO_lady_anshu_unique_04"	"In einer einzigen Schlacht auf der Seite der Gerechtigkeit zu kämpfen, erlöst dich nicht, Nekrophos."
	"DCG_VO_lady_anshu_unique_05"	"Es macht mich krank, an deiner Seite zu kämpfen."
	"DCG_VO_lady_anshu_unique_06"	"Rotund'jere, dein Marsch zur Erlösung wird ein langer sein."
	"DCG_VO_lady_anshu_unique_07"	"Folge mir und wir werden nicht versagen."
	"DCG_VO_lady_anshu_unique_08"	"Dies ist erst der Anfang unseres Kreuzzugs …"
	"DCG_VO_lady_anshu_unique_09"	"Auf uns wartet noch viel Arbeit …"
	"DCG_VO_lady_anshu_unique_10"	"Nieder mit den Unreinen!"
	"DCG_VO_lady_anshu_unique_11"	"Diese Welt gehört den Lebenden!"
	"DCG_VO_lady_anshu_unique_12"	"Rumusque wird sich immer gegen die Verdammten stellen!"
	"DCG_VO_lady_anshu_unique_13"	"Dein Streben nach Macht endet hier, Totenbeschwörer …"
	"DCG_VO_lady_anshu_unique_14"	"Die Toten sollten begraben bleiben …"
	"DCG_VO_lady_anshu_unique_15"	"Es ist eine Ehre, an deiner Seite zu kämpfen, Crella."
	"DCG_VO_lady_anshu_unique_16"	"Crella, du bist gekommen, um uns zu erlösen!"
	"DCG_VO_lady_anshu_unique_17"	"Crella, du hast unsere Gebete erhört …"
	"DCG_VO_lady_anshu_unique_18"	"Sei tapfer, mein Kind"
	"DCG_VO_lady_anshu_unique_19"	"Vielleicht kannst du im Tod Erlösung finden …"
	"DCG_VO_lady_anshu_unique_20"	"Du bist wahrlich ein Vorbild für uns alle, Crella …"
	"DCG_VO_lady_anshu_healed_01"	"Ahhh"
	"DCG_VO_lady_anshu_healed_02"	"Mein Dank."
	"DCG_VO_lady_anshu_healed_03"	"Das weiß ich zu würdigen …"
	"DCG_VO_lady_anshu_healed_04"	"Jetzt fühle ich mich schon besser …"
	"DCG_VO_lady_anshu_healed_05"	"Vielen Dank."
	"DCG_VO_lady_anshu_taunt_generic_01"	"Wir können nicht versagen!"
	"DCG_VO_lady_anshu_taunt_generic_02"	"Wir werden weiterkämpfen!"
	"DCG_VO_lady_anshu_taunt_generic_03"	"Das ist unser Moment!"
	"DCG_VO_lady_anshu_taunt_generic_04"	"Der Sieg ist uns sicher!"
	"DCG_VO_lady_anshu_taunt_generic_05"	"Jetzt ist es Zeit zuzuschlagen!"
	"DCG_VO_lady_anshu_taunt_generic_06"	"Läutere die Unreinen!"
	"DCG_VO_lady_anshu_taunt_generic_07"	"Vernichte sie!"
	"DCG_VO_lady_anshu_taunt_generic_08"	"Vernichte den Uralten!"
	"DCG_VO_lady_anshu_taunt_generic_09"	"Nimm den Turm!"
	"DCG_VO_lady_anshu_taunt_generic_10"	"Heilige Crella, führe uns zum Sieg!"
	"DCG_VO_lady_anshu_potential_kill_01"	"Bereue."
	"DCG_VO_lady_anshu_potential_kill_02"	"Dies ist das Ende."
	"DCG_VO_lady_anshu_potential_kill_03"	"Ich werde deinen niederen Machenschaften ein Ende bereiten."
	"DCG_VO_lady_anshu_potential_kill_04"	"Das wirst du nicht überleben."
	"DCG_VO_lady_anshu_potential_kill_05"	"Ergib dich oder stirb."
	"DCG_VO_lady_anshu_potential_save_01"	"Nicht heute."
	"DCG_VO_lady_anshu_potential_save_02"	"Die Götter beschützen mich."
	"DCG_VO_lady_anshu_potential_save_03"	"Meine Zeit ist noch nicht gekommen."
	"DCG_VO_lady_anshu_potential_save_04"	"Du machst mir keine Angst."
	"DCG_VO_lady_anshu_potential_save_05"	"Ich werde mich niemals dem Bösen unterwerfen."
	"DCG_VO_lady_anshu_permanent_armor_01"	"Die Rüstung des Glaubens."
	"DCG_VO_lady_anshu_permanent_armor_02"	"Die Heiligen beschützen mich."
	"DCG_VO_lady_anshu_permanent_armor_03"	"Versuch doch, mir etwas anzutun …"
	"DCG_VO_lady_anshu_permanent_armor_04"	"Im Kampf gibt es nichts, das ich fürchte."
	"DCG_VO_lady_anshu_permanent_armor_05"	"Ich werde eure Schwerter und Pfeile abkehren …"
	"DCG_VO_lady_anshu_permanent_attack_01"	"Die Heiligen führen meine Hand"
	"DCG_VO_lady_anshu_permanent_attack_02"	"Ich bin jetzt stärker."
	"DCG_VO_lady_anshu_permanent_attack_03"	"Ich werden unsere Feinde richten …"
	"DCG_VO_lady_anshu_permanent_attack_04"	"Meine Hand zerstört wie rettet gleichermaßen …"
	"DCG_VO_lady_anshu_permanent_attack_05"	"Meine Vergeltung ist göttlich …"
	"DCG_VO_lady_anshu_permanent_health_01"	"Ich bin noch nicht dazu bestimmt, zu sterben."
	"DCG_VO_lady_anshu_permanent_health_02"	"Meine Zeit ist noch nicht gekommen."
	"DCG_VO_lady_anshu_permanent_health_03"	"Der Glaube gibt mir Kraft."
	"DCG_VO_lady_anshu_permanent_health_04"	"Ich bin ein Vorbild für mein Volk."
	"DCG_VO_lady_anshu_permanent_health_05"	"Ich fühle mich erneuert."
	"DCG_VO_lady_anshu_cast_spell_01"	"Dies ist die Macht des Glaubens!"
	"DCG_VO_lady_anshu_cast_spell_02"	"Rumusque ist hier, um euch alle zu retten!"
	"DCG_VO_lady_anshu_cast_spell_03"	"Ich bringe die Erlösung!"
	"DCG_VO_lady_anshu_cast_spell_04"	"Ihr steht jetzt unter meinem Schutz!"
	"DCG_VO_lady_anshu_cast_spell_05"	"Ich lasse dich nicht sterben!"
	"DCG_VO_lady_anshu_cast_spell_06"	"Es gibt nichts, das wir nicht erreichen können …"
	"DCG_VO_lady_anshu_cast_spell_07"	"Wir fürchten das Böse nicht …"
	"DCG_VO_lady_anshu_cast_spell_08"	"Die Dunkelheit wird ausgetrieben werden."
	"DCG_VO_lady_anshu_cast_spell_09"	"Dir wird kein Unheil geschehen."
	"DCG_VO_lady_anshu_cast_spell_10"	"Ich zeige dir einen besseren Weg."
	"DCG_VO_lady_anshu_buff_ally_01"	"Lass mich dir helfen, Kind."
	"DCG_VO_lady_anshu_buff_ally_02"	"Rumusque ist hier, um zu helfen."
	"DCG_VO_lady_anshu_buff_ally_03"	"Ich werde deine Stärke sein."
	"DCG_VO_lady_anshu_buff_ally_04"	"Du bist nicht allein."
	"DCG_VO_lady_anshu_buff_ally_05"	"Wir müssen einander helfen."
	"DCG_VO_lady_anshu_buff_ally_06"	"Der Segen sei mit dir."
	"DCG_VO_lady_anshu_buff_ally_07"	"Gehe fort und tue Gutes."
	"DCG_VO_lady_anshu_buff_ally_08"	"Mögen die Pläne der Sünder ungeschehen gemacht werden."
	"DCG_VO_lady_anshu_buff_ally_09"	"Du hast meine Gunst."
	"DCG_VO_lady_anshu_buff_ally_10"	"Das Böse darf nicht siegen."
	"DCG_VO_lady_anshu_debuff_enemy_01"	"Du wirst vor mir zusammenbrechen."
	"DCG_VO_lady_anshu_debuff_enemy_02"	"Dies ist der Beginn deines Untergangs …"
	"DCG_VO_lady_anshu_debuff_enemy_03"	"Du wirst für deine Sünden bezahlen."
	"DCG_VO_lady_anshu_debuff_enemy_04"	"Das Böse hat hier keinen Platz."
	"DCG_VO_lady_anshu_debuff_enemy_05"	"Du wirst unter der Last deiner Sünden zermalmt werden …"
	"DCG_VO_lady_anshu_debuff_enemy_06"	"Du glaubst, du kannst gewinnen?"
	"DCG_VO_lady_anshu_debuff_enemy_07"	"Du wirst hier sterben."
	"DCG_VO_lady_anshu_debuff_enemy_08"	"Dieser Ort steht unter dem Schutz von Rumusque."
	"DCG_VO_lady_anshu_debuff_enemy_09"	"Du wirst es bereuen, hierhergekommen zu sein."
	"DCG_VO_lady_anshu_debuff_enemy_10"	"Du wirst scheitern."
	"DCG_VO_lady_anshu_single_target_damage_01"	"Das endet hier."
	"DCG_VO_lady_anshu_single_target_damage_02"	"Überlass das mir."
	"DCG_VO_lady_anshu_single_target_damage_03"	"Ich fürchte das Böse nicht."
	"DCG_VO_lady_anshu_single_target_damage_04"	"Du wirst im heiligen Licht brennen."
	"DCG_VO_lady_anshu_single_target_damage_05"	"Du bist nicht stärker als wir."
	"DCG_VO_lady_anshu_single_target_damage_06"	"Dein Terror endet hier."
	"DCG_VO_lady_anshu_single_target_damage_07"	"Das ist dein Ende."
	"DCG_VO_lady_anshu_single_target_damage_08"	"Ich schicke dich zur Hölle."
	"DCG_VO_lady_anshu_single_target_damage_09"	"Diese Welt hat keinen Platz für dich."
	"DCG_VO_lady_anshu_single_target_damage_10"	"Dein Leben ist verwirkt."
	"DCG_VO_lady_anshu_multi_damage_small_01"	"Ich komme schon zurecht."
	"DCG_VO_lady_anshu_multi_damage_small_02"	"Überlasst diese Narren mir."
	"DCG_VO_lady_anshu_multi_damage_small_03"	"Ihr seid den Aufwand kaum wert."
	"DCG_VO_lady_anshu_multi_damage_small_04"	"Ich stehe gegen alles Böse."
	"DCG_VO_lady_anshu_multi_damage_small_05"	"An mir kommt ihr nicht vorbei."
	"DCG_VO_lady_anshu_multi_damage_small_06"	"Eine unbedeutendes Ärgernis, mehr nicht."
	"DCG_VO_lady_anshu_multi_damage_small_07"	"Wie könnt ihr es wagen?"
	"DCG_VO_lady_anshu_multi_damage_small_08"	"Ich bin die fleischgewordene Erlösung!"
	"DCG_VO_lady_anshu_multi_damage_small_09"	"Wir haben nichts zu befürchten."
	"DCG_VO_lady_anshu_multi_damage_small_10"	"Lasst mich um sie kümmern."
	"DCG_VO_lady_anshu_multi_damage_large_01"	"TUT BUẞE!"
	"DCG_VO_lady_anshu_multi_damage_large_02"	"Das ist die Macht von Rumusque!"
	"DCG_VO_lady_anshu_multi_damage_large_03"	"Die Heiligen werden uns nicht versagen lassen!"
	"DCG_VO_lady_anshu_multi_damage_large_04"	"Wir sind in heiligem Licht getaucht!"
	"DCG_VO_lady_anshu_multi_damage_large_05"	"Die Sünder werden brennen!"
	"DCG_VO_lady_anshu_multi_damage_large_06"	"Nur die Rechtschaffenen werden überleben!"
	"DCG_VO_lady_anshu_multi_damage_large_07"	"Ich werde diesen Ort vom Bösen reinigen!"
	"DCG_VO_lady_anshu_multi_damage_large_08"	"Die Stunde des Jüngsten Gerichts ist gekommen."
	"DCG_VO_lady_anshu_multi_damage_large_09"	"Ihr wurdet für unzulänglich befunden."
	"DCG_VO_lady_anshu_multi_damage_large_10"	"Das Licht wird die Dunkelheit vertreiben!"
	"DCG_VO_lady_anshu_pleased_01"	"Ausgezeichnet."
	"DCG_VO_lady_anshu_pleased_02"	"Das funktioniert."
	"DCG_VO_lady_anshu_pleased_03"	"Die Heiligen seien gepriesen."
	"DCG_VO_lady_anshu_pleased_04"	"Wir danken den Heiligen."
	"DCG_VO_lady_anshu_pleased_05"	"Wir wurden gesegnet."
	"DCG_VO_lady_anshu_pleased_06"	"Genau das, was wir brauchten."
	"DCG_VO_lady_anshu_pleased_07"	"Eine dringend benötigte Atempause."
	"DCG_VO_lady_anshu_pleased_08"	"Die Heiligen sorgen für uns."
	"DCG_VO_lady_anshu_pleased_09"	"Unsere Arbeit geht weiter."
	"DCG_VO_lady_anshu_pleased_10"	"Dies ist erst der Anfang."
	"DCG_VO_lady_anshu_concerned_01"	"Wir dürfen nicht selbstgefällig sein."
	"DCG_VO_lady_anshu_concerned_02"	"Das ist schlimmer als ich dachte …"
	"DCG_VO_lady_anshu_concerned_03"	"Der heilige Malik gibt mir Weisheit."
	"DCG_VO_lady_anshu_concerned_04"	"Mein Gott …"
	"DCG_VO_lady_anshu_concerned_05"	"Wir müssen uns neu formieren."
	"DCG_VO_lady_anshu_concerned_06"	"Ich versuche, uns etwas Zeit zu verschaffen."
	"DCG_VO_lady_anshu_concerned_07"	"Es ist noch nicht vorbei."
	"DCG_VO_lady_anshu_concerned_08"	"Wir dürfen die Hoffnung nicht aufgeben."
	"DCG_VO_lady_anshu_concerned_09"	"Dies ist nicht das Ende."
	"DCG_VO_lady_anshu_concerned_10"	"Wir haben noch Zeit …"
	"DCG_VO_lady_anshu_angry_01"	"Dich erwartet keine Gnade."
	"DCG_VO_lady_anshu_angry_02"	"Es wird keine Gnade geben."
	"DCG_VO_lady_anshu_angry_03"	"TÖTET SIE ALLE!"
	"DCG_VO_lady_anshu_angry_04"	"Die Stunde der Wahrheit wird für euch schlagen …"
	"DCG_VO_lady_anshu_angry_05"	"Diese Abscheulichkeiten werden vernichtet werden!"
	"DCG_VO_lady_anshu_angry_06"	"Schickt sie zurück zur Hölle!"
	"DCG_VO_lady_anshu_angry_07"	"Ich werde nicht ruhen, bis du in der Verdammnis verrottest."
	"DCG_VO_lady_anshu_angry_08"	"Wir werden niemals aufgeben!"
	"DCG_VO_lady_anshu_angry_09"	"Wir werden nicht aufgeben!"
	"DCG_VO_lady_anshu_angry_10"	"Das endet jetzt!"
	"DCG_VO_lady_anshu_arrogant_01"	"Rumusque ist ohnegleichen."
	"DCG_VO_lady_anshu_arrogant_02"	"Meine Macht ist göttlich!"
	"DCG_VO_lady_anshu_arrogant_03"	"Die Rechtschaffenen werden nicht fallen!"
	"DCG_VO_lady_anshu_arrogant_04"	"Glaubst du, ich habe Angst vor Scharlatanen?"
	"DCG_VO_lady_anshu_arrogant_05"	"Sie haben keine Ahnung, wozu ich fähig bin."
	"DCG_VO_lady_anshu_arrogant_06"	"Sei dankbar für unsere Intervention."
	"DCG_VO_lady_anshu_arrogant_07"	"Ich gehe mit gutem Beispiel voran."
	"DCG_VO_lady_anshu_arrogant_08"	"Das Böse kann mich nicht aufhalten."
	"DCG_VO_lady_anshu_arrogant_09"	"Es gibt nichts, wovor ich mich fürchte."
	"DCG_VO_lady_anshu_arrogant_10"	"Sieht aus, als bräuchtest du Hilfe."
	"DCG_VO_lady_anshu_enigmatic_01"	"Mein Glaube ist stark."
	"DCG_VO_lady_anshu_enigmatic_02"	"Heiliger Breen, gib uns Kraft."
	"DCG_VO_lady_anshu_enigmatic_03"	"Wir müssen uns vorbereiten."
	"DCG_VO_lady_anshu_enigmatic_04"	"Es gibt viel zu tun …"
	"DCG_VO_lady_anshu_enigmatic_05"	"Wir müssen auf alles vorbereitet sein …"
	"DCG_VO_lady_anshu_enigmatic_06"	"Die Sünder sind zu allem fähig. Wir müssen uns vorbereiten."
	"DCG_VO_lady_anshu_enigmatic_07"	"Wir müssen sie überraschen."
	"DCG_VO_lady_anshu_enigmatic_08"	"Unsere Macht wächst."
	"DCG_VO_lady_anshu_enigmatic_09"	"Die Gläubigen werden belohnt werden."
	"DCG_VO_lady_anshu_enigmatic_10"	"Mit der Hilfe der Heiligen ist alles möglich."
	"DCG_VO_lady_anshu_death_01"	"<i>schreit</i>"




}
