"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"W wielu sprawach nie zgadzam się z Pierpontem, ale był dość mądry, by przewidzieć konsekwencje drażnienia Bezlicej Pustki. Nie jestem wielką zwolenniczką układu z Claszureme, chronomancja była bardzo zabawna. Ale wiesz, co jest równie zabawne? Uchronienie swojej osi czasu od unicestwienia."
"DCG_VO_ogre_bruiser_use_include_02"	"Gotowy na wszystko."
"DCG_VO_ogre_bruiser_use_include_03"	"Gotowy do walki."
"DCG_VO_ogre_bruiser_unique_01"	"Skąd mogę wziąć drugą głowę?"
"DCG_VO_ogre_bruiser_unique_02"	"Jesteś taki mądry, Magu."
"DCG_VO_ogre_bruiser_unique_03"	"Rozbijanie czaszek dla ciebie, Magu, to zaszczyt."
"DCG_VO_ogre_bruiser_unique_04"	"Jak jest w Brązowym Legionie?"
"DCG_VO_ogre_bruiser_unique_05"	"Masz fajny metalowy tatuaż."
"DCG_VO_ogre_bruiser_unique_06"	"Zjedz Tresdin i obejmij dowództwo."
"DCG_VO_ogre_bruiser_unique_07"	"Naprawdę potrafisz fajnie podkręcać rzuty tymi trupami."
"DCG_VO_ogre_bruiser_unique_08"	"Musisz mnie nauczyć rzucania ciałami."
"DCG_VO_ogre_bruiser_unique_09"	"Najbardziej lubię, jak rzucasz martwymi ciałami."
"DCG_VO_ogre_bruiser_unique_10"	"Patrzcie, jaki elegancki gladiator."
"DCG_VO_ogre_bruiser_unique_11"	"Masz się za kogoś lepszego, bo znasz te wszystkie mądre słowa?"
"DCG_VO_ogre_bruiser_unique_12"	"Ogrowi wystarczą dwie ręce, żeby zabić kogoś pozszywanego z kawałków!"
"DCG_VO_ogre_bruiser_unique_13"	"Masz fajne włosy."
"DCG_VO_ogre_bruiser_unique_14"	"Jesteś miła, Panno. Mam nadzieję, że nikt nie rozwali ci głowy."
"DCG_VO_ogre_bruiser_unique_15"	"Walczę dla Świetlistego."
"DCG_VO_ogre_bruiser_unique_16"	"Dzięki Świetlistemu mam cel!"
"DCG_VO_ogre_bruiser_unique_17"	"Dzięki, że wskazujesz mi drogę, Prellex."
"DCG_VO_ogre_bruiser_unique_18"	"Walczę dla Mrocznego."
"DCG_VO_ogre_bruiser_unique_19"	"Dzięki Mrocznemu mam cel!"
"DCG_VO_ogre_bruiser_unique_20"	"Dzięki, że wskazujesz mi drogę, Kanna."
"DCG_VO_ogre_bruiser_healed_01"	"Aaach."
"DCG_VO_ogre_bruiser_healed_02"	"Dobrze."
"DCG_VO_ogre_bruiser_healed_03"	"Wciąż walczę."
"DCG_VO_ogre_bruiser_healed_04"	"Jestem gotów na dalsze cięgi..."
"DCG_VO_ogre_bruiser_healed_05"	"To było miłe."
"DCG_VO_ogre_bruiser_taunt_generic_01"	"Rozwalić ich!"
"DCG_VO_ogre_bruiser_taunt_generic_02"	"Zburzyć wieżę!"
"DCG_VO_ogre_bruiser_taunt_generic_03"	"Zniszczyć Starożytnego!"
"DCG_VO_ogre_bruiser_taunt_generic_04"	"Zburzyć wszystko!"
"DCG_VO_ogre_bruiser_taunt_generic_05"	"Pokażmy naszą siłę!"
"DCG_VO_ogre_bruiser_taunt_generic_06"	"Spalić wszystko!"
"DCG_VO_ogre_bruiser_taunt_generic_07"	"Rozbić ich!"
"DCG_VO_ogre_bruiser_taunt_generic_08"	"Wygramy!"
"DCG_VO_ogre_bruiser_taunt_generic_09"	"Nie powstrzymają nas!"
"DCG_VO_ogre_bruiser_taunt_generic_10"	"Do walki!"
"DCG_VO_ogre_bruiser_potential_kill_01"	"Mam cię."
"DCG_VO_ogre_bruiser_potential_kill_02"	"Już nie żyjesz."
"DCG_VO_ogre_bruiser_potential_kill_03"	"Zjem twoje truchło..."
"DCG_VO_ogre_bruiser_potential_kill_04"	"Nie uciekniesz."
"DCG_VO_ogre_bruiser_potential_kill_05"	"Teraz zginiesz."
"DCG_VO_ogre_bruiser_potential_save_01"	"Ha!"
"DCG_VO_ogre_bruiser_potential_save_02"	"Nic z tego."
"DCG_VO_ogre_bruiser_potential_save_03"	"Nie wyzionę tu ducha..."
"DCG_VO_ogre_bruiser_potential_save_04"	"Nie możesz mnie zabić."
"DCG_VO_ogre_bruiser_potential_save_05"	"Nie jestem od ciebie gorszy."
"DCG_VO_ogre_bruiser_permanent_armor_01"	"Mam grubą skórę."
"DCG_VO_ogre_bruiser_permanent_armor_02"	"Niech teraz spróbują mnie dźgnąć."
"DCG_VO_ogre_bruiser_permanent_armor_03"	"Nie zranią mnie."
"DCG_VO_ogre_bruiser_permanent_armor_04"	"Nie martwią mnie jakieś stwory..."
"DCG_VO_ogre_bruiser_permanent_armor_05"	"Jestem stworzony do wojny."
"DCG_VO_ogre_bruiser_permanent_attack_01"	"Czuję się mocniejszy."
"DCG_VO_ogre_bruiser_permanent_attack_02"	"Nie ma na mnie mocnych."
"DCG_VO_ogre_bruiser_permanent_attack_03"	"Silniejszy niż kiedykolwiek."
"DCG_VO_ogre_bruiser_permanent_attack_04"	"Czuję w sobie moc."
"DCG_VO_ogre_bruiser_permanent_attack_05"	"Potęga!"
"DCG_VO_ogre_bruiser_permanent_health_01"	"Trzeba się będzie wysilić, żeby mnie zabić."
"DCG_VO_ogre_bruiser_permanent_health_02"	"Nigdzie się nie wybieram."
"DCG_VO_ogre_bruiser_permanent_health_03"	"Nie padnę w boju!"
"DCG_VO_ogre_bruiser_permanent_health_04"	"Nikt mnie nie zabije!"
"DCG_VO_ogre_bruiser_permanent_health_05"	"Zdrowie jest ważne. Zdrowy zabija więcej ludzi."
"DCG_VO_ogre_bruiser_cast_spell_01"	"Znam się trochę na ogrzej magii..."
"DCG_VO_ogre_bruiser_cast_spell_02"	"Zburzyć to!"
"DCG_VO_ogre_bruiser_cast_spell_03"	"Nie zrobisz tego!"
"DCG_VO_ogre_bruiser_cast_spell_04"	"Widzę ich!"
"DCG_VO_ogre_bruiser_cast_spell_05"	"Nie przepuszczę ich."
"DCG_VO_ogre_bruiser_cast_spell_06"	"Myślisz, że będzie łatwo?"
"DCG_VO_ogre_bruiser_cast_spell_07"	"Mam wielu przyjaciół..."
"DCG_VO_ogre_bruiser_cast_spell_08"	"Mam nadzieję, że to zadziała..."
"DCG_VO_ogre_bruiser_cast_spell_09"	"To będzie ciekawe..."
"DCG_VO_ogre_bruiser_cast_spell_10"	"Cóż. Coś się stanie."
"DCG_VO_ogre_bruiser_buff_ally_01"	"Pokażę ci, jak trzeba walczyć..."
"DCG_VO_ogre_bruiser_buff_ally_02"	"Teraz jesteś moim kumplem."
"DCG_VO_ogre_bruiser_buff_ally_03"	"Kumple pomagają kumplom zabijać innych ludzi."
"DCG_VO_ogre_bruiser_buff_ally_04"	"Osłaniam cię."
"DCG_VO_ogre_bruiser_buff_ally_05"	"Jestem z tobą."
"DCG_VO_ogre_bruiser_buff_ally_06"	"Razem możemy wygrać."
"DCG_VO_ogre_bruiser_buff_ally_07"	"Lubię imprezy integracyjne."
"DCG_VO_ogre_bruiser_buff_ally_08"	"To powinno pomóc."
"DCG_VO_ogre_bruiser_buff_ally_09"	"To dla ciebie."
"DCG_VO_ogre_bruiser_buff_ally_10"	"Od czego ma się przyjaciół?"
"DCG_VO_ogre_bruiser_debuff_enemy_01"	"Połamię ci kulasy..."
"DCG_VO_ogre_bruiser_debuff_enemy_02"	"Nie wytrzymasz długo..."
"DCG_VO_ogre_bruiser_debuff_enemy_03"	"Ciekawe, jak długo wytrzymasz..."
"DCG_VO_ogre_bruiser_debuff_enemy_04"	"Zabaw mnie, głupi człowieku..."
"DCG_VO_ogre_bruiser_debuff_enemy_05"	"To zabawne, że próbujesz nie zginąć."
"DCG_VO_ogre_bruiser_debuff_enemy_06"	"Powodzenia."
"DCG_VO_ogre_bruiser_debuff_enemy_07"	"Żałosne."
"DCG_VO_ogre_bruiser_debuff_enemy_08"	"Mam nadzieję, że smakujesz lepiej, niż walczysz."
"DCG_VO_ogre_bruiser_debuff_enemy_09"	"Nie wytrzymasz tego."
"DCG_VO_ogre_bruiser_debuff_enemy_10"	"Chcę patrzeć, jak zwijasz się z bólu."
"DCG_VO_ogre_bruiser_single_target_damage_01"	"Zamierzam odciąć ci łapy..."
"DCG_VO_ogre_bruiser_single_target_damage_02"	"Będę cię używać zamiast pałki."
"DCG_VO_ogre_bruiser_single_target_damage_03"	"Jesteś trupem."
"DCG_VO_ogre_bruiser_single_target_damage_04"	"Mogę zabić każdego."
"DCG_VO_ogre_bruiser_single_target_damage_05"	"Zetrę twoje kości na proch."
"DCG_VO_ogre_bruiser_single_target_damage_06"	"Posilę się twoim truchłem."
"DCG_VO_ogre_bruiser_single_target_damage_07"	"Jestem najsilniejszy!"
"DCG_VO_ogre_bruiser_single_target_damage_08"	"Zamierzam wgnieść ci czaszkę."
"DCG_VO_ogre_bruiser_single_target_damage_09"	"Zabiję cię gołymi rękami!"
"DCG_VO_ogre_bruiser_single_target_damage_10"	"Mam nadzieję, że stawisz opór..."
"DCG_VO_ogre_bruiser_multi_damage_small_01"	"To już wszystko, co na mnie macie?"
"DCG_VO_ogre_bruiser_multi_damage_small_02"	"Wasza armia jest żałosna."
"DCG_VO_ogre_bruiser_multi_damage_small_03"	"Rozwalę was wszystkich!"
"DCG_VO_ogre_bruiser_multi_damage_small_04"	"Zrobi się trochę bałaganu..."
"DCG_VO_ogre_bruiser_multi_damage_small_05"	"Robi się całkiem ciekawie..."
"DCG_VO_ogre_bruiser_multi_damage_small_06"	"Żeby mnie zatrzymać, trzeba czegoś lepszego niż wy..."
"DCG_VO_ogre_bruiser_multi_damage_small_07"	"Bójki w barach bywały ostrzejsze..."
"DCG_VO_ogre_bruiser_multi_damage_small_08"	"Do walki, tchórze!"
"DCG_VO_ogre_bruiser_multi_damage_small_09"	"To nie potrwa długo..."
"DCG_VO_ogre_bruiser_multi_damage_small_10"	"Żałosne stwory..."
"DCG_VO_ogre_bruiser_multi_damage_large_01"	"No dalej!"
"DCG_VO_ogre_bruiser_multi_damage_large_02"	"Dam sobie z wami radę!"
"DCG_VO_ogre_bruiser_multi_damage_large_03"	"Zabiję was wszystkich!"
"DCG_VO_ogre_bruiser_multi_damage_large_04"	"Wszystkich was czeka śmierć!"
"DCG_VO_ogre_bruiser_multi_damage_large_05"	"Zniszczę was wszystkich!"
"DCG_VO_ogre_bruiser_multi_damage_large_06"	"Nie puszczać nikogo żywcem!"
"DCG_VO_ogre_bruiser_multi_damage_large_07"	"Nikt nie ucieknie!"
"DCG_VO_ogre_bruiser_multi_damage_large_08"	"Nikt nie ujdzie z życiem!"
"DCG_VO_ogre_bruiser_multi_damage_large_09"	"<i>ryczy</i>"
"DCG_VO_ogre_bruiser_multi_damage_large_10"	"WALCZMY!"
"DCG_VO_ogre_bruiser_pleased_01"	"Było łatwiej, niż sądziłem."
"DCG_VO_ogre_bruiser_pleased_02"	"Po prostu pozwalają nam się rozdeptać..."
"DCG_VO_ogre_bruiser_pleased_03"	"<i>wzdycha z zadowoleniem</i>"
"DCG_VO_ogre_bruiser_pleased_04"	"To doświadczenie stworzyło między nami więź."
"DCG_VO_ogre_bruiser_pleased_05"	"Uważam, że wszyscy się dzisiaj czegoś nauczyliśmy."
"DCG_VO_ogre_bruiser_pleased_06"	"Walka naprawdę zbliża ludzi do siebie."
"DCG_VO_ogre_bruiser_pleased_07"	"Lubię spotykać nowych ludzi i ich zabijać."
"DCG_VO_ogre_bruiser_pleased_08"	"Nie mogłoby być lepiej."
"DCG_VO_ogre_bruiser_pleased_09"	"Szczęśliwy!"
"DCG_VO_ogre_bruiser_pleased_10"	"Lubię to."
"DCG_VO_ogre_bruiser_concerned_01"	"Oho... niedobrze..."
"DCG_VO_ogre_bruiser_concerned_02"	"Nie podoba mi się to..."
"DCG_VO_ogre_bruiser_concerned_03"	"Nie tak to sobie wyobrażałem..."
"DCG_VO_ogre_bruiser_concerned_04"	"Nie wiem, skąd to przeczucie, że umrę..."
"DCG_VO_ogre_bruiser_concerned_05"	"Nie sądzę, byśmy wygrywali..."
"DCG_VO_ogre_bruiser_concerned_06"	"Potrzebny nam nowy plan..."
"DCG_VO_ogre_bruiser_concerned_07"	"To, co robimy, nie działa..."
"DCG_VO_ogre_bruiser_concerned_08"	"Jest ich cała masa..."
"DCG_VO_ogre_bruiser_concerned_09"	"Taka masa ludzi, a ja mogę ucapić tylko dwa kamienie."
"DCG_VO_ogre_bruiser_concerned_10"	"Potrzebny mi nowy plan..."
"DCG_VO_ogre_bruiser_angry_01"	"Wyzywam cię!"
"DCG_VO_ogre_bruiser_angry_02"	"Staw mi czoła, jeśli śmiesz!"
"DCG_VO_ogre_bruiser_angry_03"	"Nie radzę mnie drażnić."
"DCG_VO_ogre_bruiser_angry_04"	"To była bardzo, bardzo głupia pomyłka."
"DCG_VO_ogre_bruiser_angry_05"	"Zmiażdżę twój głupi czerep."
"DCG_VO_ogre_bruiser_angry_06"	"Podłubię sobie w zębach twoimi kośćmi..."
"DCG_VO_ogre_bruiser_angry_07"	"Nikt z was mnie nie powstrzyma!"
"DCG_VO_ogre_bruiser_angry_08"	"Będę walczyć z każdym!"
"DCG_VO_ogre_bruiser_angry_09"	"Udowodnię, że jestem najsilniejszy!"
"DCG_VO_ogre_bruiser_angry_10"	"Jak śmiesz?!"
"DCG_VO_ogre_bruiser_arrogant_01"	"Myślałem, że to wyzwanie to coś na poważnie!"
"DCG_VO_ogre_bruiser_arrogant_02"	"Nie ma nic silniejszego od ogra!"
"DCG_VO_ogre_bruiser_arrogant_03"	"Nikt mnie nie powstrzyma!"
"DCG_VO_ogre_bruiser_arrogant_04"	"Z moim sprytem nie trzeba mieć planu..."
"DCG_VO_ogre_bruiser_arrogant_05"	"Plany są dla tych, co nie potrafią oderwać koniu nogi..."
"DCG_VO_ogre_bruiser_arrogant_06"	"Plan przyda mi się, gdy będę miał problem, którego nie da się rozwiązać kamieniem."
"DCG_VO_ogre_bruiser_arrogant_07"	"Nigdy się nie poddam..."
"DCG_VO_ogre_bruiser_arrogant_08"	"Tylko tchórze boją się śmierci..."
"DCG_VO_ogre_bruiser_arrogant_09"	"Myślałem, że to będzie walka na serio..."
"DCG_VO_ogre_bruiser_arrogant_10"	"Spodziewałem się po tobie czegoś więcej..."
"DCG_VO_ogre_bruiser_enigmatic_01"	"Zrobię to, co trzeba."
"DCG_VO_ogre_bruiser_enigmatic_02"	"Zrobię wszystko, co będzie trzeba."
"DCG_VO_ogre_bruiser_enigmatic_03"	"Nie istnieje rzecz, której nie rozwalę."
"DCG_VO_ogre_bruiser_enigmatic_04"	"Nie istnieje rzecz, której nie zniszczę."
"DCG_VO_ogre_bruiser_enigmatic_05"	"Zburzę ich obronę."
"DCG_VO_ogre_bruiser_enigmatic_06"	"Slacks mnie uwielbia. I to wystarczy."
"DCG_VO_ogre_bruiser_enigmatic_07"	"Zmierzę się z każdym..."
"DCG_VO_ogre_bruiser_enigmatic_08"	"Nie boję się nikogo."
"DCG_VO_ogre_bruiser_enigmatic_09"	"Dziwne..."
"DCG_VO_ogre_bruiser_enigmatic_10"	"Ciekawe, do czego to służy..."
"DCG_VO_ogre_bruiser_death_01"	"<i>krzyczy</i>"
"DCG_VO_prowler_shaman_intro"	"Magnus przyniósł dziecko i powierzył je naszej opiece. Nie mówił dlaczego, bo nie musiał. Wiedziałem, kim była i kim miała się stać."
"DCG_VO_prowler_shaman_equip_generic_weapon_01"	"Wyjdę naprzeciw niebezpieczeństwom."
"DCG_VO_prowler_shaman_equip_generic_weapon_02"	"Moja broń jest gotowa."
"DCG_VO_prowler_shaman_equip_generic_weapon_03"	"Jestem tu, by walczyć."
"DCG_VO_prowler_shaman_equip_generic_weapon_04"	"Obronię nas wszystkich."
"DCG_VO_prowler_shaman_equip_generic_weapon_05"	"Czatownicy czuwają."
"DCG_VO_prowler_shaman_equip_generic_armor_01"	"Nie opuszczam sojuszników."
"DCG_VO_prowler_shaman_equip_generic_armor_02"	"Nie będę się kryć przed niebezpieczeństwem."
"DCG_VO_prowler_shaman_equip_generic_armor_03"	"Wrogowie już po mnie idą, ale jestem gotowy."
"DCG_VO_prowler_shaman_equip_generic_armor_04"	"Nie będę unikać walki."
"DCG_VO_prowler_shaman_equip_generic_armor_05"	"Stawię opór każdemu, kto nadejdzie."
"DCG_VO_prowler_shaman_equip_generic_accessory_01"	"To się przyda."
"DCG_VO_prowler_shaman_equip_generic_accessory_02"	"To może zmienić bieg wydarzeń."
"DCG_VO_prowler_shaman_equip_generic_accessory_03"	"To jest właśnie to, czego potrzebowałem."
"DCG_VO_prowler_shaman_equip_generic_accessory_04"	"Idealnie."
"DCG_VO_prowler_shaman_equip_generic_accessory_05"	"To się pojawia w samą porę."
"DCG_VO_prowler_shaman_kill_rival_01"	"Opuść to miejsce."
"DCG_VO_prowler_shaman_kill_rival_02"	"Nie pasujesz tu."
"DCG_VO_prowler_shaman_kill_rival_03"	"To jest mój las."
"DCG_VO_prowler_shaman_kill_rival_04"	"Czatownicy niczego się nie boją..."
"DCG_VO_prowler_shaman_kill_rival_05"	"Kto następny?"
"DCG_VO_prowler_shaman_kill_rival_06"	"To była dobra walka."
"DCG_VO_prowler_shaman_kill_rival_07"	"Masz siłę. Ja mam większą."
"DCG_VO_prowler_shaman_kill_rival_08"	"Twoje szanse od początku były mizerne."
"DCG_VO_prowler_shaman_kill_rival_09"	"Szlachetne starania."
"DCG_VO_prowler_shaman_kill_rival_10"	"Żaden z ciebie wojownik."
"DCG_VO_prowler_shaman_unique_01"	"Dobrze walczyć u twego boku, stary druhu."
"DCG_VO_prowler_shaman_unique_02"	"Ilexa jest u nas bezpieczna, Magnusie."
"DCG_VO_prowler_shaman_unique_03"	"Mądrze, żeś nam zaufał..."
"DCG_VO_prowler_shaman_unique_04"	"Lubisz się popisywać, Rooftrellen, ale cieszę się, że walczymy po tej samej stronie."
"DCG_VO_prowler_shaman_unique_05"	"Nikt nas nie ruszy, Drzewcu."
"DCG_VO_prowler_shaman_unique_06"	"Stań u mego boku, Magnusie."
"DCG_VO_prowler_shaman_unique_07"	"Dobrze znów cię widzieć, Zaklinaczko. Jesteś promienna jak zawsze."
"DCG_VO_prowler_shaman_unique_08"	"Moi sojusznicy zyskają ochronę."
"DCG_VO_prowler_shaman_unique_09"	"Męczy mnie ten rozlew krwi."
"DCG_VO_prowler_shaman_unique_10"	"Natura opowie się po naszej stronie."
"DCG_VO_prowler_shaman_unique_11"	"Centaury nie są tu mile widziane..."
"DCG_VO_prowler_shaman_unique_12"	"Wasze „święte polowanie” to farsa..."
"DCG_VO_prowler_shaman_unique_13"	"Nie pozwolę ci polować na mieszkańców tego lasu."
"DCG_VO_prowler_shaman_unique_14"	"Trzymaj się blisko mnie, dziecko, ochronię cię."
"DCG_VO_prowler_shaman_unique_15"	"Nie pozwól prowadzić się Rixowi na śmierć."
"DCG_VO_prowler_shaman_unique_16"	"Dobrze mieć przekonania, ale nie odrzucaj daru życia, dziecko."
"DCG_VO_prowler_shaman_unique_17"	"Czego ci trzeba, Rix?"
"DCG_VO_prowler_shaman_unique_18"	"Jak mogę wspomóc rebelię?"
"DCG_VO_prowler_shaman_unique_19"	"To był słuszny wybór, Rix."
"DCG_VO_prowler_shaman_unique_20"	"Jak tam rebelia, Rix?"
"DCG_VO_prowler_shaman_healed_01"	"Aaach."
"DCG_VO_prowler_shaman_healed_02"	"Dzięki."
"DCG_VO_prowler_shaman_healed_03"	"Doceniam to."
"DCG_VO_prowler_shaman_healed_04"	"Masz idealne wyczucie czasu..."
"DCG_VO_prowler_shaman_healed_05"	"Okazuje się, że dzisiaj to ja potrzebowałem pomocy..."
"DCG_VO_prowler_shaman_taunt_generic_01"	"Zwycięstwo jest nasze!"
"DCG_VO_prowler_shaman_taunt_generic_02"	"Zniszczyć Starożytnego!"
"DCG_VO_prowler_shaman_taunt_generic_03"	"Ich Starożytny upadnie!"
"DCG_VO_prowler_shaman_taunt_generic_04"	"Nie ulegniemy!"
"DCG_VO_prowler_shaman_taunt_generic_05"	"Czas z tym kończyć!"
"DCG_VO_prowler_shaman_taunt_generic_06"	"Możemy wygrać tę wojnę!"
"DCG_VO_prowler_shaman_taunt_generic_07"	"Wkrótce las będzie bezpieczny!"
"DCG_VO_prowler_shaman_taunt_generic_08"	"To będzie nasze wspólne zwycięstwo!"
"DCG_VO_prowler_shaman_taunt_generic_09"	"Tak trzymać, a wygramy!"
"DCG_VO_prowler_shaman_taunt_generic_10"	"Nie damy się usunąć!"
"DCG_VO_prowler_shaman_potential_kill_01"	"Mam cię teraz."
"DCG_VO_prowler_shaman_potential_kill_02"	"Przede mną nie ma ucieczki."
"DCG_VO_prowler_shaman_potential_kill_03"	"Nie pokonasz mnie."
"DCG_VO_prowler_shaman_potential_kill_04"	"Całkiem dobrze walczysz, ale to za mało."
"DCG_VO_prowler_shaman_potential_kill_05"	"Piękny, lecz próżny wysiłek."
"DCG_VO_prowler_shaman_potential_save_01"	"To nie było tak sprytne, jak ci się wydawało."
"DCG_VO_prowler_shaman_potential_save_02"	"Starasz się."
"DCG_VO_prowler_shaman_potential_save_03"	"Jeszcze mi nie czas umierać."
"DCG_VO_prowler_shaman_potential_save_04"	"Prawie zacząłem się martwić..."
"DCG_VO_prowler_shaman_potential_save_05"	"Mało brakowało."
"DCG_VO_prowler_shaman_permanent_armor_01"	"Nie zawiodę moich ludzi."
"DCG_VO_prowler_shaman_permanent_armor_02"	"Będę miał ochronę."
"DCG_VO_prowler_shaman_permanent_armor_03"	"Nie będzie mnie łatwo usunąć."
"DCG_VO_prowler_shaman_permanent_armor_04"	"Prosty urok, a jednak taki przydatny."
"DCG_VO_prowler_shaman_permanent_armor_05"	"Muszę pozostać przy życiu..."
"DCG_VO_prowler_shaman_permanent_attack_01"	"Teraz jestem silniejszy."
"DCG_VO_prowler_shaman_permanent_attack_02"	"Rozedrę naszych wrogów na strzępy."
"DCG_VO_prowler_shaman_permanent_attack_03"	"Dawać mi moich wrogów."
"DCG_VO_prowler_shaman_permanent_attack_04"	"Pokażę im moc czatownika."
"DCG_VO_prowler_shaman_permanent_attack_05"	"Jestem gotowy do walki."
"DCG_VO_prowler_shaman_permanent_health_01"	"Niech spróbują mnie zabić."
"DCG_VO_prowler_shaman_permanent_health_02"	"Nie dam się upolować."
"DCG_VO_prowler_shaman_permanent_health_03"	"Wytrzymam wszystko."
"DCG_VO_prowler_shaman_permanent_health_04"	"Przeżywają tyko najlepiej dostosowani."
"DCG_VO_prowler_shaman_permanent_health_05"	"Moje męstwo nie zna granic."
"DCG_VO_prowler_shaman_cast_spell_01"	"Zrobię wszystko, by ochronić moich ludzi."
"DCG_VO_prowler_shaman_cast_spell_02"	"Sama dżungla daje mi siłę..."
"DCG_VO_prowler_shaman_cast_spell_03"	"Nigdy mnie nie przechytrzysz."
"DCG_VO_prowler_shaman_cast_spell_04"	"Jestem przebieglejszy, niż sądzisz..."
"DCG_VO_prowler_shaman_cast_spell_05"	"Tutaj rządzę ja."
"DCG_VO_prowler_shaman_cast_spell_06"	"Moc czatownika jest niezrównana!"
"DCG_VO_prowler_shaman_cast_spell_07"	"Nie masz pojęcia, co dla ciebie szykuję..."
