"dcg_vo_set_00"
{

	"DCG_VO_lady_anshu_intro"	"Sé que algunos de ustedes apoyaron la rebelión de Vhoul... Pensaron que la causa de Rix era correcta y que Galanius era un tirano que necesitaba demostrar que el mundo no era suyo. Entiendo por qué se sintieron así. Ya no importa. Rix hizo el juramento y, a cambio de su alma, la Corte de Ristul le dio los medios para destruir Stonehall. ¿Galanius es un monstruo? Puede que sí. Pero al menos es un monstruo de los vivos. No vamos a esperar de brazos cruzados mientras los demonios matan a los hombres, mujeres y niños de Stonehall. Nosotros avanzaremos y pelearemos. Y sí, muchos de nosotros moriremos, pero ofrecemos nuestra vida no por locura sino por necesidad. Porque si no detenemos a los muertos y a los malditos, ¿quién lo hará?"
	"DCG_VO_lady_anshu_debuff_enemy_07"	"Morirás aquí."
	"DCG_VO_lady_anshu_debuff_enemy_08"	"Este lugar está bajo la protección de los fieles Rumusque."
	"DCG_VO_lady_anshu_debuff_enemy_09"	"Lamentarás haber venido."
	"DCG_VO_lady_anshu_debuff_enemy_10"	"Fracasarás."
	"DCG_VO_lady_anshu_single_target_damage_01"	"Esto se acaba aquí."
	"DCG_VO_lady_anshu_single_target_damage_02"	"Déjame este a mí."
	"DCG_VO_lady_anshu_single_target_damage_03"	"No hay diablo al que yo tema."
	"DCG_VO_lady_anshu_single_target_damage_04"	"Arderás en la luz sagrada."
	"DCG_VO_lady_anshu_single_target_damage_05"	"No son más fuertes que nosotros."
	"DCG_VO_lady_anshu_single_target_damage_06"	"Aquí termina tu terror."
	"DCG_VO_lady_anshu_single_target_damage_07"	"Esto es el comienzo de su final."
	"DCG_VO_lady_anshu_single_target_damage_08"	"Te enviaré al infierno."
	"DCG_VO_lady_anshu_single_target_damage_09"	"Este mundo no tiene lugar para ti."
	"DCG_VO_lady_anshu_single_target_damage_10"	"Vas a perder la vida."
	"DCG_VO_lady_anshu_multi_damage_small_01"	"Puedo con esto."
	"DCG_VO_lady_anshu_multi_damage_small_02"	"Déjenme a mí estos cretinos."
	"DCG_VO_lady_anshu_multi_damage_small_03"	"Casi no vales el esfuerzo."
	"DCG_VO_lady_anshu_multi_damage_small_04"	"Estoy en contra de todo mal."
	"DCG_VO_lady_anshu_multi_damage_small_05"	"No pasarán por encima de mi."
	"DCG_VO_lady_anshu_multi_damage_small_06"	"Solo es un pequeño contratiempo."
	"DCG_VO_lady_anshu_multi_damage_small_07"	"¿Cómo te atreves?"
	"DCG_VO_lady_anshu_multi_damage_small_08"	"¡Soy la salvación en carne y hueso!"
	"DCG_VO_lady_anshu_multi_damage_small_09"	"No tenemos nada que temer."
	"DCG_VO_lady_anshu_multi_damage_small_10"	"Déjadme lidiar con ellos."
	"DCG_VO_lady_anshu_multi_damage_large_01"	"¡ARREPIÉNTANSE!"
	"DCG_VO_lady_anshu_multi_damage_large_02"	"¡Este es el poder de los fieles Rumusque!"
	"DCG_VO_lady_anshu_multi_damage_large_03"	"¡Los Santos no nos dejarán fracasar!"
	"DCG_VO_lady_anshu_multi_damage_large_04"	"Nos envuelve la luz sagrada!"
	"DCG_VO_lady_anshu_multi_damage_large_05"	"¡Los malvados arderán!"
	"DCG_VO_lady_anshu_multi_damage_large_06"	"¡Solo los justos sobrevivirán!"
	"DCG_VO_lady_anshu_multi_damage_large_07"	"¡Limpiaré este lugar del mal!"
	"DCG_VO_lady_anshu_multi_damage_large_08"	"Es hora del juicio."
	"DCG_VO_lady_anshu_multi_damage_large_09"	"¡Han sido juzgados... pecadores!"
	"DCG_VO_lady_anshu_multi_damage_large_10"	"¡La luz prevalecerá sobre la oscuridad!"
	"DCG_VO_lady_anshu_pleased_01"	"Perfecto."
	"DCG_VO_lady_anshu_pleased_02"	"Está funcionando."
	"DCG_VO_lady_anshu_pleased_03"	"Alabados sean los Santos."
	"DCG_VO_lady_anshu_pleased_04"	"Demos gracias a los Santos."
	"DCG_VO_lady_anshu_pleased_05"	"Tenemos su bendición"
	"DCG_VO_lady_anshu_pleased_06"	"Justo lo que necesitábamos."
	"DCG_VO_lady_anshu_pleased_07"	"Un respiro necesario."
	"DCG_VO_lady_anshu_pleased_08"	"Los Santos proveen."
	"DCG_VO_lady_anshu_pleased_09"	"Nuestro trabajo continúa."
	"DCG_VO_lady_anshu_pleased_10"	"Esto apenas comienza."
	"DCG_VO_lady_anshu_concerned_01"	"No debemos quedarnos satisfechos."
	"DCG_VO_lady_anshu_concerned_02"	"Esto es peor de lo que pensaba..."
	"DCG_VO_lady_anshu_concerned_03"	"San Malik dame sabiduría."
	"DCG_VO_lady_anshu_concerned_04"	"Dios mío..."
	"DCG_VO_lady_anshu_concerned_05"	"Necesitamos reagruparnos."
	"DCG_VO_lady_anshu_concerned_06"	"Intentaré ganar algo de tiempo."
	"DCG_VO_lady_anshu_concerned_07"	"Esto todavía no acaba."
	"DCG_VO_lady_anshu_concerned_08"	"No podemos perder la esperanza."
	"DCG_VO_lady_anshu_concerned_09"	"Este no es el fin."
	"DCG_VO_lady_anshu_concerned_10"	"Todavía tenemos tiempo..."
	"DCG_VO_lady_anshu_angry_01"	"No te espera piedad alguna."
	"DCG_VO_lady_anshu_angry_02"	"No habrá clemencia."
	"DCG_VO_lady_anshu_angry_03"	"¡MÁTENLOS A TODOS!"
	"DCG_VO_lady_anshu_angry_04"	"Se acerca la hora de la verdad..."
	"DCG_VO_lady_anshu_angry_05"	"¡Estas abominaciones serán destruidas!"
	"DCG_VO_lady_anshu_angry_06"	"¡Envíalos de vuelta al infierno!"
	"DCG_VO_lady_anshu_angry_07"	"No descansaré hasta que te pudras en la perdición."
	"DCG_VO_lady_anshu_angry_08"	"¡Nunca nos rendiremos!"
	"DCG_VO_lady_anshu_angry_09"	"¡No nos rendiremos!"
	"DCG_VO_lady_anshu_angry_10"	"¡Esto acaba ahora!"
	"DCG_VO_lady_anshu_arrogant_01"	"Los fieles Rumusque son únicos."
	"DCG_VO_lady_anshu_arrogant_02"	"¡Mi poder es divino!"
	"DCG_VO_lady_anshu_arrogant_03"	"¡Los justos no caerán!"
	"DCG_VO_lady_anshu_arrogant_04"	"¿Crees que le tengo miedo a los charlatanes?"
	"DCG_VO_lady_anshu_arrogant_05"	"No tienen ni idea de lo que soy capaz."
	"DCG_VO_lady_anshu_arrogant_06"	"Agradece nuestra intervención."
	"DCG_VO_lady_anshu_arrogant_07"	"Yo doy el ejemplo."
	"DCG_VO_lady_anshu_arrogant_08"	"El mal no puede detenerme."
	"DCG_VO_lady_anshu_arrogant_09"	"No hay nada a lo que temo."
	"DCG_VO_lady_anshu_arrogant_10"	"Parece que necesitas algo de ayuda."
	"DCG_VO_lady_anshu_enigmatic_01"	"Mi fe es fuerte."
	"DCG_VO_lady_anshu_enigmatic_02"	"San Breen, danos la fuerza."
	"DCG_VO_lady_anshu_enigmatic_03"	"Debemos prepararnos."
	"DCG_VO_lady_anshu_enigmatic_04"	"Hay mucho trabajo que hacer..."
	"DCG_VO_lady_anshu_enigmatic_05"	"Debemos estar listo para cualquier cosa..."
	"DCG_VO_lady_anshu_enigmatic_06"	"Los malvados son capaces de cualquier cosa: debemos prepararnos."
	"DCG_VO_lady_anshu_enigmatic_07"	"Debemos atraparlos desprevenidos."
	"DCG_VO_lady_anshu_enigmatic_08"	"Nuestro poder aumenta."
	"DCG_VO_lady_anshu_enigmatic_09"	"Los fieles serán recompensados."
	"DCG_VO_lady_anshu_enigmatic_10"	"Con la ayuda de los Santos, todo es posible."
	"DCG_VO_lady_anshu_death_01"	"grito"




}
