"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"Pierpont y yo no estamos de acuerdo en muchas cosas, pero él fue sabio al reconocer lo peligroso que es hacer enfadar al Semblante del Vacío. No me emociona el Tratado de Claszureme, la verdad. La cronomancia era increíble. Pero, ¿sabes qué otra cosa es increíble? Que no te borren de la línea del tiempo."
"DCG_VO_ogre_bruiser_equip_generic_armor_05"	"Viviré más."
"DCG_VO_ogre_bruiser_equip_generic_accessory_01"	"Esto viene bien."
"DCG_VO_ogre_bruiser_equip_generic_accessory_02"	"¡Gracias!"
"DCG_VO_ogre_bruiser_equip_generic_accessory_03"	"¡Qué elegante me veo!"
"DCG_VO_ogre_bruiser_equip_generic_accessory_04"	"¡Cómo brilla!"
"DCG_VO_ogre_bruiser_equip_generic_accessory_05"	"¡Qué bonito!"
"DCG_VO_ogre_bruiser_kill_rival_01"	"¡Te aplastaré!"
"DCG_VO_ogre_bruiser_kill_rival_02"	"¡Muere!"
"DCG_VO_ogre_bruiser_kill_rival_03"	"¡Te haré pedazos!"
"DCG_VO_ogre_bruiser_kill_rival_04"	"¡Toma!"
"DCG_VO_ogre_bruiser_kill_rival_05"	"¡Ja, ja, ja, ja, ja!"
"DCG_VO_ogre_bruiser_kill_rival_06"	"¡Qué divertido!"
"DCG_VO_ogre_bruiser_kill_rival_07"	"Lo rompí."
"DCG_VO_ogre_bruiser_kill_rival_08"	"Moriste tan pronto..."
"DCG_VO_ogre_bruiser_kill_rival_09"	"¿Ya te moriste?"
"DCG_VO_ogre_bruiser_kill_rival_10"	"¡Bah!"
"DCG_VO_ogre_bruiser_use_include_01"	"¡Estoy listo para matar!"
"DCG_VO_ogre_bruiser_use_include_02"	"¡Estoy listo para lo que venga!"
"DCG_VO_ogre_bruiser_use_include_03"	"¡Estoy listo para luchar!"
"DCG_VO_ogre_bruiser_unique_01"	"¿Cómo puedo conseguir una segunda cabeza?"
"DCG_VO_ogre_bruiser_unique_02"	"Qué sabio eres, Mago."
"DCG_VO_ogre_bruiser_unique_03"	"Es un honor destrozar cráneos por ti, Mago."
"DCG_VO_ogre_bruiser_unique_04"	"What's it like in the Bronze Legion?"
"DCG_VO_ogre_bruiser_unique_05"	"Me encanta tu tatuaje de metal."
"DCG_VO_ogre_bruiser_unique_06"	"Deberías acabar con Tresdin y convertirte en comandante."
"DCG_VO_ogre_bruiser_unique_07"	"Sabes cómo lograr un buen arco con esos cadáveres."
"DCG_VO_ogre_bruiser_unique_08"	"Tienes que enseñarme a lanzar cadáveres."
"DCG_VO_ogre_bruiser_unique_09"	"Me encanta cuando lanzas los cadáveres."
"DCG_VO_ogre_bruiser_unique_10"	"Mira, el luchador nos honra con su presencia..."
"DCG_VO_ogre_bruiser_unique_11"	"¿Te crees mejor que yo porque hablas como un diccionario?"
"DCG_VO_ogre_bruiser_unique_12"	"¡Los dos brazos de ogro bastan para matarte, cadáver andante!"
"DCG_VO_ogre_bruiser_unique_13"	"Me encanta tu pelo."
"DCG_VO_ogre_bruiser_unique_14"	"Me caes bien, Doncella. Espero que no te aplasten el cráneo."
"DCG_VO_ogre_bruiser_unique_15"	"Lucho por el Resplandor."
"DCG_VO_ogre_bruiser_unique_16"	"¡El Resplandor le da sentido a mi vida!"
"DCG_VO_ogre_bruiser_unique_17"	"Gracias por mostrarme el camino, Prélex."
"DCG_VO_ogre_bruiser_unique_18"	"Lucho por la Oscuridad."
"DCG_VO_ogre_bruiser_unique_19"	"¡La Oscuridad le da sentido a mi vida!"
"DCG_VO_ogre_bruiser_unique_20"	"Gracias por mostrarme el camino, Kanna."
"DCG_VO_ogre_bruiser_healed_01"	"Aaah."
"DCG_VO_ogre_bruiser_healed_02"	"Bien."
"DCG_VO_ogre_bruiser_healed_03"	"Sigo en el combate."
"DCG_VO_ogre_bruiser_healed_04"	"Puedo aguantar más."
"DCG_VO_ogre_bruiser_healed_05"	"Me caes bien."
"DCG_VO_ogre_bruiser_taunt_generic_01"	"¡Aplástenlos!"
"DCG_VO_ogre_bruiser_taunt_generic_02"	"¡Destruyan la torre!"
"DCG_VO_ogre_bruiser_taunt_generic_03"	"¡Destruyan la Torre Ancestral!"
"DCG_VO_ogre_bruiser_taunt_generic_04"	"¡Que no quede nada de pie!"
"DCG_VO_ogre_bruiser_taunt_generic_05"	"¡Demuéstrenles nuestra fuerza!"
"DCG_VO_ogre_bruiser_taunt_generic_06"	"¡Quémenlo todo!"
"DCG_VO_ogre_bruiser_taunt_generic_07"	"¡Destrócenlos!"
"DCG_VO_ogre_bruiser_taunt_generic_08"	"¡Ganaremos!"
"DCG_VO_ogre_bruiser_taunt_generic_09"	"¡No pueden detenernos!"
"DCG_VO_ogre_bruiser_taunt_generic_10"	"¡A la batalla!"
"DCG_VO_ogre_bruiser_potential_kill_01"	"¡Te tengo!"
"DCG_VO_ogre_bruiser_potential_kill_02"	"Morirás."
"DCG_VO_ogre_bruiser_potential_kill_03"	"Me comeré tu cadáver..."
"DCG_VO_ogre_bruiser_potential_kill_04"	"No hay escapatoria."
"DCG_VO_ogre_bruiser_potential_kill_05"	"Prepárate para morir."
"DCG_VO_ogre_bruiser_potential_save_01"	"¡Ja!"
"DCG_VO_ogre_bruiser_potential_save_02"	"No puede ser."
"DCG_VO_ogre_bruiser_potential_save_03"	"No voy a morir aquí..."
"DCG_VO_ogre_bruiser_potential_save_04"	"No puedes matarme."
"DCG_VO_ogre_bruiser_potential_save_05"	"No eres mejor que yo."
"DCG_VO_ogre_bruiser_permanent_armor_01"	"Soy duro de matar."
"DCG_VO_ogre_bruiser_permanent_armor_02"	"No podrán apuñalarme."
"DCG_VO_ogre_bruiser_permanent_armor_03"	"No me harán daño."
"DCG_VO_ogre_bruiser_permanent_armor_04"	"No me preocupan unos cuantos críptidos..."
"DCG_VO_ogre_bruiser_permanent_armor_05"	"Estoy hecho para la guerra."
"DCG_VO_ogre_bruiser_permanent_attack_01"	"Soy más fuerte."
"DCG_VO_ogre_bruiser_permanent_attack_02"	"No hay nadie más fuerte que yo."
"DCG_VO_ogre_bruiser_permanent_attack_03"	"Soy más fuerte que nunca."
"DCG_VO_ogre_bruiser_permanent_attack_04"	"Me siento poderoso."
"DCG_VO_ogre_bruiser_permanent_attack_05"	"¡Siento el poder!"
"DCG_VO_ogre_bruiser_permanent_health_01"	"No es nada fácil matarme."
"DCG_VO_ogre_bruiser_permanent_health_02"	"No pienso irme a ninguna parte."
"DCG_VO_ogre_bruiser_permanent_health_03"	"¡No caeré!"
"DCG_VO_ogre_bruiser_permanent_health_04"	"¡Nadie podrá matarme!"
"DCG_VO_ogre_bruiser_permanent_health_05"	"Es importante mantenerse sano. Así puedes matar a más gente."
"DCG_VO_ogre_bruiser_cast_spell_01"	"Sé algo de magia de ogros..."
"DCG_VO_ogre_bruiser_cast_spell_02"	"¡Derríbenlos!"
"DCG_VO_ogre_bruiser_cast_spell_03"	"No you don't!"
"DCG_VO_ogre_bruiser_cast_spell_04"	"¡Los veo!"
"DCG_VO_ogre_bruiser_cast_spell_05"	"Por aquí no pasarán."
"DCG_VO_ogre_bruiser_cast_spell_06"	"¿Crees que va a ser fácil?"
"DCG_VO_ogre_bruiser_cast_spell_07"	"Tengo muchos amigos..."
"DCG_VO_ogre_bruiser_cast_spell_08"	"Espero que funcione..."
"DCG_VO_ogre_bruiser_cast_spell_09"	"Esto va a ser interesante..."
"DCG_VO_ogre_bruiser_cast_spell_10"	"Va a pasar algo sorprendente..."
"DCG_VO_ogre_bruiser_buff_ally_01"	"Te enseñaré a luchar..."
"DCG_VO_ogre_bruiser_buff_ally_02"	"Ahora somos amigos."
"DCG_VO_ogre_bruiser_buff_ally_03"	"Los amigos se ayudan entre sí a matar gente."
"DCG_VO_ogre_bruiser_buff_ally_04"	"Yo te cubro las espaldas."
"DCG_VO_ogre_bruiser_buff_ally_05"	"Estoy de tu lado."
"DCG_VO_ogre_bruiser_buff_ally_06"	"Podemos ganar juntos."
"DCG_VO_ogre_bruiser_buff_ally_07"	"Me gusta el trabajo en equipo."
"DCG_VO_ogre_bruiser_buff_ally_08"	"Esto debería ayudar."
"DCG_VO_ogre_bruiser_buff_ally_09"	"Aquí tienes, amigo."
"DCG_VO_ogre_bruiser_buff_ally_10"	"¿Para qué están los amigos?"
"DCG_VO_ogre_bruiser_debuff_enemy_01"	"Te partiré las extremidades…"
"DCG_VO_ogre_bruiser_debuff_enemy_02"	"No vas a durar mucho..."
"DCG_VO_ogre_bruiser_debuff_enemy_03"	"Veamos cuánto aguantas..."
"DCG_VO_ogre_bruiser_debuff_enemy_04"	"Diviérteme, tonto…"
"DCG_VO_ogre_bruiser_debuff_enemy_05"	"Es gracioso ver cómo intentas no morir."
"DCG_VO_ogre_bruiser_debuff_enemy_06"	"Buena suerte."
"DCG_VO_ogre_bruiser_debuff_enemy_07"	"Patético."
"DCG_VO_ogre_bruiser_debuff_enemy_08"	"Espero que sepas mejor de lo que luchas."
"DCG_VO_ogre_bruiser_debuff_enemy_09"	"No vas a sobrevivir."
"DCG_VO_ogre_bruiser_debuff_enemy_10"	"Me encanta ver cómo te retuerces."
"DCG_VO_ogre_bruiser_single_target_damage_01"	"Te arrancaré los brazos..."
"DCG_VO_ogre_bruiser_single_target_damage_02"	"I'm going to use you like a club."
"DCG_VO_ogre_bruiser_single_target_damage_03"	"Eres hombre muerto."
"DCG_VO_ogre_bruiser_single_target_damage_04"	"No hay nadie a quien no pueda matar."
"DCG_VO_ogre_bruiser_single_target_damage_05"	"Te haré polvo los huesos."
"DCG_VO_ogre_bruiser_single_target_damage_06"	"Me haré la cena con tu cadáver."
"DCG_VO_ogre_bruiser_single_target_damage_07"	"¡Soy el más fuerte!"
"DCG_VO_ogre_bruiser_single_target_damage_08"	"Te aplastaré el cráneo."
"DCG_VO_ogre_bruiser_single_target_damage_09"	"¡Te mataré con mis propias manos!"
"DCG_VO_ogre_bruiser_single_target_damage_10"	"Espero que seas un rival digno..."
"DCG_VO_ogre_bruiser_multi_damage_small_01"	"¿Así piensas luchar conmigo?"
"DCG_VO_ogre_bruiser_multi_damage_small_02"	"Tu ejército es patético."
"DCG_VO_ogre_bruiser_multi_damage_small_03"	"¡Los aplastaré a todos!"
"DCG_VO_ogre_bruiser_multi_damage_small_04"	"La cosa se va a poner fea..."
"DCG_VO_ogre_bruiser_multi_damage_small_05"	"La cosa se va a poner interesante..."
"DCG_VO_ogre_bruiser_multi_damage_small_06"	"Se necesitan muchos más para detenerme..."
"DCG_VO_ogre_bruiser_multi_damage_small_07"	"He tenido peleas de bar más complicadas..."
"DCG_VO_ogre_bruiser_multi_damage_small_08"	"¡Enfréntenme, cobardes!"
"DCG_VO_ogre_bruiser_multi_damage_small_09"	"Esto no tomará mucho tiempo..."
"DCG_VO_ogre_bruiser_multi_damage_small_10"	"Críptidos insignificantes..."
"DCG_VO_ogre_bruiser_multi_damage_large_01"	"¡Vamos!"
"DCG_VO_ogre_bruiser_multi_damage_large_02"	"¡Acabaré con todos ustedes!"
"DCG_VO_ogre_bruiser_multi_damage_large_03"	"¡Los mataré a todos ustedes!"
"DCG_VO_ogre_bruiser_multi_damage_large_04"	"¡Todos morirán!"
"DCG_VO_ogre_bruiser_multi_damage_large_05"	"¡Los aplastaré a todos!"
"DCG_VO_ogre_bruiser_multi_damage_large_06"	"¡Que no queden supervivientes!"
"DCG_VO_ogre_bruiser_multi_damage_large_07"	"¡Nadie se podrá escapar!"
"DCG_VO_ogre_bruiser_multi_damage_large_08"	"¡Nadie sobrevivirá!"
"DCG_VO_ogre_bruiser_multi_damage_large_09"	"<i>rugidos</i>"
"DCG_VO_ogre_bruiser_multi_damage_large_10"	"¡A LUCHAR!"
"DCG_VO_ogre_bruiser_pleased_01"	"Esto fue más fácil de lo que pensaba."
"DCG_VO_ogre_bruiser_pleased_02"	"Nos están dejando ganar..."
"DCG_VO_ogre_bruiser_pleased_03"	"<i>suspira contento</i>"
"DCG_VO_ogre_bruiser_pleased_04"	"Ha sido una buena experiencia para estrechar lazos."
"DCG_VO_ogre_bruiser_pleased_05"	"Creo que todos hemos aprendido algo hoy."
"DCG_VO_ogre_bruiser_pleased_06"	"El combate une a las personas."
"DCG_VO_ogre_bruiser_pleased_07"	"Me encanta conocer a nuevas personas y matarlas."
"DCG_VO_ogre_bruiser_pleased_08"	"La cosa no podría ir mejor."
"DCG_VO_ogre_bruiser_pleased_09"	"¡Qué felicidad!"
"DCG_VO_ogre_bruiser_pleased_10"	"Me gusta..."
"DCG_VO_ogre_bruiser_concerned_01"	"Oh... Esto no se ve bien..."
"DCG_VO_ogre_bruiser_concerned_02"	"Esto no me gusta..."
"DCG_VO_ogre_bruiser_concerned_03"	"No está saliendo como pensaba..."
"DCG_VO_ogre_bruiser_concerned_04"	"Tengo la sensación de que voy a morir..."
"DCG_VO_ogre_bruiser_concerned_05"	"No creo que vamos ganando..."
"DCG_VO_ogre_bruiser_concerned_06"	"Necesitamos un nuevo plan..."
"DCG_VO_ogre_bruiser_concerned_07"	"Nuestra estrategia no funciona..."
"DCG_VO_ogre_bruiser_concerned_08"	"Son demasiados..."
"DCG_VO_ogre_bruiser_concerned_09"	"Hay muchísima gente y solo puedo sujetar dos rocas a la vez."
"DCG_VO_ogre_bruiser_concerned_10"	"Necesito otro plan..."
"DCG_VO_ogre_bruiser_angry_01"	"¡Te reto!"
"DCG_VO_ogre_bruiser_angry_02"	"¡Enfréntame si te atreves!"
"DCG_VO_ogre_bruiser_angry_03"	"No deberías hacerme enfadar."
"DCG_VO_ogre_bruiser_angry_04"	" Cometiste un error muy estúpido."
"DCG_VO_ogre_bruiser_angry_05"	"Te aplastaré ese estúpido cerebro que tienes."
"DCG_VO_ogre_bruiser_angry_06"	"Me limpiaré los dientes con tus huesos..."
"DCG_VO_ogre_bruiser_angry_07"	"¡Ninguno de ustedes puede detenerme!"
"DCG_VO_ogre_bruiser_angry_08"	"¡Lucharé contra todos!"
"DCG_VO_ogre_bruiser_angry_09"	"¡Demostraré que soy el más fuerte!"
"DCG_VO_ogre_bruiser_angry_10"	"¡¿Cómo te atreves?!"
"DCG_VO_ogre_bruiser_arrogant_01"	"¡Pensé que sería un verdadero reto!"
"DCG_VO_ogre_bruiser_arrogant_02"	"¡No hay nadie más fuerte que un ogro!"
"DCG_VO_ogre_bruiser_arrogant_03"	"¡Nadie me detendrá!"
"DCG_VO_ogre_bruiser_arrogant_04"	"El que es inteligente, como yo, no necesita un plan..."
"DCG_VO_ogre_bruiser_arrogant_05"	"Plans are for people that can't rip off a horses leg..."
"DCG_VO_ogre_bruiser_arrogant_06"	"Necesitaré un plan el día que encuentre un problema que no se pueda resolver con una roca."
"DCG_VO_ogre_bruiser_arrogant_07"	"Nunca me rendiré..."
"DCG_VO_ogre_bruiser_arrogant_08"	"Solo los cobardes temen a la muerte..."
"DCG_VO_ogre_bruiser_arrogant_09"	"Esperaba más de este combate..."
"DCG_VO_ogre_bruiser_arrogant_10"	"Esperaba más de ti..."
"DCG_VO_ogre_bruiser_enigmatic_01"	"Haré lo que tenga que hacer."
"DCG_VO_ogre_bruiser_enigmatic_02"	"Haré lo que haga falta."
"DCG_VO_ogre_bruiser_enigmatic_03"	"No hay nada que no pueda aplastar."
"DCG_VO_ogre_bruiser_enigmatic_04"	"No hay nada que no pueda destruir."
"DCG_VO_ogre_bruiser_enigmatic_05"	"Acabaré con sus defensas."
"DCG_VO_ogre_bruiser_enigmatic_06"	"Slacks me quiere y con eso me basta."
"DCG_VO_ogre_bruiser_enigmatic_07"	"Me enfrentaré a quien sea..."
"DCG_VO_ogre_bruiser_enigmatic_08"	"No le temo a nadie."
"DCG_VO_ogre_bruiser_enigmatic_09"	"Qué raro..."
"DCG_VO_ogre_bruiser_enigmatic_10"	"Me pregunto para qué sirve..."
"DCG_VO_ogre_bruiser_death_01"	"<i>gritos</i>"
"DCG_VO_prowler_shaman_intro"	"Magnus nos pidió que cuidáramos de la niña. No dijo por qué, pero no era necesario: yo ya sabía quién era ella y en quién podía convertirse."
"DCG_VO_prowler_shaman_equip_generic_weapon_01"	"Me enfrento al peligro de cara."
"DCG_VO_prowler_shaman_equip_generic_weapon_02"	"Mi arma está lista."
"DCG_VO_prowler_shaman_equip_generic_weapon_03"	"Vine para luchar."
"DCG_VO_prowler_shaman_equip_generic_weapon_04"	"Los defenderé a todos."
"DCG_VO_prowler_shaman_equip_generic_weapon_05"	"Los merodeadores protegen."
"DCG_VO_prowler_shaman_equip_generic_armor_01"	"Soy solidario con mis aliados."
"DCG_VO_prowler_shaman_equip_generic_armor_02"	"No me asusta el peligro."
"DCG_VO_prowler_shaman_equip_generic_armor_03"	"Mis enemigos vienen por mí, pero estoy listo."
"DCG_VO_prowler_shaman_equip_generic_armor_04"	"No huyo del combate."
"DCG_VO_prowler_shaman_equip_generic_armor_05"	"Me enfrentaré a lo que sea."
"DCG_VO_prowler_shaman_equip_generic_accessory_01"	"Esto me vendrá bien."
"DCG_VO_prowler_shaman_equip_generic_accessory_02"	"Esto podría cambiar el curso del combate."
"DCG_VO_prowler_shaman_equip_generic_accessory_03"	"Justo lo que necesitaba."
"DCG_VO_prowler_shaman_equip_generic_accessory_04"	"Perfecto."
"DCG_VO_prowler_shaman_equip_generic_accessory_05"	"Justo en el momento ideal."
"DCG_VO_prowler_shaman_kill_rival_01"	"¡Fuera de aquí!"
"DCG_VO_prowler_shaman_kill_rival_02"	"Estás fuera de sitio."
"DCG_VO_prowler_shaman_kill_rival_03"	"Este es mi bosque."
"DCG_VO_prowler_shaman_kill_rival_04"	"Los merodeadores no le temen a nada."
"DCG_VO_prowler_shaman_kill_rival_05"	"¡Siguiente!"
"DCG_VO_prowler_shaman_kill_rival_06"	"Luchaste bien."
"DCG_VO_prowler_shaman_kill_rival_07"	"Eres fuerte, pero yo lo soy más."
"DCG_VO_prowler_shaman_kill_rival_08"	"No tenías ninguna posibilidad."
"DCG_VO_prowler_shaman_kill_rival_09"	"Un noble esfuerzo."
"DCG_VO_prowler_shaman_kill_rival_10"	"Lo tuyo no es el combate."
"DCG_VO_prowler_shaman_unique_01"	"Es un honor luchar a tu lado, viejo amigo."
"DCG_VO_prowler_shaman_unique_02"	"Ilexa está a salvo con nosotros, Magnus."
"DCG_VO_prowler_shaman_unique_03"	"Hiciste bien en confiar en nosotros..."
"DCG_VO_prowler_shaman_unique_04"	"Eres un presumido, Rooftrellen, pero me alegro de que estés a mi lado."
"DCG_VO_prowler_shaman_unique_05"	"Nadie nos moverá, Ent."
"DCG_VO_prowler_shaman_unique_06"	"No te alejes de mí, Magnus."
"DCG_VO_prowler_shaman_unique_07"	"Me alegro de volver a verte, Hechicera. Estás tan radiante como siempre."
"DCG_VO_prowler_shaman_unique_08"	"Protegeré a mis aliados."
"DCG_VO_prowler_shaman_unique_09"	"Me cansa derramar tanta sangre."
"DCG_VO_prowler_shaman_unique_10"	"La naturaleza nos ayudará."
"DCG_VO_prowler_shaman_unique_11"	"Aquí no son bienvenidos los centauros."
"DCG_VO_prowler_shaman_unique_12"	"Tu \"persecución sagrada\" es una farsa..."
"DCG_VO_prowler_shaman_unique_13"	"No pienso dejar que te aproveches de los habitantes de este bosque."
"DCG_VO_prowler_shaman_unique_14"	"No te alejes de mí, pequeña, te protegeré."
"DCG_VO_prowler_shaman_unique_15"	"No dejes que Rix te conduzca a la muerte."
"DCG_VO_prowler_shaman_unique_16"	"Es bueno tener convicción, pero no malgastes tu vida, pequeña."
"DCG_VO_prowler_shaman_unique_17"	"¿Qué necesitas, Rix?"
"DCG_VO_prowler_shaman_unique_18"	"¿Cómo puedo ayudar a la rebelión?"
"DCG_VO_prowler_shaman_unique_19"	"Elegiste bien, Rix."
"DCG_VO_prowler_shaman_unique_20"	"¿Cómo va la rebelión, Rix?"
"DCG_VO_prowler_shaman_healed_01"	"Aaah."
"DCG_VO_prowler_shaman_healed_02"	"Gracias."
"DCG_VO_prowler_shaman_healed_03"	"Te lo agradezco. "
"DCG_VO_prowler_shaman_healed_04"	"Llegas en el momento perfecto."
"DCG_VO_prowler_shaman_healed_05"	"Hoy fui yo quien necesitó que lo salvaran."
"DCG_VO_prowler_shaman_taunt_generic_01"	"¡La victoria es nuestra!"
"DCG_VO_prowler_shaman_taunt_generic_02"	"¡Destruyan la Torre Ancestral!"
"DCG_VO_prowler_shaman_taunt_generic_03"	"¡Su Torre Ancestral caerá!"
"DCG_VO_prowler_shaman_taunt_generic_04"	"¡No fracasaremos!"
"DCG_VO_prowler_shaman_taunt_generic_05"	"¡Acabemos con esto de una vez por todas!"
"DCG_VO_prowler_shaman_taunt_generic_06"	"¡Podemos ganar esta guerra!"
"DCG_VO_prowler_shaman_taunt_generic_07"	"¡El bosque pronto estará a salvo!"
"DCG_VO_prowler_shaman_taunt_generic_08"	"¡Juntos ganaremos!"
"DCG_VO_prowler_shaman_taunt_generic_09"	"¡Resistan, y ganaremos!"
"DCG_VO_prowler_shaman_taunt_generic_10"	"¡No nos detendrán!"
"DCG_VO_prowler_shaman_potential_kill_01"	"Ya te tengo."
"DCG_VO_prowler_shaman_potential_kill_02"	"No puedes escapar de mí."
"DCG_VO_prowler_shaman_potential_kill_03"	"No podrás vencerme."
"DCG_VO_prowler_shaman_potential_kill_04"	"Luchas con ganas, pero no te bastará."
"DCG_VO_prowler_shaman_potential_kill_05"	"Un esfuerzo admirable, pero inútil."
"DCG_VO_prowler_shaman_potential_save_01"	"No eres tan astuto como pensabas."
"DCG_VO_prowler_shaman_potential_save_02"	"Buen intento."
"DCG_VO_prowler_shaman_potential_save_03"	"Aún no me ha llegado la hora."
"DCG_VO_prowler_shaman_potential_save_04"	"Ya me estaba preocupando..."
"DCG_VO_prowler_shaman_potential_save_05"	"Eso estuvo cerca."
"DCG_VO_prowler_shaman_permanent_armor_01"	"No le fallaré a mi gente."
"DCG_VO_prowler_shaman_permanent_armor_02"	"Estaré protegido."
"DCG_VO_prowler_shaman_permanent_armor_03"	"No me pueden expulsar con tanta facilidad."
"DCG_VO_prowler_shaman_permanent_armor_04"	"Un encantamiento sencillo, pero necesario."
"DCG_VO_prowler_shaman_permanent_armor_05"	"Tengo que mantenerme con vida..."
"DCG_VO_prowler_shaman_permanent_attack_01"	"Ahora soy más fuerte..."
"DCG_VO_prowler_shaman_permanent_attack_02"	"Destrozaré a nuestros enemigos."
"DCG_VO_prowler_shaman_permanent_attack_03"	"¡Que me traigan enemigos!"
"DCG_VO_prowler_shaman_permanent_attack_04"	"Les demostraré la fuerza de un Merodeador."
"DCG_VO_prowler_shaman_permanent_attack_05"	"Estoy listo para luchar."
"DCG_VO_prowler_shaman_permanent_health_01"	"Deja que intenten matarme..."
"DCG_VO_prowler_shaman_permanent_health_02"	"No seré presa de nadie."
"DCG_VO_prowler_shaman_permanent_health_03"	"Puedo aguantar lo que sea."
"DCG_VO_prowler_shaman_permanent_health_04"	"La supervivencia del más fuerte..."
"DCG_VO_prowler_shaman_permanent_health_05"	"Mi fuerza no conoce límites..."
"DCG_VO_prowler_shaman_cast_spell_01"	"Haré todo lo necesario para proteger a mi gente."
"DCG_VO_prowler_shaman_cast_spell_02"	"La selva me da fuerza."
"DCG_VO_prowler_shaman_cast_spell_03"	"You will never outwit me."
"DCG_VO_prowler_shaman_cast_spell_04"	"Soy más astuto de lo que tú crees."
"DCG_VO_prowler_shaman_cast_spell_05"	"Soy el soberano de este lugar."
"DCG_VO_prowler_shaman_cast_spell_06"	"The Prowler's might is unequalled!"
"DCG_VO_prowler_shaman_cast_spell_07"	"No sabes la que te espera..."
"DCG_VO_prowler_shaman_cast_spell_08"	"Haré lo que haga falta."
"DCG_VO_prowler_shaman_cast_spell_09"	"No pierdas la esperanza."
"DCG_VO_prowler_shaman_cast_spell_10"	"Nunca te te des por vencido."
"DCG_VO_prowler_shaman_buff_ally_01"	"Debes ser más fuerte."
"DCG_VO_prowler_shaman_buff_ally_02"	"Los protegeré a todos."
"DCG_VO_prowler_shaman_buff_ally_03"	"Cuidaré de ti."
"DCG_VO_prowler_shaman_buff_ally_04"	"Confía en los merodeadores."
"DCG_VO_prowler_shaman_buff_ally_05"	"Estamos a salvo."
"DCG_VO_prowler_shaman_buff_ally_06"	"Triunfaremos o moriremos juntos..."
"DCG_VO_prowler_shaman_buff_ally_07"	"Tenemos que protegernos los unos a los otros."
"DCG_VO_prowler_shaman_buff_ally_08"	"Harías lo mismo por mí..."
"DCG_VO_prowler_shaman_buff_ally_09"	"La unión hace la fuerza."
"DCG_VO_prowler_shaman_buff_ally_10"	"Los merodeadores siempre están dispuestos a ayudar."
"DCG_VO_prowler_shaman_debuff_enemy_01"	"¡Cobarde!"
"DCG_VO_prowler_shaman_debuff_enemy_02"	"Deberías huir."
"DCG_VO_prowler_shaman_debuff_enemy_03"	"Te falta preparación."
"DCG_VO_prowler_shaman_debuff_enemy_04"	"Aquí no eres nadie."
