"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"皮尔庞特与我时常意见相左，但是他很聪明，知道激怒虚空假面有多危险。我不是很喜欢超维视界条约，因为操纵时空很好玩。但你知道还有什么更好玩吗？就是不让自己的时间线被抹去。"
"DCG_VO_ogre_bruiser_unique_14"	"你很漂亮，圣女。希望你的脑袋不会被人打碎。"
"DCG_VO_ogre_bruiser_unique_15"	"我为天辉而战。"
"DCG_VO_ogre_bruiser_unique_16"	"天辉给了我奋战的目标！"
"DCG_VO_ogre_bruiser_unique_17"	"谢谢你为我指引道路，普瑞蕾斯。"
"DCG_VO_ogre_bruiser_unique_18"	"我为夜魇而战。"
"DCG_VO_ogre_bruiser_unique_19"	"夜魇给了我奋战的目标！"
"DCG_VO_ogre_bruiser_unique_20"	"谢谢你为我指引道路，卡娜。"
"DCG_VO_ogre_bruiser_healed_01"	"啊……"
"DCG_VO_ogre_bruiser_healed_02"	"很好。"
"DCG_VO_ogre_bruiser_healed_03"	"我还没出局呢。"
"DCG_VO_ogre_bruiser_healed_04"	"我还撑得住……"
"DCG_VO_ogre_bruiser_healed_05"	"你真是个好人。"
"DCG_VO_ogre_bruiser_taunt_generic_01"	"碾碎他们！"
"DCG_VO_ogre_bruiser_taunt_generic_02"	"拆塔！"
"DCG_VO_ogre_bruiser_taunt_generic_03"	"摧毁遗迹！"
"DCG_VO_ogre_bruiser_taunt_generic_04"	"一个不留！"
"DCG_VO_ogre_bruiser_taunt_generic_05"	"让他们见识一下我们的力量！"
"DCG_VO_ogre_bruiser_taunt_generic_06"	"全部烧光！"
"DCG_VO_ogre_bruiser_taunt_generic_07"	"砸死他们！"
"DCG_VO_ogre_bruiser_taunt_generic_08"	"我们赢定了！"
"DCG_VO_ogre_bruiser_taunt_generic_09"	"他们拦不住我们！"
"DCG_VO_ogre_bruiser_taunt_generic_10"	"冲啊！"
"DCG_VO_ogre_bruiser_potential_kill_01"	"你落到我手里了。"
"DCG_VO_ogre_bruiser_potential_kill_02"	"你死定了。"
"DCG_VO_ogre_bruiser_potential_kill_03"	"我要把你的尸体吃掉……"
"DCG_VO_ogre_bruiser_potential_kill_04"	"无路可逃。"
"DCG_VO_ogre_bruiser_potential_kill_05"	"现在你死定了。"
"DCG_VO_ogre_bruiser_potential_save_01"	"哈！"
"DCG_VO_ogre_bruiser_potential_save_02"	"不可能。"
"DCG_VO_ogre_bruiser_potential_save_03"	"我不会死在这里……"
"DCG_VO_ogre_bruiser_potential_save_04"	"你杀不死我。"
"DCG_VO_ogre_bruiser_potential_save_05"	"你打不过我的。"
"DCG_VO_ogre_bruiser_permanent_armor_01"	"我的皮很厚的。"
"DCG_VO_ogre_bruiser_permanent_armor_02"	"这下看谁还敢捅我。"
"DCG_VO_ogre_bruiser_permanent_armor_03"	"他们伤不到我了。"
"DCG_VO_ogre_bruiser_permanent_armor_04"	"我不用担心那些小兵了……"
"DCG_VO_ogre_bruiser_permanent_armor_05"	"我生来就是为了战斗。"
"DCG_VO_ogre_bruiser_permanent_attack_01"	"我更强大了。"
"DCG_VO_ogre_bruiser_permanent_attack_02"	"没有人比我更强了。"
"DCG_VO_ogre_bruiser_permanent_attack_03"	"比以前更强。"
"DCG_VO_ogre_bruiser_permanent_attack_04"	"我感到充满力量。"
"DCG_VO_ogre_bruiser_permanent_attack_05"	"力量！"
"DCG_VO_ogre_bruiser_permanent_health_01"	"想杀我没那么容易。"
"DCG_VO_ogre_bruiser_permanent_health_02"	"我可耐打了。"
"DCG_VO_ogre_bruiser_permanent_health_03"	"我不会倒下！"
"DCG_VO_ogre_bruiser_permanent_health_04"	"谁也杀不了我！"
"DCG_VO_ogre_bruiser_permanent_health_05"	"保持健康很重要，这样才能杀更多人。"
"DCG_VO_ogre_bruiser_cast_spell_01"	"我也懂一点食人魔的魔法……"
"DCG_VO_ogre_bruiser_cast_spell_02"	"把它推倒！"
"DCG_VO_ogre_bruiser_cast_spell_03"	"你不会吧！"
"DCG_VO_ogre_bruiser_cast_spell_04"	"我看到他们了！"
"DCG_VO_ogre_bruiser_cast_spell_05"	"他们别想过我这关！"
"DCG_VO_ogre_bruiser_cast_spell_06"	"你以为这很容易吗？"
"DCG_VO_ogre_bruiser_cast_spell_07"	"我有很多朋友……"
"DCG_VO_ogre_bruiser_cast_spell_08"	"希望这会有用……"
"DCG_VO_ogre_bruiser_cast_spell_09"	"这下有意思了……"
"DCG_VO_ogre_bruiser_cast_spell_10"	"好吧，要出事了。"
"DCG_VO_ogre_bruiser_buff_ally_01"	"我来教你怎么打架……"
"DCG_VO_ogre_bruiser_buff_ally_02"	"现在你是我的朋友了。"
"DCG_VO_ogre_bruiser_buff_ally_03"	"好朋友在杀人时应该互相帮助。"
"DCG_VO_ogre_bruiser_buff_ally_04"	"我罩着你。"
"DCG_VO_ogre_bruiser_buff_ally_05"	"我和你肩并肩。"
"DCG_VO_ogre_bruiser_buff_ally_06"	"我们一定能赢。"
"DCG_VO_ogre_bruiser_buff_ally_07"	"我喜欢拉帮结伙。"
"DCG_VO_ogre_bruiser_buff_ally_08"	"这应该能用得上。"
"DCG_VO_ogre_bruiser_buff_ally_09"	"拿着，朋友。"
"DCG_VO_ogre_bruiser_buff_ally_10"	"出外靠朋友，对吧？"
"DCG_VO_ogre_bruiser_debuff_enemy_01"	"我要打断你的胳膊和腿……"
"DCG_VO_ogre_bruiser_debuff_enemy_02"	"你要咽气了……"
"DCG_VO_ogre_bruiser_debuff_enemy_03"	"看你还能撑多久……"
"DCG_VO_ogre_bruiser_debuff_enemy_04"	"来给我解个闷吧，蠢家伙……"
"DCG_VO_ogre_bruiser_debuff_enemy_05"	"你垂死挣扎的样子真好笑。"
"DCG_VO_ogre_bruiser_debuff_enemy_06"	"祝你好运。"
"DCG_VO_ogre_bruiser_debuff_enemy_07"	"真可悲。"
"DCG_VO_ogre_bruiser_debuff_enemy_08"	"希望你吃起来的口感比你在战场上的表现强一些。"
"DCG_VO_ogre_bruiser_debuff_enemy_09"	"你在劫难逃。"
"DCG_VO_ogre_bruiser_debuff_enemy_10"	"我喜欢看你挣扎的样子……"
"DCG_VO_ogre_bruiser_single_target_damage_01"	"我要把你的胳膊卸下来……"
"DCG_VO_ogre_bruiser_single_target_damage_02"	"我要把你当木棍使。"
"DCG_VO_ogre_bruiser_single_target_damage_03"	"你死定了。"
"DCG_VO_ogre_bruiser_single_target_damage_04"	"没有我收拾不了的人。"
"DCG_VO_ogre_bruiser_single_target_damage_05"	"我要把你挫骨扬灰。"
"DCG_VO_ogre_bruiser_single_target_damage_06"	"你的尸体就是我的大餐。"
"DCG_VO_ogre_bruiser_single_target_damage_07"	"我是最强的！"
"DCG_VO_ogre_bruiser_single_target_damage_08"	"我要把你的脑袋砸扁。"
"DCG_VO_ogre_bruiser_single_target_damage_09"	"我赤手空拳就能干掉你！"
"DCG_VO_ogre_bruiser_single_target_damage_10"	"希望你能多少挣扎一下……"
"DCG_VO_ogre_bruiser_multi_damage_small_01"	"你就带了这么点人手吗？"
"DCG_VO_ogre_bruiser_multi_damage_small_02"	"你的军队弱爆了。"
"DCG_VO_ogre_bruiser_multi_damage_small_03"	"我要把你们全都砸烂！"
"DCG_VO_ogre_bruiser_multi_damage_small_04"	"这场面不会太好看……"
"DCG_VO_ogre_bruiser_multi_damage_small_05"	"越来越有趣了……"
"DCG_VO_ogre_bruiser_multi_damage_small_06"	"就凭你们几个可挡不住我……"
"DCG_VO_ogre_bruiser_multi_damage_small_07"	"在酒吧里打架也比这个厉害……"
"DCG_VO_ogre_bruiser_multi_damage_small_08"	"面对我吧，懦夫们！"
"DCG_VO_ogre_bruiser_multi_damage_small_09"	"用不了多久……"
"DCG_VO_ogre_bruiser_multi_damage_small_10"	"渺小的家伙……"
"DCG_VO_ogre_bruiser_multi_damage_large_01"	"来啊！"
"DCG_VO_ogre_bruiser_multi_damage_large_02"	"我会把你们都干掉！"
"DCG_VO_ogre_bruiser_multi_damage_large_03"	"我要杀光你们！"
"DCG_VO_ogre_bruiser_multi_damage_large_04"	"你们将全军覆没。"
"DCG_VO_ogre_bruiser_multi_damage_large_05"	"我要把你们都砸烂！"
"DCG_VO_ogre_bruiser_multi_damage_large_06"	"不留活口！"
"DCG_VO_ogre_bruiser_multi_damage_large_07"	"谁也跑不掉！"
"DCG_VO_ogre_bruiser_multi_damage_large_08"	"不留活口！"
"DCG_VO_ogre_bruiser_multi_damage_large_09"	"<i>咆哮</i>"
"DCG_VO_ogre_bruiser_multi_damage_large_10"	"干一仗吧！"
"DCG_VO_ogre_bruiser_pleased_01"	"比我想得更容易。"
"DCG_VO_ogre_bruiser_pleased_02"	"他们简直不堪一击……"
"DCG_VO_ogre_bruiser_pleased_03"	"<i>满意地叹气</i>"
"DCG_VO_ogre_bruiser_pleased_04"	"这是一次很好的亲密接触。"
"DCG_VO_ogre_bruiser_pleased_05"	"今天我们都有所收获。"
"DCG_VO_ogre_bruiser_pleased_06"	"战斗能让我们更团结。"
"DCG_VO_ogre_bruiser_pleased_07"	"我喜欢认识更多人，然后把他们都杀掉。"
"DCG_VO_ogre_bruiser_pleased_08"	"没有比这更好的了。"
"DCG_VO_ogre_bruiser_pleased_09"	"真高兴！"
"DCG_VO_ogre_bruiser_pleased_10"	"我喜欢这个。"
"DCG_VO_ogre_bruiser_concerned_01"	"哦……真糟糕……"
"DCG_VO_ogre_bruiser_concerned_02"	"我觉得不太对劲……"
"DCG_VO_ogre_bruiser_concerned_03"	"这不是我想象的那样……"
"DCG_VO_ogre_bruiser_concerned_04"	"为什么我有不祥的预感……"
"DCG_VO_ogre_bruiser_concerned_05"	"我觉得我们要输了……"
"DCG_VO_ogre_bruiser_concerned_06"	"我们需要新的计划……"
"DCG_VO_ogre_bruiser_concerned_07"	"我们的办法都不奏效……"
"DCG_VO_ogre_bruiser_concerned_08"	"他们人太多了……"
"DCG_VO_ogre_bruiser_concerned_09"	"人太多了，我只能拿两块石头啊。"
"DCG_VO_ogre_bruiser_concerned_10"	"我需要一个新计划……"
"DCG_VO_ogre_bruiser_angry_01"	"有种来试试！"
"DCG_VO_ogre_bruiser_angry_02"	"有种的话就面对我吧！"
"DCG_VO_ogre_bruiser_angry_03"	"你不该惹毛我的。"
"DCG_VO_ogre_bruiser_angry_04"	"你犯了一个很蠢、很蠢的错误。"
"DCG_VO_ogre_bruiser_angry_05"	"我要打碎你这颗愚蠢的脑袋。"
"DCG_VO_ogre_bruiser_angry_06"	"我打算用你的骨头剔牙……"
"DCG_VO_ogre_bruiser_angry_07"	"你们谁也拦不住我！"
"DCG_VO_ogre_bruiser_angry_08"	"一起上吧！"
"DCG_VO_ogre_bruiser_angry_09"	"我会证明我才是最强的！"
"DCG_VO_ogre_bruiser_angry_10"	"你敢？！"
"DCG_VO_ogre_bruiser_arrogant_01"	"我以为你是强劲的对手！"
"DCG_VO_ogre_bruiser_arrogant_02"	"没有谁比食人魔更强大！"
"DCG_VO_ogre_bruiser_arrogant_03"	"没人能阻挡我！"
"DCG_VO_ogre_bruiser_arrogant_04"	"像我这么聪明的人，根本不需要计划……"
"DCG_VO_ogre_bruiser_arrogant_05"	"只有手无缚鸡之力的人才需要计划……"
"DCG_VO_ogre_bruiser_arrogant_06"	"等我发现有用石头解决不了的问题，再去想计划吧。"
"DCG_VO_ogre_bruiser_arrogant_07"	"我从不投降……"
"DCG_VO_ogre_bruiser_arrogant_08"	"只有懦夫才会怕死……"
"DCG_VO_ogre_bruiser_arrogant_09"	"我以为这会是势均力敌的一战……"
"DCG_VO_ogre_bruiser_arrogant_10"	"我还以为你会很能打呢……"
"DCG_VO_ogre_bruiser_enigmatic_01"	"我的事不必操心。"
"DCG_VO_ogre_bruiser_enigmatic_02"	"我将不惜一切代价。"
"DCG_VO_ogre_bruiser_enigmatic_03"	"没有什么是我砸不烂的。"
"DCG_VO_ogre_bruiser_enigmatic_04"	"没有什么是我毁不掉的。"
"DCG_VO_ogre_bruiser_enigmatic_05"	"我会撕烂他们的防御。"
"DCG_VO_ogre_bruiser_enigmatic_06"	"斯拉克喜欢我，这就够了。"
"DCG_VO_ogre_bruiser_enigmatic_07"	"我不怕面对任何人……"
"DCG_VO_ogre_bruiser_enigmatic_08"	"我谁也不怕。"
"DCG_VO_ogre_bruiser_enigmatic_09"	"真奇怪……"
"DCG_VO_ogre_bruiser_enigmatic_10"	"不知道这是干什么用的……"
"DCG_VO_ogre_bruiser_death_01"	"<i>尖叫</i>"
"DCG_VO_prowler_shaman_intro"	"马格纳斯把那个孩子交给我们，要我们保护她的安全。他没有解释原因，不过也不需要。我早已明白她的身份，也知道她未来会成为怎样的人。"
"DCG_VO_prowler_shaman_equip_generic_weapon_01"	"不管有多危险，我不躲也不逃。"
"DCG_VO_prowler_shaman_equip_generic_weapon_02"	"我的武器准备好了。"
"DCG_VO_prowler_shaman_equip_generic_weapon_03"	"我为战而来。"
"DCG_VO_prowler_shaman_equip_generic_weapon_04"	"我会保护所有人。"
"DCG_VO_prowler_shaman_equip_generic_weapon_05"	"潜行者会保护你们。"
"DCG_VO_prowler_shaman_equip_generic_armor_01"	"我与盟友并肩作战。"
"DCG_VO_prowler_shaman_equip_generic_armor_02"	"我不会逃避危险。"
"DCG_VO_prowler_shaman_equip_generic_armor_03"	"敌人冲我来的，但我已做好准备。"
"DCG_VO_prowler_shaman_equip_generic_armor_04"	"我不会躲避战斗。"
"DCG_VO_prowler_shaman_equip_generic_armor_05"	"我做好了万全的准备。"
"DCG_VO_prowler_shaman_equip_generic_accessory_01"	"这会派上用场的。"
"DCG_VO_prowler_shaman_equip_generic_accessory_02"	"这应该可以扭转战局。"
"DCG_VO_prowler_shaman_equip_generic_accessory_03"	"这正是我需要的。"
"DCG_VO_prowler_shaman_equip_generic_accessory_04"	"完美。"
"DCG_VO_prowler_shaman_equip_generic_accessory_05"	"时机刚刚好。"
"DCG_VO_prowler_shaman_kill_rival_01"	"离开这里。"
"DCG_VO_prowler_shaman_kill_rival_02"	"你不属于这里。"
"DCG_VO_prowler_shaman_kill_rival_03"	"这里是我的森林。"
"DCG_VO_prowler_shaman_kill_rival_04"	"潜行者无所畏惧……"
"DCG_VO_prowler_shaman_kill_rival_05"	"还有谁？"
"DCG_VO_prowler_shaman_kill_rival_06"	"打得不错。"
"DCG_VO_prowler_shaman_kill_rival_07"	"你很强，但我更强。"
"DCG_VO_prowler_shaman_kill_rival_08"	"你没有丝毫机会。"
"DCG_VO_prowler_shaman_kill_rival_09"	"你的努力值得赞赏。"
"DCG_VO_prowler_shaman_kill_rival_10"	"你算不上战士。"
"DCG_VO_prowler_shaman_unique_01"	"老朋友，能与你并肩作战真好。"
"DCG_VO_prowler_shaman_unique_02"	"马格纳斯，依蕾莎在我们的照顾下很安全。"
"DCG_VO_prowler_shaman_unique_03"	"信任我们是明智的选择……"
"DCG_VO_prowler_shaman_unique_04"	"虽然你总是炫耀个不停，鲁夫特伦，但很高兴我们是同一阵营的。"
"DCG_VO_prowler_shaman_unique_05"	"树精，没人能伤我们分毫。"
"DCG_VO_prowler_shaman_unique_06"	"站到我身边来，马格纳斯。"
"DCG_VO_prowler_shaman_unique_07"	"很高兴再见到你，魅惑魔女，你还是那么光彩动人。"
"DCG_VO_prowler_shaman_unique_08"	"我的盟友将得到保护。"
"DCG_VO_prowler_shaman_unique_09"	"我厌倦了流血。"
"DCG_VO_prowler_shaman_unique_10"	"大自然会帮助我们。"
"DCG_VO_prowler_shaman_unique_11"	"这里不欢迎半人马……"
"DCG_VO_prowler_shaman_unique_12"	"你的“神圣狩猎”就是一场闹剧……"
"DCG_VO_prowler_shaman_unique_13"	"我不允许你猎杀这片森林的居民。"
"DCG_VO_prowler_shaman_unique_14"	"待在我身边，孩子，我会保护你的。"
"DCG_VO_prowler_shaman_unique_15"	"别让瑞克斯带你步入死亡。"
"DCG_VO_prowler_shaman_unique_16"	"孩子，有信仰是好事，但不要轻易抛弃生命。"
"DCG_VO_prowler_shaman_unique_17"	"瑞克斯，你想要什么？"
"DCG_VO_prowler_shaman_unique_18"	"我能为叛军做些什么呢？"
"DCG_VO_prowler_shaman_unique_19"	"你做出了正确的选择，瑞克斯。"
"DCG_VO_prowler_shaman_unique_20"	"叛军还好吗，瑞克斯？"
"DCG_VO_prowler_shaman_healed_01"	"啊……"
"DCG_VO_prowler_shaman_healed_02"	"谢谢。"
"DCG_VO_prowler_shaman_healed_03"	"谢谢你。"
"DCG_VO_prowler_shaman_healed_04"	"无可挑剔的时机……"
"DCG_VO_prowler_shaman_healed_05"	"看来今天轮到我需要别人的援手了……"
"DCG_VO_prowler_shaman_taunt_generic_01"	"胜利就在面前！"
"DCG_VO_prowler_shaman_taunt_generic_02"	"摧毁遗迹！"
"DCG_VO_prowler_shaman_taunt_generic_03"	"他们的遗迹将会倒下！"
"DCG_VO_prowler_shaman_taunt_generic_04"	"我们不会失败！"
"DCG_VO_prowler_shaman_taunt_generic_05"	"该做个了结了！"
"DCG_VO_prowler_shaman_taunt_generic_06"	"我们可以赢的！"
"DCG_VO_prowler_shaman_taunt_generic_07"	"森林很快就安全了！"
"DCG_VO_prowler_shaman_taunt_generic_08"	"我们会携手赢得胜利！"
"DCG_VO_prowler_shaman_taunt_generic_09"	"坚持到底，胜利将属于我们！"
"DCG_VO_prowler_shaman_taunt_generic_10"	"我们不容违抗！"
"DCG_VO_prowler_shaman_potential_kill_01"	"我抓到你了。"
"DCG_VO_prowler_shaman_potential_kill_02"	"没人能躲得了我。"
"DCG_VO_prowler_shaman_potential_kill_03"	"你打不过我的。"
"DCG_VO_prowler_shaman_potential_kill_04"	"你的顽强抵抗有两下子，但还差得远了。"
"DCG_VO_prowler_shaman_potential_kill_05"	"勇气可嘉，依旧是徒劳无功。"
"DCG_VO_prowler_shaman_potential_save_01"	"你没有自己想的那么聪明。"
"DCG_VO_prowler_shaman_potential_save_02"	"值得鼓励。"
"DCG_VO_prowler_shaman_potential_save_03"	"我还不该死。"
"DCG_VO_prowler_shaman_potential_save_04"	"我差点就开始担心了……"
"DCG_VO_prowler_shaman_potential_save_05"	"真是好险。"
"DCG_VO_prowler_shaman_permanent_armor_01"	"我不会让我的族人失望。"
"DCG_VO_prowler_shaman_permanent_armor_02"	"我会得到保护。"
"DCG_VO_prowler_shaman_permanent_armor_03"	"要动我没那么容易。"
"DCG_VO_prowler_shaman_permanent_armor_04"	"简单的强化，但来得很及时。"
"DCG_VO_prowler_shaman_permanent_armor_05"	"我不能死……"
"DCG_VO_prowler_shaman_permanent_attack_01"	"我更加强壮了。"
"DCG_VO_prowler_shaman_permanent_attack_02"	"我会把敌人撕成碎片。"
"DCG_VO_prowler_shaman_permanent_attack_03"	"让我的敌人冲着我来。"
"DCG_VO_prowler_shaman_permanent_attack_04"	"我要让他们看看潜行者的力量。"
"DCG_VO_prowler_shaman_permanent_attack_05"	"我已做好战斗准备。"
"DCG_VO_prowler_shaman_permanent_health_01"	"让他们尽管来杀我吧。"
"DCG_VO_prowler_shaman_permanent_health_02"	"我不会沦为猎物。"
"DCG_VO_prowler_shaman_permanent_health_03"	"我能承受一切。"
"DCG_VO_prowler_shaman_permanent_health_04"	"适者生存。"
"DCG_VO_prowler_shaman_permanent_health_05"	"我的防御万无一失。"
"DCG_VO_prowler_shaman_cast_spell_01"	"为了照顾族人，我什么事都愿意做。"
"DCG_VO_prowler_shaman_cast_spell_02"	"丛林赐予了我力量……"
"DCG_VO_prowler_shaman_cast_spell_03"	"论才智，我永远胜你一筹。"
"DCG_VO_prowler_shaman_cast_spell_04"	"我比你想的要聪明……"
"DCG_VO_prowler_shaman_cast_spell_05"	"这里是我说了算。"
"DCG_VO_prowler_shaman_cast_spell_06"	"潜行者的力量举世无双！"
"DCG_VO_prowler_shaman_cast_spell_07"	"想跟我们打，你还早得很呢……"
"DCG_VO_prowler_shaman_cast_spell_08"	"为达目的，我不择手段。"
"DCG_VO_prowler_shaman_cast_spell_09"	"还有希望。"
"DCG_VO_prowler_shaman_cast_spell_10"	"绝不放弃。"
"DCG_VO_prowler_shaman_buff_ally_01"	"要坚强。"
"DCG_VO_prowler_shaman_buff_ally_02"	"我会保护所有人。"
"DCG_VO_prowler_shaman_buff_ally_03"	"我会照顾你的。"
"DCG_VO_prowler_shaman_buff_ally_04"	"相信潜行者。"
"DCG_VO_prowler_shaman_buff_ally_05"	"我们现在安全了。"
"DCG_VO_prowler_shaman_buff_ally_06"	"无论胜败，我们一同面对……"
"DCG_VO_prowler_shaman_buff_ally_07"	"我们需要相互照应。"
"DCG_VO_prowler_shaman_buff_ally_08"	"换作你也会这么做的……"
"DCG_VO_prowler_shaman_buff_ally_09"	"团结就是力量。"
"DCG_VO_prowler_shaman_buff_ally_10"	"潜行者来帮忙了。"
"DCG_VO_prowler_shaman_debuff_enemy_01"	"懦夫！"
"DCG_VO_prowler_shaman_debuff_enemy_02"	"你们该逃命去的。"
"DCG_VO_prowler_shaman_debuff_enemy_03"	"你准备得不够充分。"
"DCG_VO_prowler_shaman_debuff_enemy_04"	"这里不欢迎你。"
"DCG_VO_prowler_shaman_debuff_enemy_05"	"这里不是你该来的地方。"
"DCG_VO_prowler_shaman_debuff_enemy_06"	"你的身体会背叛你。"
"DCG_VO_prowler_shaman_debuff_enemy_07"	"该拿出真本领了。"
"DCG_VO_prowler_shaman_debuff_enemy_08"	"你的力量不足以击败我们……"
"DCG_VO_prowler_shaman_debuff_enemy_09"	"你微不足道……"
"DCG_VO_prowler_shaman_debuff_enemy_10"	"你就要倒下了。"
"DCG_VO_prowler_shaman_single_target_damage_01"	"我会打倒你。"
"DCG_VO_prowler_shaman_single_target_damage_02"	"你没有机会打败我的。"
"DCG_VO_prowler_shaman_single_target_damage_03"	"我来解决这个家伙。"
"DCG_VO_prowler_shaman_single_target_damage_04"	"让我来对付他们。"
"DCG_VO_prowler_shaman_single_target_damage_05"	"我能搞定。"
"DCG_VO_prowler_shaman_single_target_damage_06"	"我不害怕战斗。"
"DCG_VO_prowler_shaman_single_target_damage_07"	"跟我打吧！"
"DCG_VO_prowler_shaman_single_target_damage_08"	"我将以身作则……"
"DCG_VO_prowler_shaman_single_target_damage_09"	"战斗是我擅长的领域。"
"DCG_VO_prowler_shaman_single_target_damage_10"	"这是你自找的。"
"DCG_VO_prowler_shaman_multi_damage_small_01"	"把这些白痴留给我……"
"DCG_VO_prowler_shaman_multi_damage_small_02"	"你的军队还不够强大。"
"DCG_VO_prowler_shaman_multi_damage_small_03"	"你们将全军覆没。"
"DCG_VO_prowler_shaman_multi_damage_small_04"	"他们会成为我蹄下的烂泥。"
