"dcg_vo_set_00"
{

	"DCG_VO_lady_anshu_intro"	"Sei que alguns de vocês apoiaram a rebelião vhoul e acreditavam que a causa de Rix era justa. Também sei que Galânio era um tirano que precisava entender que o mundo não era dele. Entendo vocês pensarem assim, mas isso já não importa. Rix fez o Juramento. Em troca da alma dele, a Corte de Ristul lhe deu o que ele precisava para destruir o Corredor de Pedra. Seria Galânio um monstro? Talvez. Mas, pelo menos, está vivo. Não ficaremos parados enquanto demônios dizimam homens, mulheres e crianças do Corredor de Pedra. Marcharemos e lutaremos. E sim, muitos de nós morreremos, mas não oferecemos as nossas vidas porque somos tolos, e sim porque precisamos... Porque, se não impedirmos os mortos e os malditos, quem o fará?"
	"DCG_VO_lady_anshu_kill_rival_06"	"Os Fiéis de Rumusque não nos decepcionarão!"
	"DCG_VO_lady_anshu_kill_rival_07"	"Você nem deveria ter vindo aqui."
	"DCG_VO_lady_anshu_kill_rival_08"	"O seu lugar não é aqui!"
	"DCG_VO_lady_anshu_kill_rival_09"	"Quem tem um pasto nunca deixa de proteger o seu rebanho."
	"DCG_VO_lady_anshu_kill_rival_10"	"O mal nunca prevalecerá."
	"DCG_VO_lady_anshu_use_include_01"	"Não tenha medo."
	"DCG_VO_lady_anshu_use_include_02"	"Você será lembrado pela sua coragem..."
	"DCG_VO_lady_anshu_use_include_03"	"Descanse agora..."
	"DCG_VO_lady_anshu_unique_01"	"Você é um charlatão herético, Nécrofos."
	"DCG_VO_lady_anshu_unique_02"	"Você vai desejar ter morrido nas Sentinelas de Praga, Rotund'jere."
	"DCG_VO_lady_anshu_unique_03"	"Devolverei o seu corpo pútrido à terra."
	"DCG_VO_lady_anshu_unique_04"	"Lutar do lado certo em uma batalha não minimiza tudo de ruim que você fez, Nécrofos."
	"DCG_VO_lady_anshu_unique_05"	"Tenho nojo de lutar do seu lado."
	"DCG_VO_lady_anshu_unique_06"	"Rotund'jere, a sua busca por redenção será longa."
	"DCG_VO_lady_anshu_unique_07"	"Siga-me, e você não cairá."
	"DCG_VO_lady_anshu_unique_08"	"Isto é apenas o começo da nossa cruzada..."
	"DCG_VO_lady_anshu_unique_09"	"Temos muito trabalho pela frente..."
	"DCG_VO_lady_anshu_unique_10"	"Castigue os impuros!"
	"DCG_VO_lady_anshu_unique_11"	"Este mundo pertence aos vivos!"
	"DCG_VO_lady_anshu_unique_12"	"Os Fiéis de Rumusque sempre se unirão contra os malditos!"
	"DCG_VO_lady_anshu_unique_13"	"A nossa busca por poder termina aqui, Necromante."
	"DCG_VO_lady_anshu_unique_14"	"Os mortos devem continuar enterrados..."
	"DCG_VO_lady_anshu_unique_15"	"É uma honra lutar ao seu lado, Crella."
	"DCG_VO_lady_anshu_unique_16"	"Crella, você veio nos salvar!"
	"DCG_VO_lady_anshu_unique_17"	"Crella, você atendeu às nossas preces..."
	"DCG_VO_lady_anshu_unique_18"	"Coragem, meu filho."
	"DCG_VO_lady_anshu_unique_19"	"Talvez você consiga se redimir quando morrer..."
	"DCG_VO_lady_anshu_unique_20"	"Você realmente é um exemplo para todos nós, Crella..."
	"DCG_VO_lady_anshu_healed_01"	"Ahhh..."
	"DCG_VO_lady_anshu_healed_02"	"Obrigada."
	"DCG_VO_lady_anshu_healed_03"	"Agradeço muito..."
	"DCG_VO_lady_anshu_healed_04"	"Me sinto melhor..."
	"DCG_VO_lady_anshu_healed_05"	"Obrigada."
	"DCG_VO_lady_anshu_taunt_generic_01"	"O fracasso não é uma opção!"
	"DCG_VO_lady_anshu_taunt_generic_02"	"Lutaremos até o fim!"
	"DCG_VO_lady_anshu_taunt_generic_03"	"É a nossa vez!"
	"DCG_VO_lady_anshu_taunt_generic_04"	"Vitória garantida!"
	"DCG_VO_lady_anshu_taunt_generic_05"	"Agora é a hora de atacar!"
	"DCG_VO_lady_anshu_taunt_generic_06"	"Expurguem os impuros!"
	"DCG_VO_lady_anshu_taunt_generic_07"	"Derrubem os inimigos!"
	"DCG_VO_lady_anshu_taunt_generic_08"	"Destruam o Ancestral!"
	"DCG_VO_lady_anshu_taunt_generic_09"	"Derrubem a torre!"
	"DCG_VO_lady_anshu_taunt_generic_10"	"Santa Crella, conduza-nos à vitória!"
	"DCG_VO_lady_anshu_potential_kill_01"	"Arrependa-se."
	"DCG_VO_lady_anshu_potential_kill_02"	"É o fim da linha."
	"DCG_VO_lady_anshu_potential_kill_03"	"Vou acabar com as suas artimanhas."
	"DCG_VO_lady_anshu_potential_kill_04"	"Você não vai sair com vida."
	"DCG_VO_lady_anshu_potential_kill_05"	"Renda-se ou morra."
	"DCG_VO_lady_anshu_potential_save_01"	"Hoje, não."
	"DCG_VO_lady_anshu_potential_save_02"	"O divino me protege."
	"DCG_VO_lady_anshu_potential_save_03"	"A minha hora ainda não chegou."
	"DCG_VO_lady_anshu_potential_save_04"	"Você não me assusta, não."
	"DCG_VO_lady_anshu_potential_save_05"	"Nunca irei para o lado do mal."
	"DCG_VO_lady_anshu_permanent_armor_01"	"A armadura da fé."
	"DCG_VO_lady_anshu_permanent_armor_02"	"Os Santos vão me proteger."
	"DCG_VO_lady_anshu_permanent_armor_03"	"Pode tentar me machucar..."
	"DCG_VO_lady_anshu_permanent_armor_04"	"A batalha não me assusta."
	"DCG_VO_lady_anshu_permanent_armor_05"	"Desviarei as suas lâminas e flechas..."
	"DCG_VO_lady_anshu_permanent_attack_01"	"Os Santos guiam a minha mão."
	"DCG_VO_lady_anshu_permanent_attack_02"	"Estou mais forte."
	"DCG_VO_lady_anshu_permanent_attack_03"	"Castigarei os nossos inimigos..."
	"DCG_VO_lady_anshu_permanent_attack_04"	"A minha mão é capaz de destruir e salvar..."
	"DCG_VO_lady_anshu_permanent_attack_05"	"A minha retaliação é divina..."
	"DCG_VO_lady_anshu_permanent_health_01"	"Ainda não é a minha vez de morrer."
	"DCG_VO_lady_anshu_permanent_health_02"	"A minha hora ainda não chegou."
	"DCG_VO_lady_anshu_permanent_health_03"	"A fé me revigorou."
	"DCG_VO_lady_anshu_permanent_health_04"	"Sou um exemplo para o meu povo."
	"DCG_VO_lady_anshu_permanent_health_05"	"Eu me sinto renovada."
	"DCG_VO_lady_anshu_cast_spell_01"	"Este é o poder da fé!"
	"DCG_VO_lady_anshu_cast_spell_02"	"Os Fiés de Rumusque vieram para salvar todos vocês!"
	"DCG_VO_lady_anshu_cast_spell_03"	"Trago a salvação!"
	"DCG_VO_lady_anshu_cast_spell_04"	"Você está sob a minha proteção!"
	"DCG_VO_lady_anshu_cast_spell_05"	"Eu não vou deixar que você morra!"
	"DCG_VO_lady_anshu_cast_spell_06"	"Não há nada que não possamos fazer..."
	"DCG_VO_lady_anshu_cast_spell_07"	"Não devemos temer mal algum..."
	"DCG_VO_lady_anshu_cast_spell_08"	"A escuridão será expulsa."
	"DCG_VO_lady_anshu_cast_spell_09"	"Nenhum mal vai atingir você."
	"DCG_VO_lady_anshu_cast_spell_10"	"Vou mostrar uma maneira melhor."
	"DCG_VO_lady_anshu_buff_ally_01"	"Deixe-me ajudá-lo, filho."
	"DCG_VO_lady_anshu_buff_ally_02"	"Os Fiés de Rumusque vieram para ajudar."
	"DCG_VO_lady_anshu_buff_ally_03"	"Serei a sua força."
	"DCG_VO_lady_anshu_buff_ally_04"	"Você não está sozinho."
	"DCG_VO_lady_anshu_buff_ally_05"	"Precisamos nos ajudar."
	"DCG_VO_lady_anshu_buff_ally_06"	"Bênçãos para você."
	"DCG_VO_lady_anshu_buff_ally_07"	"Vá em frente e faça o bem. "
	"DCG_VO_lady_anshu_buff_ally_08"	"Que os planos dos perversos sejam desfeitos!"
	"DCG_VO_lady_anshu_buff_ally_09"	"Conte comigo."
	"DCG_VO_lady_anshu_buff_ally_10"	"O mal não pode vencer."
	"DCG_VO_lady_anshu_debuff_enemy_01"	"Você sucumbirá perante a mim."
	"DCG_VO_lady_anshu_debuff_enemy_02"	"É o começo da sua destruição..."
	"DCG_VO_lady_anshu_debuff_enemy_03"	"Você vai pagar pelas suas artimanhas."
	"DCG_VO_lady_anshu_debuff_enemy_04"	"Não há lugar para o mal aqui."
	"DCG_VO_lady_anshu_debuff_enemy_05"	"Você será esmagado pelo peso dos seus pecados..."
	"DCG_VO_lady_anshu_debuff_enemy_06"	"Você acha que pode vencer?"
	"DCG_VO_lady_anshu_debuff_enemy_07"	"Você vai morrer aqui."
	"DCG_VO_lady_anshu_debuff_enemy_08"	"Este lugar está sob a proteção de Rumusque."
	"DCG_VO_lady_anshu_debuff_enemy_09"	"Você se arrependerá de ter vindo."
	"DCG_VO_lady_anshu_debuff_enemy_10"	"Você fracassará."
	"DCG_VO_lady_anshu_single_target_damage_01"	"Vai acabar aqui mesmo."
	"DCG_VO_lady_anshu_single_target_damage_02"	"Deixe que eu cuido disso."
	"DCG_VO_lady_anshu_single_target_damage_03"	"Não temo mal algum."
	"DCG_VO_lady_anshu_single_target_damage_04"	"Você queimará sob a luz sagrada."
	"DCG_VO_lady_anshu_single_target_damage_05"	"Você não é mais forte que nós."
	"DCG_VO_lady_anshu_single_target_damage_06"	"O seu terror termina aqui."
	"DCG_VO_lady_anshu_single_target_damage_07"	"É o fim da linha para você."
	"DCG_VO_lady_anshu_single_target_damage_08"	"Vou te mandar direto para o inferno."
	"DCG_VO_lady_anshu_single_target_damage_09"	"Você não pertence a este mundo."
	"DCG_VO_lady_anshu_single_target_damage_10"	"A sua vida acabou."
	"DCG_VO_lady_anshu_multi_damage_small_01"	"Eu dou conta."
	"DCG_VO_lady_anshu_multi_damage_small_02"	"Deixem esses cretinos comigo."
	"DCG_VO_lady_anshu_multi_damage_small_03"	"Você quase não vale o esforço."
	"DCG_VO_lady_anshu_multi_damage_small_04"	"Enfrento todo o mal."
	"DCG_VO_lady_anshu_multi_damage_small_05"	"Você não vai passar por mim."
	"DCG_VO_lady_anshu_multi_damage_small_06"	"Um pequeno contratempo, só isso."
	"DCG_VO_lady_anshu_multi_damage_small_07"	"Como se atreve?"
	"DCG_VO_lady_anshu_multi_damage_small_08"	"Eu sou a encarnação da libertação!"
	"DCG_VO_lady_anshu_multi_damage_small_09"	"Não temos nada a temer."
	"DCG_VO_lady_anshu_multi_damage_small_10"	"Eu lido com eles."
	"DCG_VO_lady_anshu_multi_damage_large_01"	"ARREPENDA-SE!"
	"DCG_VO_lady_anshu_multi_damage_large_02"	"Este é o poder de Rumusque!"
	"DCG_VO_lady_anshu_multi_damage_large_03"	"Os Santos não nos deixarão perder!"
	"DCG_VO_lady_anshu_multi_damage_large_04"	"Somos banhados pela luz sagrada!"
	"DCG_VO_lady_anshu_multi_damage_large_05"	"Os perversos serão queimados!"
	"DCG_VO_lady_anshu_multi_damage_large_06"	"Só os justos sobreviverão!"
	"DCG_VO_lady_anshu_multi_damage_large_07"	"Expurgarei o mal deste lugar!"
	"DCG_VO_lady_anshu_multi_damage_large_08"	"Chegou a hora do julgamento."
	"DCG_VO_lady_anshu_multi_damage_large_09"	"Você deixou a desejar."
	"DCG_VO_lady_anshu_multi_damage_large_10"	"A luz espantará a escuridão!"
	"DCG_VO_lady_anshu_pleased_01"	"Excelente."
	"DCG_VO_lady_anshu_pleased_02"	"Está funcionando."
	"DCG_VO_lady_anshu_pleased_03"	"Que os santos sejam louvados."
	"DCG_VO_lady_anshu_pleased_04"	"Agradecemos aos Santos."
	"DCG_VO_lady_anshu_pleased_05"	"Fomos abençoados."
	"DCG_VO_lady_anshu_pleased_06"	"Justo o que eu precisávamos."
	"DCG_VO_lady_anshu_pleased_07"	"Um descanso necessário."
	"DCG_VO_lady_anshu_pleased_08"	"Os Santos se encarregam disso."
	"DCG_VO_lady_anshu_pleased_09"	"O nosso trabalho prossegue."
	"DCG_VO_lady_anshu_pleased_10"	"Você ainda não viu nada."
	"DCG_VO_lady_anshu_concerned_01"	"Não podemos ser complacentes."
	"DCG_VO_lady_anshu_concerned_02"	"É pior do que eu pensava..."
	"DCG_VO_lady_anshu_concerned_03"	"São Malik, dai-me sabedoria."
	"DCG_VO_lady_anshu_concerned_04"	"Meu Deus..."
	"DCG_VO_lady_anshu_concerned_05"	"Precisamos nos reorganizar."
	"DCG_VO_lady_anshu_concerned_06"	"Eu vou tentar ganhar tempo."
	"DCG_VO_lady_anshu_concerned_07"	"Ainda não acabou."
	"DCG_VO_lady_anshu_concerned_08"	"Não podemos perder a esperança."
	"DCG_VO_lady_anshu_concerned_09"	"Não é o fim da linha."
	"DCG_VO_lady_anshu_concerned_10"	"Ainda temos tempo..."
	"DCG_VO_lady_anshu_angry_01"	"Não há misericórdia no seu futuro."
	"DCG_VO_lady_anshu_angry_02"	"Não haverá clemência."
	"DCG_VO_lady_anshu_angry_03"	"MATEM TODOS!"
	"DCG_VO_lady_anshu_angry_04"	"Vamos fazer um acerto de contas..."
	"DCG_VO_lady_anshu_angry_05"	"Estas abominações serão destruídas!"
	"DCG_VO_lady_anshu_angry_06"	"Mande-as direto para o inferno!"
	"DCG_VO_lady_anshu_angry_07"	"Não descansarei até você apodrecer em perdição."
	"DCG_VO_lady_anshu_angry_08"	"Jamais desistiremos!"
	"DCG_VO_lady_anshu_angry_09"	"Não nos renderemos!"
	"DCG_VO_lady_anshu_angry_10"	"Isto acaba agora!"
	"DCG_VO_lady_anshu_arrogant_01"	"Os Fiéis de Rumusque são inigualáveis."
	"DCG_VO_lady_anshu_arrogant_02"	"O meu poder é divino!"
	"DCG_VO_lady_anshu_arrogant_03"	"Os justos não sucumbirão!"
	"DCG_VO_lady_anshu_arrogant_04"	"Você acha que eu tenho medo de charlatões?"
	"DCG_VO_lady_anshu_arrogant_05"	"Eles não fazem ideia do que sou capaz."
	"DCG_VO_lady_anshu_arrogant_06"	"Tenha gratidão pela nossa intervenção."
	"DCG_VO_lady_anshu_arrogant_07"	"Eu dou o exemplo."
	"DCG_VO_lady_anshu_arrogant_08"	"O mal não pode me deter."
	"DCG_VO_lady_anshu_arrogant_09"	"Não tenho medo de nada."
	"DCG_VO_lady_anshu_arrogant_10"	"Parece que você precisa de ajuda."
	"DCG_VO_lady_anshu_enigmatic_01"	"A minha fé é forte."
	"DCG_VO_lady_anshu_enigmatic_02"	"São Breen, dai-nos força."
	"DCG_VO_lady_anshu_enigmatic_03"	"Precisamos nos preparar."
	"DCG_VO_lady_anshu_enigmatic_04"	"Há muito trabalho pela frente..."
	"DCG_VO_lady_anshu_enigmatic_05"	"Temos que estar prontos para tudo..."
	"DCG_VO_lady_anshu_enigmatic_06"	"Os perversos são capazes de tudo. Temos que nos preparar."
	"DCG_VO_lady_anshu_enigmatic_07"	"Precisamos capturá-los quando estiverem desprevinidos."
	"DCG_VO_lady_anshu_enigmatic_08"	"O nosso poder cresce."
	"DCG_VO_lady_anshu_enigmatic_09"	"Os fiéis serão recompensados."
	"DCG_VO_lady_anshu_enigmatic_10"	"Com a ajuda dos Santos, tudo é possível."
	"DCG_VO_lady_anshu_death_01"	"(Grito)"




}
