"dcg_vo_set_00"
{

	"DCG_VO_lady_anshu_intro"	"Bazılarınızın Vhoul isyanını desteklemiş olduğunu, Rix'in davasının haklı olduğunu düşündüğünü ve Galanius'a, bu dünyanın ona ait olmadığını hatırlatacak şekilde haddinin bildirilmesi gerektiğini düşündüğünüzü biliyorum. Ancak bunların artık bir önemi yok. Rix Yemin etti ve Ristul Meclisi ona ruhunun karşılığında Taş Salon'u yok edecek gücü verdi. Galanius bir canavar mı? Mümkün. Fakat en azından o yaşayanlar âleminden. İblisler Taş Salon'un kadınlarını, erkeklerini ve çocuklarını katlederken buna seyirci kalmayacağız. Üstlerine gideceğiz. Ve savaşacağız. Birçoğumuz ölecek fakat hayatlarımızı bir aptallık uğruna değil mecburiyet uğruna vereceğiz... Zira ölüleri ve lanetlileri biz durdurmazsak... Başka kim durduracak?"
	"DCG_VO_lady_anshu_kill_rival_07"	"Buraya asla gelmemeliydin."
	"DCG_VO_lady_anshu_kill_rival_08"	"Sen buraya ait değilsin!"
	"DCG_VO_lady_anshu_kill_rival_09"	"Çoban sürüsünü korur."
	"DCG_VO_lady_anshu_kill_rival_10"	"Şer galip gelmeyecek."
	"DCG_VO_lady_anshu_use_include_01"	"Korkma."
	"DCG_VO_lady_anshu_use_include_02"	"Cesaretinle hatırlanacaksın..."
	"DCG_VO_lady_anshu_use_include_03"	"Dinlen artık."
	"DCG_VO_lady_anshu_unique_01"	"Kâfirin ve şarlatanın tekisin Nekrofos."
	"DCG_VO_lady_anshu_unique_02"	"Veba koğuşlarında ölmüş olmayı dileyeceksin Rotund'jere."
	"DCG_VO_lady_anshu_unique_03"	"Çürük bedenin toprağa geri dönecek."
	"DCG_VO_lady_anshu_unique_04"	"Tek bir savaşta doğru tarafta savaşmış olmak her şeyin unutulduğu anlamına gelmiyor Nekrofos."
	"DCG_VO_lady_anshu_unique_05"	"Seninle aynı tarafta savaşmak midemi bulandırıyor."
	"DCG_VO_lady_anshu_unique_06"	"Rotund'jere, kefaret için daha çok yol gitmen gerek."
	"DCG_VO_lady_anshu_unique_07"	"Beni takip edersen başarısız olmayız."
	"DCG_VO_lady_anshu_unique_08"	"Bu daha savaşımızın başlangıcı..."
	"DCG_VO_lady_anshu_unique_09"	"Yapacak çok işimiz var..."
	"DCG_VO_lady_anshu_unique_10"	"Günahkârları cezalandır!"
	"DCG_VO_lady_anshu_unique_11"	"Bu dünya yaşayanlar içindir!"
	"DCG_VO_lady_anshu_unique_12"	"Rumusque her daim lanetlilere karşı duracak!"
	"DCG_VO_lady_anshu_unique_13"	"Güç arayışın burada sona eriyor ölüm büyücüsü..."
	"DCG_VO_lady_anshu_unique_14"	"Ölüler gömülü kalmalı..."
	"DCG_VO_lady_anshu_unique_15"	"Seninle omuz omuza savaşmak bir onur, Crella."
	"DCG_VO_lady_anshu_unique_16"	"Crella, bizi kurtarmaya geldin!"
	"DCG_VO_lady_anshu_unique_17"	"Crella, dualarımızı yanıtladın..."
	"DCG_VO_lady_anshu_unique_18"	"Cesur ol evladım."
	"DCG_VO_lady_anshu_unique_19"	"Belki ölümde kefarete ulaşabilirsin..."
	"DCG_VO_lady_anshu_unique_20"	"Gerçekten hepimize bir örneksin Crella..."
	"DCG_VO_lady_anshu_healed_01"	"Ahhh"
	"DCG_VO_lady_anshu_healed_02"	"Teşekkür ederim."
	"DCG_VO_lady_anshu_healed_03"	"Çok teşekkürler..."
	"DCG_VO_lady_anshu_healed_04"	"Daha iyi hissediyorum..."
	"DCG_VO_lady_anshu_healed_05"	"Teşekkür ederim."
	"DCG_VO_lady_anshu_taunt_generic_01"	"Başarısız olamayız!"
	"DCG_VO_lady_anshu_taunt_generic_02"	"Dövüşü bırakmayacağız!"
	"DCG_VO_lady_anshu_taunt_generic_03"	"İşte bizim şansımız!"
	"DCG_VO_lady_anshu_taunt_generic_04"	"Zafer kesin!"
	"DCG_VO_lady_anshu_taunt_generic_05"	"Saldırı vakti geldi!"
	"DCG_VO_lady_anshu_taunt_generic_06"	"Günahkârları arındır!"
	"DCG_VO_lady_anshu_taunt_generic_07"	"Onları yok et!"
	"DCG_VO_lady_anshu_taunt_generic_08"	"Kadim Kale'yi yok et!"
	"DCG_VO_lady_anshu_taunt_generic_09"	"Kuleyi indir!"
	"DCG_VO_lady_anshu_taunt_generic_10"	"Azize Crella, bizi zafere taşı!"
	"DCG_VO_lady_anshu_potential_kill_01"	"Tövbe et."
	"DCG_VO_lady_anshu_potential_kill_02"	"Bu son."
	"DCG_VO_lady_anshu_potential_kill_03"	"Aşağılık yöntemlerine son vereceğim."
	"DCG_VO_lady_anshu_potential_kill_04"	"Hayatta kalamayacaksın."
	"DCG_VO_lady_anshu_potential_kill_05"	"Teslim ol ya da öl."
	"DCG_VO_lady_anshu_potential_save_01"	"Bugün değil."
	"DCG_VO_lady_anshu_potential_save_02"	"Tanrılar beni koruyor."
	"DCG_VO_lady_anshu_potential_save_03"	"Benim ölme vaktim gelmedi."
	"DCG_VO_lady_anshu_potential_save_04"	"Beni korkutamazsın."
	"DCG_VO_lady_anshu_potential_save_05"	"Kötülük karşısında asla diz çökmeyeceğim."
	"DCG_VO_lady_anshu_permanent_armor_01"	"İnanç zırhı."
	"DCG_VO_lady_anshu_permanent_armor_02"	"Azizler beni koruyor."
	"DCG_VO_lady_anshu_permanent_armor_03"	"Şimdi bana zarar vermeyi dene..."
	"DCG_VO_lady_anshu_permanent_armor_04"	"Savaşta korktuğum hiçbir şey yok."
	"DCG_VO_lady_anshu_permanent_armor_05"	"Kılıçlarını ve oklarını sana geri savuşturacağım..."
	"DCG_VO_lady_anshu_permanent_attack_01"	"Azizler elime rehberlik ediyor."
	"DCG_VO_lady_anshu_permanent_attack_02"	"Artık daha güçlüyüm."
	"DCG_VO_lady_anshu_permanent_attack_03"	"Düşmanlarımızı yakacağım..."
	"DCG_VO_lady_anshu_permanent_attack_04"	"Elim hem yok eder hem de kurtarır..."
	"DCG_VO_lady_anshu_permanent_attack_05"	"Öcüm ilahidir..."
	"DCG_VO_lady_anshu_permanent_health_01"	"Daha ölme zamanım gelmedi."
	"DCG_VO_lady_anshu_permanent_health_02"	"Henüz vaktim gelmedi."
	"DCG_VO_lady_anshu_permanent_health_03"	"İnancım beni tazeledi."
	"DCG_VO_lady_anshu_permanent_health_04"	"Ben, halkım için bir emsalim."
	"DCG_VO_lady_anshu_permanent_health_05"	"Kendimi yenilenmiş hissediyorum."
	"DCG_VO_lady_anshu_cast_spell_01"	"Bu inancın gücü!"
	"DCG_VO_lady_anshu_cast_spell_02"	"Rumusque hepinizi kurtarmaya geldi!"
	"DCG_VO_lady_anshu_cast_spell_03"	"Kurtuluş getiriyorum!"
	"DCG_VO_lady_anshu_cast_spell_04"	"Benim korumam altındasın!"
	"DCG_VO_lady_anshu_cast_spell_05"	"Ölmene izin vermeyeceğim!"
	"DCG_VO_lady_anshu_cast_spell_06"	"Başaramayacağımız bir şey yok..."
	"DCG_VO_lady_anshu_cast_spell_07"	"Kötülükten korkmayacağız..."
	"DCG_VO_lady_anshu_cast_spell_08"	"Karanlığı defedeceğim."
	"DCG_VO_lady_anshu_cast_spell_09"	"Sana zarar gelmeyecek."
	"DCG_VO_lady_anshu_cast_spell_10"	"Sana daha iyi bir yol göstereceğim."
	"DCG_VO_lady_anshu_buff_ally_01"	"Yardım etmeme izin ver çocuğum."
	"DCG_VO_lady_anshu_buff_ally_02"	"Rumusque yardıma geldi."
	"DCG_VO_lady_anshu_buff_ally_03"	"Senin gücün olacağım."
	"DCG_VO_lady_anshu_buff_ally_04"	"Yalnız değilsin."
	"DCG_VO_lady_anshu_buff_ally_05"	"Birbirimize yardım etmeliyiz."
	"DCG_VO_lady_anshu_buff_ally_06"	"Tanrıların lütfu seninle olsun."
	"DCG_VO_lady_anshu_buff_ally_07"	"Git ve iyilik yap."
	"DCG_VO_lady_anshu_buff_ally_08"	"Kötülerin planları başarıya ulaşmayacak."
	"DCG_VO_lady_anshu_buff_ally_09"	"Lütfum seninle olsun."
	"DCG_VO_lady_anshu_buff_ally_10"	"Şer galip gelmemeli."
	"DCG_VO_lady_anshu_debuff_enemy_01"	"Önümde toza dönüşeceksin."
	"DCG_VO_lady_anshu_debuff_enemy_02"	"Bu sonunun başlangıcı..."
	"DCG_VO_lady_anshu_debuff_enemy_03"	"Aşağılık yöntemlerinin cezasını çekeceksin."
	"DCG_VO_lady_anshu_debuff_enemy_04"	"Şerrin burada yeri yok."
	"DCG_VO_lady_anshu_debuff_enemy_05"	"Günahlarının ağırlığı altında ezileceksin..."
	"DCG_VO_lady_anshu_debuff_enemy_06"	"Kazanabileceğini mi düşünüyorsun?"
	"DCG_VO_lady_anshu_debuff_enemy_07"	"Burada öleceksin."
	"DCG_VO_lady_anshu_debuff_enemy_08"	"Burası Rumusque'un koruması altında."
	"DCG_VO_lady_anshu_debuff_enemy_09"	"Buraya geldiğine pişman olacaksın."
	"DCG_VO_lady_anshu_debuff_enemy_10"	"Başarısız olacaksın."
	"DCG_VO_lady_anshu_single_target_damage_01"	"Burada bitiyor."
	"DCG_VO_lady_anshu_single_target_damage_02"	"Bunu bana bırakın."
	"DCG_VO_lady_anshu_single_target_damage_03"	"Hiçbir kötülükten korkmuyorum."
	"DCG_VO_lady_anshu_single_target_damage_04"	"Kutsal ışıkta yanacaksın."
	"DCG_VO_lady_anshu_single_target_damage_05"	"Bizden daha güçlü değilsin."
	"DCG_VO_lady_anshu_single_target_damage_06"	"Dehşetin burada bitiyor."
	"DCG_VO_lady_anshu_single_target_damage_07"	"Bu senin için son."
	"DCG_VO_lady_anshu_single_target_damage_08"	"Seni cehenneme göndereceğim."
	"DCG_VO_lady_anshu_single_target_damage_09"	"Bu dünyada yerin yok."
	"DCG_VO_lady_anshu_single_target_damage_10"	"Hayatını unut."
	"DCG_VO_lady_anshu_multi_damage_small_01"	"Bununla başa çıkabilirim."
	"DCG_VO_lady_anshu_multi_damage_small_02"	"Bu salakları bana bırak."
	"DCG_VO_lady_anshu_multi_damage_small_03"	"Harcadığım çabaya değmezsin."
	"DCG_VO_lady_anshu_multi_damage_small_04"	"Kötüler, karşısında beni bulur."
	"DCG_VO_lady_anshu_multi_damage_small_05"	"Beni geçemezsin."
	"DCG_VO_lady_anshu_multi_damage_small_06"	"Küçük bir sıkıntı, önemli değil."
	"DCG_VO_lady_anshu_multi_damage_small_07"	"Bu ne cüret?"
	"DCG_VO_lady_anshu_multi_damage_small_08"	"Ben kurtuluşun vücut bulmuş hâliyim!"
	"DCG_VO_lady_anshu_multi_damage_small_09"	"Korkacağımız bir şey yok."
	"DCG_VO_lady_anshu_multi_damage_small_10"	"Onlarla ben ilgilenirim."
	"DCG_VO_lady_anshu_multi_damage_large_01"	"TÖVBE ET!"
	"DCG_VO_lady_anshu_multi_damage_large_02"	"Rumusque'un gücü işte bu!"
	"DCG_VO_lady_anshu_multi_damage_large_03"	"Azizler başarısızlığa uğramamıza izin vermeyecek!"
	"DCG_VO_lady_anshu_multi_damage_large_04"	"Kutsal ışıkta yıkandık!"
	"DCG_VO_lady_anshu_multi_damage_large_05"	"Kötüler yanacak!"
	"DCG_VO_lady_anshu_multi_damage_large_06"	"Sadece erdemliler hayatta kalacak!"
	"DCG_VO_lady_anshu_multi_damage_large_07"	"Burayı şerden arındıracağım!"
	"DCG_VO_lady_anshu_multi_damage_large_08"	"Hüküm vakti geldi."
	"DCG_VO_lady_anshu_multi_damage_large_09"	"Kusurlu bulundunuz."
	"DCG_VO_lady_anshu_multi_damage_large_10"	"Işık, karanlığı yok edecek!"
	"DCG_VO_lady_anshu_pleased_01"	"Mükemmel."
	"DCG_VO_lady_anshu_pleased_02"	"Bu işe yarıyor."
	"DCG_VO_lady_anshu_pleased_03"	"Azizlere şükürler olsun."
	"DCG_VO_lady_anshu_pleased_04"	"Azizlere şükranı bir borç biliriz."
	"DCG_VO_lady_anshu_pleased_05"	"Kutsandık."
	"DCG_VO_lady_anshu_pleased_06"	"Tam da ihtiyacımız olan şey."
	"DCG_VO_lady_anshu_pleased_07"	"Bir soluklanmaya ihtiyacımız vardı."
	"DCG_VO_lady_anshu_pleased_08"	"Azizler rızkımızı veriyor."
	"DCG_VO_lady_anshu_pleased_09"	"İşimiz devam ediyor."
	"DCG_VO_lady_anshu_pleased_10"	"Bu sadece başlangıç."
	"DCG_VO_lady_anshu_concerned_01"	"Kayıtsız kalmamalıyız."
	"DCG_VO_lady_anshu_concerned_02"	"Bu sandığımdan da kötü..."
	"DCG_VO_lady_anshu_concerned_03"	"Aziz Malik bana irfan eyle."
	"DCG_VO_lady_anshu_concerned_04"	"Tanrım..."
	"DCG_VO_lady_anshu_concerned_05"	"Yeniden toplanmalıyız."
	"DCG_VO_lady_anshu_concerned_06"	"Bize biraz zaman kazandırmaya çalışacağım."
	"DCG_VO_lady_anshu_concerned_07"	"Henüz bitmedi."
	"DCG_VO_lady_anshu_concerned_08"	"Umudumuzu kaybedemeyiz."
	"DCG_VO_lady_anshu_concerned_09"	"Bu son değil."
	"DCG_VO_lady_anshu_concerned_10"	"Hâlâ zamanımız var..."
	"DCG_VO_lady_anshu_angry_01"	"Merhamet görmeyeceksin."
	"DCG_VO_lady_anshu_angry_02"	"Sana nefes aldırmayacağız."
	"DCG_VO_lady_anshu_angry_03"	"ÖLDÜRÜN HEPSİNİ!"
	"DCG_VO_lady_anshu_angry_04"	"Hepinizin hesaplaşma günü geliyor..."
	"DCG_VO_lady_anshu_angry_05"	"Bu canavarlar yok edilmeli!"
	"DCG_VO_lady_anshu_angry_06"	"Onları cehenneme geri gönderin!"
	"DCG_VO_lady_anshu_angry_07"	"Hepiniz cehennemde azap çekene kadar durmayacağım."
	"DCG_VO_lady_anshu_angry_08"	"Asla pes etmeyeceğiz!"
	"DCG_VO_lady_anshu_angry_09"	"Teslim olmayacağız!"
	"DCG_VO_lady_anshu_angry_10"	"Buraya kadar!"
	"DCG_VO_lady_anshu_arrogant_01"	"Rumusque'un dengi yoktur."
	"DCG_VO_lady_anshu_arrogant_02"	"Gücüm ilahidir!"
	"DCG_VO_lady_anshu_arrogant_03"	"Erdemliler başarısız olmayacak!"
	"DCG_VO_lady_anshu_arrogant_04"	"Şarlatanlardan korktuğumu mu düşünüyorsun?"
	"DCG_VO_lady_anshu_arrogant_05"	"Neler yapabileceğim hakkında hiçbir fikriniz yok."
	"DCG_VO_lady_anshu_arrogant_06"	"Müdahalemiz için müteşekkir olmalısın."
	"DCG_VO_lady_anshu_arrogant_07"	"Örnek olarak liderlik yapmayı tercih ederim..."
	"DCG_VO_lady_anshu_arrogant_08"	"Kötülük beni durduramaz."
	"DCG_VO_lady_anshu_arrogant_09"	"Korktuğum hiçbir şey yok."
	"DCG_VO_lady_anshu_arrogant_10"	"Galiba yardıma ihtiyacın var."
	"DCG_VO_lady_anshu_enigmatic_01"	"İnancım güçlüdür."
	"DCG_VO_lady_anshu_enigmatic_02"	"Aziz Breen bize güç ver."
	"DCG_VO_lady_anshu_enigmatic_03"	"Hazırlanmalıyız."
	"DCG_VO_lady_anshu_enigmatic_04"	"Yapılacak çok iş var..."
	"DCG_VO_lady_anshu_enigmatic_05"	"Her şeye hazır olmamız gerekiyor..."
	"DCG_VO_lady_anshu_enigmatic_06"	"Kötüler her şeyi yapabilir. Hazır olmalıyız."
	"DCG_VO_lady_anshu_enigmatic_07"	"Onları habersiz yakalamalıyız."
	"DCG_VO_lady_anshu_enigmatic_08"	"Gücümüz artıyor."
	"DCG_VO_lady_anshu_enigmatic_09"	"İnançlı olanlar ödüllendirilecek."
	"DCG_VO_lady_anshu_enigmatic_10"	"Azizlerin yardımı sayesinde her şey mümkün."
	"DCG_VO_lady_anshu_death_01"	"çığlık atar"




}
