"dcg_vo_set_00"
{

	"DCG_VO_lady_anshu_intro"	"ヴールの反乱を支持する者たちがいることは知っている…あなたがリックスの主張が正しいと信じていることも、ガラニウスが暴君で、世界は彼のものではないということを示す必要があったことも理解している。だが、そんなことはもうどうでもよい。リックスは「誓い」を立てた。リストゥールの宮廷は、魂と引き換えに、リックスにストーンホールを破壊する手段を与えた。ガラニウスは怪物なのか？そうかもしれない。しかし、少なくとも彼は生を得た者だ。悪魔がストーンホールの男や女や子供たちを虐殺するのを、黙って見ているわけにはいかない。我々は進軍する。そして戦うのだ。当然、多くの者が死ぬだろう。しかし、我々が命を捧げるのは、愚かさ故ではない。それが必要だからだ…我々が死者や呪われた者たちを止めなければ…一体誰が止めるのだ？"
	"DCG_VO_lady_anshu_unique_06"	"ロタンドジェレよ、お前の贖罪への道のりは長い。"
	"DCG_VO_lady_anshu_unique_07"	"私に従えば、必ず勝てるだろう。"
	"DCG_VO_lady_anshu_unique_08"	"これは聖なる戦いのほんの始まりに過ぎない…"
	"DCG_VO_lady_anshu_unique_09"	"やるべきことは山ほどある…"
	"DCG_VO_lady_anshu_unique_10"	"不浄な者を叩きのめすのだ！"
	"DCG_VO_lady_anshu_unique_11"	"この世界は生ける者のためにある！"
	"DCG_VO_lady_anshu_unique_12"	"ラミュスクは常に罪深き者に立ち向かう！"
	"DCG_VO_lady_anshu_unique_13"	"権力への探求はこれまでだ、ネクロマンサー…"
	"DCG_VO_lady_anshu_unique_14"	"死者は土の中で眠っていればよいのだ…"
	"DCG_VO_lady_anshu_unique_15"	"あなたと共に戦えるとは光栄です、クレラ。"
	"DCG_VO_lady_anshu_unique_16"	"クレラ、救いに来てくださったのですね！"
	"DCG_VO_lady_anshu_unique_17"	"クレラ、我々の願いを叶えてくださいました…"
	"DCG_VO_lady_anshu_unique_18"	"恐れるな、皆の者"
	"DCG_VO_lady_anshu_unique_19"	"死をもって償いを見つけることができるだろう…"
	"DCG_VO_lady_anshu_unique_20"	"あなたは我々の真のお手本です、クレラ…"
	"DCG_VO_lady_anshu_healed_01"	"ああ…"
	"DCG_VO_lady_anshu_healed_02"	"ありがたい。"
	"DCG_VO_lady_anshu_healed_03"	"感謝する..."
	"DCG_VO_lady_anshu_healed_04"	"いい気分だ…"
	"DCG_VO_lady_anshu_healed_05"	"ありがとう。"
	"DCG_VO_lady_anshu_taunt_generic_01"	"失敗は許されない！"
	"DCG_VO_lady_anshu_taunt_generic_02"	"我々は戦い続ける！"
	"DCG_VO_lady_anshu_taunt_generic_03"	"今がチャンスだ！"
	"DCG_VO_lady_anshu_taunt_generic_04"	"勝利はすぐそこだ！"
	"DCG_VO_lady_anshu_taunt_generic_05"	"今が攻撃の時だ！"
	"DCG_VO_lady_anshu_taunt_generic_06"	"不浄な者を清めよ！"
	"DCG_VO_lady_anshu_taunt_generic_07"	"敵を打ち倒せ！"
	"DCG_VO_lady_anshu_taunt_generic_08"	"エンシェントを破壊せよ！"
	"DCG_VO_lady_anshu_taunt_generic_09"	"タワーを奪え！"
	"DCG_VO_lady_anshu_taunt_generic_10"	"聖クレラ、勝利へお導きください！"
	"DCG_VO_lady_anshu_potential_kill_01"	"悔い改めよ。"
	"DCG_VO_lady_anshu_potential_kill_02"	"ここまでだ。"
	"DCG_VO_lady_anshu_potential_kill_03"	"これ以上邪悪な真似はさせない。"
	"DCG_VO_lady_anshu_potential_kill_04"	"お前は生きて帰れまい。"
	"DCG_VO_lady_anshu_potential_kill_05"	"降伏か、死か。"
	"DCG_VO_lady_anshu_potential_save_01"	"今日は死なない。"
	"DCG_VO_lady_anshu_potential_save_02"	"神が私を守ってくれる。"
	"DCG_VO_lady_anshu_potential_save_03"	"まだ私の死ぬ時ではない。"
	"DCG_VO_lady_anshu_potential_save_04"	"脅しても無駄だ。"
	"DCG_VO_lady_anshu_potential_save_05"	"悪には決して屈しない。"
	"DCG_VO_lady_anshu_permanent_armor_01"	"信仰の鎧。"
	"DCG_VO_lady_anshu_permanent_armor_02"	"私には聖人のご加護がある。"
	"DCG_VO_lady_anshu_permanent_armor_03"	"やれるものならやるがいい…"
	"DCG_VO_lady_anshu_permanent_armor_04"	"戦いに恐れるものなど何もない。"
	"DCG_VO_lady_anshu_permanent_armor_05"	"刃も矢も跳ね返す..."
	"DCG_VO_lady_anshu_permanent_attack_01"	"聖者たちが我が手を導く"
	"DCG_VO_lady_anshu_permanent_attack_02"	"力が増した。"
	"DCG_VO_lady_anshu_permanent_attack_03"	"敵を打ち倒してやろう…"
	"DCG_VO_lady_anshu_permanent_attack_04"	"我が手は救済とも破壊ともなり得る..."
	"DCG_VO_lady_anshu_permanent_attack_05"	"天罰を受けるがいい..."
	"DCG_VO_lady_anshu_permanent_health_01"	"まだ死ぬ運命ではない。"
	"DCG_VO_lady_anshu_permanent_health_02"	"まだ死ぬ時ではない。"
	"DCG_VO_lady_anshu_permanent_health_03"	"信仰が活気の源だ。"
	"DCG_VO_lady_anshu_permanent_health_04"	"私は人々の手本だ。"
	"DCG_VO_lady_anshu_permanent_health_05"	"生まれ変わった気分だ。"
	"DCG_VO_lady_anshu_cast_spell_01"	"これが信心の力だ！"
	"DCG_VO_lady_anshu_cast_spell_02"	"ラミュスクが皆を助けに来たぞ！"
	"DCG_VO_lady_anshu_cast_spell_03"	"私は救済をもたらす！"
	"DCG_VO_lady_anshu_cast_spell_04"	"お前は私の加護の下にある！"
	"DCG_VO_lady_anshu_cast_spell_05"	"死なせはしない！"
	"DCG_VO_lady_anshu_cast_spell_06"	"我々にできぬことなど何もない..."
	"DCG_VO_lady_anshu_cast_spell_07"	"悪を恐れるな…"
	"DCG_VO_lady_anshu_cast_spell_08"	"闇は取り払われるだろう。"
	"DCG_VO_lady_anshu_cast_spell_09"	"危害が及ぶことはない。"
	"DCG_VO_lady_anshu_cast_spell_10"	"もっといい方法を教えてやろう。"
	"DCG_VO_lady_anshu_buff_ally_01"	"私が力を貸そう。"
	"DCG_VO_lady_anshu_buff_ally_02"	"ラミュスクが助けに来た。"
	"DCG_VO_lady_anshu_buff_ally_03"	"私がついている。"
	"DCG_VO_lady_anshu_buff_ally_04"	"一人ではない。"
	"DCG_VO_lady_anshu_buff_ally_05"	"互いに助け合う必要がある。"
	"DCG_VO_lady_anshu_buff_ally_06"	"祝福あれ。"
	"DCG_VO_lady_anshu_buff_ally_07"	"進め！善を為せ！ "
	"DCG_VO_lady_anshu_buff_ally_08"	"邪悪な計画が阻止されんことを。"
	"DCG_VO_lady_anshu_buff_ally_09"	"我が寵愛を受けよ。"
	"DCG_VO_lady_anshu_buff_ally_10"	"悪は勝利しない。"
	"DCG_VO_lady_anshu_debuff_enemy_01"	"お前は私の前に滅びる。"
	"DCG_VO_lady_anshu_debuff_enemy_02"	"これはお前の破滅の序曲..."
	"DCG_VO_lady_anshu_debuff_enemy_03"	"邪悪なやり方のツケを払ってもらう。"
	"DCG_VO_lady_anshu_debuff_enemy_04"	"ここに悪の居場所はない。"
	"DCG_VO_lady_anshu_debuff_enemy_05"	"自らの罪の重みに押し潰されるがいい..."
	"DCG_VO_lady_anshu_debuff_enemy_06"	"まさか勝てると思っているのか？"
	"DCG_VO_lady_anshu_debuff_enemy_07"	"お前はここで死ぬ。"
	"DCG_VO_lady_anshu_debuff_enemy_08"	"この場所はラミュスクの庇護のもとにある。"
	"DCG_VO_lady_anshu_debuff_enemy_09"	"ここに来たことを後悔するだろう…"
	"DCG_VO_lady_anshu_debuff_enemy_10"	"お前は失敗する。"
	"DCG_VO_lady_anshu_single_target_damage_01"	"終わらせてやる。"
	"DCG_VO_lady_anshu_single_target_damage_02"	"こいつは私が相手になろう。"
	"DCG_VO_lady_anshu_single_target_damage_03"	"悪など恐れはしない。"
	"DCG_VO_lady_anshu_single_target_damage_04"	"聖なる光で焼かれるだろう。"
	"DCG_VO_lady_anshu_single_target_damage_05"	"お前に我々ほどの力はない。"
	"DCG_VO_lady_anshu_single_target_damage_06"	"恐怖はここで終わる。"
	"DCG_VO_lady_anshu_single_target_damage_07"	"これがお前の最期だ…"
	"DCG_VO_lady_anshu_single_target_damage_08"	"地獄へ送ってやる。"
	"DCG_VO_lady_anshu_single_target_damage_09"	"ここにはお前の居場所はない。"
	"DCG_VO_lady_anshu_single_target_damage_10"	"お前の命をいただく。"
	"DCG_VO_lady_anshu_multi_damage_small_01"	"私が始末する。"
	"DCG_VO_lady_anshu_multi_damage_small_02"	"私がこのマヌケどもの相手になろう。"
	"DCG_VO_lady_anshu_multi_damage_small_03"	"本気を出すまでもない。"
	"DCG_VO_lady_anshu_multi_damage_small_04"	"すべての悪に立ち向かう。"
	"DCG_VO_lady_anshu_multi_damage_small_05"	"ここは通さない。"
	"DCG_VO_lady_anshu_multi_damage_small_06"	"ただの小手調べだ。"
	"DCG_VO_lady_anshu_multi_damage_small_07"	"よくも！"
	"DCG_VO_lady_anshu_multi_damage_small_08"	"我こそは救済の化身だ！"
	"DCG_VO_lady_anshu_multi_damage_small_09"	"我々は何も恐れない。"
	"DCG_VO_lady_anshu_multi_damage_small_10"	"私が彼らの相手をしよう。"
	"DCG_VO_lady_anshu_multi_damage_large_01"	"悔い改めよ！"
	"DCG_VO_lady_anshu_multi_damage_large_02"	"これがラミュスクの力だ！"
	"DCG_VO_lady_anshu_multi_damage_large_03"	"聖者が私たちをお守りくださる！"
	"DCG_VO_lady_anshu_multi_damage_large_04"	"聖なる光が満ちる！"
	"DCG_VO_lady_anshu_multi_damage_large_05"	"邪悪な者どもを焼き尽くせ！"
	"DCG_VO_lady_anshu_multi_damage_large_06"	"生き残るのは正義のみ！"
	"DCG_VO_lady_anshu_multi_damage_large_07"	"この地から悪を一掃する！"
	"DCG_VO_lady_anshu_multi_damage_large_08"	"審判の時は来た。"
	"DCG_VO_lady_anshu_multi_damage_large_09"	"お前たちでは役不足だ。"
	"DCG_VO_lady_anshu_multi_damage_large_10"	"光が闇を燃やし尽くす！"
	"DCG_VO_lady_anshu_pleased_01"	"最高ね。"
	"DCG_VO_lady_anshu_pleased_02"	"いいぞ。"
	"DCG_VO_lady_anshu_pleased_03"	"聖者を讃えよ。"
	"DCG_VO_lady_anshu_pleased_04"	"聖者に感謝を捧げます。"
	"DCG_VO_lady_anshu_pleased_05"	"聖者の祝福を授かった。"
	"DCG_VO_lady_anshu_pleased_06"	"まさに必要としていたものだ。"
	"DCG_VO_lady_anshu_pleased_07"	"ちょうど休息が必要だった。"
	"DCG_VO_lady_anshu_pleased_08"	"聖者の施し。"
	"DCG_VO_lady_anshu_pleased_09"	"我々の使命は続く。"
	"DCG_VO_lady_anshu_pleased_10"	"これは始まりに過ぎない。"
	"DCG_VO_lady_anshu_concerned_01"	"甘んじてはいけない。"
	"DCG_VO_lady_anshu_concerned_02"	"思ったより状況は深刻だ…"
	"DCG_VO_lady_anshu_concerned_03"	"聖マリクが知恵を授けてくださる。"
	"DCG_VO_lady_anshu_concerned_04"	"なんということだ…"
	"DCG_VO_lady_anshu_concerned_05"	"再編成が必要だ。"
	"DCG_VO_lady_anshu_concerned_06"	"いくらか時間を稼いでみよう。"
	"DCG_VO_lady_anshu_concerned_07"	"まだ終わったわけではない。"
	"DCG_VO_lady_anshu_concerned_08"	"希望を失ってはいけない。"
	"DCG_VO_lady_anshu_concerned_09"	"これで終わりではない。"
	"DCG_VO_lady_anshu_concerned_10"	"まだ時間はある…"
	"DCG_VO_lady_anshu_angry_01"	"お前に情けはかけない。"
	"DCG_VO_lady_anshu_angry_02"	"容赦するな。"
	"DCG_VO_lady_anshu_angry_03"	"皆殺しにするのだ！"
	"DCG_VO_lady_anshu_angry_04"	"報いを受けるがよい…"
	"DCG_VO_lady_anshu_angry_05"	"忌まわしき者たちを滅ぼせ！"
	"DCG_VO_lady_anshu_angry_06"	"地獄に送り返してやれ！"
	"DCG_VO_lady_anshu_angry_07"	"お前が地獄で朽ち果てるまで休息などない。"
	"DCG_VO_lady_anshu_angry_08"	"決してあきらめません！"
	"DCG_VO_lady_anshu_angry_09"	"降伏などするものか！"
	"DCG_VO_lady_anshu_angry_10"	"これで終わりだ！"
	"DCG_VO_lady_anshu_arrogant_01"	"ラミュスクに並ぶ者はいない。"
	"DCG_VO_lady_anshu_arrogant_02"	"我が力は神聖だ！"
	"DCG_VO_lady_anshu_arrogant_03"	"正義は勝つ！"
	"DCG_VO_lady_anshu_arrogant_04"	"私がペテン師を恐れるとでも？"
	"DCG_VO_lady_anshu_arrogant_05"	"やつらは私の力を知らない。"
	"DCG_VO_lady_anshu_arrogant_06"	"我々の介入に感謝するがいい。"
	"DCG_VO_lady_anshu_arrogant_07"	"兵に模範を示して導く。"
	"DCG_VO_lady_anshu_arrogant_08"	"悪に私は止められない。"
	"DCG_VO_lady_anshu_arrogant_09"	"恐れるものなど何もない。"
	"DCG_VO_lady_anshu_arrogant_10"	"助けが必要なようだが。"
	"DCG_VO_lady_anshu_enigmatic_01"	"私の信仰は強い。"
	"DCG_VO_lady_anshu_enigmatic_02"	"聖ブリーンよ、我らに力を。"
	"DCG_VO_lady_anshu_enigmatic_03"	"戦いの準備を。"
	"DCG_VO_lady_anshu_enigmatic_04"	"まだまだやることがある..."
	"DCG_VO_lady_anshu_enigmatic_05"	"備えあれば憂いなし..."
	"DCG_VO_lady_anshu_enigmatic_06"	"邪悪な者は手段を選ばない。備えよ。"
	"DCG_VO_lady_anshu_enigmatic_07"	"気付かれずに捕えるのだ。"
	"DCG_VO_lady_anshu_enigmatic_08"	"力がみなぎる。"
	"DCG_VO_lady_anshu_enigmatic_09"	"信心ある者は報われるだろう。"
	"DCG_VO_lady_anshu_enigmatic_10"	"聖者の助けがあれば、不可能なことなどない。"
	"DCG_VO_lady_anshu_death_01"	"叫び声"




}
