"dcg_vo_set_00"
{

	"DCG_VO_lady_anshu_intro"	"So che alcuni di voi hanno sostenuto la ribellione Vhoul... Credevate che la causa di Rix fosse giusta e che Galanius fosse un tiranno che doveva capire che il mondo non era suo. Capisco perché vi siete sentiti così. Non ha più importanza. Rix ha fatto il Giuramento e, in cambio della sua anima, la Corte di Ristul gli ha dato i mezzi per distruggere Borgolitio. Galanius è un mostro? Può essere. Ma almeno è un mostro dei vivi. Non resteremo a guardare mentre i demoni macellano gli uomini, le donne e i bambini di Borgolitio. Marceremo. E combatteremo. E sì, molti di noi moriranno, ma offriamo la nostra vita non per follia ma per necessità. Perché se non fermiamo i morti e i dannati, chi lo farà?"
	"DCG_VO_lady_anshu_healed_05"	"Grazie."
	"DCG_VO_lady_anshu_taunt_generic_01"	"Non possiamo fallire!"
	"DCG_VO_lady_anshu_taunt_generic_02"	"Non smetteremo di combattere!"
	"DCG_VO_lady_anshu_taunt_generic_03"	"È il nostro momento!"
	"DCG_VO_lady_anshu_taunt_generic_04"	"La vittoria è assicurata!"
	"DCG_VO_lady_anshu_taunt_generic_05"	"È il momento di colpire!"
	"DCG_VO_lady_anshu_taunt_generic_06"	"Purificate gli infedeli!"
	"DCG_VO_lady_anshu_taunt_generic_07"	"Facciamoli inginocchiare!"
	"DCG_VO_lady_anshu_taunt_generic_08"	"Distruggiamo l'Antico!"
	"DCG_VO_lady_anshu_taunt_generic_09"	"Abbattiamo la torre!"
	"DCG_VO_lady_anshu_taunt_generic_10"	"Santa Crella, guidaci alla vittoria!"
	"DCG_VO_lady_anshu_potential_kill_01"	"Pentiti."
	"DCG_VO_lady_anshu_potential_kill_02"	"Questa è la fine."
	"DCG_VO_lady_anshu_potential_kill_03"	"Metterò fine ai tuoi trucchetti malvagi."
	"DCG_VO_lady_anshu_potential_kill_04"	"Non sopravviverai."
	"DCG_VO_lady_anshu_potential_kill_05"	"Arrenditi o muori."
	"DCG_VO_lady_anshu_potential_save_01"	"Non oggi."
	"DCG_VO_lady_anshu_potential_save_02"	"Il divino mi protegge."
	"DCG_VO_lady_anshu_potential_save_03"	"Non è ancora giunta la mia ora."
	"DCG_VO_lady_anshu_potential_save_04"	"Non puoi spaventarmi."
	"DCG_VO_lady_anshu_potential_save_05"	"Non mi piegherò mai al male."
	"DCG_VO_lady_anshu_permanent_armor_01"	"L'armatura della fede."
	"DCG_VO_lady_anshu_permanent_armor_02"	"I Santi mi proteggono."
	"DCG_VO_lady_anshu_permanent_armor_03"	"Prova a ferirmi..."
	"DCG_VO_lady_anshu_permanent_armor_04"	"Non c'è nulla che io tema in battaglia."
	"DCG_VO_lady_anshu_permanent_armor_05"	"Distruggerò le vostre lame e frecce..."
	"DCG_VO_lady_anshu_permanent_attack_01"	"I Santi guidano la mia mano."
	"DCG_VO_lady_anshu_permanent_attack_02"	"Ora sono più forte."
	"DCG_VO_lady_anshu_permanent_attack_03"	"Punirò i nostri nemici..."
	"DCG_VO_lady_anshu_permanent_attack_04"	"La mia mano distrugge tanto quanto salva..."
	"DCG_VO_lady_anshu_permanent_attack_05"	"Il mio castigo è divino..."
	"DCG_VO_lady_anshu_permanent_health_01"	"Non sono pronta a morire."
	"DCG_VO_lady_anshu_permanent_health_02"	"Non è ancora la mia ora."
	"DCG_VO_lady_anshu_permanent_health_03"	"La mia fede mi rinvigorisce."
	"DCG_VO_lady_anshu_permanent_health_04"	"Sono un esempio per il mio popolo."
	"DCG_VO_lady_anshu_permanent_health_05"	"Mi sento come nuova."
	"DCG_VO_lady_anshu_cast_spell_01"	"Ecco il potere della fede!"
	"DCG_VO_lady_anshu_cast_spell_02"	"I Rumusque sono qui per salvarvi!"
	"DCG_VO_lady_anshu_cast_spell_03"	"Porto con me la salvezza!"
	"DCG_VO_lady_anshu_cast_spell_04"	"Sei sotto la mia protezione!"
	"DCG_VO_lady_anshu_cast_spell_05"	"Non ti lascerò morire!"
	"DCG_VO_lady_anshu_cast_spell_06"	"Non c'è nulla che non possiamo ottenere..."
	"DCG_VO_lady_anshu_cast_spell_07"	"Non dobbiamo temere il male..."
	"DCG_VO_lady_anshu_cast_spell_08"	"L'oscurità sarà sconfitta."
	"DCG_VO_lady_anshu_cast_spell_09"	"Nessuno ti farà del male."
	"DCG_VO_lady_anshu_cast_spell_10"	"Ti mostrerò un modo migliore."
	"DCG_VO_lady_anshu_buff_ally_01"	"Lascia che ti aiuti, piccolo."
	"DCG_VO_lady_anshu_buff_ally_02"	"I Rumusque sono qui per aiutare."
	"DCG_VO_lady_anshu_buff_ally_03"	"Sarò la tua forza."
	"DCG_VO_lady_anshu_buff_ally_04"	"Non sei solo."
	"DCG_VO_lady_anshu_buff_ally_05"	"Dobbiamo aiutarci."
	"DCG_VO_lady_anshu_buff_ally_06"	"Hai la mia benedizione."
	"DCG_VO_lady_anshu_buff_ally_07"	"Vai avanti e combatti. "
	"DCG_VO_lady_anshu_buff_ally_08"	"Possano i piani dei malvagi essere annullati."
	"DCG_VO_lady_anshu_buff_ally_09"	"Hai il mio favore."
	"DCG_VO_lady_anshu_buff_ally_10"	"Il male non deve vincere."
	"DCG_VO_lady_anshu_debuff_enemy_01"	"Crollerai di fronte a me."
	"DCG_VO_lady_anshu_debuff_enemy_02"	"Questo è l'inizio della tua rovina..."
	"DCG_VO_lady_anshu_debuff_enemy_03"	"Pagherai per i tuoi trucchetti malvagi."
	"DCG_VO_lady_anshu_debuff_enemy_04"	"Qui non c'è posto per il male."
	"DCG_VO_lady_anshu_debuff_enemy_05"	"Verrai schiacciato sotto il peso dei tuoi peccati..."
	"DCG_VO_lady_anshu_debuff_enemy_06"	"Credi davvero di poter vincere?"
	"DCG_VO_lady_anshu_debuff_enemy_07"	"Morirai qui."
	"DCG_VO_lady_anshu_debuff_enemy_08"	"Questo luogo è sotto la protezione dei Rumusque."
	"DCG_VO_lady_anshu_debuff_enemy_09"	"Ti pentirai di essere venuto qui."
	"DCG_VO_lady_anshu_debuff_enemy_10"	"Fallirai."
	"DCG_VO_lady_anshu_single_target_damage_01"	"Finiamola qui."
	"DCG_VO_lady_anshu_single_target_damage_02"	"Lasciatelo a me."
	"DCG_VO_lady_anshu_single_target_damage_03"	"Non temo il male."
	"DCG_VO_lady_anshu_single_target_damage_04"	"Brucerai nella luce sacra."
	"DCG_VO_lady_anshu_single_target_damage_05"	"Non sei più forte di noi."
	"DCG_VO_lady_anshu_single_target_damage_06"	"La tua tirannia termina qui."
	"DCG_VO_lady_anshu_single_target_damage_07"	"Per te è la fine."
	"DCG_VO_lady_anshu_single_target_damage_08"	"Ti rispedirò all'inferno."
	"DCG_VO_lady_anshu_single_target_damage_09"	"Non c'è posto per te in questo mondo."
	"DCG_VO_lady_anshu_single_target_damage_10"	"La tua vita è finita."
	"DCG_VO_lady_anshu_multi_damage_small_01"	"Posso occuparmene io."
	"DCG_VO_lady_anshu_multi_damage_small_02"	"Lasciate questi idioti a me."
	"DCG_VO_lady_anshu_multi_damage_small_03"	"Non valete neanche la fatica."
	"DCG_VO_lady_anshu_multi_damage_small_04"	"Combatterò contro ogni male."
	"DCG_VO_lady_anshu_multi_damage_small_05"	"Non passerete."
	"DCG_VO_lady_anshu_multi_damage_small_06"	"Un piccolo contrattempo, niente di più."
	"DCG_VO_lady_anshu_multi_damage_small_07"	"Come osate?"
	"DCG_VO_lady_anshu_multi_damage_small_08"	"Sono la liberazione, resa carne!"
	"DCG_VO_lady_anshu_multi_damage_small_09"	"Non abbiamo nulla da temere."
	"DCG_VO_lady_anshu_multi_damage_small_10"	"Lasciate che me ne occupi io."
	"DCG_VO_lady_anshu_multi_damage_large_01"	"PENTITEVI!"
	"DCG_VO_lady_anshu_multi_damage_large_02"	"Ecco il potere dei Rumusque!"
	"DCG_VO_lady_anshu_multi_damage_large_03"	"I Santi non ci faranno perdere!"
	"DCG_VO_lady_anshu_multi_damage_large_04"	"Siamo avvolti dalla luce sacra!"
	"DCG_VO_lady_anshu_multi_damage_large_05"	"I malvagi bruceranno!"
	"DCG_VO_lady_anshu_multi_damage_large_06"	"Solo i giusti sopravviveranno!"
	"DCG_VO_lady_anshu_multi_damage_large_07"	"Purificherò questo luogo dal male!"
	"DCG_VO_lady_anshu_multi_damage_large_08"	"È giunta l'ora del giudizio."
	"DCG_VO_lady_anshu_multi_damage_large_09"	"Siete stati giudicati peccatori."
	"DCG_VO_lady_anshu_multi_damage_large_10"	"La luce brucerà via l'oscurità!"
	"DCG_VO_lady_anshu_pleased_01"	"Eccellente."
	"DCG_VO_lady_anshu_pleased_02"	"Sta funzionando."
	"DCG_VO_lady_anshu_pleased_03"	"I Santi siano lodati."
	"DCG_VO_lady_anshu_pleased_04"	"Ringraziamo i Santi."
	"DCG_VO_lady_anshu_pleased_05"	"Siamo stati benedetti."
	"DCG_VO_lady_anshu_pleased_06"	"Proprio quello che ci serviva."
	"DCG_VO_lady_anshu_pleased_07"	"Avevo bisogno di una tregua."
	"DCG_VO_lady_anshu_pleased_08"	"I Santi mi aiutano."
	"DCG_VO_lady_anshu_pleased_09"	"Il nostro lavoro continua."
	"DCG_VO_lady_anshu_pleased_10"	"È solo l'inizio."
	"DCG_VO_lady_anshu_concerned_01"	"Non dobbiamo essere compiaciuti."
	"DCG_VO_lady_anshu_concerned_02"	"È più dura di quanto pensassi..."
	"DCG_VO_lady_anshu_concerned_03"	"San Malik, donami saggezza."
	"DCG_VO_lady_anshu_concerned_04"	"Mio dio..."
	"DCG_VO_lady_anshu_concerned_05"	"Dobbiamo riorganizzarci."
	"DCG_VO_lady_anshu_concerned_06"	"Proverò a guadagnare tempo."
	"DCG_VO_lady_anshu_concerned_07"	"Non è ancora finita."
	"DCG_VO_lady_anshu_concerned_08"	"Non perdiamo la speranza."
	"DCG_VO_lady_anshu_concerned_09"	"Questa non è la fine."
	"DCG_VO_lady_anshu_concerned_10"	"Abbiamo ancora tempo..."
	"DCG_VO_lady_anshu_angry_01"	"Non ti spetta pietà."
	"DCG_VO_lady_anshu_angry_02"	"Non ci sarà clemenza."
	"DCG_VO_lady_anshu_angry_03"	"UCCIDETELI TUTTI!"
	"DCG_VO_lady_anshu_angry_04"	"La resa dei conti sta arrivando..."
	"DCG_VO_lady_anshu_angry_05"	"Questi abomini saranno distrutti!"
	"DCG_VO_lady_anshu_angry_06"	"Rispediamoli all'inferno!"
	"DCG_VO_lady_anshu_angry_07"	"Non riposerò finché non marcirai all'inferno."
	"DCG_VO_lady_anshu_angry_08"	"Non ci arrenderemo mai!"
	"DCG_VO_lady_anshu_angry_09"	"Non ci arrenderemo!"
	"DCG_VO_lady_anshu_angry_10"	"Questa storia finisce qui!"
	"DCG_VO_lady_anshu_arrogant_01"	"I Rumusque non hanno eguali."
	"DCG_VO_lady_anshu_arrogant_02"	"Il mio potere è divino!"
	"DCG_VO_lady_anshu_arrogant_03"	"I giusti non cadranno!"
	"DCG_VO_lady_anshu_arrogant_04"	"Credi che io abbia paura dei ciarlatani?"
	"DCG_VO_lady_anshu_arrogant_05"	"Non possono immaginare di cosa sono capace."
	"DCG_VO_lady_anshu_arrogant_06"	"Sii grato per il nostro intervento."
	"DCG_VO_lady_anshu_arrogant_07"	"Sono un esempio per tutti."
	"DCG_VO_lady_anshu_arrogant_08"	"Il male non può fermarmi."
	"DCG_VO_lady_anshu_arrogant_09"	"Non c'è nulla che io tema."
	"DCG_VO_lady_anshu_arrogant_10"	"Sembra che ti serva aiuto."
	"DCG_VO_lady_anshu_enigmatic_01"	"La mia fede è forte."
	"DCG_VO_lady_anshu_enigmatic_02"	"San Breen, dacci la forza."
	"DCG_VO_lady_anshu_enigmatic_03"	"Dobbiamo prepararci."
	"DCG_VO_lady_anshu_enigmatic_04"	"C'è molto lavoro da fare..."
	"DCG_VO_lady_anshu_enigmatic_05"	"Dobbiamo essere pronti a tutto..."
	"DCG_VO_lady_anshu_enigmatic_06"	"I malvagi sono disposti a tutto: dobbiamo prepararci."
	"DCG_VO_lady_anshu_enigmatic_07"	"Dobbiamo prenderli alla sprovvista."
	"DCG_VO_lady_anshu_enigmatic_08"	"Il nostro potere aumenta."
	"DCG_VO_lady_anshu_enigmatic_09"	"I fedeli verranno ricompensati."
	"DCG_VO_lady_anshu_enigmatic_10"	"Con l'aiuto dei Santi, tutto è possibile."
	"DCG_VO_lady_anshu_death_01"	"urlo"




}
