"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"Pierpont et moi ne sommes pas d’accord sur beaucoup de choses, mais je dois admettre qu’il a raison de craindre la colère du Sans-visage. Le traité de Claszureme ne m'enchante guère... la chronomancie c’est bien, mais vous savez ce qui est encore mieux ? Ne pas voir son existence entièrement effacée."
"DCG_VO_ogre_bruiser_healed_03"	"Toujours d'attaque."
"DCG_VO_ogre_bruiser_healed_04"	"Je peux encaisser plus de dégâts."
"DCG_VO_ogre_bruiser_healed_05"	"T’es sympa."
"DCG_VO_ogre_bruiser_taunt_generic_01"	"Écrase-les !"
"DCG_VO_ogre_bruiser_taunt_generic_02"	"Détruisons la tour !"
"DCG_VO_ogre_bruiser_taunt_generic_03"	"Détruisons l'Ancien !"
"DCG_VO_ogre_bruiser_taunt_generic_04"	"Il ne restera rien !"
"DCG_VO_ogre_bruiser_taunt_generic_05"	"Montrons-leur notre puissance !"
"DCG_VO_ogre_bruiser_taunt_generic_06"	"Je veux tout voir brûler !"
"DCG_VO_ogre_bruiser_taunt_generic_07"	"Frappons-les !"
"DCG_VO_ogre_bruiser_taunt_generic_08"	"On va gagner !"
"DCG_VO_ogre_bruiser_taunt_generic_09"	"Ils peuvent pas nous arrêter !"
"DCG_VO_ogre_bruiser_taunt_generic_10"	"Au combat !"
"DCG_VO_ogre_bruiser_potential_kill_01"	"T’es à moi."
"DCG_VO_ogre_bruiser_potential_kill_02"	"C'est fini pour toi."
"DCG_VO_ogre_bruiser_potential_kill_03"	"Je vais bouffer ton cadavre..."
"DCG_VO_ogre_bruiser_potential_kill_04"	"Tu peux pas t’échapper."
"DCG_VO_ogre_bruiser_potential_kill_05"	"Meurs maintenant."
"DCG_VO_ogre_bruiser_potential_save_01"	"Ah !"
"DCG_VO_ogre_bruiser_potential_save_02"	"Pas question."
"DCG_VO_ogre_bruiser_potential_save_03"	"J’vais pas mourir ici…"
"DCG_VO_ogre_bruiser_potential_save_04"	"Tu peux pas me tuer."
"DCG_VO_ogre_bruiser_potential_save_05"	"T’es pas mieux que moi."
"DCG_VO_ogre_bruiser_permanent_armor_01"	"J'ai la peau dure."
"DCG_VO_ogre_bruiser_permanent_armor_02"	"Qu’ils essaient de me poignarder !"
"DCG_VO_ogre_bruiser_permanent_armor_03"	"Ils peuvent pas me faire de mal."
"DCG_VO_ogre_bruiser_permanent_armor_04"	"J’ai pas peur de quelques cryptides..."
"DCG_VO_ogre_bruiser_permanent_armor_05"	"Je suis fait pour la guerre."
"DCG_VO_ogre_bruiser_permanent_attack_01"	"Je suis plus fort."
"DCG_VO_ogre_bruiser_permanent_attack_02"	"Personne n'est plus fort que moi."
"DCG_VO_ogre_bruiser_permanent_attack_03"	"Plus fort que jamais."
"DCG_VO_ogre_bruiser_permanent_attack_04"	"Je me sens puissant."
"DCG_VO_ogre_bruiser_permanent_attack_05"	"La puissance !"
"DCG_VO_ogre_bruiser_permanent_health_01"	"Il en faut bien plus pour me tuer."
"DCG_VO_ogre_bruiser_permanent_health_02"	"Je bougerai pas."
"DCG_VO_ogre_bruiser_permanent_health_03"	"Je survivrai !"
"DCG_VO_ogre_bruiser_permanent_health_04"	"Personne peut me tuer !"
"DCG_VO_ogre_bruiser_permanent_health_05"	"Faut garder la forme. Comme ça on peut tuer plus de gens."
"DCG_VO_ogre_bruiser_cast_spell_01"	"Je connais un peu de magie d'ogres..."
"DCG_VO_ogre_bruiser_cast_spell_02"	"Il ne restera rien !"
"DCG_VO_ogre_bruiser_cast_spell_03"	"Non !"
"DCG_VO_ogre_bruiser_cast_spell_04"	"Je les vois."
"DCG_VO_ogre_bruiser_cast_spell_05"	"Je les laisserai pas passer."
"DCG_VO_ogre_bruiser_cast_spell_06"	"Tu crois que ça sera facile ?"
"DCG_VO_ogre_bruiser_cast_spell_07"	"J’ai plein de copains."
"DCG_VO_ogre_bruiser_cast_spell_08"	"J'espère que ça va marcher..."
"DCG_VO_ogre_bruiser_cast_spell_09"	"Ça va être intéressant…"
"DCG_VO_ogre_bruiser_cast_spell_10"	"Ah. Ça va bouger."
"DCG_VO_ogre_bruiser_buff_ally_01"	"J’vais te montrer comment on se bat."
"DCG_VO_ogre_bruiser_buff_ally_02"	"On est copains maintenant."
"DCG_VO_ogre_bruiser_buff_ally_03"	"Les copains c’est fait pour aider à tuer des gens."
"DCG_VO_ogre_bruiser_buff_ally_04"	"Je te couvre. "
"DCG_VO_ogre_bruiser_buff_ally_05"	"Je suis avec toi."
"DCG_VO_ogre_bruiser_buff_ally_06"	"Ensemble, on peut gagner."
"DCG_VO_ogre_bruiser_buff_ally_07"	"J'aime bien le travail d'équipe."
"DCG_VO_ogre_bruiser_buff_ally_08"	"Ça devrait t’aider."
"DCG_VO_ogre_bruiser_buff_ally_09"	"Cadeau de moi."
"DCG_VO_ogre_bruiser_buff_ally_10"	"Les copains ça sert à ça, non ?"
"DCG_VO_ogre_bruiser_debuff_enemy_01"	"Je vais te casser tous tes membres…"
"DCG_VO_ogre_bruiser_debuff_enemy_02"	"Tu vas pas faire long feu…"
"DCG_VO_ogre_bruiser_debuff_enemy_03"	"On va voir combien de temps tu vas tenir..."
"DCG_VO_ogre_bruiser_debuff_enemy_04"	"Distrais-moi, imbécile."
"DCG_VO_ogre_bruiser_debuff_enemy_05"	"C'est marrant de te voir essayer de ne pas mourir."
"DCG_VO_ogre_bruiser_debuff_enemy_06"	"Bonne chance."
"DCG_VO_ogre_bruiser_debuff_enemy_07"	"Pitoyable."
"DCG_VO_ogre_bruiser_debuff_enemy_08"	"Si t’es pas bon au combat, t’es peut-être bon à être mangé."
"DCG_VO_ogre_bruiser_debuff_enemy_09"	"Tu ne survivras pas."
"DCG_VO_ogre_bruiser_debuff_enemy_10"	"J'aime bien te voir te tortiller..."
"DCG_VO_ogre_bruiser_single_target_damage_01"	"Je vais t'arracher les bras..."
"DCG_VO_ogre_bruiser_single_target_damage_02"	"Je vais t'utiliser comme gourdin."
"DCG_VO_ogre_bruiser_single_target_damage_03"	"C'est fini pour toi."
"DCG_VO_ogre_bruiser_single_target_damage_04"	"Je peux tuer n'importe qui."
"DCG_VO_ogre_bruiser_single_target_damage_05"	"Je vais réduire tes os en poussière."
"DCG_VO_ogre_bruiser_single_target_damage_06"	"Ton cadavre sera mon petit-déjeuner."
"DCG_VO_ogre_bruiser_single_target_damage_07"	"Je suis le plus fort !"
"DCG_VO_ogre_bruiser_single_target_damage_08"	"Je vais te broyer le crâne."
"DCG_VO_ogre_bruiser_single_target_damage_09"	"Je vais te tuer à mains nues !"
"DCG_VO_ogre_bruiser_single_target_damage_10"	"J'espère que tu vas pas te laisser faire..."
"DCG_VO_ogre_bruiser_multi_damage_small_01"	"C’est tout ce que tu as en réserve ?"
"DCG_VO_ogre_bruiser_multi_damage_small_02"	"Ton armée est pathétique."
"DCG_VO_ogre_bruiser_multi_damage_small_03"	"Je vais tous vous fracasser !"
"DCG_VO_ogre_bruiser_multi_damage_small_04"	"Ça va pas être beau à voir..."
"DCG_VO_ogre_bruiser_multi_damage_small_05"	"Ça va chauffer…"
"DCG_VO_ogre_bruiser_multi_damage_small_06"	"Il en faut plus pour m’arrêter…"
"DCG_VO_ogre_bruiser_multi_damage_small_07"	"J'ai connu des bagarres de bar bien plus impressionnantes que ça..."
"DCG_VO_ogre_bruiser_multi_damage_small_08"	"Venez, bande de lâches !"
"DCG_VO_ogre_bruiser_multi_damage_small_09"	"Ça sera pas bien long..."
"DCG_VO_ogre_bruiser_multi_damage_small_10"	"Petits cryptides…"
"DCG_VO_ogre_bruiser_multi_damage_large_01"	"Allez !"
"DCG_VO_ogre_bruiser_multi_damage_large_02"	"Tous à la fois !"
"DCG_VO_ogre_bruiser_multi_damage_large_03"	"Je vais tous vous tuer !"
"DCG_VO_ogre_bruiser_multi_damage_large_04"	"Vous allez tous mourir !"
"DCG_VO_ogre_bruiser_multi_damage_large_05"	"Je vais tous vous écrabouiller !"
"DCG_VO_ogre_bruiser_multi_damage_large_06"	"Pas de survivants !"
"DCG_VO_ogre_bruiser_multi_damage_large_07"	"Personne ne m'échappe !"
"DCG_VO_ogre_bruiser_multi_damage_large_08"	"Personne ne doit survivre !"
"DCG_VO_ogre_bruiser_multi_damage_large_09"	"<i>Rugissements</i>"
"DCG_VO_ogre_bruiser_multi_damage_large_10"	"AU COMBAT !"
"DCG_VO_ogre_bruiser_pleased_01"	"Ça a été plus facile que prévu."
"DCG_VO_ogre_bruiser_pleased_02"	"Ils se laissent faire…"
"DCG_VO_ogre_bruiser_pleased_03"	"<i>Soupir de satisfaction</i>"
"DCG_VO_ogre_bruiser_pleased_04"	"Ça a été une bonne occasion de créer des liens."
"DCG_VO_ogre_bruiser_pleased_05"	"Je crois qu'on a tous appris quelque chose aujourd'hui."
"DCG_VO_ogre_bruiser_pleased_06"	"Rien ne vaut une bonne bataille pour rassembler les gens."
"DCG_VO_ogre_bruiser_pleased_07"	"J’aime bien rencontrer des gens et les tuer."
"DCG_VO_ogre_bruiser_pleased_08"	"Je n'aurais pas pu rêver mieux."
"DCG_VO_ogre_bruiser_pleased_09"	"Content !"
"DCG_VO_ogre_bruiser_pleased_10"	"Ça me plaît."
"DCG_VO_ogre_bruiser_concerned_01"	"Oh... ça craint..."
"DCG_VO_ogre_bruiser_concerned_02"	"Ça me plaît pas..."
"DCG_VO_ogre_bruiser_concerned_03"	"Ça se passe pas vraiment comme je l’avais prévu…"
"DCG_VO_ogre_bruiser_concerned_04"	"J’ai comme l’impression que je vais mourir…"
"DCG_VO_ogre_bruiser_concerned_05"	"Je suis pas sûr qu’on soit en train de gagner…"
"DCG_VO_ogre_bruiser_concerned_06"	"Il nous faut un nouveau plan..."
"DCG_VO_ogre_bruiser_concerned_07"	"Ça n'a pas l'air de marcher..."
"DCG_VO_ogre_bruiser_concerned_08"	"Ils sont vraiment nombreux..."
"DCG_VO_ogre_bruiser_concerned_09"	"Ça fait beaucoup de monde et j’ai que deux mains."
"DCG_VO_ogre_bruiser_concerned_10"	"Il me faut un nouveau plan..."
"DCG_VO_ogre_bruiser_angry_01"	"Je te défie !"
"DCG_VO_ogre_bruiser_angry_02"	"Viens te battre si tu l’oses !"
"DCG_VO_ogre_bruiser_angry_03"	"Me cherche pas."
"DCG_VO_ogre_bruiser_angry_04"	"T’as fait une erreur stupide, vraiment stupide."
"DCG_VO_ogre_bruiser_angry_05"	"Je vais broyer ton crâne stupide."
"DCG_VO_ogre_bruiser_angry_06"	"Je vais me faire les crocs sur tes os..."
"DCG_VO_ogre_bruiser_angry_07"	"Aucun de vous ne peut m'arrêter !"
"DCG_VO_ogre_bruiser_angry_08"	"Je suis prêt à me battre contre vous tous !"
"DCG_VO_ogre_bruiser_angry_09"	"Je vais prouver que je suis le plus fort !"
"DCG_VO_ogre_bruiser_angry_10"	"Quoi, tu oses !"
"DCG_VO_ogre_bruiser_arrogant_01"	"Je m'attendais à un vrai défi !"
"DCG_VO_ogre_bruiser_arrogant_02"	"Il n'y a rien de plus fort qu'un ogre !"
"DCG_VO_ogre_bruiser_arrogant_03"	"Personne ne peut m'arrêter !"
"DCG_VO_ogre_bruiser_arrogant_04"	"Quand on est aussi malin que moi, pas besoin de plan..."
"DCG_VO_ogre_bruiser_arrogant_05"	"Les plans c'est pour ceux qui peuvent pas arracher une patte à un cheval..."
"DCG_VO_ogre_bruiser_arrogant_06"	"J'aurai besoin d'un plan quand je pourrai pas résoudre un problème à coups de rochers."
"DCG_VO_ogre_bruiser_arrogant_07"	"J'abandonnerai jamais..."
"DCG_VO_ogre_bruiser_arrogant_08"	"Y'a que les lâches qui ont peur de la mort..."
"DCG_VO_ogre_bruiser_arrogant_09"	"Je m'attendais à un vrai combat..."
"DCG_VO_ogre_bruiser_arrogant_10"	"Je m’attendais à plus venant de toi…"
"DCG_VO_ogre_bruiser_enigmatic_01"	"Je vais faire ce que j’ai à faire."
"DCG_VO_ogre_bruiser_enigmatic_02"	"Je suis prêt à tout."
"DCG_VO_ogre_bruiser_enigmatic_03"	"Je peux absolument tout casser."
"DCG_VO_ogre_bruiser_enigmatic_04"	"Je peux absolument tout détruire."
"DCG_VO_ogre_bruiser_enigmatic_05"	"Je vais abattre leurs défenses."
"DCG_VO_ogre_bruiser_enigmatic_06"	"Slacks m’aime et c’est tout ce qui compte."
"DCG_VO_ogre_bruiser_enigmatic_07"	"J'affronterai n'importe qui..."
"DCG_VO_ogre_bruiser_enigmatic_08"	"J’ai peur de personne."
"DCG_VO_ogre_bruiser_enigmatic_09"	"Bizarre…"
"DCG_VO_ogre_bruiser_enigmatic_10"	"Je me demande à quoi ça sert..."
"DCG_VO_ogre_bruiser_death_01"	"<i>Cris</i>"
"DCG_VO_prowler_shaman_intro"	"Magnus a mené l'enfant jusqu'ici pour la mettre en sécurité. Il ne nous a pas dit pourquoi mais ce n'était pas nécessaire. Je savais qui elle était et ce qu'elle deviendrait."
"DCG_VO_prowler_shaman_equip_generic_weapon_01"	"J'affronterai le danger sans flancher."
"DCG_VO_prowler_shaman_equip_generic_weapon_02"	"Mon arme est prête."
"DCG_VO_prowler_shaman_equip_generic_weapon_03"	"Je suis là pour combattre."
"DCG_VO_prowler_shaman_equip_generic_weapon_04"	"Je veillerai à notre défense."
"DCG_VO_prowler_shaman_equip_generic_weapon_05"	"Les rôdeurs veillent."
"DCG_VO_prowler_shaman_equip_generic_armor_01"	"Je soutiens mes alliés."
"DCG_VO_prowler_shaman_equip_generic_armor_02"	"Je ne fuis pas le danger."
"DCG_VO_prowler_shaman_equip_generic_armor_03"	"Mes ennemis sont après moi et je les attends."
"DCG_VO_prowler_shaman_equip_generic_armor_04"	"Je ne refuse jamais un combat."
"DCG_VO_prowler_shaman_equip_generic_armor_05"	"Je ferai face à toutes les épreuves."
"DCG_VO_prowler_shaman_equip_generic_accessory_01"	"Ce sera utile."
"DCG_VO_prowler_shaman_equip_generic_accessory_02"	"Ça pourrait changer le cours des événements."
"DCG_VO_prowler_shaman_equip_generic_accessory_03"	"C'est exactement ce qu'il me fallait."
"DCG_VO_prowler_shaman_equip_generic_accessory_04"	"Parfait."
"DCG_VO_prowler_shaman_equip_generic_accessory_05"	"Pile au bon moment."
"DCG_VO_prowler_shaman_kill_rival_01"	"Quitte ce lieu."
"DCG_VO_prowler_shaman_kill_rival_02"	"Tu n'as rien à faire ici."
"DCG_VO_prowler_shaman_kill_rival_03"	"C'est ma forêt."
"DCG_VO_prowler_shaman_kill_rival_04"	"Les rôdeurs ne craignent rien..."
"DCG_VO_prowler_shaman_kill_rival_05"	"À qui le tour ?"
"DCG_VO_prowler_shaman_kill_rival_06"	"Tu as bien combattu."
"DCG_VO_prowler_shaman_kill_rival_07"	"Ta force est grande mais je suis plus fort."
"DCG_VO_prowler_shaman_kill_rival_08"	"Tu n'avais aucune chance."
"DCG_VO_prowler_shaman_kill_rival_09"	"Tentative louable."
"DCG_VO_prowler_shaman_kill_rival_10"	"Le combat, ce n'est pas pour toi."
"DCG_VO_prowler_shaman_unique_01"	"Qu'il est bon de combattre à tes côtés, mon vieil ami."
"DCG_VO_prowler_shaman_unique_02"	"Ilexa est en sûreté avec nous, Magnus."
"DCG_VO_prowler_shaman_unique_03"	"Tu as bien fait de te fier à nous..."
"DCG_VO_prowler_shaman_unique_04"	"Tu es un frimeur, Sylverbe, mais je suis heureux de t’avoir à mes côtés."
"DCG_VO_prowler_shaman_unique_05"	"Personne ne nous fera bouger de là, Tréant."
"DCG_VO_prowler_shaman_unique_06"	"Reste à mes côtés, Magnus."
"DCG_VO_prowler_shaman_unique_07"	"Qu'il est bon de te revoir Enchanteresse. Toujours aussi éclatante."
"DCG_VO_prowler_shaman_unique_08"	"Mes alliés seront protégés."
"DCG_VO_prowler_shaman_unique_09"	"Je suis las de ce carnage."
"DCG_VO_prowler_shaman_unique_10"	"La nature nous viendra en aide."
"DCG_VO_prowler_shaman_unique_11"	"Les centaures ne sont pas les bienvenus ici..."
"DCG_VO_prowler_shaman_unique_12"	"Cette chasse sacrée n'est qu'une farce..."
"DCG_VO_prowler_shaman_unique_13"	"Je ne vais pas te laisser attaquer les êtres de cette forêt."
"DCG_VO_prowler_shaman_unique_14"	"Reste près de moi, mon enfant. Je peux te protéger."
"DCG_VO_prowler_shaman_unique_15"	"Ne laisse pas Rix te mener à ta propre mort."
"DCG_VO_prowler_shaman_unique_16"	"C'est bien d'avoir des convictions, mais ne gâche pas ta vie, mon enfant."
"DCG_VO_prowler_shaman_unique_17"	"Qu'est-ce qu'il te faut, Rix ?"
"DCG_VO_prowler_shaman_unique_18"	"Comment puis-je aider la rébellion ?"
"DCG_VO_prowler_shaman_unique_19"	"Tu as fait le bon choix, Rix."
"DCG_VO_prowler_shaman_unique_20"	"Comment va la rébellion, Rix ?"
"DCG_VO_prowler_shaman_healed_01"	"Aaah"
"DCG_VO_prowler_shaman_healed_02"	"Merci."
"DCG_VO_prowler_shaman_healed_03"	"Un grand merci. "
"DCG_VO_prowler_shaman_healed_04"	"Juste au bon moment..."
"DCG_VO_prowler_shaman_healed_05"	"On dirait que c'est moi qui avais besoin d'aide aujourd'hui..."
"DCG_VO_prowler_shaman_taunt_generic_01"	"La victoire est là !"
"DCG_VO_prowler_shaman_taunt_generic_02"	"Détruisons l'Ancien !"
"DCG_VO_prowler_shaman_taunt_generic_03"	"Leur Ancien tombera !"
"DCG_VO_prowler_shaman_taunt_generic_04"	"Nous n’échouerons pas !"
"DCG_VO_prowler_shaman_taunt_generic_05"	"Il est temps d'en finir !"
"DCG_VO_prowler_shaman_taunt_generic_06"	"On peut gagner cette guerre !"
"DCG_VO_prowler_shaman_taunt_generic_07"	"Bientôt, la forêt sera sûre !"
"DCG_VO_prowler_shaman_taunt_generic_08"	"On peut gagner ensemble."
"DCG_VO_prowler_shaman_taunt_generic_09"	"Gardons le cap et nous l'emporterons !"
"DCG_VO_prowler_shaman_taunt_generic_10"	"Rien ne nous arrêtera !"
"DCG_VO_prowler_shaman_potential_kill_01"	"Je te tiens."
"DCG_VO_prowler_shaman_potential_kill_02"	"Personne ne peut m’échapper."
"DCG_VO_prowler_shaman_potential_kill_03"	"Tu ne peux pas me battre."
"DCG_VO_prowler_shaman_potential_kill_04"	"J'apprécie tes efforts mais ça ne suffit pas."
"DCG_VO_prowler_shaman_potential_kill_05"	"Effort méritoire mais futile."
"DCG_VO_prowler_shaman_potential_save_01"	"C'était malin, mais pas autant que tu le pensais."
"DCG_VO_prowler_shaman_potential_save_02"	"Bien tenté."
"DCG_VO_prowler_shaman_potential_save_03"	"Mon heure n'est pas encore venue."
"DCG_VO_prowler_shaman_potential_save_04"	"Je commençais presque à m'inquiéter..."
"DCG_VO_prowler_shaman_potential_save_05"	"C'était moins une."
"DCG_VO_prowler_shaman_permanent_armor_01"	"Je ne laisserai pas tomber les miens."
"DCG_VO_prowler_shaman_permanent_armor_02"	"Je serai protégé."
"DCG_VO_prowler_shaman_permanent_armor_03"	"On ne se débarrasse pas de moi comme ça."
"DCG_VO_prowler_shaman_permanent_armor_04"	"Un enchantement simple mais nécessaire."
"DCG_VO_prowler_shaman_permanent_armor_05"	"Je dois rester en vie..."
"DCG_VO_prowler_shaman_permanent_attack_01"	"Je suis plus fort à présent."
"DCG_VO_prowler_shaman_permanent_attack_02"	"Je vais détruire nos ennemis."
"DCG_VO_prowler_shaman_permanent_attack_03"	"Qu'ils approchent !"
"DCG_VO_prowler_shaman_permanent_attack_04"	"Je vais leur montrer la puissance du rôdeur."
"DCG_VO_prowler_shaman_permanent_attack_05"	"Je suis prêt à combattre."
"DCG_VO_prowler_shaman_permanent_health_01"	"Qu'ils essaient donc de me tuer."
"DCG_VO_prowler_shaman_permanent_health_02"	"Je ne me laisserai pas chasser."
"DCG_VO_prowler_shaman_permanent_health_03"	"Je peux tout endurer."
"DCG_VO_prowler_shaman_permanent_health_04"	"C'est la loi du plus fort."
"DCG_VO_prowler_shaman_permanent_health_05"	"Mon courage n’a pas de limite."
"DCG_VO_prowler_shaman_cast_spell_01"	"Je suis prêt à tout pour aider les miens."
"DCG_VO_prowler_shaman_cast_spell_02"	"La jungle alimente ma force..."
"DCG_VO_prowler_shaman_cast_spell_03"	"Tu n'arriveras jamais à me tromper."
"DCG_VO_prowler_shaman_cast_spell_04"	"Je suis plus malin que tu ne le crois..."
"DCG_VO_prowler_shaman_cast_spell_05"	"C'est moi qui commande ici."
"DCG_VO_prowler_shaman_cast_spell_06"	"La puissance du rôdeur est sans égale !"
"DCG_VO_prowler_shaman_cast_spell_07"	"Tu ne sais pas ce qui t'attend..."
"DCG_VO_prowler_shaman_cast_spell_08"	"Je suis prêt à tout."
"DCG_VO_prowler_shaman_cast_spell_09"	"L'espoir n'est pas mort."
"DCG_VO_prowler_shaman_cast_spell_10"	"Il ne faut jamais abandonner."
"DCG_VO_prowler_shaman_buff_ally_01"	"Que ta force grandisse."
"DCG_VO_prowler_shaman_buff_ally_02"	"Je vais tous nous protéger."
"DCG_VO_prowler_shaman_buff_ally_03"	"Je vais prendre soin de toi."
"DCG_VO_prowler_shaman_buff_ally_04"	"Fais confiance aux rôdeurs."
"DCG_VO_prowler_shaman_buff_ally_05"	"Nous sommes en sécurité maintenant."
