"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"Pierpont and I don’t agree on a lot of things, but he was wise to recognize the dangers of angering The Faceless Void. I'm not super wild about the Claszureme Treaty, Chronomancy was a lot of fun. But you know what's also fun? Not having your timeline obliterated."
"DCG_VO_ogre_bruiser_buff_ally_02"	"You're my friend now."
"DCG_VO_ogre_bruiser_buff_ally_03"	"Friends help other friends kill people."
"DCG_VO_ogre_bruiser_buff_ally_04"	"I got your back."
"DCG_VO_ogre_bruiser_buff_ally_05"	"I'm with you."
"DCG_VO_ogre_bruiser_buff_ally_06"	"We can win this together."
"DCG_VO_ogre_bruiser_buff_ally_07"	"I like team building."
"DCG_VO_ogre_bruiser_buff_ally_08"	"This should help."
"DCG_VO_ogre_bruiser_buff_ally_09"	"Here friend."
"DCG_VO_ogre_bruiser_buff_ally_10"	"What are friends for?"
"DCG_VO_ogre_bruiser_debuff_enemy_01"	"I'll break your limbs..."
"DCG_VO_ogre_bruiser_debuff_enemy_02"	"You won't last long..."
"DCG_VO_ogre_bruiser_debuff_enemy_03"	"Let's see how long you last..."
"DCG_VO_ogre_bruiser_debuff_enemy_04"	"Entertain me, stupid man..."
"DCG_VO_ogre_bruiser_debuff_enemy_05"	"It's funny when you try not to die."
"DCG_VO_ogre_bruiser_debuff_enemy_06"	"Good luck."
"DCG_VO_ogre_bruiser_debuff_enemy_07"	"Pathetic."
"DCG_VO_ogre_bruiser_debuff_enemy_08"	"Hope you taste better than you fight."
"DCG_VO_ogre_bruiser_debuff_enemy_09"	"You won't survive."
"DCG_VO_ogre_bruiser_debuff_enemy_10"	"I like watching you squirm.."
"DCG_VO_ogre_bruiser_single_target_damage_01"	"I'm going to rip off your arms..."
"DCG_VO_ogre_bruiser_single_target_damage_02"	"I'm going to use you like a club."
"DCG_VO_ogre_bruiser_single_target_damage_03"	"You're a dead man."
"DCG_VO_ogre_bruiser_single_target_damage_04"	"There's no one I can't kill."
"DCG_VO_ogre_bruiser_single_target_damage_05"	"I'll grind your bones to dust."
"DCG_VO_ogre_bruiser_single_target_damage_06"	"I'll make a meal of your corpse."
"DCG_VO_ogre_bruiser_single_target_damage_07"	"I am the strongest!"
"DCG_VO_ogre_bruiser_single_target_damage_08"	"I'm gonna cave in your skull."
"DCG_VO_ogre_bruiser_single_target_damage_09"	"I'll kill you with my bare hands!"
"DCG_VO_ogre_bruiser_single_target_damage_10"	"I hope you put up a fight..."
"DCG_VO_ogre_bruiser_multi_damage_small_01"	"This all you brought to fight me?"
"DCG_VO_ogre_bruiser_multi_damage_small_02"	"Your army is pathetic."
"DCG_VO_ogre_bruiser_multi_damage_small_03"	"I'll smash all of you!"
"DCG_VO_ogre_bruiser_multi_damage_small_04"	"This is gonna get messy..."
"DCG_VO_ogre_bruiser_multi_damage_small_05"	"Things are about to get interesting..."
"DCG_VO_ogre_bruiser_multi_damage_small_06"	"It'll take more than you guys to stop me..."
"DCG_VO_ogre_bruiser_multi_damage_small_07"	"I've been in tougher bar fights..."
"DCG_VO_ogre_bruiser_multi_damage_small_08"	"Face me cowards!"
"DCG_VO_ogre_bruiser_multi_damage_small_09"	"This won't take long..."
"DCG_VO_ogre_bruiser_multi_damage_small_10"	"Puny creeps..."
"DCG_VO_ogre_bruiser_multi_damage_large_01"	"Come on!"
"DCG_VO_ogre_bruiser_multi_damage_large_02"	"I'll take you all on!"
"DCG_VO_ogre_bruiser_multi_damage_large_03"	"I'll kill you all!"
"DCG_VO_ogre_bruiser_multi_damage_large_04"	"All of you are going to die!"
"DCG_VO_ogre_bruiser_multi_damage_large_05"	"I'll crush all of you!"
"DCG_VO_ogre_bruiser_multi_damage_large_06"	"Leave no survivors!"
"DCG_VO_ogre_bruiser_multi_damage_large_07"	"No one gets away!"
"DCG_VO_ogre_bruiser_multi_damage_large_08"	"No one survives!"
"DCG_VO_ogre_bruiser_multi_damage_large_09"	"<i>roars</i>"
"DCG_VO_ogre_bruiser_multi_damage_large_10"	"LET'S FIGHT!"
"DCG_VO_ogre_bruiser_pleased_01"	"This was easier than I thought."
"DCG_VO_ogre_bruiser_pleased_02"	"They're just letting us walk all over them..."
"DCG_VO_ogre_bruiser_pleased_03"	"<i>sighs contently</i>"
"DCG_VO_ogre_bruiser_pleased_04"	"This has been a good bonding experience."
"DCG_VO_ogre_bruiser_pleased_05"	"Well I think we all learned something today."
"DCG_VO_ogre_bruiser_pleased_06"	"Battle really brings people together."
"DCG_VO_ogre_bruiser_pleased_07"	"I like meeting new people and killing them."
"DCG_VO_ogre_bruiser_pleased_08"	"This couldn't be going any better."
"DCG_VO_ogre_bruiser_pleased_09"	"Happy!"
"DCG_VO_ogre_bruiser_pleased_10"	"I like this."
"DCG_VO_ogre_bruiser_concerned_01"	"Oh... this is bad..."
"DCG_VO_ogre_bruiser_concerned_02"	"I don't like this..."
"DCG_VO_ogre_bruiser_concerned_03"	"This isn't going the way I thought it would..."
"DCG_VO_ogre_bruiser_concerned_04"	"Why do I get the feeling I'm going to die..."
"DCG_VO_ogre_bruiser_concerned_05"	"I don't think we're winning...."
"DCG_VO_ogre_bruiser_concerned_06"	"We need a new plan..."
"DCG_VO_ogre_bruiser_concerned_07"	"What we're doing isn't working..."
"DCG_VO_ogre_bruiser_concerned_08"	"There is a whole lot of them..."
"DCG_VO_ogre_bruiser_concerned_09"	"That's a whole lot of people and I can only hold two rocks."
"DCG_VO_ogre_bruiser_concerned_10"	"I need a new plan..."
"DCG_VO_ogre_bruiser_angry_01"	"I challenge you!"
"DCG_VO_ogre_bruiser_angry_02"	"Face me if you dare!"
"DCG_VO_ogre_bruiser_angry_03"	"You shouldn't make me mad."
"DCG_VO_ogre_bruiser_angry_04"	"You made a stupid, stupid, mistake."
"DCG_VO_ogre_bruiser_angry_05"	"I will crush your stupid skull."
"DCG_VO_ogre_bruiser_angry_06"	"I'll pick my teeth with your bones..."
"DCG_VO_ogre_bruiser_angry_07"	"None of you can stop me!"
"DCG_VO_ogre_bruiser_angry_08"	"I'll fight everyone!"
"DCG_VO_ogre_bruiser_angry_09"	"I'll prove I'm the strongest!"
"DCG_VO_ogre_bruiser_angry_10"	"You dare?!"
"DCG_VO_ogre_bruiser_arrogant_01"	"I thought there was going to be a real challenge!"
"DCG_VO_ogre_bruiser_arrogant_02"	"Nothing is stronger than an ogre!"
"DCG_VO_ogre_bruiser_arrogant_03"	"No one will stop me!"
"DCG_VO_ogre_bruiser_arrogant_04"	"When you're smart like me, you don't need a plan..."
"DCG_VO_ogre_bruiser_arrogant_05"	"Plans are for people that can't rip off a horses leg..."
"DCG_VO_ogre_bruiser_arrogant_06"	"I'll need a plan when I find a problem that can't be solved by a rock."
"DCG_VO_ogre_bruiser_arrogant_07"	"I'll never surrender..."
"DCG_VO_ogre_bruiser_arrogant_08"	"Only cowards fear death..."
"DCG_VO_ogre_bruiser_arrogant_09"	"I thought this was going to be a real fight..."
"DCG_VO_ogre_bruiser_arrogant_10"	"I was expecting more from you...."
"DCG_VO_ogre_bruiser_enigmatic_01"	"I'll do what I have to."
"DCG_VO_ogre_bruiser_enigmatic_02"	"I'll do whatever it takes."
"DCG_VO_ogre_bruiser_enigmatic_03"	"There's nothing I can't smash."
"DCG_VO_ogre_bruiser_enigmatic_04"	"There's nothing I can't destroy."
"DCG_VO_ogre_bruiser_enigmatic_05"	"I'll tear down their defenses."
"DCG_VO_ogre_bruiser_enigmatic_06"	"Slacks loves me. And that's enough."
"DCG_VO_ogre_bruiser_enigmatic_07"	"I'll face anyone..."
"DCG_VO_ogre_bruiser_enigmatic_08"	"There is no one I fear."
"DCG_VO_ogre_bruiser_enigmatic_09"	"Strange..."
"DCG_VO_ogre_bruiser_enigmatic_10"	"I wonder what this does..."
"DCG_VO_ogre_bruiser_death_01"	"<i>screams</i>"
"DCG_VO_prowler_shaman_intro"	"Magnus brought the child to us for safe keeping. He didn't say why, but he didn't have to. I knew who she was, and who she could become."
"DCG_VO_prowler_shaman_equip_generic_weapon_01"	"I will face danger head on."
"DCG_VO_prowler_shaman_equip_generic_weapon_02"	"My weapon is ready."
"DCG_VO_prowler_shaman_equip_generic_weapon_03"	"I'm here for the fight."
"DCG_VO_prowler_shaman_equip_generic_weapon_04"	"I will defend us all."
"DCG_VO_prowler_shaman_equip_generic_weapon_05"	"Prowlers protect."
"DCG_VO_prowler_shaman_equip_generic_armor_01"	"I stand with my allies."
"DCG_VO_prowler_shaman_equip_generic_armor_02"	"I won't hide from danger."
"DCG_VO_prowler_shaman_equip_generic_armor_03"	"My enemies come for me, but I'm ready."
"DCG_VO_prowler_shaman_equip_generic_armor_04"	"I wont shy from battle."
"DCG_VO_prowler_shaman_equip_generic_armor_05"	"I'll face whatever comes."
"DCG_VO_prowler_shaman_equip_generic_accessory_01"	"This will be useful."
"DCG_VO_prowler_shaman_equip_generic_accessory_02"	"This could turn the tide."
"DCG_VO_prowler_shaman_equip_generic_accessory_03"	"This is just what I needed."
"DCG_VO_prowler_shaman_equip_generic_accessory_04"	"Perfect."
"DCG_VO_prowler_shaman_equip_generic_accessory_05"	"This couldn't come at a better time."
"DCG_VO_prowler_shaman_kill_rival_01"	"Leave this place."
"DCG_VO_prowler_shaman_kill_rival_02"	"You don't belong here."
"DCG_VO_prowler_shaman_kill_rival_03"	"This is my forest."
"DCG_VO_prowler_shaman_kill_rival_04"	"The Prowlers fear nothing..."
"DCG_VO_prowler_shaman_kill_rival_05"	"Who's next?"
"DCG_VO_prowler_shaman_kill_rival_06"	"You fought well."
"DCG_VO_prowler_shaman_kill_rival_07"	"You're strong. I'm stronger."
"DCG_VO_prowler_shaman_kill_rival_08"	"You never had a chance."
"DCG_VO_prowler_shaman_kill_rival_09"	"A noble effort."
"DCG_VO_prowler_shaman_kill_rival_10"	"You are no warrior."
"DCG_VO_prowler_shaman_unique_01"	"It's good to fight by your side old friend."
"DCG_VO_prowler_shaman_unique_02"	"Ilexa is safe in our care Magnus."
"DCG_VO_prowler_shaman_unique_03"	"It was wise of you to trust in us..."
"DCG_VO_prowler_shaman_unique_04"	"You're a showoff Rooftrellen, but I'm glad you're on my side."
"DCG_VO_prowler_shaman_unique_05"	"No one will move us, Treant."
"DCG_VO_prowler_shaman_unique_06"	"Stay by my side, Magnus."
"DCG_VO_prowler_shaman_unique_07"	"It's good to see you again Enchantress, you're radiant as ever."
"DCG_VO_prowler_shaman_unique_08"	"My allies will be protected."
"DCG_VO_prowler_shaman_unique_09"	"I tire of this bloodshed."
"DCG_VO_prowler_shaman_unique_10"	"Nature will come to our aid."
"DCG_VO_prowler_shaman_unique_11"	"The centaurs are not welcome here..."
"DCG_VO_prowler_shaman_unique_12"	"Your 'sacred hunt' is a farce..."
"DCG_VO_prowler_shaman_unique_13"	"I won't let you prey on the denizens of this forest."
"DCG_VO_prowler_shaman_unique_14"	"Stay close to me child, I can protect you."
"DCG_VO_prowler_shaman_unique_15"	"Don't let Rix lead you to your death."
"DCG_VO_prowler_shaman_unique_16"	"It's good to have conviction, but don't throw your life away child."
"DCG_VO_prowler_shaman_unique_17"	"What do you need Rix?"
"DCG_VO_prowler_shaman_unique_18"	"How can I help the rebellion?"
"DCG_VO_prowler_shaman_unique_19"	"You made the right choice Rix."
"DCG_VO_prowler_shaman_unique_20"	"How goes the rebellion Rix?"
"DCG_VO_prowler_shaman_healed_01"	"Ahhh"
"DCG_VO_prowler_shaman_healed_02"	"Thanks"
"DCG_VO_prowler_shaman_healed_03"	"Appreciated."
"DCG_VO_prowler_shaman_healed_04"	"Your timing is impeccable..."
"DCG_VO_prowler_shaman_healed_05"	"It looks like I was the one in need of saving today..."
"DCG_VO_prowler_shaman_taunt_generic_01"	"Victory is here!"
"DCG_VO_prowler_shaman_taunt_generic_02"	"Destroy the Ancient!"
"DCG_VO_prowler_shaman_taunt_generic_03"	"Their Ancient will fall!"
"DCG_VO_prowler_shaman_taunt_generic_04"	"We will not fail!"
"DCG_VO_prowler_shaman_taunt_generic_05"	"It's time to finish this!"
"DCG_VO_prowler_shaman_taunt_generic_06"	"We can win this war!"
"DCG_VO_prowler_shaman_taunt_generic_07"	"Soon the forest will be safe!"
"DCG_VO_prowler_shaman_taunt_generic_08"	"We win this together!"
"DCG_VO_prowler_shaman_taunt_generic_09"	"Stay the course, and we will win!"
"DCG_VO_prowler_shaman_taunt_generic_10"	"We won't be denied!"
"DCG_VO_prowler_shaman_potential_kill_01"	"I have you now."
"DCG_VO_prowler_shaman_potential_kill_02"	"There's no escape from me."
"DCG_VO_prowler_shaman_potential_kill_03"	"You can't outfight me."
"DCG_VO_prowler_shaman_potential_kill_04"	"You're putting up a good fight, but it's not enough."
"DCG_VO_prowler_shaman_potential_kill_05"	"A worthy, but futile effort."
"DCG_VO_prowler_shaman_potential_save_01"	"You're not as cunning as you thought."
"DCG_VO_prowler_shaman_potential_save_02"	"Nice try."
"DCG_VO_prowler_shaman_potential_save_03"	"It's not my time to die."
"DCG_VO_prowler_shaman_potential_save_04"	"I was almost worried..."
"DCG_VO_prowler_shaman_potential_save_05"	"That was close."
"DCG_VO_prowler_shaman_permanent_armor_01"	"I won't fail my people."
"DCG_VO_prowler_shaman_permanent_armor_02"	"I will be protected."
"DCG_VO_prowler_shaman_permanent_armor_03"	"I won't be moved so easily."
"DCG_VO_prowler_shaman_permanent_armor_04"	"A simple enchantment, but a needed one."
"DCG_VO_prowler_shaman_permanent_armor_05"	"I need to stay alive..."
"DCG_VO_prowler_shaman_permanent_attack_01"	"I'm stronger now."
"DCG_VO_prowler_shaman_permanent_attack_02"	"I'll tear our enemies apart."
"DCG_VO_prowler_shaman_permanent_attack_03"	"Bring me my enemies."
"DCG_VO_prowler_shaman_permanent_attack_04"	"I will show them the strength of the Prowler."
"DCG_VO_prowler_shaman_permanent_attack_05"	"I'm ready for combat."
"DCG_VO_prowler_shaman_permanent_health_01"	"Let them try to kill me."
"DCG_VO_prowler_shaman_permanent_health_02"	"I won't be hunted."
"DCG_VO_prowler_shaman_permanent_health_03"	"I can endure anything."
"DCG_VO_prowler_shaman_permanent_health_04"	"It's survival of the fittest."
"DCG_VO_prowler_shaman_permanent_health_05"	"My fortitude is boundless."
"DCG_VO_prowler_shaman_cast_spell_01"	"I will do anything to look after my people."
"DCG_VO_prowler_shaman_cast_spell_02"	"The jungle itself gives me strength..."
"DCG_VO_prowler_shaman_cast_spell_03"	"You will never outwit me."
"DCG_VO_prowler_shaman_cast_spell_04"	"I'm more cunning than you think..."
"DCG_VO_prowler_shaman_cast_spell_05"	"I rule this place."
"DCG_VO_prowler_shaman_cast_spell_06"	"The Prowler's might is unequalled!"
"DCG_VO_prowler_shaman_cast_spell_07"	"You're not ready for what's in store..."
"DCG_VO_prowler_shaman_cast_spell_08"	"I'll do whatever it takes."
"DCG_VO_prowler_shaman_cast_spell_09"	"Have hope."
"DCG_VO_prowler_shaman_cast_spell_10"	"Never give up."
"DCG_VO_prowler_shaman_buff_ally_01"	"Be stronger now."
"DCG_VO_prowler_shaman_buff_ally_02"	"I'll protect us all."
"DCG_VO_prowler_shaman_buff_ally_03"	"I'll take care of you."
"DCG_VO_prowler_shaman_buff_ally_04"	"Trust in the Prowlers."
"DCG_VO_prowler_shaman_buff_ally_05"	"We're safe now."
"DCG_VO_prowler_shaman_buff_ally_06"	"We win or die together..."
"DCG_VO_prowler_shaman_buff_ally_07"	"We need to look after one another."
"DCG_VO_prowler_shaman_buff_ally_08"	"You'd do the same for me..."
"DCG_VO_prowler_shaman_buff_ally_09"	"There's strength in unity."
"DCG_VO_prowler_shaman_buff_ally_10"	"The Prowlers lend their aid."
"DCG_VO_prowler_shaman_debuff_enemy_01"	"Coward!"
"DCG_VO_prowler_shaman_debuff_enemy_02"	"You should run."
"DCG_VO_prowler_shaman_debuff_enemy_03"	"You aren't prepared."
"DCG_VO_prowler_shaman_debuff_enemy_04"	"You're a stranger here."
"DCG_VO_prowler_shaman_debuff_enemy_05"	"You're out of your element."
"DCG_VO_prowler_shaman_debuff_enemy_06"	"Your body rebels against you."
"DCG_VO_prowler_shaman_debuff_enemy_07"	"No more tricks."
"DCG_VO_prowler_shaman_debuff_enemy_08"	"You aren't strong enough to defeat us..."
"DCG_VO_prowler_shaman_debuff_enemy_09"	"You aren't so impressive."
"DCG_VO_prowler_shaman_debuff_enemy_10"	"In time you will fall."
"DCG_VO_prowler_shaman_single_target_damage_01"	"I'll break you down."
"DCG_VO_prowler_shaman_single_target_damage_02"	"You have no chance against me."
"DCG_VO_prowler_shaman_single_target_damage_03"	"I'll break this one."
"DCG_VO_prowler_shaman_single_target_damage_04"	"Leave them to me."
"DCG_VO_prowler_shaman_single_target_damage_05"	"I can handle this."
"DCG_VO_prowler_shaman_single_target_damage_06"	"I'm not afraid to fight."
"DCG_VO_prowler_shaman_single_target_damage_07"	"FACE ME!"
"DCG_VO_prowler_shaman_single_target_damage_08"	"I lead by example..."
"DCG_VO_prowler_shaman_single_target_damage_09"	"I'm no stranger to combat."
"DCG_VO_prowler_shaman_single_target_damage_10"	"You brought this on yourself."
"DCG_VO_prowler_shaman_multi_damage_small_01"	"Leave these cretins to me...."
"DCG_VO_prowler_shaman_multi_damage_small_02"	"Your army isn't strong enough."
"DCG_VO_prowler_shaman_multi_damage_small_03"	"Your army is going to die here."
"DCG_VO_prowler_shaman_multi_damage_small_04"	"I'll trample them under my hooves."
"DCG_VO_prowler_shaman_multi_damage_small_05"	"This is what you call an army?"
"DCG_VO_prowler_shaman_multi_damage_small_06"	"How many more must I kill..."
"DCG_VO_prowler_shaman_multi_damage_small_07"	"Surrender!"
"DCG_VO_prowler_shaman_multi_damage_small_08"	"I'll end this foolishness..."
"DCG_VO_prowler_shaman_multi_damage_small_09"	"This is a fight you'll never win!"
"DCG_VO_prowler_shaman_multi_damage_small_10"	"I'll fight you all!"
"DCG_VO_prowler_shaman_multi_damage_large_01"	"The jungle will claim you all!"
"DCG_VO_prowler_shaman_multi_damage_large_02"	"None of you can stop me!"
"DCG_VO_prowler_shaman_multi_damage_large_03"	"I defy the odds!"
"DCG_VO_prowler_shaman_multi_damage_large_04"	"Face me if you dare!"
"DCG_VO_prowler_shaman_multi_damage_large_05"	"You don't have enough men to stop us..."
"DCG_VO_prowler_shaman_multi_damage_large_06"	"Destroy them all!"
"DCG_VO_prowler_shaman_multi_damage_large_07"	"Leave no one standing!"
"DCG_VO_prowler_shaman_multi_damage_large_08"	"This fight ends now..."
"DCG_VO_prowler_shaman_multi_damage_large_09"	"Let me show you what you're up against."
"DCG_VO_prowler_shaman_multi_damage_large_10"	"Hahahahahaha"
"DCG_VO_prowler_shaman_pleased_01"	"Good."
"DCG_VO_prowler_shaman_pleased_02"	"Things are going our way.."
"DCG_VO_prowler_shaman_pleased_03"	"As we hoped..."
