"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"Pierpont e eu discordamos em muitas coisas, mas ele teve a sabedoria de reconhecer os perigos de enfurecer o Vazio Sem Rosto. O Tratado de Claszureme não me anima muito, a cronomancia era bem divertida. Mas sabe o que também é legal? Não destruírem a sua linha temporal."
"DCG_VO_ogre_bruiser_unique_08"	"Você tem que me ensinar a arremessar corpos."
"DCG_VO_ogre_bruiser_unique_09"	"A minha parte favorita é quando você joga os cadáveres."
"DCG_VO_ogre_bruiser_unique_10"	"Olha só esse gladiador."
"DCG_VO_ogre_bruiser_unique_11"	"Tá achando que é melhor do que eu só porque conhece essas palavras difíceis?"
"DCG_VO_ogre_bruiser_unique_12"	"Ogro só precisa de dois braços para te matar, cadáver!"
"DCG_VO_ogre_bruiser_unique_13"	"Gostei do seu cabelo."
"DCG_VO_ogre_bruiser_unique_14"	"Você é bacana, Donzela. Espero que ninguém esmague o seu crânio."
"DCG_VO_ogre_bruiser_unique_15"	"Eu luto pelos Iluminados."
"DCG_VO_ogre_bruiser_unique_16"	"Os Iluminados me dão um propósito!"
"DCG_VO_ogre_bruiser_unique_17"	"Valeu por mostrar o caminho, Prellex."
"DCG_VO_ogre_bruiser_unique_18"	"Eu luto pelos Temidos."
"DCG_VO_ogre_bruiser_unique_19"	"Os Temidos me dão um propósito!"
"DCG_VO_ogre_bruiser_unique_20"	"Valeu por mostrar o caminho, Kanna."
"DCG_VO_ogre_bruiser_healed_01"	"Ahhh."
"DCG_VO_ogre_bruiser_healed_02"	"Ótimo."
"DCG_VO_ogre_bruiser_healed_03"	"Ainda na luta."
"DCG_VO_ogre_bruiser_healed_04"	"Eu aguento mais..."
"DCG_VO_ogre_bruiser_healed_05"	"Você é legal."
"DCG_VO_ogre_bruiser_taunt_generic_01"	"Acabem com eles!"
"DCG_VO_ogre_bruiser_taunt_generic_02"	"Destruam a torre!"
"DCG_VO_ogre_bruiser_taunt_generic_03"	"Destruam o Ancestral!"
"DCG_VO_ogre_bruiser_taunt_generic_04"	"Não deixem pedra sobre pedra!"
"DCG_VO_ogre_bruiser_taunt_generic_05"	"Vamos mostrar a nossa força!"
"DCG_VO_ogre_bruiser_taunt_generic_06"	"Queimem tudo!"
"DCG_VO_ogre_bruiser_taunt_generic_07"	"Esmaguem eles!"
"DCG_VO_ogre_bruiser_taunt_generic_08"	"Vamos vencer!"
"DCG_VO_ogre_bruiser_taunt_generic_09"	"Eles não podem deter nos deter!"
"DCG_VO_ogre_bruiser_taunt_generic_10"	"À batalha!"
"DCG_VO_ogre_bruiser_potential_kill_01"	"Te peguei."
"DCG_VO_ogre_bruiser_potential_kill_02"	"Você já era."
"DCG_VO_ogre_bruiser_potential_kill_03"	"Eu vou devorar o seu cadáver..."
"DCG_VO_ogre_bruiser_potential_kill_04"	"Você não tem para onde fugir."
"DCG_VO_ogre_bruiser_potential_kill_05"	"Agora você morre."
"DCG_VO_ogre_bruiser_potential_save_01"	"Rá!"
"DCG_VO_ogre_bruiser_potential_save_02"	"Sem chance."
"DCG_VO_ogre_bruiser_potential_save_03"	"Eu não vou morrer aqui..."
"DCG_VO_ogre_bruiser_potential_save_04"	"Você não pode me matar."
"DCG_VO_ogre_bruiser_potential_save_05"	"Você não é melhor do que eu."
"DCG_VO_ogre_bruiser_permanent_armor_01"	"Eu sou casca-grossa."
"DCG_VO_ogre_bruiser_permanent_armor_02"	"Quero ver tentarem me furar agora."
"DCG_VO_ogre_bruiser_permanent_armor_03"	"Ninguém vai me machucar."
"DCG_VO_ogre_bruiser_permanent_armor_04"	"Não tenho medo de criaturinhas..."
"DCG_VO_ogre_bruiser_permanent_armor_05"	"Fui criado para a guerra."
"DCG_VO_ogre_bruiser_permanent_attack_01"	"Fiquei mais forte."
"DCG_VO_ogre_bruiser_permanent_attack_02"	"Ninguém é mais forte que eu."
"DCG_VO_ogre_bruiser_permanent_attack_03"	"Mais forte do que nunca."
"DCG_VO_ogre_bruiser_permanent_attack_04"	"Me sinto poderoso."
"DCG_VO_ogre_bruiser_permanent_attack_05"	"Quanto poder!"
"DCG_VO_ogre_bruiser_permanent_health_01"	"Não vai ser fácil me matar."
"DCG_VO_ogre_bruiser_permanent_health_02"	"Daqui eu não saio."
"DCG_VO_ogre_bruiser_permanent_health_03"	"Não sucumbirei!"
"DCG_VO_ogre_bruiser_permanent_health_04"	"Ninguém vai me matar!"
"DCG_VO_ogre_bruiser_permanent_health_05"	"É importante cuidar da saúde. Assim, você consegue matar mais."
"DCG_VO_ogre_bruiser_cast_spell_01"	"Eu sei um pouco de magia ogrina..."
"DCG_VO_ogre_bruiser_cast_spell_02"	"Derrube tudo!"
"DCG_VO_ogre_bruiser_cast_spell_03"	"Nada disso!"
"DCG_VO_ogre_bruiser_cast_spell_04"	"Tô vendo eles!"
"DCG_VO_ogre_bruiser_cast_spell_05"	"Não vão passar por mim."
"DCG_VO_ogre_bruiser_cast_spell_06"	"Acha que vai ser fácil?"
"DCG_VO_ogre_bruiser_cast_spell_07"	"Eu tenho muitos amigos..."
"DCG_VO_ogre_bruiser_cast_spell_08"	"Espero que funcione..."
"DCG_VO_ogre_bruiser_cast_spell_09"	"Vai ser interessante..."
"DCG_VO_ogre_bruiser_cast_spell_10"	"Bom, alguma coisa vai acontecer."
"DCG_VO_ogre_bruiser_buff_ally_01"	"Eu te mostro como é que se luta..."
"DCG_VO_ogre_bruiser_buff_ally_02"	"Somos amigos agora."
"DCG_VO_ogre_bruiser_buff_ally_03"	"Um amigo ajuda o outro a matar os inimigos."
"DCG_VO_ogre_bruiser_buff_ally_04"	"Deixa comigo."
"DCG_VO_ogre_bruiser_buff_ally_05"	"Tô contigo."
"DCG_VO_ogre_bruiser_buff_ally_06"	"Juntos, podemos vencer."
"DCG_VO_ogre_bruiser_buff_ally_07"	"Eu gosto de trabalho em equipe."
"DCG_VO_ogre_bruiser_buff_ally_08"	"Isso deve ajudar."
"DCG_VO_ogre_bruiser_buff_ally_09"	"Presente de amigo."
"DCG_VO_ogre_bruiser_buff_ally_10"	"Amigo é para essas coisas."
"DCG_VO_ogre_bruiser_debuff_enemy_01"	"Vou quebrar as suas pernas..."
"DCG_VO_ogre_bruiser_debuff_enemy_02"	"Você não vai durar muito..."
"DCG_VO_ogre_bruiser_debuff_enemy_03"	"Vamos ver quanto tempo você dura..."
"DCG_VO_ogre_bruiser_debuff_enemy_04"	"Faz uma graça para mim, criaturinha..."
"DCG_VO_ogre_bruiser_debuff_enemy_05"	"É engraçado ver você tentando não morrer."
"DCG_VO_ogre_bruiser_debuff_enemy_06"	"Boa sorte."
"DCG_VO_ogre_bruiser_debuff_enemy_07"	"Patético."
"DCG_VO_ogre_bruiser_debuff_enemy_08"	"Espero que você seja melhor no meu paladar do que no campo de batalha."
"DCG_VO_ogre_bruiser_debuff_enemy_09"	"Você não vai sobreviver."
"DCG_VO_ogre_bruiser_debuff_enemy_10"	"Gosto de ver você se contorcer..."
"DCG_VO_ogre_bruiser_single_target_damage_01"	"Vou arrancar os seus braços..."
"DCG_VO_ogre_bruiser_single_target_damage_02"	"Eu vou te usar de porrete."
"DCG_VO_ogre_bruiser_single_target_damage_03"	"Você vai morrer."
"DCG_VO_ogre_bruiser_single_target_damage_04"	"Não tem ninguém que eu não possa matar."
"DCG_VO_ogre_bruiser_single_target_damage_05"	"Vou fazer pó dos seus ossos."
"DCG_VO_ogre_bruiser_single_target_damage_06"	"O seu cadáver vai virar banquete."
"DCG_VO_ogre_bruiser_single_target_damage_07"	"Eu sou o mais forte!"
"DCG_VO_ogre_bruiser_single_target_damage_08"	"Eu vou afundar o seu crânio."
"DCG_VO_ogre_bruiser_single_target_damage_09"	"Vou te matar com as minhas próprias mãos!"
"DCG_VO_ogre_bruiser_single_target_damage_10"	"Espero que você resista..."
"DCG_VO_ogre_bruiser_multi_damage_small_01"	"É só isso que trouxeram para me enfrentar?"
"DCG_VO_ogre_bruiser_multi_damage_small_02"	"O seu exército é patético."
"DCG_VO_ogre_bruiser_multi_damage_small_03"	"Eu vou esmagar todos vocês!"
"DCG_VO_ogre_bruiser_multi_damage_small_04"	"A barra vai sujar..."
"DCG_VO_ogre_bruiser_multi_damage_small_05"	"Agora as coisas vão ficar interessantes..."
"DCG_VO_ogre_bruiser_multi_damage_small_06"	"Vocês não vão dar conta de mim..."
"DCG_VO_ogre_bruiser_multi_damage_small_07"	"Já estive em brigas de bar mais complicadas..."
"DCG_VO_ogre_bruiser_multi_damage_small_08"	"Venham me encarar, bando de covardes!"
"DCG_VO_ogre_bruiser_multi_damage_small_09"	"Isso não vai demorar..."
"DCG_VO_ogre_bruiser_multi_damage_small_10"	"Criaturas ridículas..."
"DCG_VO_ogre_bruiser_multi_damage_large_01"	"Podem vir!"
"DCG_VO_ogre_bruiser_multi_damage_large_02"	"Vou acabar com todos vocês!"
"DCG_VO_ogre_bruiser_multi_damage_large_03"	"Eu vou matar todos vocês!"
"DCG_VO_ogre_bruiser_multi_damage_large_04"	"Vocês vão todos morrer!"
"DCG_VO_ogre_bruiser_multi_damage_large_05"	"Eu vou acabar com todos vocês!"
"DCG_VO_ogre_bruiser_multi_damage_large_06"	"Não vai sobrar um de pé!"
"DCG_VO_ogre_bruiser_multi_damage_large_07"	"Ninguém sai!"
"DCG_VO_ogre_bruiser_multi_damage_large_08"	"Ninguém vai sair vivo!"
"DCG_VO_ogre_bruiser_multi_damage_large_09"	"<i>Rugido</i>"
"DCG_VO_ogre_bruiser_multi_damage_large_10"	"VAMO PRO PAU!"
"DCG_VO_ogre_bruiser_pleased_01"	"Foi mais fácil do que eu pensava."
"DCG_VO_ogre_bruiser_pleased_02"	"Tão deixando a gente sonhar..."
"DCG_VO_ogre_bruiser_pleased_03"	"<i>Suspiro satisfeito</i>"
"DCG_VO_ogre_bruiser_pleased_04"	"Tá sendo uma bela chance de criar intimidade."
"DCG_VO_ogre_bruiser_pleased_05"	"Bom, eu acho que aprendemos uma coisa hoje."
"DCG_VO_ogre_bruiser_pleased_06"	"O combate realmente une as pessoas."
"DCG_VO_ogre_bruiser_pleased_07"	"Eu gosto de conhecer gente nova... para matar depois."
"DCG_VO_ogre_bruiser_pleased_08"	"Não podíamos estar melhor."
"DCG_VO_ogre_bruiser_pleased_09"	"Oba!"
"DCG_VO_ogre_bruiser_pleased_10"	"Gostei."
"DCG_VO_ogre_bruiser_concerned_01"	"Hmm... isso não é nada bom..."
"DCG_VO_ogre_bruiser_concerned_02"	"Não estou gostando disso..."
"DCG_VO_ogre_bruiser_concerned_03"	"Não está indo como eu imaginava..."
"DCG_VO_ogre_bruiser_concerned_04"	"Por que eu estou com a sensação de que eu vou morrer..."
"DCG_VO_ogre_bruiser_concerned_05"	"Não acho que estamos ganhando..."
"DCG_VO_ogre_bruiser_concerned_06"	"Precisamos de um novo plano..."
"DCG_VO_ogre_bruiser_concerned_07"	"Essa tática não está rendendo..."
"DCG_VO_ogre_bruiser_concerned_08"	"Eles são muitos..."
"DCG_VO_ogre_bruiser_concerned_09"	"Tem muita gente aí, e eu só consigo levantar duas rochas."
"DCG_VO_ogre_bruiser_concerned_10"	"Preciso de um novo plano..."
"DCG_VO_ogre_bruiser_angry_01"	"Eu te desafio!"
"DCG_VO_ogre_bruiser_angry_02"	"Quero ver me enfrentar!"
"DCG_VO_ogre_bruiser_angry_03"	"Melhor não me deixar com raiva."
"DCG_VO_ogre_bruiser_angry_04"	"Foi burrice sua. Muita burrice."
"DCG_VO_ogre_bruiser_angry_05"	"Eu vou esmagar essa sua cabeça de vento."
"DCG_VO_ogre_bruiser_angry_06"	"Vou palitar os dentes com os seus ossos..."
"DCG_VO_ogre_bruiser_angry_07"	"Nenhum de vocês pode me deter!"
"DCG_VO_ogre_bruiser_angry_08"	"Eu vou lutar contra todo mundo!"
"DCG_VO_ogre_bruiser_angry_09"	"Vou provar que eu sou mais forte!"
"DCG_VO_ogre_bruiser_angry_10"	"Como ousa?!"
"DCG_VO_ogre_bruiser_arrogant_01"	"Achei que ia ter um desafio de verdade!"
"DCG_VO_ogre_bruiser_arrogant_02"	"Nada é mais forte do que um ogro!"
"DCG_VO_ogre_bruiser_arrogant_03"	"Ninguém vai me deter!"
"DCG_VO_ogre_bruiser_arrogant_04"	"Gente esperta feito eu não precisa de plano..."
"DCG_VO_ogre_bruiser_arrogant_05"	"Plano é para quem não consegue arrancar a pata de um cavalo..."
"DCG_VO_ogre_bruiser_arrogant_06"	"A gente só precisa de plano quando não dá para resolver na pedrada."
"DCG_VO_ogre_bruiser_arrogant_07"	"Eu nunca vou me render..."
"DCG_VO_ogre_bruiser_arrogant_08"	"Só covardes têm medo da morte..."
"DCG_VO_ogre_bruiser_arrogant_09"	"Achei que teria uma luta de verdade..."
"DCG_VO_ogre_bruiser_arrogant_10"	"Eu esperava mais de você..."
"DCG_VO_ogre_bruiser_enigmatic_01"	"Farei o que for preciso."
"DCG_VO_ogre_bruiser_enigmatic_02"	"Farei o que for necessário."
"DCG_VO_ogre_bruiser_enigmatic_03"	"Não há nada que eu não possa esmagar."
"DCG_VO_ogre_bruiser_enigmatic_04"	"Não há nada que eu não possa destruir."
"DCG_VO_ogre_bruiser_enigmatic_05"	"Eu vou acabar com as defesas deles."
"DCG_VO_ogre_bruiser_enigmatic_06"	"O Slacks me adora, e é isso que importa."
"DCG_VO_ogre_bruiser_enigmatic_07"	"Eu enfrento qualquer um..."
"DCG_VO_ogre_bruiser_enigmatic_08"	"Não tenho medo de ninguém."
"DCG_VO_ogre_bruiser_enigmatic_09"	"Estranho..."
"DCG_VO_ogre_bruiser_enigmatic_10"	"O que será que isso faz?"
"DCG_VO_ogre_bruiser_death_01"	"<i>Grito</i>"
"DCG_VO_prowler_shaman_intro"	"Magnus trouxe a criança para cuidarmos. Ele não disse o porquê, mas nem precisava. Eu sabia quem ela era e quem ela viria a ser."
"DCG_VO_prowler_shaman_equip_generic_weapon_01"	"Vou enfrentar o perigo de frente."
"DCG_VO_prowler_shaman_equip_generic_weapon_02"	"A minha arma está pronta."
"DCG_VO_prowler_shaman_equip_generic_weapon_03"	"Estou aqui para lutar."
"DCG_VO_prowler_shaman_equip_generic_weapon_04"	"Vou defender todos nós."
"DCG_VO_prowler_shaman_equip_generic_weapon_05"	"Os gatunos protegem."
"DCG_VO_prowler_shaman_equip_generic_armor_01"	"Não abandono os meus aliados."
"DCG_VO_prowler_shaman_equip_generic_armor_02"	"Eu não fujo do perigo."
"DCG_VO_prowler_shaman_equip_generic_armor_03"	"Os meus inimigos investem contra mim. Podem vir."
"DCG_VO_prowler_shaman_equip_generic_armor_04"	"Não vou me esconder da batalha."
"DCG_VO_prowler_shaman_equip_generic_armor_05"	"Eu enfrento o que vier."
"DCG_VO_prowler_shaman_equip_generic_accessory_01"	"Será útil."
"DCG_VO_prowler_shaman_equip_generic_accessory_02"	"Isso pode virar o jogo."
"DCG_VO_prowler_shaman_equip_generic_accessory_03"	"Era disso que eu precisava."
"DCG_VO_prowler_shaman_equip_generic_accessory_04"	"Perfeito."
"DCG_VO_prowler_shaman_equip_generic_accessory_05"	"Veio no momento certo."
"DCG_VO_prowler_shaman_kill_rival_01"	"Suma daqui."
"DCG_VO_prowler_shaman_kill_rival_02"	"O seu lugar não é aqui."
"DCG_VO_prowler_shaman_kill_rival_03"	"Esta é a minha floresta."
"DCG_VO_prowler_shaman_kill_rival_04"	"Os gatunos nada temem."
"DCG_VO_prowler_shaman_kill_rival_05"	"Quem é o próximo?"
"DCG_VO_prowler_shaman_kill_rival_06"	"Você lutou bem."
"DCG_VO_prowler_shaman_kill_rival_07"	"Você é forte. Mas eu sou mais."
"DCG_VO_prowler_shaman_kill_rival_08"	"Você nunca teve chance."
"DCG_VO_prowler_shaman_kill_rival_09"	"Um esforço digno."
"DCG_VO_prowler_shaman_kill_rival_10"	"Não ouse se chamar de guerreiro."
"DCG_VO_prowler_shaman_unique_01"	"É bom lutar ao seu lado, meu velho amigo."
"DCG_VO_prowler_shaman_unique_02"	"Ilexa está a salvo conosco, Magnus."
"DCG_VO_prowler_shaman_unique_03"	"A sua decisão de confiar em nós foi sábia..."
"DCG_VO_prowler_shaman_unique_04"	"Você é muito exibido, Rooftrellen, mas fico feliz de tê-lo ao meu lado."
"DCG_VO_prowler_shaman_unique_05"	"Ninguém vai nos demover, Arvoroso."
"DCG_VO_prowler_shaman_unique_06"	"Fique ao meu lado, Magnus."
"DCG_VO_prowler_shaman_unique_07"	"É bom te ver novamente, Encantadora. Iluminada como sempre."
"DCG_VO_prowler_shaman_unique_08"	"Os meus aliados serão protegidos."
"DCG_VO_prowler_shaman_unique_09"	"Estou cansado desta carnificina."
"DCG_VO_prowler_shaman_unique_10"	"A natureza virá nos ajudar."
"DCG_VO_prowler_shaman_unique_11"	"Centauros não são bem-vindos aqui..."
"DCG_VO_prowler_shaman_unique_12"	"A sua \"caçada sagrada\" é uma farsa..."
"DCG_VO_prowler_shaman_unique_13"	"Eu não vou deixar você caçar os habitantes desta floresta."
"DCG_VO_prowler_shaman_unique_14"	"Fique perto de mim, criança. Eu te protejo."
"DCG_VO_prowler_shaman_unique_15"	"Vê se não morre seguindo as ordens de Rix."
"DCG_VO_prowler_shaman_unique_16"	"É bom ter convicção, mas não jogue a sua vida fora, criança."
"DCG_VO_prowler_shaman_unique_17"	"O que você quer, Rix?"
"DCG_VO_prowler_shaman_unique_18"	"Como posso ajudar na rebelião?"
"DCG_VO_prowler_shaman_unique_19"	"Você tomou a decisão correta, Rix."
"DCG_VO_prowler_shaman_unique_20"	"Como está a rebelião, Rix?"
"DCG_VO_prowler_shaman_healed_01"	"Ahhh."
"DCG_VO_prowler_shaman_healed_02"	"Valeu."
"DCG_VO_prowler_shaman_healed_03"	"Agradeço."
"DCG_VO_prowler_shaman_healed_04"	"Na hora certa..."
"DCG_VO_prowler_shaman_healed_05"	"Parece que quem precisava ser salvo hoje era eu..."
"DCG_VO_prowler_shaman_taunt_generic_01"	"A vitória é nossa!"
"DCG_VO_prowler_shaman_taunt_generic_02"	"Destruam o Ancestral!"
"DCG_VO_prowler_shaman_taunt_generic_03"	"O Ancestral inimigo há de cair!"
"DCG_VO_prowler_shaman_taunt_generic_04"	"Não vamos fracassar!"
"DCG_VO_prowler_shaman_taunt_generic_05"	"É hora de acabar com isso!"
"DCG_VO_prowler_shaman_taunt_generic_06"	"Podemos vencer esta guerra!"
"DCG_VO_prowler_shaman_taunt_generic_07"	"Logo mais a floresta estará a salvo!"
"DCG_VO_prowler_shaman_taunt_generic_08"	"Unidos, venceremos!"
"DCG_VO_prowler_shaman_taunt_generic_09"	"Se permanecerem firmes, nós venceremos!"
"DCG_VO_prowler_shaman_taunt_generic_10"	"Ninguém vai nos deter!"
"DCG_VO_prowler_shaman_potential_kill_01"	"Você não vai fugir."
"DCG_VO_prowler_shaman_potential_kill_02"	"Não há como escapar de mim."
"DCG_VO_prowler_shaman_potential_kill_03"	"Você não consegue me vencer."
"DCG_VO_prowler_shaman_potential_kill_04"	"Você está lutando bem, mas não é o suficiente."
"DCG_VO_prowler_shaman_potential_kill_05"	"Um esforço digno, ainda que inútil."
"DCG_VO_prowler_shaman_potential_save_01"	"Você não tem tanta astúcia quanto pensa."
"DCG_VO_prowler_shaman_potential_save_02"	"Bela tentativa."
"DCG_VO_prowler_shaman_potential_save_03"	"A minha hora ainda não chegou."
"DCG_VO_prowler_shaman_potential_save_04"	"Eu quase fiquei preocupado..."
"DCG_VO_prowler_shaman_potential_save_05"	"Essa foi por pouco."
"DCG_VO_prowler_shaman_permanent_armor_01"	"Não vou decepcionar o meu povo."
"DCG_VO_prowler_shaman_permanent_armor_02"	"Ficarei protegido."
"DCG_VO_prowler_shaman_permanent_armor_03"	"Não vão me demover assim tão fácil."
"DCG_VO_prowler_shaman_permanent_armor_04"	"Um encantamento simples, mas necessário."
"DCG_VO_prowler_shaman_permanent_armor_05"	"Eu preciso sobreviver..."
"DCG_VO_prowler_shaman_permanent_attack_01"	"Agora eu fiquei mais forte."
"DCG_VO_prowler_shaman_permanent_attack_02"	"Vou destroçar os nossos inimigos."
"DCG_VO_prowler_shaman_permanent_attack_03"	"Tragam os inimigos."
"DCG_VO_prowler_shaman_permanent_attack_04"	"Eu vou mostrar a força do Gatuno."
"DCG_VO_prowler_shaman_permanent_attack_05"	"Estou preparado para atacar."
"DCG_VO_prowler_shaman_permanent_health_01"	"Deixe que tentem me matar."
"DCG_VO_prowler_shaman_permanent_health_02"	"Não serei caçado."
"DCG_VO_prowler_shaman_permanent_health_03"	"Eu aguento qualquer coisa."
"DCG_VO_prowler_shaman_permanent_health_04"	"É a sobrevivência do mais forte."
"DCG_VO_prowler_shaman_permanent_health_05"	"A minha firmeza não tem limites."
"DCG_VO_prowler_shaman_cast_spell_01"	"Farei de tudo para cuidar do meu povo."
"DCG_VO_prowler_shaman_cast_spell_02"	"A selva me dá forças..."
"DCG_VO_prowler_shaman_cast_spell_03"	"Você nunca vai me superar."
"DCG_VO_prowler_shaman_cast_spell_04"	"Eu sou mais astuto do que você pensa..."
"DCG_VO_prowler_shaman_cast_spell_05"	"Eu mando neste lugar."
"DCG_VO_prowler_shaman_cast_spell_06"	"O poder do Gatuno é inigualável!"
"DCG_VO_prowler_shaman_cast_spell_07"	"Você não está preparado para o que está por vir..."
"DCG_VO_prowler_shaman_cast_spell_08"	"Farei o que for preciso."
"DCG_VO_prowler_shaman_cast_spell_09"	"Tenha esperança."
"DCG_VO_prowler_shaman_cast_spell_10"	"Jamais desista."
"DCG_VO_prowler_shaman_buff_ally_01"	"Força."
"DCG_VO_prowler_shaman_buff_ally_02"	"Vou proteger todos nós."
"DCG_VO_prowler_shaman_buff_ally_03"	"Eu cuido de você."
"DCG_VO_prowler_shaman_buff_ally_04"	"Confie nos gatunos."
"DCG_VO_prowler_shaman_buff_ally_05"	"Agora estamos a salvo."
"DCG_VO_prowler_shaman_buff_ally_06"	"Ou vencemos juntos, ou morremos juntos..."
"DCG_VO_prowler_shaman_buff_ally_07"	"Temos que cuidar uns dos outros."
"DCG_VO_prowler_shaman_buff_ally_08"	"Você faria o mesmo por mim..."
"DCG_VO_prowler_shaman_buff_ally_09"	"A união faz a força."
"DCG_VO_prowler_shaman_buff_ally_10"	"Os Gatunos sempre ajudam."
"DCG_VO_prowler_shaman_debuff_enemy_01"	"Covarde!"
"DCG_VO_prowler_shaman_debuff_enemy_02"	"É melhor correr."
"DCG_VO_prowler_shaman_debuff_enemy_03"	"Você não está à altura da luta."
"DCG_VO_prowler_shaman_debuff_enemy_04"	"Aqui, você é forasteiro."
"DCG_VO_prowler_shaman_debuff_enemy_05"	"O seu forte não é a guerra."
"DCG_VO_prowler_shaman_debuff_enemy_06"	"O seu corpo se rebela contra você."
"DCG_VO_prowler_shaman_debuff_enemy_07"	"Chega de truques."
