"dcg_vo_set_00"
{

	"DCG_VO_lady_anshu_intro"	"부울의 반란을 지지하는 자들이 있다는 건 안다... 릭스의 주장이 옳다고 믿는다는 사실도. 갈라니우스에게 세상은 그자의 것이 아님을 알려줘야 한다는 사실도. 당신들이 그런 식으로 느끼는 이유도 이해한다. 이제 그런 건 중요하지 않다. 릭스는 서약을 했다. 릭스가 자신의 영혼을 바치는 대가로 리스털의 궁정은 돌의 전당을 파괴할 수단을 주었다. 갈라니우스는 괴물일까? 어쩌면 그럴지도 모른다. 하지만 적어도 살아 있는 존재다. 악마들이 돌의 전당에 있는 남녀노소를 도륙하는 데 그냥 넋놓고 보고 있지는 않을 것이다. 우리는 진군할 것이다. 싸울 것이다. 그리고 당연히도, 많은 수가 죽을 것이다. 하지만 우리 목숨은 어리석어서가 아니라 필요해서 바치는 것이다... 우리가 죽은 존재와 저주받은 존재를 저지하지 않는다면... 과연 누가 하겠는가?"
	"DCG_VO_lady_anshu_unique_03"	"네 썩어가는 몸뚱이를 대지로 돌려보내 주마."
	"DCG_VO_lady_anshu_unique_04"	"강령사제, 단 한번 올바른 편에 서서 싸웠다고 구원받지는 못한다."
	"DCG_VO_lady_anshu_unique_05"	"네놈과 한편이 되어 싸우다니 참으로 역겹구나."
	"DCG_VO_lady_anshu_unique_06"	"로툰드예르, 구원을 향해 가는 길은 아주 기나긴 여정이 될 거다."
	"DCG_VO_lady_anshu_unique_07"	"날 따르라, 그리하면 우리는 실패하지 않으리라."
	"DCG_VO_lady_anshu_unique_08"	"이건 우리 성전의 시작일 뿐이다..."
	"DCG_VO_lady_anshu_unique_09"	"우리에겐 아직 할 일이 많다..."
	"DCG_VO_lady_anshu_unique_10"	"부정한 것들을 벌하라!"
	"DCG_VO_lady_anshu_unique_11"	"이 세계는 살아있는 자를 위한 곳이다!"
	"DCG_VO_lady_anshu_unique_12"	"루무스크는 언제나 저주받은 존재들과 맞서 싸우리라!"
	"DCG_VO_lady_anshu_unique_13"	"강령술사여, 힘을 탐하는 네 여정도 여기까지다..."
	"DCG_VO_lady_anshu_unique_14"	"죽은 자들은 묻혀 있어야 마땅하다..."
	"DCG_VO_lady_anshu_unique_15"	"크렐라여, 당신과 같은 편에서 싸울 수 있어 영광입니다."
	"DCG_VO_lady_anshu_unique_16"	"크렐라께서 우리를 구하러 오셨도다!"
	"DCG_VO_lady_anshu_unique_17"	"크렐라께서 우리 기도에 응답하셨도다..."
	"DCG_VO_lady_anshu_unique_18"	"용기를 내어라, 아이들아."
	"DCG_VO_lady_anshu_unique_19"	"아마 죽음 안에 네가 찾던 구원이 있으리라..."
	"DCG_VO_lady_anshu_unique_20"	"크렐라는 우리 모두에게 진정한 본보기시로다..."
	"DCG_VO_lady_anshu_healed_01"	"아아아."
	"DCG_VO_lady_anshu_healed_02"	"고맙구나."
	"DCG_VO_lady_anshu_healed_03"	"정말 고맙다..."
	"DCG_VO_lady_anshu_healed_04"	"좀 낫구나..."
	"DCG_VO_lady_anshu_healed_05"	"고맙구나."
	"DCG_VO_lady_anshu_taunt_generic_01"	"우리는 패할 리 없다!"
	"DCG_VO_lady_anshu_taunt_generic_02"	"우린 멈추지 않고 싸우리라!"
	"DCG_VO_lady_anshu_taunt_generic_03"	"우리의 때가 되었다!"
	"DCG_VO_lady_anshu_taunt_generic_04"	"승리가 확실하다!"
	"DCG_VO_lady_anshu_taunt_generic_05"	"지금이 공격할 때다!"
	"DCG_VO_lady_anshu_taunt_generic_06"	"부정한 것들을 정화하라!"
	"DCG_VO_lady_anshu_taunt_generic_07"	"적을 뭉개버려라!"
	"DCG_VO_lady_anshu_taunt_generic_08"	"고대의 요새를 파괴하라!"
	"DCG_VO_lady_anshu_taunt_generic_09"	"포탑을 차지하라!"
	"DCG_VO_lady_anshu_taunt_generic_10"	"성 크렐라여, 우리를 승리로 이끄소서!"
	"DCG_VO_lady_anshu_potential_kill_01"	"회개하라."
	"DCG_VO_lady_anshu_potential_kill_02"	"이제 끝이다."
	"DCG_VO_lady_anshu_potential_kill_03"	"그 사악한 행실도 여기서 끝이다."
	"DCG_VO_lady_anshu_potential_kill_04"	"넌 살아남지 못하리라."
	"DCG_VO_lady_anshu_potential_kill_05"	"항복하지 않으면 죽음뿐이다."
	"DCG_VO_lady_anshu_potential_save_01"	"오늘은 아니다."
	"DCG_VO_lady_anshu_potential_save_02"	"신께서 나를 지켜주신다."
	"DCG_VO_lady_anshu_potential_save_03"	"아직 내가 죽을 때가 아니다."
	"DCG_VO_lady_anshu_potential_save_04"	"너 따위에게 겁을 먹을쏘냐."
	"DCG_VO_lady_anshu_potential_save_05"	"절대로 악에 굴하지 않으리라."
	"DCG_VO_lady_anshu_permanent_armor_01"	"믿음의 갑주로구나."
	"DCG_VO_lady_anshu_permanent_armor_02"	"성자께서 나를 지켜주신다."
	"DCG_VO_lady_anshu_permanent_armor_03"	"어디 한번 애써 봐라..."
	"DCG_VO_lady_anshu_permanent_armor_04"	"전투에서는 아무것도 두렵지 않다."
	"DCG_VO_lady_anshu_permanent_armor_05"	"그 검과 화살을 무뎌지게 하리라..."
	"DCG_VO_lady_anshu_permanent_attack_01"	"성자들께서 내 손을 이끌어 주시리라."
	"DCG_VO_lady_anshu_permanent_attack_02"	"이제 한층 더 강해졌다."
	"DCG_VO_lady_anshu_permanent_attack_03"	"적을 쳐부수겠다..."
	"DCG_VO_lady_anshu_permanent_attack_04"	"내 손은 구하기도 하고 파괴하기도 하는도다..."
	"DCG_VO_lady_anshu_permanent_attack_05"	"성스러운 징벌을 내리노라..."
	"DCG_VO_lady_anshu_permanent_health_01"	"아직 죽을 때가 아니다."
	"DCG_VO_lady_anshu_permanent_health_02"	"아직 때가 아니다."
	"DCG_VO_lady_anshu_permanent_health_03"	"믿음으로 기운을 되찾았도다."
	"DCG_VO_lady_anshu_permanent_health_04"	"나는 우리 백성에게 본이 되는 존재다."
	"DCG_VO_lady_anshu_permanent_health_05"	"새로워졌도다."
	"DCG_VO_lady_anshu_cast_spell_01"	"이게 바로 믿음의 힘이다!"
	"DCG_VO_lady_anshu_cast_spell_02"	"루무스크가 너희 모드를 구원하러 왔도다!"
	"DCG_VO_lady_anshu_cast_spell_03"	"내가 구원하노라!"
	"DCG_VO_lady_anshu_cast_spell_04"	"내가 모두를 보호하리라!"
	"DCG_VO_lady_anshu_cast_spell_05"	"아무도 목숨을 잃게 두지 않겠다!"
	"DCG_VO_lady_anshu_cast_spell_06"	"우리가 이루지 못할 일은 없다..."
	"DCG_VO_lady_anshu_cast_spell_07"	"우린 악을 두려워하지 않는다..."
	"DCG_VO_lady_anshu_cast_spell_08"	"어둠은 물러나리라."
	"DCG_VO_lady_anshu_cast_spell_09"	"그 무엇도 너를 해치지 못하리라."
	"DCG_VO_lady_anshu_cast_spell_10"	"더 나은 길을 알려주마."
	"DCG_VO_lady_anshu_buff_ally_01"	"아이야, 내가 도와주마."
	"DCG_VO_lady_anshu_buff_ally_02"	"루무스크가 도우러 왔도다."
	"DCG_VO_lady_anshu_buff_ally_03"	"내가 힘이 되어주마."
	"DCG_VO_lady_anshu_buff_ally_04"	"넌 혼자가 아니다."
	"DCG_VO_lady_anshu_buff_ally_05"	"우리는 서로 도와야 한다."
	"DCG_VO_lady_anshu_buff_ally_06"	"네게 축복이 있기를."
	"DCG_VO_lady_anshu_buff_ally_07"	"가서 선한 일을 하여라. "
	"DCG_VO_lady_anshu_buff_ally_08"	"사악한 자들의 계획이 무산되기를."
	"DCG_VO_lady_anshu_buff_ally_09"	"네게 은총을 내리노라."
	"DCG_VO_lady_anshu_buff_ally_10"	"악이 승리하는 일은 절대로 없어야 한다."
	"DCG_VO_lady_anshu_debuff_enemy_01"	"넌 내 앞에서 산산이 부서질 것이다."
	"DCG_VO_lady_anshu_debuff_enemy_02"	"이것이 네 파멸의 시작이다..."
	"DCG_VO_lady_anshu_debuff_enemy_03"	"그 사악한 행실로 죗값을 치러야 하리라."
	"DCG_VO_lady_anshu_debuff_enemy_04"	"여기에 악이 있을 곳은 없다."
	"DCG_VO_lady_anshu_debuff_enemy_05"	"네 죄의 무게를 이기지 못하고 짓눌려 버리리라..."
	"DCG_VO_lady_anshu_debuff_enemy_06"	"이길 수 있다고 생각하나?"
	"DCG_VO_lady_anshu_debuff_enemy_07"	"너희는 여기서 죽는다."
	"DCG_VO_lady_anshu_debuff_enemy_08"	"이 곳은 루무스크가 보호한다."
	"DCG_VO_lady_anshu_debuff_enemy_09"	"여기 온 걸 후회하게 해 주마."
	"DCG_VO_lady_anshu_debuff_enemy_10"	"너는 실패하리라."
	"DCG_VO_lady_anshu_single_target_damage_01"	"여기가 끝이다."
	"DCG_VO_lady_anshu_single_target_damage_02"	"이놈은 내게 맡겨라."
	"DCG_VO_lady_anshu_single_target_damage_03"	"악은 두렵지 않다."
	"DCG_VO_lady_anshu_single_target_damage_04"	"거룩한 빛이 널 태우리라."
	"DCG_VO_lady_anshu_single_target_damage_05"	"우린 너보다 강하다."
	"DCG_VO_lady_anshu_single_target_damage_06"	"지긋지긋한 네 소행도 여기서 끝이다."
	"DCG_VO_lady_anshu_single_target_damage_07"	"넌 여기까지다."
	"DCG_VO_lady_anshu_single_target_damage_08"	"지옥으로 보내주마."
	"DCG_VO_lady_anshu_single_target_damage_09"	"이 세상에 네가 있을 곳은 없다."
	"DCG_VO_lady_anshu_single_target_damage_10"	"네 생명을 박탈한다."
	"DCG_VO_lady_anshu_multi_damage_small_01"	"이건 내가 처리할 수 있다."
	"DCG_VO_lady_anshu_multi_damage_small_02"	"이 하찮은 것들은 내게 맡겨라."
	"DCG_VO_lady_anshu_multi_damage_small_03"	"힘을 쓸 가치도 없는 존재구나."
	"DCG_VO_lady_anshu_multi_damage_small_04"	"그 어떤 악과도 맞서 싸우리라."
	"DCG_VO_lady_anshu_multi_damage_small_05"	"넌 날 뚫고 갈 수 없다."
	"DCG_VO_lady_anshu_multi_damage_small_06"	"사소한 골칫거리일 뿐이다."
	"DCG_VO_lady_anshu_multi_damage_small_07"	"어딜 감히?"
	"DCG_VO_lady_anshu_multi_damage_small_08"	"나는 구원의 현신이로다!"
	"DCG_VO_lady_anshu_multi_damage_small_09"	"우린 두려울 것이 없다."
	"DCG_VO_lady_anshu_multi_damage_small_10"	"내가 놈들을 처리하겠다."
	"DCG_VO_lady_anshu_multi_damage_large_01"	"회개하라!"
	"DCG_VO_lady_anshu_multi_damage_large_02"	"이것이 루무스크의 힘이다!"
	"DCG_VO_lady_anshu_multi_damage_large_03"	"성자들께서 우리가 쓰러지지 않게 지키시리라!"
	"DCG_VO_lady_anshu_multi_damage_large_04"	"우리는 신성한 빛에 싸여 있다!"
	"DCG_VO_lady_anshu_multi_damage_large_05"	"사악한 자들은 모두 불타리라!"
	"DCG_VO_lady_anshu_multi_damage_large_06"	"오직 정의로운 자들만이 살아남으리라!"
	"DCG_VO_lady_anshu_multi_damage_large_07"	"이 악한 곳을 깨끗이 씻으리라!"
	"DCG_VO_lady_anshu_multi_damage_large_08"	"정의를 구현할 때가 왔다."
	"DCG_VO_lady_anshu_multi_damage_large_09"	"너는 부족한 존재다."
	"DCG_VO_lady_anshu_multi_damage_large_10"	"빛이 어둠을 태워버리리라!"
	"DCG_VO_lady_anshu_pleased_01"	"탁월하구나."
	"DCG_VO_lady_anshu_pleased_02"	"이러면 되겠다."
	"DCG_VO_lady_anshu_pleased_03"	"성자들께 찬양을."
	"DCG_VO_lady_anshu_pleased_04"	"성자들께 감사를 드린다."
	"DCG_VO_lady_anshu_pleased_05"	"우린 축복받은 존재다."
	"DCG_VO_lady_anshu_pleased_06"	"바로 이게 필요했다."
	"DCG_VO_lady_anshu_pleased_07"	"필요했던 휴식이다."
	"DCG_VO_lady_anshu_pleased_08"	"성자께서 베푸시리라."
	"DCG_VO_lady_anshu_pleased_09"	"우리 과업은 계속되리라."
	"DCG_VO_lady_anshu_pleased_10"	"이건 시작에 불과하다."
	"DCG_VO_lady_anshu_concerned_01"	"현실에 안주해서는 안 된다."
	"DCG_VO_lady_anshu_concerned_02"	"생각보다 더 좋지 않다..."
	"DCG_VO_lady_anshu_concerned_03"	"성 말릭께서 내게 지혜를 주신다."
	"DCG_VO_lady_anshu_concerned_04"	"신이시여..."
	"DCG_VO_lady_anshu_concerned_05"	"우리는 마음을 가다듬어야 한다."
	"DCG_VO_lady_anshu_concerned_06"	"내가 시간을 좀 벌어 보겠다."
	"DCG_VO_lady_anshu_concerned_07"	"아직 끝나지 않았다."
	"DCG_VO_lady_anshu_concerned_08"	"희망을 버릴 수는 없다."
	"DCG_VO_lady_anshu_concerned_09"	"여기가 끝이 아니다."
	"DCG_VO_lady_anshu_concerned_10"	"아직 시간이 있다..."
	"DCG_VO_lady_anshu_angry_01"	"네게 자비란 없다."
	"DCG_VO_lady_anshu_angry_02"	"네게 줄 자비는 없다."
	"DCG_VO_lady_anshu_angry_03"	"모두 처치하라!"
	"DCG_VO_lady_anshu_angry_04"	"네게 심판이 닥치리라..."
	"DCG_VO_lady_anshu_angry_05"	"이 가증스러운 것들은 모두 말살되리라!"
	"DCG_VO_lady_anshu_angry_06"	"놈들을 지옥으로 돌려보내라!"
	"DCG_VO_lady_anshu_angry_07"	"네놈이 영원한 멸망 속에서 썩어 문드러질 때까지 쉬지 않으리라."
	"DCG_VO_lady_anshu_angry_08"	"절대 포기하지 않는다!"
	"DCG_VO_lady_anshu_angry_09"	"우리에게 항복은 없다!"
	"DCG_VO_lady_anshu_angry_10"	"지금 끝을 내겠다!"
	"DCG_VO_lady_anshu_arrogant_01"	"루무스크에 대적할 자는 없다."
	"DCG_VO_lady_anshu_arrogant_02"	"나의 힘은 신성하다!"
	"DCG_VO_lady_anshu_arrogant_03"	"정의로운 이들은 쓰러지지 아니하리라!"
	"DCG_VO_lady_anshu_arrogant_04"	"내가 사기꾼 따위를 겁내리라 생각하느냐?"
	"DCG_VO_lady_anshu_arrogant_05"	"저들은 내 능력을 전혀 알지 못하도다."
	"DCG_VO_lady_anshu_arrogant_06"	"우리가 개입함에 감사하라."
	"DCG_VO_lady_anshu_arrogant_07"	"내가 모범을 보이겠다."
	"DCG_VO_lady_anshu_arrogant_08"	"악은 날 멈출 수 없도다."
	"DCG_VO_lady_anshu_arrogant_09"	"그 무엇도 두렵지 않다."
	"DCG_VO_lady_anshu_arrogant_10"	"도움이 좀 필요해 보이는구나."
	"DCG_VO_lady_anshu_enigmatic_01"	"나의 믿음은 강하다."
	"DCG_VO_lady_anshu_enigmatic_02"	"성 브린이여, 우리에게 힘을 주소서."
	"DCG_VO_lady_anshu_enigmatic_03"	"대비해야 한다."
	"DCG_VO_lady_anshu_enigmatic_04"	"할 일이 많구나..."
	"DCG_VO_lady_anshu_enigmatic_05"	"우린 무슨 일이나 대비해야 한다..."
	"DCG_VO_lady_anshu_enigmatic_06"	"사악한 자들은 무슨 짓이든 할 수 있으니, 대비해야 한다."
	"DCG_VO_lady_anshu_enigmatic_07"	"놈들을 불시에 습격해야 한다."
	"DCG_VO_lady_anshu_enigmatic_08"	"우리 힘이 점점 커지는구나."
	"DCG_VO_lady_anshu_enigmatic_09"	"믿는 자에게는 보상이 있으리라."
	"DCG_VO_lady_anshu_enigmatic_10"	"성자들께서 도우시면, 무엇이든 할 수 있다."
	"DCG_VO_lady_anshu_death_01"	"<i>비명</i>"




}
