"dcg_vo_set_00"
{

	"DCG_VO_lady_anshu_intro"	"Wiem, że niektórzy z was wspierali bunt vhuli... że wierzyliście, że sprawa Rixa była słuszna i że Galaniusz był tyranem, któremu trzeba było pokazać, że świat nie należy do niego. Rozumiem, dlatego tak czuliście. To nie ma już znaczenia. Rix złożył Przysięgę i w zamian za swoją duszę dwór ristulski dał mu środki do zniszczenia Kamieniogrodu. Czy Galaniusz jest potworem? Możliwe. Ale przynajmniej jest śmiertelnikiem. Nie będziemy trwać w bezczynności, gdy demony szlachtują mężczyzn, kobiety i dzieci Kamieniogrodu. Wymaszerujemy. I będziemy walczyć. I tak, wielu z nas umrze, ale nasze życia nie będą ofiarą z głupoty, lecz z konieczności... albowiem jeżeli nie zatrzymamy umarłych i potępionych, to któż to zrobi?"
	"DCG_VO_lady_anshu_permanent_attack_05"	"Moja kara jest boska..."
	"DCG_VO_lady_anshu_permanent_health_01"	"Nie czas mi umierać."
	"DCG_VO_lady_anshu_permanent_health_02"	"To jeszcze nie mój czas."
	"DCG_VO_lady_anshu_permanent_health_03"	"Wiara mnie wzmacnia."
	"DCG_VO_lady_anshu_permanent_health_04"	"Jestem przykładem dla mego ludu."
	"DCG_VO_lady_anshu_permanent_health_05"	"Czuję się odnowiona."
	"DCG_VO_lady_anshu_cast_spell_01"	"Oto potęga wiary!"
	"DCG_VO_lady_anshu_cast_spell_02"	"Wyznawcy Rumusque przybyli i ocalą was wszystkich!"
	"DCG_VO_lady_anshu_cast_spell_03"	"Przynoszę zbawienie!"
	"DCG_VO_lady_anshu_cast_spell_04"	"Jesteś pod moją opieką!"
	"DCG_VO_lady_anshu_cast_spell_05"	"Nie pozwolę ci umrzeć!"
	"DCG_VO_lady_anshu_cast_spell_06"	"Nie ma rzeczy, której nie osiągniemy..."
	"DCG_VO_lady_anshu_cast_spell_07"	"Nie będziemy lękać się zła..."
	"DCG_VO_lady_anshu_cast_spell_08"	"Wygnamy mrok."
	"DCG_VO_lady_anshu_cast_spell_09"	"Nie stanie ci się krzywda."
	"DCG_VO_lady_anshu_cast_spell_10"	"Pokażę ci właściwą drogę."
	"DCG_VO_lady_anshu_buff_ally_01"	"Pozwól, że ci pomogę, dziecko."
	"DCG_VO_lady_anshu_buff_ally_02"	"Wyznawcy Rumusque przybyli pomóc."
	"DCG_VO_lady_anshu_buff_ally_03"	"Będę twą siłą."
	"DCG_VO_lady_anshu_buff_ally_04"	"Jestem z tobą."
	"DCG_VO_lady_anshu_buff_ally_05"	"Musimy sobie pomagać."
	"DCG_VO_lady_anshu_buff_ally_06"	"Niechaj cię błogosławią."
	"DCG_VO_lady_anshu_buff_ally_07"	"Idź i czyń dobro. "
	"DCG_VO_lady_anshu_buff_ally_08"	"Niechaj plany niegodziwych obrócą się w perzynę."
	"DCG_VO_lady_anshu_buff_ally_09"	"Masz moją przychylność."
	"DCG_VO_lady_anshu_buff_ally_10"	"Zło nie może zwyciężyć."
	"DCG_VO_lady_anshu_debuff_enemy_01"	"Rozpadniesz się przede mną w proch."
	"DCG_VO_lady_anshu_debuff_enemy_02"	"To początek twojego końca..."
	"DCG_VO_lady_anshu_debuff_enemy_03"	"Zapłacisz za swe niegodziwości."
	"DCG_VO_lady_anshu_debuff_enemy_04"	"Zło nie ma tu czego szukać."
	"DCG_VO_lady_anshu_debuff_enemy_05"	"Zmiażdży cię ciężar twoich własnych grzechów..."
	"DCG_VO_lady_anshu_debuff_enemy_06"	"Sądzisz, że możesz wygrać?"
	"DCG_VO_lady_anshu_debuff_enemy_07"	"Czeka cię tu śmierć."
	"DCG_VO_lady_anshu_debuff_enemy_08"	"To miejsce jest pod opieką Rumusque."
	"DCG_VO_lady_anshu_debuff_enemy_09"	"Pożałujesz, że twoja stopa postała na tej ziemi."
	"DCG_VO_lady_anshu_debuff_enemy_10"	"Nie uda ci się."
	"DCG_VO_lady_anshu_single_target_damage_01"	"To już koniec."
	"DCG_VO_lady_anshu_single_target_damage_02"	"Zostaw to mi."
	"DCG_VO_lady_anshu_single_target_damage_03"	"Nie lękam się zła."
	"DCG_VO_lady_anshu_single_target_damage_04"	"Będziesz płonąć w boskim świetle."
	"DCG_VO_lady_anshu_single_target_damage_05"	"Twoja siła jest mniejsza od naszej."
	"DCG_VO_lady_anshu_single_target_damage_06"	"Twoje okrucieństwo kończy się tutaj."
	"DCG_VO_lady_anshu_single_target_damage_07"	"To twój koniec."
	"DCG_VO_lady_anshu_single_target_damage_08"	"Ześlę cię do diabła."
	"DCG_VO_lady_anshu_single_target_damage_09"	"Nie ma na świecie miejsca dla takich jak ty."
	"DCG_VO_lady_anshu_single_target_damage_10"	"Twoje życie już przepadło."
	"DCG_VO_lady_anshu_multi_damage_small_01"	"Zajmę się tym."
	"DCG_VO_lady_anshu_multi_damage_small_02"	"Zajmę się tymi kretynami."
	"DCG_VO_lady_anshu_multi_damage_small_03"	"Szkoda na was zachodu."
	"DCG_VO_lady_anshu_multi_damage_small_04"	"Walczę z każdym złem."
	"DCG_VO_lady_anshu_multi_damage_small_05"	"Nie przepuszczę was."
	"DCG_VO_lady_anshu_multi_damage_small_06"	"Niewielka przeszkoda, nic więcej."
	"DCG_VO_lady_anshu_multi_damage_small_07"	"Jak śmiecie?"
	"DCG_VO_lady_anshu_multi_damage_small_08"	"Jestem ucieleśnieniem zbawienia!"
	"DCG_VO_lady_anshu_multi_damage_small_09"	"Nie lękamy się niczego."
	"DCG_VO_lady_anshu_multi_damage_small_10"	"Pozwól, że ja się nimi zajmę."
	"DCG_VO_lady_anshu_multi_damage_large_01"	"ŻAŁUJCIE ZA GRZECHY!"
	"DCG_VO_lady_anshu_multi_damage_large_02"	"Oto potęga wyznawców Rumusque!"
	"DCG_VO_lady_anshu_multi_damage_large_03"	"Święci nie pozwolą nam zawieść!"
	"DCG_VO_lady_anshu_multi_damage_large_04"	"Obmywa nas święte światło!"
	"DCG_VO_lady_anshu_multi_damage_large_05"	"Niegodziwi spłoną!"
	"DCG_VO_lady_anshu_multi_damage_large_06"	"Ocaleją tylko sprawiedliwi!"
	"DCG_VO_lady_anshu_multi_damage_large_07"	"Oczyszczę to miejsce ze zła!"
	"DCG_VO_lady_anshu_multi_damage_large_08"	"Nadszedł czas sądu."
	"DCG_VO_lady_anshu_multi_damage_large_09"	"Jesteście zdegenerowaną hałastrą."
	"DCG_VO_lady_anshu_multi_damage_large_10"	"Światło wypali ciemność!"
	"DCG_VO_lady_anshu_pleased_01"	"Wspaniale."
	"DCG_VO_lady_anshu_pleased_02"	"To działa."
	"DCG_VO_lady_anshu_pleased_03"	"Chwała świętym."
	"DCG_VO_lady_anshu_pleased_04"	"Dziękujmy świętym."
	"DCG_VO_lady_anshu_pleased_05"	"Zostaliśmy pobłogosławieni."
	"DCG_VO_lady_anshu_pleased_06"	"Właśnie tego potrzebowaliśmy."
	"DCG_VO_lady_anshu_pleased_07"	"Konieczne wytchnienie."
	"DCG_VO_lady_anshu_pleased_08"	"Święci czuwają."
	"DCG_VO_lady_anshu_pleased_09"	"Nasze dzieło trwa."
	"DCG_VO_lady_anshu_pleased_10"	"To dopiero początek."
	"DCG_VO_lady_anshu_concerned_01"	"Nie możemy spocząć na laurach."
	"DCG_VO_lady_anshu_concerned_02"	"Jest gorzej, niż myślałam..."
	"DCG_VO_lady_anshu_concerned_03"	"Święty Maliku, daj mi mądrość."
	"DCG_VO_lady_anshu_concerned_04"	"Mój Boże..."
	"DCG_VO_lady_anshu_concerned_05"	"Musimy się przegrupować."
	"DCG_VO_lady_anshu_concerned_06"	"Spróbuję zyskać dla nas trochę czasu."
	"DCG_VO_lady_anshu_concerned_07"	"To jeszcze nie koniec."
	"DCG_VO_lady_anshu_concerned_08"	"Nie możemy tracić nadziei."
	"DCG_VO_lady_anshu_concerned_09"	"To jeszcze nie koniec."
	"DCG_VO_lady_anshu_concerned_10"	"Wciąż mamy czas..."
	"DCG_VO_lady_anshu_angry_01"	"Nie okażemy ci ani krzty litości."
	"DCG_VO_lady_anshu_angry_02"	"Nie otrzymasz żadnego wytchnienia."
	"DCG_VO_lady_anshu_angry_03"	"ZABIĆ ICH WSZYSTKICH!"
	"DCG_VO_lady_anshu_angry_04"	"Sprawiedliwość przyjdzie po ciebie..."
	"DCG_VO_lady_anshu_angry_05"	"Te plugastwa zostaną zgładzone!"
	"DCG_VO_lady_anshu_angry_06"	"Odesłać ich z powrotem w czeluści!"
	"DCG_VO_lady_anshu_angry_07"	"Nie spocznę, póki nie sczeźniesz."
	"DCG_VO_lady_anshu_angry_08"	"Nigdy się nie poddamy!"
	"DCG_VO_lady_anshu_angry_09"	"Nie poddamy się!"
	"DCG_VO_lady_anshu_angry_10"	"To już koniec!"
	"DCG_VO_lady_anshu_arrogant_01"	"Wyznawcy Rumusque nie mają w sobie równych."
	"DCG_VO_lady_anshu_arrogant_02"	"Moja moc jest boska!"
	"DCG_VO_lady_anshu_arrogant_03"	"Sprawiedliwi nie upadną!"
	"DCG_VO_lady_anshu_arrogant_04"	"Myślisz, że lękam się szarlatanów?"
	"DCG_VO_lady_anshu_arrogant_05"	"Nie mają pojęcia, do czego jestem zdolna."
	"DCG_VO_lady_anshu_arrogant_06"	"Bądźcie wdzięczni za naszą interwencję."
	"DCG_VO_lady_anshu_arrogant_07"	"Jestem dla innych przykładem."
	"DCG_VO_lady_anshu_arrogant_08"	"Zło mnie nie powstrzyma."
	"DCG_VO_lady_anshu_arrogant_09"	"Niczego się nie lękam."
	"DCG_VO_lady_anshu_arrogant_10"	"Wygląda na to, że potrzebujesz pomocy."
	"DCG_VO_lady_anshu_enigmatic_01"	"Moja wiara jest silna."
	"DCG_VO_lady_anshu_enigmatic_02"	"Święty Breenie, daj nam siłę."
	"DCG_VO_lady_anshu_enigmatic_03"	"Musimy się przygotować."
	"DCG_VO_lady_anshu_enigmatic_04"	"Jest tyle do zrobienia..."
	"DCG_VO_lady_anshu_enigmatic_05"	"Musimy być gotowi na wszystko..."
	"DCG_VO_lady_anshu_enigmatic_06"	"Niegodziwcy są zdolni do wszystkiego, musimy się przygotować."
	"DCG_VO_lady_anshu_enigmatic_07"	"Musimy ich zaskoczyć."
	"DCG_VO_lady_anshu_enigmatic_08"	"Nasza potęga rośnie."
	"DCG_VO_lady_anshu_enigmatic_09"	"Wierni zostaną nagrodzeni."
	"DCG_VO_lady_anshu_enigmatic_10"	"Z pomocą świętych wszystko jest możliwe."
	"DCG_VO_lady_anshu_death_01"	"krzyczy"




}
