"dcg_tutorial"
{
// NPE
"DCG_NPE_Welcome"				"Entrée en matière..."
"DCG_NPE_TowerHealth"			"Chaque tour commence avec 30 points de vie."
"DCG_NPE_DestroyAny2"			"Détruisez deux des trois tours adverses pour gagner !"
"DCG_NPE_HeroColor"				"Vous avez une unité héroïque rouge dans cette zone..."
"DCG_NPE_CardColor"				"... vous ne pouvez donc jouer que des cartes rouges ici." //CHANGED
"DCG_NPE_PlayACreep"			"Placez une carte cryptide (&#9640;) sur une position de combat."
"DCG_NPE_CreepHittingTower"		"Cette unité libre infligera des dégâts à la tour pendant le combat."
"DCG_NPE_Combat"				"La flèche indique que cette unité cryptide infligera des dégâts à l'unité cryptide juste en face d'elle."
"DCG_NPE_LastAction"			"Votre adversaire a joué une carte sort (&#9642;) qui a infligé 4 points de dégâts à votre tour."
"DCG_NPE_LastAction2"			"Double-cliquez pour revoir la dernière carte jouée par votre adversaire."
"DCG_NPE_Pass"					"Toutes les unités attaquent automatiquement dès que les deux joueurs ou joueuses passent leur tour."
"DCG_NPE_DamagePreview"			"L'issue prévue du combat vous indique les dégâts que chaque unité subira au combat."
"DCG_NPE_DeathPreview"			"L'issue prévue du combat montre que cette unité sera détruite pendant le combat."
"DCG_NPE_GlowingBorder"			"Les cartes que vous pouvez jouer sont signalées par un liseré bleu lumineux."
"DCG_NPE_GlowingBorder2"		"Jouez une autre carte cryptide (&#9640;) qui attaquera la tour."
"DCG_NPE_HeroColor2"			"Vous avez une héroïne ou un héros vert dans cette zone, vous pouvez donc jouer des cartes vertes..."
"DCG_NPE_CardCost"				"... mais ces cartes vertes coutent plus de 3 points de mana."
"DCG_NPE_CurrentMana"			"Chaque tour a 3 points de mana au début de la partie. Le mana se recharge à chaque manche."
"DCG_NPE_NoActions"				"Parfois, vous ne pourrez rien faire d'autre que passer votre tour."
"DCG_NPE_YourGold"				"Vous gagnez 1 pièce d'or pour chaque unité cryptide tuée et 5 pièces d'or pour chaque unité héroïque tuée."
"DCG_NPE_Inspection"			"Double-cliquez sur une carte en jeu pour en savoir plus sur les mots-clés soulignés."
"DCG_NPE_DeployHero"			"Déployez votre unité héroïque dans une zone."
"DCG_NPE_RememberColors"		"Si deux unités héroïques, l'une verte et l'autre rouge, sont dans la même zone, vous pouvez jouer des cartes de ces deux couleurs dans cette zone."
"DCG_NPE_MaxMana"				"Le mana maximum de votre tour augmente automatiquement de 1 à chaque manche."
"DCG_NPE_CreepIcon"				"Cryptide"
"DCG_NPE_SpellIcon"				"Sort"
"DCG_NPE_TypeIcons"				"Vous pouvez distinguer les sorts (&#9642;) des cryptides (&#9640;) grâce à leur symbole."
"DCG_NPE_Ancient"				"Vous avez détruit une tour. L'Ancien et ses propres points de vie sont désormais visibles."
"DCG_NPE_Ancient2"				"Pour gagner, détruisez l'Ancien ou une tour d'une autre zone."
"DCG_NPE_RememberThisStuff"		"Voici les trois points les plus importants à retenir :<BR>1) Détruisez deux tours pour gagner."
"DCG_NPE_RememberThisStuff2"	"2) Détruire une tour dévoile l'Ancien, qui peut aussi être détruit pour gagner."
"DCG_NPE_RememberThisStuff3"	"3) Double-cliquez sur n'importe quelle carte pour connaitre les effets des mots-clés (Extension, Siège, Condamnation, etc.)"
"DCG_NPE_ActiveAbility"			"Cette capacité active a fini de se recharger. Lisez sa description et utilisez-la quand vous serez prêt(e)."
"DCG_NPE_ActiveAbilityReady"	"Capacité active prête"
"DCG_NPE_HandScrolling"			"Le nombre de cartes que vous pouvez avoir en main est illimité. Faites-les glisser sur le côté pour les faire défiler."
"DCG_NPE_Fountain"				"Votre unité héroïque est morte et se régénère à la fontaine. Ne vous en faites pas..."
"DCG_NPE_Fountain2"				"Après une manche complète, elle reviendra automatiquement lors de la phase de déploiement."
"DCG_NPE_ImprovementPlayed"		"Ceci est une amélioration (&#9641;). Elle affecte cette zone."
"DCG_NPE_ImprovementPlayed2"	"Les améliorations (&#9641;) restent actives pendant toute la partie. Double-cliquez dessus pour lire leur description."
"DCG_NPE_EquipmentPermanent"	"Les équipements sont permanents et vous pouvez les placer sur n'importe quelle unité héroïque."
"DCG_NPE_EquipmentPermanent2"	"Les unités héroïques conservent leur équipement même après avoir été tuées et redéployées."
"DCG_NPE_LaneScrolling"			"Le nombre d'unités que vous pouvez avoir dans une zone est illimité. Faites-les glisser sur le côté pour les faire défiler."
"DCG_NPE_CrosslaneCard"			"Les flèches, à côté du cout en mana, indiquent que vous pouvez jouer la carte dans n'importe quelle zone !"
"DCG_NPE_CrosslaneCard2"		"Les cartes améliorations (&#9641;) peuvent être placées dans n'importe quelle zone. Choisissez une zone et jouez cette carte."
"DCG_NPE_CancelAction"			"Choisissez votre cible parmi les cartes avec un liseré bleu lumineux ou annulez."


"DCG_NPE_DeployFirstHero"		"Vous avez 3 héros ou héroïnes à déployer au premier tour. Déployez cette carte dans la zone centrale."
"DCG_NPE_DeploySecondHero"		"Déployez ce héros ou cette héroïne dans la zone de gauche."
"DCG_NPE_DeployThirdHero"		"Déployez le dernier héros ou la dernière héroïne dans la zone de droite."
}
