"dcg_tutorial"
{
// NPE
"DCG_NPE_Welcome"				"好戲才正要開始……"
"DCG_NPE_HeroColor"				"你在這條兵線上有一名紅色英雄……"
"DCG_NPE_CardColor"				"……所以你在此處只能打出紅色卡牌。" //CHANGED
"DCG_NPE_PlayACreep"			"打出一張小兵卡（&#9640;）至戰鬥位置。"
"DCG_NPE_CreepHittingTower"		"這個單位未受阻礙，將在戰鬥中對塔造成傷害。"
"DCG_NPE_Combat"				"這個瞄準箭頭表示這名小兵會對正對面的小兵造成傷害。"
"DCG_NPE_LastAction"			"你的對手打出了一張法術卡（&#9642;），對你的塔造成了4傷害。"
"DCG_NPE_LastAction2"			"雙擊查看你的對手上次打出的卡牌。"
"DCG_NPE_Pass"					"所有單位會在雙方玩家讓過後自動攻擊。"
"DCG_NPE_DamagePreview"			"戰鬥預覽會顯示每個單位在戰鬥中將受到多少傷害。"
"DCG_NPE_DeathPreview"			"戰鬥預覽顯示此單位會在戰鬥中死亡。"
"DCG_NPE_GlowingBorder"			"每張可打出的卡牌邊框都會發藍光。"
"DCG_NPE_GlowingBorder2"		"打出另一張小兵卡（&#9640;）對塔進行攻擊。"
"DCG_NPE_HeroColor2"			"你在這條兵線上有一名綠色英雄，所以你可以打出綠色卡牌……"
"DCG_NPE_CardCost"				"……但這些綠色卡牌需消耗的魔力超過3。"
"DCG_NPE_CurrentMana"			"每座塔一開始有3魔力，每回合會自動補滿。"
"DCG_NPE_NoActions"				"有時你將無法採取任何行動，只能讓過。"
"DCG_NPE_YourGold"				"每殺死一名小兵可獲得1金錢，每殺死一名英雄可獲得5金錢。"
"DCG_NPE_Inspection"			"在遊戲中雙擊任意卡牌，便能查看卡上劃線的術語。"
"DCG_NPE_DeployHero"			"將你的英雄部署到任意兵線上。"
"DCG_NPE_RememberColors"		"若一條兵線上同時有綠色英雄和紅色英雄，你就可以在此兵線上打出這兩種顏色的卡牌。"
"DCG_NPE_MaxMana"				"每回合你的塔最大魔力會自動增加1。"
"DCG_NPE_CreepIcon"				"小兵"
"DCG_NPE_SpellIcon"				"法術"
"DCG_NPE_TypeIcons"				"你可以藉由類型符號來區分法術（&#9642;）和小兵（&#9640;）。"
"DCG_NPE_Ancient"				"摧毀一座塔後，遺跡及其生命就會顯露。"
"DCG_NPE_Ancient2"				"摧毀遺跡或另一條兵線的塔即可獲勝。"
"DCG_NPE_RememberThisStuff"		"別忘記最重要的3件事：<BR>1. 摧毀任意兩座塔，即可獲得勝利。"
"DCG_NPE_RememberThisStuff2"	"2. 摧毀一座塔後，遺跡就會顯現，摧毀遺跡也能獲勝。"
"DCG_NPE_RememberThisStuff3"	"3. 雙擊任何一張卡牌，即可查看卡牌上的術語說明（順勢、攻城、懲處等）。"
"DCG_NPE_ActiveAbility"			"這項主動技能已結束冷卻。請閱讀技能效果，準備好後即可使用。"
"DCG_NPE_ActiveAbilityReady"	"主動技能已能使用"
"DCG_NPE_HandScrolling"			"手牌數量無上限。左右拖動手牌即可查看所有手牌。"
"DCG_NPE_Fountain"				"你的英雄已經死亡，正在泉源中治療。但不用擔心……"
"DCG_NPE_Fountain2"				"一個完整的回合過後，英雄就會自動在部署階段返回戰場。"
"DCG_NPE_ImprovementPlayed"		"這張卡牌是強化卡（&#9641;），會對這條兵線造成影響。"
"DCG_NPE_ImprovementPlayed2"	"強化卡（&#9641;）的效力會持續整場遊戲。雙擊可查閱其效果。"
"DCG_NPE_EquipmentPermanent"	"裝備卡可打出至任意英雄身上，且永久有效。"
"DCG_NPE_EquipmentPermanent2"	"即使英雄死亡後被重新部署，仍將保有其裝備。"
"DCG_NPE_LaneScrolling"			"一條兵線上的單位數量無上限。左右拖動單位即可查看整條兵線。"
"DCG_NPE_CrosslaneCard"			"魔力消耗旁的這些箭頭代表這張卡牌能以任意兵線為目標！"
"DCG_NPE_CrosslaneCard2"		"強化（&#9641;）卡牌能以任意兵線為目標。選擇一條兵線並打出此卡牌。"
"DCG_NPE_CancelAction"			"你可以從邊框發藍光的卡牌中選擇目標，或取消使用這張卡牌。"


"DCG_NPE_DeployFirstHero"		"你在第一輪次有3名英雄可部署。將此英雄部署至中路。"
"DCG_NPE_DeploySecondHero"		"將此英雄部署至左路。"
"DCG_NPE_DeployThirdHero"		"將最後一名英雄部署至右路。"
}
