"dcg_tutorial"
{
// NPE
"DCG_NPE_Welcome"				"Это только начало..."
"DCG_NPE_EquipmentPermanent2"	"Предмет не пропадёт, даже если герой<br>с ним погибнет."
"DCG_NPE_LaneScrolling"			"Число существ<br>на линии ничем<br>не ограничено. Чтобы прокрутить карты на линии, перетащите их вбок."
"DCG_NPE_CrosslaneCard"			"Стрелки рядом<br>с расходом маны значат, что эту карту можно разыграть<br>на любую линию!"
"DCG_NPE_CrosslaneCard2"		"Карты улучшений (&#9641;) можно разыграть<br>на любую линию. Выберите линию и разыграйте эту карту."
"DCG_NPE_CancelAction"			"Выберите любую цель, подсвеченную синим, или отмените действие."


"DCG_NPE_DeployFirstHero"		"В первом раунде нужно разместить трёх героев. Разместите этого героя на центральной линии."
"DCG_NPE_DeploySecondHero"		"Разместите этого героя на левой линии."
"DCG_NPE_DeployThirdHero"		"Разместите последнего героя на правой линии."
}
