"dcg_tutorial"
{
// NPE
"DCG_NPE_Welcome"				"To dopiero początek..."
"DCG_NPE_CardCost"				"...ale zagranie tych zielonych kart kosztuje więcej niż 3 pkt. many."
"DCG_NPE_CurrentMana"			"Każda wieża na początku ma 3 pkt. many. Są one automatycznie uzupełniane w każdej rundzie."
"DCG_NPE_NoActions"				"Czasami nie możesz wykonać żadnego ruchu i musisz spasować."
"DCG_NPE_YourGold"				"Za każdego zabitego stwora otrzymujesz 1 sztukę złota, a za bohatera 5 sztuk złota."
"DCG_NPE_Inspection"			"Możesz dwukrotnie kliknąć DOWOLNĄ kartę w grze, aby poznać znaczenie jej podkreślonych słów kluczowych."
"DCG_NPE_DeployHero"			"Rozmieść twojego bohatera na dowolnej ścieżce."
"DCG_NPE_RememberColors"		"Jeśli zielony i czerwony bohater znajdą się na tej samej ścieżce, możesz zagrywać na niej karty obu kolorów."
"DCG_NPE_MaxMana"				"W każdej rundzie maksymalna liczba punktów many twojej wieży rośnie o 1."
"DCG_NPE_CreepIcon"				"Stwór"
"DCG_NPE_SpellIcon"				"Czar"
"DCG_NPE_TypeIcons"				"Możesz łatwo odróżnić czary (&#9642;) od stworów (&#9640;), patrząc na ich symbole."
"DCG_NPE_Ancient"				"Udało ci się zniszczyć wieżę i odsłonić Starożytnego, który ma własną pulę punktów zdrowia."
"DCG_NPE_Ancient2"				"Zniszcz Starożytnego lub jedną wieżę na innej ścieżce, by wygrać."
"DCG_NPE_RememberThisStuff"		"Należy pamiętać o 3 najważniejszych rzeczach:<BR>#1 Zniszcz dwie dowolne wieże, by wygrać."
"DCG_NPE_RememberThisStuff2"	"2. Pokonana wieża odsłania Starożytnego. Zniszczenie go również zapewni zwycięstwo."
"DCG_NPE_RememberThisStuff3"	"3. Kliknij dwukrotnie DOWOLNĄ kartę, aby sprawdzić jej słowa kluczowe (rozpłatanie, oblężenie, potępienie itp.)."
"DCG_NPE_ActiveAbility"			"Czas oczekiwania tej umiejętności aktywnej właśnie upłynął. Przeczytaj opis jej działania i wykorzystaj ją."
"DCG_NPE_ActiveAbilityReady"	"Umiejętność aktywna jest gotowa"
"DCG_NPE_HandScrolling"			"Nie ma limitu kart, które można mieć na ręce. Przeciągnij je w bok, aby je przeglądać."
"DCG_NPE_Fountain"				"Twój bohater zginął i odzyskuje siły przy fontannie, ale nie martw się..."
"DCG_NPE_Fountain2"				"Po upływie pełnej rundy automatycznie wróci podczas rozmieszczenia."
"DCG_NPE_ImprovementPlayed"		"To jest ulepszenie (&#9641;). Ma ono wpływ na tę ścieżkę."
"DCG_NPE_ImprovementPlayed2"	"Ulepszenie (&#9641;) działa przez całą grę. Kliknij je dwukrotnie, aby sprawdzić, jak działa."
"DCG_NPE_EquipmentPermanent"	"Kartę wyposażenia można zagrać na bohaterze; efekt jej zagrania jest trwały."
"DCG_NPE_EquipmentPermanent2"	"Bohaterowie zachowują swoje wyposażenie, nawet jeśli zginą i zostaną rozmieszczeni ponownie."
"DCG_NPE_LaneScrolling"			"Nie ma limitu jednostek, które można umieścić na ścieżce. Przeciągnij je w bok, aby je przeglądać."
"DCG_NPE_CrosslaneCard"			"Te strzałki obok kosztu zagrania w manie oznaczają, że tę kartę można zagrać na dowolnej ścieżce!"
"DCG_NPE_CrosslaneCard2"		"Karty ulepszeń (&#9641;) zawsze można zagrywać na dowolnej ścieżce. Wybierz ścieżkę i zagraj tę kartę."
"DCG_NPE_CancelAction"			"Możesz wybrać jeden z celów podświetlonych na niebiesko lub anulować działanie."


"DCG_NPE_DeployFirstHero"		"W pierwszej turze masz 3 bohaterów do rozmieszczenia. Rozmieść tego bohatera na środkowej ścieżce."
"DCG_NPE_DeploySecondHero"		"Rozmieść tego bohatera na lewej ścieżce."
"DCG_NPE_DeployThirdHero"		"Rozmieść tego ostatniego bohatera na prawej ścieżce."
}
