"dcg_tutorial"
{
// NPE
"DCG_NPE_Welcome"				"이건 시작에 불과합니다..."
"DCG_NPE_Inspection"			"게임에 있는 카드를 두 번 클릭하면 밑줄이 쳐진 핵심 용어를 자세히 알아볼 수 있습니다."
"DCG_NPE_DeployHero"			"아무 전선에나 영웅을 배치하세요."
"DCG_NPE_RememberColors"		"녹색 영웅과 적색 영웅이 같은 전선에 있을 때는, 두 가지 색상의 카드를 모두 플레이할 수 있습니다."
"DCG_NPE_MaxMana"				"포탑의 최대 마나는 라운드마다 1씩 증가합니다."
"DCG_NPE_CreepIcon"				"크립"
"DCG_NPE_SpellIcon"				"주문"
"DCG_NPE_TypeIcons"				"주문(&#9642;)과 크립(&#9640;)은 유형 표시를 보고 구분할 수 있습니다."
"DCG_NPE_Ancient"				"포탑을 파괴하니 별도의 체력이 있는 고대의 요새가 나타났습니다."
"DCG_NPE_Ancient2"				"고대의 요새를 파괴하거나 다른 전선의 포탑을 하나 더 파괴하면 승리합니다."
"DCG_NPE_RememberThisStuff"		"잊지 말아야 할 3가지 중요 사항:<BR>#1 어느 전선에 있든 포탑 두 기를 파괴하면 승리합니다."
"DCG_NPE_RememberThisStuff2"	"#2 포탑을 파괴하면 고대의 요새가 나타나는데, 이를 파괴하면 승리합니다."
"DCG_NPE_RememberThisStuff3"	"#3 카드를 더블 클릭하면 핵심 단어(가르기, 공성, 저주 등)의 설명을 볼 수 있습니다."
"DCG_NPE_ActiveAbility"			"재사용 대기 시간이 끝난 시전 능력입니다. 설명을 읽어보고 준비가 될 때마다 능력을 사용하세요."
"DCG_NPE_ActiveAbilityReady"	"시전 능력 준비 완료"
"DCG_NPE_HandScrolling"			"패에 포함할 수 있는 카드의 수에는 제한이 없습니다. 카드를 옆으로 드래그해서 스크롤하세요."
"DCG_NPE_Fountain"				"영웅이 죽은 뒤 분수에서 치유 중입니다. 하지만 걱정할 필요는 없습니다..."
"DCG_NPE_Fountain2"				"해당 영웅은 라운드 전체가 한 번 진행된 후에 배치 단계에서 자동으로 게임에 복귀합니다."
"DCG_NPE_ImprovementPlayed"		"이건 향상(&#9641;) 카드로, 이 전선에 영향을 줍니다."
"DCG_NPE_ImprovementPlayed2"	"향상(&#9641;) 효과는 게임 내내 유지됩니다. 두 번 클릭해서 설명을 읽어보세요."
"DCG_NPE_EquipmentPermanent"	"장비는 모든 영웅에게 사용할 수 있으며, 해당 효과는 영구적으로 적용됩니다."
"DCG_NPE_EquipmentPermanent2"	"영웅이 죽거나 재배치되어도 장비는 그대로 유지됩니다."
"DCG_NPE_LaneScrolling"			"전선에 포함할 수 있는 유닛의 수에는 제한이 없습니다. 유닛을 옆으로 드래그해서 스크롤하세요."
"DCG_NPE_CrosslaneCard"			"마나 소모 옆에 있는 화살표는 이 카드가 어느 전선이나 대상으로 지정할 수 있음을 의미합니다."
"DCG_NPE_CrosslaneCard2"		"향상(&#9641;) 카드는 어느 전선에나 사용할 수 있습니다. 전선을 선택한 다음 이 카드를 플레이하세요."
"DCG_NPE_CancelAction"			"테두리가 파란색으로 빛나는 대상 중에서 선택하거나 취소할 수 있습니다."
}
