"dcg_vo_set_00"
{

	"DCG_VO_lady_anshu_intro"	"I know some of you supported the vhoul rebellion... that you believed Rix’s cause was just; and that Galanius was a tyrant who needed to be shown that the world wasn’t his.  I understand why you felt that way.  It doesn’t matter anymore.  Rix has taken The Oath; and in exchange for his soul the Court of Ristul has given him the means to destroy Stonehall.  Is Galanius a monster?  Maybe.  But at least he is of the living. We will not stand idle while demons butcher the men, women, and children of Stonehall.  We will march. And we will fight.  And yes, many of us will die; but we offer our lives not out of foolishness but out of necessity... because if we don’t stop the dead and the damned... who will?"
	"DCG_VO_lady_anshu_unique_03"	"I'm going to return your rotting body to the earth"
	"DCG_VO_lady_anshu_unique_04"	"Fighting on the right side of a single battle doesn't redeem you Necrophos."
	"DCG_VO_lady_anshu_unique_05"	"It sickens me to fight along side you."
	"DCG_VO_lady_anshu_unique_06"	"Rotund'jere, your march to redemption will be a long one."
	"DCG_VO_lady_anshu_unique_07"	"Follow me, and we will not fail."
	"DCG_VO_lady_anshu_unique_08"	"This is just the beginning of our crusade..."
	"DCG_VO_lady_anshu_unique_09"	"We have much work to do..."
	"DCG_VO_lady_anshu_unique_10"	"Smite the unclean!"
	"DCG_VO_lady_anshu_unique_11"	"This world is for the living!"
	"DCG_VO_lady_anshu_unique_12"	"The Rumusque will always stand against the damned!"
	"DCG_VO_lady_anshu_unique_13"	"Your quest for power ends here, necromancer..."
	"DCG_VO_lady_anshu_unique_14"	"The dead are meant to stay buried..."
	"DCG_VO_lady_anshu_unique_15"	"It is an honor to fight by your said Crella."
	"DCG_VO_lady_anshu_unique_16"	"Crella, you've come to deliver us!"
	"DCG_VO_lady_anshu_unique_17"	"Crella, you have answered our prayers..."
	"DCG_VO_lady_anshu_unique_18"	"Be brave, my child"
	"DCG_VO_lady_anshu_unique_19"	"Perhaps in death you can find redemption..."
	"DCG_VO_lady_anshu_unique_20"	"You truly are an example to us all Crella..."
	"DCG_VO_lady_anshu_healed_01"	"ahhh"
	"DCG_VO_lady_anshu_healed_02"	"my thanks."
	"DCG_VO_lady_anshu_healed_03"	"much appreciated..."
	"DCG_VO_lady_anshu_healed_04"	"I feel better..."
	"DCG_VO_lady_anshu_healed_05"	"Thank you."
	"DCG_VO_lady_anshu_taunt_generic_01"	"We cannot fail!"
	"DCG_VO_lady_anshu_taunt_generic_02"	"We won't stop fighting!"
	"DCG_VO_lady_anshu_taunt_generic_03"	"This is our time!"
	"DCG_VO_lady_anshu_taunt_generic_04"	"Victory is assured!"
	"DCG_VO_lady_anshu_taunt_generic_05"	"Now is the time to strike!"
	"DCG_VO_lady_anshu_taunt_generic_06"	"Purge the unclean!"
	"DCG_VO_lady_anshu_taunt_generic_07"	"Bring them low!"
	"DCG_VO_lady_anshu_taunt_generic_08"	"Destroy the ancient!"
	"DCG_VO_lady_anshu_taunt_generic_09"	"Take the tower!"
	"DCG_VO_lady_anshu_taunt_generic_10"	"St. Crella, guide us to victory!"
	"DCG_VO_lady_anshu_potential_kill_01"	"Repent."
	"DCG_VO_lady_anshu_potential_kill_02"	"This is the end."
	"DCG_VO_lady_anshu_potential_kill_03"	"I will end your wicked ways."
	"DCG_VO_lady_anshu_potential_kill_04"	"You won't survive."
	"DCG_VO_lady_anshu_potential_kill_05"	"Surrender or die."
	"DCG_VO_lady_anshu_potential_save_01"	"Not today."
	"DCG_VO_lady_anshu_potential_save_02"	"The divine protects me."
	"DCG_VO_lady_anshu_potential_save_03"	"It's not my time to die."
	"DCG_VO_lady_anshu_potential_save_04"	"You can't scare me."
	"DCG_VO_lady_anshu_potential_save_05"	"I will never yield to evil."
	"DCG_VO_lady_anshu_permanent_armor_01"	"The armor of faith."
	"DCG_VO_lady_anshu_permanent_armor_02"	"The Saints protect me."
	"DCG_VO_lady_anshu_permanent_armor_03"	"Try to harm me..."
	"DCG_VO_lady_anshu_permanent_armor_04"	"There's nothing in battle I fear."
	"DCG_VO_lady_anshu_permanent_armor_05"	"I will turn your blades and arrows..."
	"DCG_VO_lady_anshu_permanent_attack_01"	"The Saints guide my hand"
	"DCG_VO_lady_anshu_permanent_attack_02"	"I'm stronger now."
	"DCG_VO_lady_anshu_permanent_attack_03"	"I will smite our enemies..."
	"DCG_VO_lady_anshu_permanent_attack_04"	"My hand destroys as well as it saves..."
	"DCG_VO_lady_anshu_permanent_attack_05"	"My retribution is divine..."
	"DCG_VO_lady_anshu_permanent_health_01"	"I'm not meant to die yet."
	"DCG_VO_lady_anshu_permanent_health_02"	"It's not my time yet."
	"DCG_VO_lady_anshu_permanent_health_03"	"I'm invigorated by faith."
	"DCG_VO_lady_anshu_permanent_health_04"	"I am an example to my people."
	"DCG_VO_lady_anshu_permanent_health_05"	"I feel renewed."
	"DCG_VO_lady_anshu_cast_spell_01"	"This is the power of faith!"
	"DCG_VO_lady_anshu_cast_spell_02"	"The Rumusque are here to save you all!"
	"DCG_VO_lady_anshu_cast_spell_03"	"I bring salvation!"
	"DCG_VO_lady_anshu_cast_spell_04"	"You are under my protection!"
	"DCG_VO_lady_anshu_cast_spell_05"	"I won't let you die!"
	"DCG_VO_lady_anshu_cast_spell_06"	"There is nothing we can't accomplish..."
	"DCG_VO_lady_anshu_cast_spell_07"	"We shall fear no evil..."
	"DCG_VO_lady_anshu_cast_spell_08"	"The darkness will be cast out."
	"DCG_VO_lady_anshu_cast_spell_09"	"No harm will come to you."
	"DCG_VO_lady_anshu_cast_spell_10"	"I will show you a better way."
	"DCG_VO_lady_anshu_buff_ally_01"	"Let me help you, child."
	"DCG_VO_lady_anshu_buff_ally_02"	"The Rumusque are here to help."
	"DCG_VO_lady_anshu_buff_ally_03"	"I will be your strength."
	"DCG_VO_lady_anshu_buff_ally_04"	"You're not in this alone."
	"DCG_VO_lady_anshu_buff_ally_05"	"We need to help each other."
	"DCG_VO_lady_anshu_buff_ally_06"	"Blessings be upon you."
	"DCG_VO_lady_anshu_buff_ally_07"	"Go forth and do good. "
	"DCG_VO_lady_anshu_buff_ally_08"	"May the plans of the wicked be made undone."
	"DCG_VO_lady_anshu_buff_ally_09"	"You have my favor."
	"DCG_VO_lady_anshu_buff_ally_10"	"Evil must not win."
	"DCG_VO_lady_anshu_debuff_enemy_01"	"You will crumble before me."
	"DCG_VO_lady_anshu_debuff_enemy_02"	"This is the beginning of your undoing..."
	"DCG_VO_lady_anshu_debuff_enemy_03"	"You will pay for your wicked ways."
	"DCG_VO_lady_anshu_debuff_enemy_04"	"Evil has no place here."
	"DCG_VO_lady_anshu_debuff_enemy_05"	"You will be crushed under the weight of your sins..."
	"DCG_VO_lady_anshu_debuff_enemy_06"	"You think you can win?"
	"DCG_VO_lady_anshu_debuff_enemy_07"	"You're going to die here."
	"DCG_VO_lady_anshu_debuff_enemy_08"	"This place is under the Rumusque's protection."
	"DCG_VO_lady_anshu_debuff_enemy_09"	"You will regret coming here."
	"DCG_VO_lady_anshu_debuff_enemy_10"	"You will fail."
	"DCG_VO_lady_anshu_single_target_damage_01"	"It ends here."
	"DCG_VO_lady_anshu_single_target_damage_02"	"Leave this one to me."
	"DCG_VO_lady_anshu_single_target_damage_03"	"I fear no evil."
	"DCG_VO_lady_anshu_single_target_damage_04"	"You will burn in holy light."
	"DCG_VO_lady_anshu_single_target_damage_05"	"You're not stronger than us."
	"DCG_VO_lady_anshu_single_target_damage_06"	"Your terror ends here."
	"DCG_VO_lady_anshu_single_target_damage_07"	"This is the end for you."
	"DCG_VO_lady_anshu_single_target_damage_08"	"I'll send you to hell."
	"DCG_VO_lady_anshu_single_target_damage_09"	"This world has no place for you."
	"DCG_VO_lady_anshu_single_target_damage_10"	"Your life is forfeit."
	"DCG_VO_lady_anshu_multi_damage_small_01"	"I can handle this."
	"DCG_VO_lady_anshu_multi_damage_small_02"	"Leave these creatins to me."
	"DCG_VO_lady_anshu_multi_damage_small_03"	"You're hardly worth the effort."
	"DCG_VO_lady_anshu_multi_damage_small_04"	"I stand against all evil."
	"DCG_VO_lady_anshu_multi_damage_small_05"	"You won't get past me."
	"DCG_VO_lady_anshu_multi_damage_small_06"	"A minor nusiance, nothing more."
	"DCG_VO_lady_anshu_multi_damage_small_07"	"How dare you?"
	"DCG_VO_lady_anshu_multi_damage_small_08"	"I am deliverance made flesh!"
	"DCG_VO_lady_anshu_multi_damage_small_09"	"We have nothing to fear."
	"DCG_VO_lady_anshu_multi_damage_small_10"	"Let me deal with them."
	"DCG_VO_lady_anshu_multi_damage_large_01"	"REPENT!"
	"DCG_VO_lady_anshu_multi_damage_large_02"	"This is the power of the Rumusque!"
	"DCG_VO_lady_anshu_multi_damage_large_03"	"The Saints won't let us fail!"
	"DCG_VO_lady_anshu_multi_damage_large_04"	"We are bathed in holy light!"
	"DCG_VO_lady_anshu_multi_damage_large_05"	"The wicked will burn!"
	"DCG_VO_lady_anshu_multi_damage_large_06"	"Only the righteous will survive!"
	"DCG_VO_lady_anshu_multi_damage_large_07"	"I will cleanse this place of evil!"
	"DCG_VO_lady_anshu_multi_damage_large_08"	"It is time for judgement."
	"DCG_VO_lady_anshu_multi_damage_large_09"	"You have been found wanting."
	"DCG_VO_lady_anshu_multi_damage_large_10"	"The light will burn away the darkness!"
	"DCG_VO_lady_anshu_pleased_01"	"Excellent."
	"DCG_VO_lady_anshu_pleased_02"	"This is working."
	"DCG_VO_lady_anshu_pleased_03"	"Saints be praised."
	"DCG_VO_lady_anshu_pleased_04"	"We give thanks to the Saints."
	"DCG_VO_lady_anshu_pleased_05"	"We have been blessed"
	"DCG_VO_lady_anshu_pleased_06"	"Just what we needed."
	"DCG_VO_lady_anshu_pleased_07"	"A needed respite."
	"DCG_VO_lady_anshu_pleased_08"	"The Saints provide."
	"DCG_VO_lady_anshu_pleased_09"	"Our work continues."
	"DCG_VO_lady_anshu_pleased_10"	"This is just the beginning."
	"DCG_VO_lady_anshu_concerned_01"	"We mustn't be complacent."
	"DCG_VO_lady_anshu_concerned_02"	"This is worse than I thought..."
	"DCG_VO_lady_anshu_concerned_03"	"St. Malik give me wisdom."
	"DCG_VO_lady_anshu_concerned_04"	"my god..."
	"DCG_VO_lady_anshu_concerned_05"	"We need to regroup."
	"DCG_VO_lady_anshu_concerned_06"	"I'll try to buy us some time."
	"DCG_VO_lady_anshu_concerned_07"	"It isn't over yet."
	"DCG_VO_lady_anshu_concerned_08"	"We can't lose hope."
	"DCG_VO_lady_anshu_concerned_09"	"This isn't the end."
	"DCG_VO_lady_anshu_concerned_10"	"We still have time..."
	"DCG_VO_lady_anshu_angry_01"	"No mercy awaits you."
	"DCG_VO_lady_anshu_angry_02"	"No quarter will be given."
	"DCG_VO_lady_anshu_angry_03"	"KILL THEM ALL!"
	"DCG_VO_lady_anshu_angry_04"	"A reckoning is coming for you..."
	"DCG_VO_lady_anshu_angry_05"	"These abominations will be destroyed!"
	"DCG_VO_lady_anshu_angry_06"	"Send them back to hell!"
	"DCG_VO_lady_anshu_angry_07"	"I wont rest until you rot in perdition."
	"DCG_VO_lady_anshu_angry_08"	"We will never give up!"
	"DCG_VO_lady_anshu_angry_09"	"We won't surrender!"
	"DCG_VO_lady_anshu_angry_10"	"This ends now!"
	"DCG_VO_lady_anshu_arrogant_01"	"The Rumusque are without equal."
	"DCG_VO_lady_anshu_arrogant_02"	"My power is divine!"
	"DCG_VO_lady_anshu_arrogant_03"	"The Righteous will not fall!"
	"DCG_VO_lady_anshu_arrogant_04"	"You think I'm afraid of charlatans?"
	"DCG_VO_lady_anshu_arrogant_05"	"They have no idea what I'm capable of."
	"DCG_VO_lady_anshu_arrogant_06"	"Be greatful for our intervention."
	"DCG_VO_lady_anshu_arrogant_07"	"I lead by example."
	"DCG_VO_lady_anshu_arrogant_08"	"Evil cannot stop me."
	"DCG_VO_lady_anshu_arrogant_09"	"There is nothing I fear."
	"DCG_VO_lady_anshu_arrogant_10"	"Looks like you need some help."
	"DCG_VO_lady_anshu_enigmatic_01"	"My faith is strong."
	"DCG_VO_lady_anshu_enigmatic_02"	"St. Breen, give us the strength."
	"DCG_VO_lady_anshu_enigmatic_03"	"We must prepare."
	"DCG_VO_lady_anshu_enigmatic_04"	"There is much work to do..."
	"DCG_VO_lady_anshu_enigmatic_05"	"We need to be ready for anything..."
	"DCG_VO_lady_anshu_enigmatic_06"	"The Wicked are capable of anything: we must prepare."
	"DCG_VO_lady_anshu_enigmatic_07"	"We must catch them unawares."
	"DCG_VO_lady_anshu_enigmatic_08"	"Our power grows."
	"DCG_VO_lady_anshu_enigmatic_09"	"The faithful will be rewarded."
	"DCG_VO_lady_anshu_enigmatic_10"	"With the Saints aid, anything is possible."
	"DCG_VO_lady_anshu_death_01"	"scream"




}
