"dcg_vo_set_00"
{

	"DCG_VO_lady_anshu_intro"	"Je sais que plusieurs d'entre vous ont soutenu la rébellion vhoul… que vous pensiez que la cause de Rix était juste, et que Galanius était un tyran qui devait savoir que le monde ne lui appartenait pas. Je comprends d'où viennent ces convictions, mais cela n'a plus d'importance. Rix a prêté serment et, en échange de son âme, la cour de Ristul lui a offert les moyens de détruire Pierrefort. Galanius est-il un monstre ? Peut-être. Mais, au moins, il fait partie des vivants. Nous ne resterons pas les bras croisés alors que les démons massacrent les hommes, les femmes et les enfants de Pierrefort. Nous marcherons. Et nous nous battrons. Bien sûr, nombre d'entre nous mourront. Cependant, le sacrifice de nos vies n'est pas une absurdité ; il est nécessaire… Car si nous n'arrêtons pas les morts et les damnés… qui le fera ?"
	"DCG_VO_lady_anshu_use_include_02"	"Nous nous souviendrons de ta bravoure…"
	"DCG_VO_lady_anshu_use_include_03"	"Repose-toi, maintenant."
	"DCG_VO_lady_anshu_unique_01"	"Nécrophos, tu es un hérétique et un charlatan."
	"DCG_VO_lady_anshu_unique_02"	"Tu te retrouveras à souhaiter avoir trouvé la mort aux mains des vigiles venimeuses, Rotund'jere."
	"DCG_VO_lady_anshu_unique_03"	"Je restituerai ton corps putride à la terre."
	"DCG_VO_lady_anshu_unique_04"	"Il ne suffit pas d'une unique bataille du bon côté pour se racheter, Nécrophos."
	"DCG_VO_lady_anshu_unique_05"	"Me battre à tes côtés me rend malade."
	"DCG_VO_lady_anshu_unique_06"	"Long sera le chemin qui te mènera à la rédemption, Rotund'jere."
	"DCG_VO_lady_anshu_unique_07"	"Suis-moi, et nous vaincrons."
	"DCG_VO_lady_anshu_unique_08"	"Notre croisade ne fait que commencer..."
	"DCG_VO_lady_anshu_unique_09"	"Il nous reste tant à faire…"
	"DCG_VO_lady_anshu_unique_10"	"Châtiez les infidèles !"
	"DCG_VO_lady_anshu_unique_11"	"Ce monde est celui des êtres vivants !"
	"DCG_VO_lady_anshu_unique_12"	"Les fidèles rumusques combattront toujours les âmes damnées !"
	"DCG_VO_lady_anshu_unique_13"	"Ta quête du pouvoir s'arrête ici, nécromancien…"
	"DCG_VO_lady_anshu_unique_14"	"Les morts doivent rester sous terre…"
	"DCG_VO_lady_anshu_unique_15"	"C'est un honneur de combattre à vos côtés, Ste Crella."
	"DCG_VO_lady_anshu_unique_16"	"Ste Crella, vous êtes venue nous délivrer !"
	"DCG_VO_lady_anshu_unique_17"	"Ste Crella, vous avez répondu à nos prières…"
	"DCG_VO_lady_anshu_unique_18"	"Sois brave, mon enfant."
	"DCG_VO_lady_anshu_unique_19"	"Peut-être la mort te sera-t-elle rédemptrice…"
	"DCG_VO_lady_anshu_unique_20"	"Vous êtes un véritable exemple pour nous, Ste Crella…"
	"DCG_VO_lady_anshu_healed_01"	"Aaah !"
	"DCG_VO_lady_anshu_healed_02"	"Merci bien."
	"DCG_VO_lady_anshu_healed_03"	"Un grand merci..."
	"DCG_VO_lady_anshu_healed_04"	"Je me sens mieux."
	"DCG_VO_lady_anshu_healed_05"	"Merci."
	"DCG_VO_lady_anshu_taunt_generic_01"	"Nous n'avons pas le droit à l'échec !"
	"DCG_VO_lady_anshu_taunt_generic_02"	"Nous combattrons jusqu'au bout !"
	"DCG_VO_lady_anshu_taunt_generic_03"	"Notre heure est venue !"
	"DCG_VO_lady_anshu_taunt_generic_04"	"La victoire est assurée !"
	"DCG_VO_lady_anshu_taunt_generic_05"	"C'est le moment de frapper !"
	"DCG_VO_lady_anshu_taunt_generic_06"	"Purifiez les infidèles !"
	"DCG_VO_lady_anshu_taunt_generic_07"	"Mettez-les à genoux !"
	"DCG_VO_lady_anshu_taunt_generic_08"	"Détruisez l'Ancien !"
	"DCG_VO_lady_anshu_taunt_generic_09"	"Prenez la tour !"
	"DCG_VO_lady_anshu_taunt_generic_10"	"Sainte Crella, menez-nous à la victoire !"
	"DCG_VO_lady_anshu_potential_kill_01"	"Repens-toi."
	"DCG_VO_lady_anshu_potential_kill_02"	"C'en est terminé."
	"DCG_VO_lady_anshu_potential_kill_03"	"Je mettrai fin à tes perversions."
	"DCG_VO_lady_anshu_potential_kill_04"	"Tu ne survivras pas."
	"DCG_VO_lady_anshu_potential_kill_05"	"Rends-toi ou meurs."
	"DCG_VO_lady_anshu_potential_save_01"	"Pas aujourd'hui."
	"DCG_VO_lady_anshu_potential_save_02"	"La grâce divine me protège."
	"DCG_VO_lady_anshu_potential_save_03"	"Mon heure n'est pas encore venue."
	"DCG_VO_lady_anshu_potential_save_04"	"Tu ne me fais pas peur."
	"DCG_VO_lady_anshu_potential_save_05"	"Jamais je ne cèderai face au Mal."
	"DCG_VO_lady_anshu_permanent_armor_01"	"Le bouclier de la foi."
	"DCG_VO_lady_anshu_permanent_armor_02"	"Les saints me protègent."
	"DCG_VO_lady_anshu_permanent_armor_03"	"Essaie donc de me blesser…"
	"DCG_VO_lady_anshu_permanent_armor_04"	"Je n'ai pas peur de me battre."
	"DCG_VO_lady_anshu_permanent_armor_05"	"Je dévierai vos lames et vos flèches…"
	"DCG_VO_lady_anshu_permanent_attack_01"	"Que les saints guident ma main !"
	"DCG_VO_lady_anshu_permanent_attack_02"	"Je suis plus forte à présent."
	"DCG_VO_lady_anshu_permanent_attack_03"	"Je châtierai nos adversaires…"
	"DCG_VO_lady_anshu_permanent_attack_04"	"Ma main détruit autant qu'elle protège…"
	"DCG_VO_lady_anshu_permanent_attack_05"	"Ma punition est divine…"
	"DCG_VO_lady_anshu_permanent_health_01"	"Ce n'est pas encore à mon tour de mourir."
	"DCG_VO_lady_anshu_permanent_health_02"	"Mon heure n'est pas encore venue."
	"DCG_VO_lady_anshu_permanent_health_03"	"Ma foi m'a revigorée."
	"DCG_VO_lady_anshu_permanent_health_04"	"Je suis un exemple pour mon peuple."
	"DCG_VO_lady_anshu_permanent_health_05"	"Je me sens revivre."
	"DCG_VO_lady_anshu_cast_spell_01"	"Voici le pouvoir de la foi !"
	"DCG_VO_lady_anshu_cast_spell_02"	"Les fidèles rumusques vous sauveront toutes et tous !"
	"DCG_VO_lady_anshu_cast_spell_03"	"J'apporte le salut !"
	"DCG_VO_lady_anshu_cast_spell_04"	"Tu es sous ma protection !"
	"DCG_VO_lady_anshu_cast_spell_05"	"Je ne te laisserai pas mourir !"
	"DCG_VO_lady_anshu_cast_spell_06"	"Il n'y a rien que nous ne puissions obtenir…"
	"DCG_VO_lady_anshu_cast_spell_07"	"Ne craignons pas le Mal…"
	"DCG_VO_lady_anshu_cast_spell_08"	"L'obscurité sera repoussée."
	"DCG_VO_lady_anshu_cast_spell_09"	"Aucun mal ne te sera fait."
	"DCG_VO_lady_anshu_cast_spell_10"	"J'ai une meilleure idée. Regarde."
	"DCG_VO_lady_anshu_buff_ally_01"	"Laisse-moi t'aider, mon enfant."
	"DCG_VO_lady_anshu_buff_ally_02"	"Les fidèles rumusques nous viennent en aide."
	"DCG_VO_lady_anshu_buff_ally_03"	"Je vais te remettre d'aplomb."
	"DCG_VO_lady_anshu_buff_ally_04"	"Tu peux compter sur moi."
	"DCG_VO_lady_anshu_buff_ally_05"	"Il faut nous entraider."
	"DCG_VO_lady_anshu_buff_ally_06"	"Tu as ma bénédiction."
	"DCG_VO_lady_anshu_buff_ally_07"	"Va-t'en vers la victoire. "
	"DCG_VO_lady_anshu_buff_ally_08"	"Que les plans des esprits malicieux soient anéantis."
	"DCG_VO_lady_anshu_buff_ally_09"	"Reçois ma grâce."
	"DCG_VO_lady_anshu_buff_ally_10"	"Le Mal ne peut vaincre."
	"DCG_VO_lady_anshu_debuff_enemy_01"	"Tu t'écrouleras devant moi."
	"DCG_VO_lady_anshu_debuff_enemy_02"	"C'est le début de ta chute…"
	"DCG_VO_lady_anshu_debuff_enemy_03"	"Tu paieras pour tes perversions."
	"DCG_VO_lady_anshu_debuff_enemy_04"	"Le Mal n'a pas sa place ici."
	"DCG_VO_lady_anshu_debuff_enemy_05"	"Tu succomberas sous le poids de tes péchés…"
	"DCG_VO_lady_anshu_debuff_enemy_06"	"Tu penses pouvoir gagner ?"
	"DCG_VO_lady_anshu_debuff_enemy_07"	"Tu vas mourir ici."
	"DCG_VO_lady_anshu_debuff_enemy_08"	"Ce lieu est sous la protection rumusque."
	"DCG_VO_lady_anshu_debuff_enemy_09"	"Tu vas regretter ta venue."
	"DCG_VO_lady_anshu_debuff_enemy_10"	"Jamais tu ne m'auras."
	"DCG_VO_lady_anshu_single_target_damage_01"	"Ça se termine ici."
	"DCG_VO_lady_anshu_single_target_damage_02"	"Je m'en occupe."
	"DCG_VO_lady_anshu_single_target_damage_03"	"Je ne crains pas le Mal."
	"DCG_VO_lady_anshu_single_target_damage_04"	"La lumière sacrée te consumera."
	"DCG_VO_lady_anshu_single_target_damage_05"	"Tu n'es pas plus robuste que nous."
	"DCG_VO_lady_anshu_single_target_damage_06"	"Ta terreur s'arrête ici."
	"DCG_VO_lady_anshu_single_target_damage_07"	"C'est la fin pour vous."
	"DCG_VO_lady_anshu_single_target_damage_08"	"Je vais t'envoyer en enfer."
	"DCG_VO_lady_anshu_single_target_damage_09"	"Tu n'as pas ta place ici-bas."
	"DCG_VO_lady_anshu_single_target_damage_10"	"Ta vie t'abandonne."
	"DCG_VO_lady_anshu_multi_damage_small_01"	"Je peux m'en charger."
	"DCG_VO_lady_anshu_multi_damage_small_02"	"Laisse-moi m'occuper de ces imbéciles."
	"DCG_VO_lady_anshu_multi_damage_small_03"	"Tu n'en vaux pas la peine."
	"DCG_VO_lady_anshu_multi_damage_small_04"	"Je m'élève contre toute forme du Mal."
	"DCG_VO_lady_anshu_multi_damage_small_05"	"Vous ne m'aurez pas."
	"DCG_VO_lady_anshu_multi_damage_small_06"	"Un tout petit désagrément, rien de plus."
	"DCG_VO_lady_anshu_multi_damage_small_07"	"Comment oses-tu ?"
	"DCG_VO_lady_anshu_multi_damage_small_08"	"Je suis la délivrance réincarnée !"
	"DCG_VO_lady_anshu_multi_damage_small_09"	"Nous n'avons rien à craindre."
	"DCG_VO_lady_anshu_multi_damage_small_10"	"Laissez-moi m'en occuper."
	"DCG_VO_lady_anshu_multi_damage_large_01"	"REPENS-TOI !"
	"DCG_VO_lady_anshu_multi_damage_large_02"	"C'est le pouvoir des fidèles rumusques !"
	"DCG_VO_lady_anshu_multi_damage_large_03"	"Les saints ne nous laisseront pas faillir !"
	"DCG_VO_lady_anshu_multi_damage_large_04"	"Nous baignons dans la lumière sacrée !"
	"DCG_VO_lady_anshu_multi_damage_large_05"	"Les esprits malicieux seront envoyés au bûcher !"
	"DCG_VO_lady_anshu_multi_damage_large_06"	"Seuls les justes survivront !"
	"DCG_VO_lady_anshu_multi_damage_large_07"	"Je balaierai du Mal cet endroit !"
	"DCG_VO_lady_anshu_multi_damage_large_08"	"L'heure du jugement a sonné."
	"DCG_VO_lady_anshu_multi_damage_large_09"	"Tu n'es pas à la hauteur."
	"DCG_VO_lady_anshu_multi_damage_large_10"	"La lumière consumera l'obscurité !"
	"DCG_VO_lady_anshu_pleased_01"	"Excellent."
	"DCG_VO_lady_anshu_pleased_02"	"Ça marche plutôt bien."
	"DCG_VO_lady_anshu_pleased_03"	"Loués soient les saints."
	"DCG_VO_lady_anshu_pleased_04"	"Nous rendons grâce aux saints."
	"DCG_VO_lady_anshu_pleased_05"	"Notre armée est bénie."
	"DCG_VO_lady_anshu_pleased_06"	"C'est exactement ce qu'il nous faut !"
	"DCG_VO_lady_anshu_pleased_07"	"Un répit salutaire."
	"DCG_VO_lady_anshu_pleased_08"	"Les saints sont avec nous."
	"DCG_VO_lady_anshu_pleased_09"	"Notre travail continue."
	"DCG_VO_lady_anshu_pleased_10"	"Ça ne fait que commencer."
	"DCG_VO_lady_anshu_concerned_01"	"Nous ne devons pas relâcher nos efforts."
	"DCG_VO_lady_anshu_concerned_02"	"Les choses sont pires que prévu…"
	"DCG_VO_lady_anshu_concerned_03"	"Saint Malik, accordez-moi votre sagesse."
	"DCG_VO_lady_anshu_concerned_04"	"Mon Dieu..."
	"DCG_VO_lady_anshu_concerned_05"	"Nous devons nous rassembler."
	"DCG_VO_lady_anshu_concerned_06"	"Je vais essayer de nous faire gagner du temps."
	"DCG_VO_lady_anshu_concerned_07"	"Ce n'est pas encore terminé."
	"DCG_VO_lady_anshu_concerned_08"	"Ne perdons pas espoir."
	"DCG_VO_lady_anshu_concerned_09"	"C'en n'est pas encore terminé."
	"DCG_VO_lady_anshu_concerned_10"	"On peut encore changer la donne..."
	"DCG_VO_lady_anshu_angry_01"	"Tu ne mérites aucune pitié."
	"DCG_VO_lady_anshu_angry_02"	"N'espère aucune clémence."
	"DCG_VO_lady_anshu_angry_03"	"TUEZ-LES !"
	"DCG_VO_lady_anshu_angry_04"	"Il est temps de rendre des comptes…"
	"DCG_VO_lady_anshu_angry_05"	"Ces abominations seront détruites !"
	"DCG_VO_lady_anshu_angry_06"	"Renvoyez-les en enfer !"
	"DCG_VO_lady_anshu_angry_07"	"Je m'arrêterai quand tu pourriras en enfer."
	"DCG_VO_lady_anshu_angry_08"	"Nous n'abandonnerons jamais !"
	"DCG_VO_lady_anshu_angry_09"	"Nous ne nous rendrons pas !"
	"DCG_VO_lady_anshu_angry_10"	"Finissons-en !"
	"DCG_VO_lady_anshu_arrogant_01"	"Les fidèles rumusques sont inégalables."
	"DCG_VO_lady_anshu_arrogant_02"	"Ma puissance est divine !"
	"DCG_VO_lady_anshu_arrogant_03"	"Les justes ne tomberont pas !"
	"DCG_VO_lady_anshu_arrogant_04"	"Tu penses que les charlatans me font peur ?"
	"DCG_VO_lady_anshu_arrogant_05"	"Ils n'ont pas idée de ce dont je suis capable."
	"DCG_VO_lady_anshu_arrogant_06"	"Apprécie notre intervention."
	"DCG_VO_lady_anshu_arrogant_07"	"J'aime montrer l'exemple."
	"DCG_VO_lady_anshu_arrogant_08"	"Le Mal ne peut pas m'arrêter."
	"DCG_VO_lady_anshu_arrogant_09"	"Je ne crains rien."
	"DCG_VO_lady_anshu_arrogant_10"	"On dirait que tu as besoin d'aide."
	"DCG_VO_lady_anshu_enigmatic_01"	"Ma foi est grande."
	"DCG_VO_lady_anshu_enigmatic_02"	"Sainte Breen, donnez-nous la force."
	"DCG_VO_lady_anshu_enigmatic_03"	"Nous devons nous préparer."
	"DCG_VO_lady_anshu_enigmatic_04"	"Il y a beaucoup à faire…"
	"DCG_VO_lady_anshu_enigmatic_05"	"Nous devons nous préparer à toute éventualité…"
	"DCG_VO_lady_anshu_enigmatic_06"	"Les esprits malicieux sont capables de tout ; nous devons nous y préparer."
	"DCG_VO_lady_anshu_enigmatic_07"	"Nous devons les prendre au dépourvu."
	"DCG_VO_lady_anshu_enigmatic_08"	"Notre puissance grandit."
	"DCG_VO_lady_anshu_enigmatic_09"	"Les êtres fidèles seront récompensés."
	"DCG_VO_lady_anshu_enigmatic_10"	"Avec l'appui des saints, tout est possible."
	"DCG_VO_lady_anshu_death_01"	"<i>cris</i>"




}
